lambda,convergence_value_mean,convergence_value_ci95,convergence_p5,convergence_p95
0.0,456.21927040397213,20.39449809277574,210.39396732386643,500.0
0.01,411.13864060082904,31.181279693523066,41.68550035599013,500.0
0.02,400.1090935438966,32.34214797340805,74.10351410331647,500.0
0.03,402.2238592742571,33.053304155430006,80.15900160782049,500.0
0.04,427.2977722781963,26.976768955401056,84.53202922796007,500.0
0.05,409.56846291600044,32.063093911842635,72.9147067930898,500.0
0.06,415.4974076337855,30.92792945873869,35.34511509809464,500.0
0.07,409.94425860450224,31.482400377036537,50.43536567620779,500.0
0.08,447.26265645308905,25.789524863689536,85.51439869489958,500.0
0.09,441.27630585897384,25.503580188757248,94.25039682368964,500.0
0.1,457.9146646453777,21.89579493122452,154.87026223573866,500.0
0.11,451.79650388227566,23.151881962617352,115.28551213037919,500.0
0.12,433.3313700501142,28.03300662594628,92.0428367568916,500.0
0.13,447.5777894375317,24.255723188155525,99.65977080366704,500.0
0.14,463.74033052649276,21.448218230102118,113.40554007465796,500.0
0.15,449.7443351485844,23.068001074052752,112.55327991938873,500.0
0.16,449.8233985642508,24.21642137355173,103.11808124750013,500.0
0.17,459.2527052646455,22.08994034873687,106.42806152724985,500.0
0.18,474.12200957078073,16.412815783912574,290.08912459871,500.0
0.19,448.2285364373178,23.838640668865256,115.63950816434088,500.0
0.2,452.86696385428326,23.425907625196256,115.83302060665069,500.0
0.21,450.68624740678723,24.036810320297736,114.9025184368921,500.0
0.22,452.7617067948372,23.234427808445545,119.69929869418071,500.0
0.23,446.0888011062462,25.31714212790283,119.68680012786291,500.0
0.24,446.3270286871764,25.367022679740206,124.48983179242313,500.0
0.25,452.34484170501094,22.135520284519902,130.51567686774357,500.0
0.26,446.73925674738786,23.63780961982394,133.1317633558996,500.0
0.27,456.41653067849825,21.45210006707286,128.92584000966787,500.0
0.28,455.1647823208692,22.534429822020183,136.88398434544175,500.0
0.29,454.1996708932711,22.40252307247688,135.80570874770993,500.0
0.3,429.98110109114924,25.570102252890408,128.02044084151728,500.0
0.31,469.4903492178565,17.708971401936115,166.069993970863,500.0
0.32,470.0105451844966,18.20959934841661,140.07074061058574,500.0
0.33,448.79999567505644,23.517020656104165,139.94525527343296,500.0
0.34,462.466796999277,20.829580556966608,145.2361282499703,500.0
0.35000000000000003,465.3915381106017,20.01652106384805,143.41804843861053,500.0
0.36,443.4400583513239,23.96176638303985,143.15653533105262,500.0
0.37,461.90791388119675,20.331737551740424,138.74304473875122,500.0
0.38,444.8467696916257,24.09728897623351,139.65741431538314,500.0
0.39,438.7048285820806,25.707945782518507,134.3270939033472,500.0
0.4,462.61391460704004,20.703643913238395,158.88336558953327,500.0
0.41000000000000003,453.58256408667023,22.33046822345035,151.7495842110716,500.0
0.42,463.1073184531476,18.660847884358787,183.14696088426965,500.0
0.43,467.711817201221,18.203399977473044,182.5577597945654,500.0
0.44,451.7953438426217,21.9100366926994,164.63818656096805,500.0
0.45,469.9355456238346,16.623221573104434,228.4067679035187,500.0
0.46,481.42138394587835,14.131380997994052,378.55716550249264,500.0
0.47000000000000003,466.25140496811434,18.919923637982926,169.75385827076724,500.0
0.48,464.55801243043504,18.52721567120264,181.4469438605871,500.0
0.49,466.1731642336036,18.787362210005302,166.87927663118668,500.0
0.5,479.2437056723492,14.953109925748626,197.74113297148594,500.0
0.51,487.555879804921,11.26907258194043,474.581380191615,500.0
0.52,476.6199778640103,15.985064909044203,204.41410481144038,500.0
0.53,474.6965263115934,16.736365078899897,189.16680803712242,500.0
0.54,486.2129429535587,10.722333245702492,388.1727083458639,500.0
0.55,484.5167697214881,12.890088391646877,429.167220334724,500.0
0.56,492.0368361645827,7.856425492551748,494.87806325614696,500.0
0.5700000000000001,495.41039251780296,5.830187799526131,494.224968449942,500.0
0.58,490.1557172805227,9.951679422154998,486.5191925384391,500.0
0.59,488.2362201257147,10.918143281633682,478.82849415707295,500.0
0.6,494.5292691234908,7.320182025416584,497.9040593998712,500.0
0.61,493.5214529004351,6.506335740558717,467.2391032165668,500.0
0.62,498.7131548369023,1.4348876698907946,497.3159541970483,500.0
0.63,490.46268190720184,9.020216580594823,485.47302283994213,500.0
0.64,499.40130140260516,0.5934692312314627,497.79436558874005,500.0
0.65,497.8224745171053,2.859740243951973,499.837372174745,500.0
0.66,497.0644987552412,3.4513770055745665,499.96936554265454,500.0
0.67,495.892185041523,5.02756224560232,495.31082362166603,500.0
0.68,491.1988712729506,10.238760872427918,490.694744389526,500.0
