lambda,early_learning_value_mean,early_learning_value_ci95,early_learning_p5,early_learning_p95
0.0,-111.57425115639745,1.4682662128215334,-122.804839299818,-102.16327566323571
0.01,-111.7648330222227,1.76813206972859,-122.04375252149116,-103.95440060785893
0.02,-110.93895305672265,1.279986627657456,-120.45673425294547,-102.77032600898454
0.03,-115.67144023583697,7.720470452464374,-125.36355946997372,-102.79293860764767
0.04,-111.99221899917778,1.847469572387915,-123.48729532257958,-102.80414965912709
0.05,-111.33850596674017,1.474491686207166,-121.17994593897558,-103.74133399594882
0.06,-111.15305055744543,1.3284455161987492,-122.43993152902681,-103.27034869425947
0.07,-111.62537571361032,1.3925697724821648,-121.01154383761057,-104.15579173074636
0.08,-110.86724945780492,1.4685750093440613,-121.4041859141221,-103.29876771389445
0.09,-112.04548867949872,2.0973519379837953,-121.60109561292906,-103.24684861326257
0.1,-111.68371213117923,1.343773817382146,-124.97186598253616,-103.52740016116807
0.11,-110.96563728582201,1.0954862463570767,-120.77076612724186,-103.04724521349787
0.12,-113.38746960572061,2.488979159277115,-120.64190072267168,-104.06262646826826
0.13,-116.24874245727247,7.7948175566866205,-126.47322933464487,-102.33536739875632
0.14,-111.90824595477773,1.284049127732429,-123.454015233478,-102.05209243232053
0.15,-112.308736197862,1.4323411609999541,-124.39324300959827,-103.86698575679955
0.16,-112.08813768525785,1.4081253958912796,-123.16633595647022,-103.49256130396806
0.17,-113.01938789509805,1.2392780367351062,-126.4085706123467,-104.48110841879569
0.18,-112.30584628557844,1.3660711127590395,-126.23724285436269,-103.76537545172617
0.19,-111.9230385399367,1.4120773645315088,-122.04220761297096,-103.70076392290953
0.2,-116.33800928106803,7.63261431943586,-126.86939265952257,-103.07838977938741
0.21,-112.17966546384766,1.2819102030014577,-125.95270257777689,-103.17457227311766
0.22,-111.83562193624358,1.1807871603559723,-122.99278396243196,-103.14957628643259
0.23,-112.01984934451961,1.0618546815263301,-121.04998175332467,-104.41740612189275
0.24,-112.9301447147857,1.4071018994713145,-123.42940241754802,-104.51992654622732
0.25,-112.0184711444979,1.0617802838939872,-121.00458819292457,-103.8138714149835
0.26,-112.56256261226413,1.0771504452759428,-121.01075686808832,-104.28070316972087
0.27,-112.74570728336053,1.1035118414282907,-121.70738587035957,-103.76357317041759
0.28,-113.63964948187314,1.0098696333726986,-121.26084025079692,-105.47257150279442
0.29,-114.07572717273331,1.2394109821505774,-125.0820952654691,-105.61316392736964
0.3,-113.93655892175033,1.2488403746125767,-122.07995535846227,-104.17968471483852
0.31,-113.03328350943704,1.0753906069600425,-121.86927046237257,-104.53938225208874
0.32,-114.39176525670864,1.1738663610163245,-123.8706869044022,-106.67001804298252
0.33,-113.99034535006365,1.1108313569955997,-123.53672245016807,-105.57357257051478
0.34,-114.44173336340033,1.4096761206542732,-125.41741342595523,-105.01697683125256
0.35000000000000003,-113.80429432476014,1.2307202292627941,-124.94176119934032,-104.95051238981924
0.36,-114.16422265262456,1.2585933998682262,-126.04430631079626,-105.15306295793525
0.37,-114.528841667332,1.0722205667460218,-124.80841643451652,-106.26905412508654
0.38,-114.17972258039728,1.1470387335482781,-123.16603089453284,-104.22975428739798
0.39,-116.09479212048065,1.3764814045797593,-129.8581572809548,-106.22750079316484
0.4,-113.7067525239044,1.168062976262501,-124.77648491194212,-104.171616780357
0.41000000000000003,-115.51247755256296,1.1756422727284597,-126.35275680255928,-106.8939705101146
0.42,-115.98092061605563,1.7825715510009263,-126.23363593608687,-105.50950824746364
0.43,-115.79669338529936,1.3782200207438917,-128.33780618639375,-105.75327547570541
0.44,-115.49028022130057,1.2123886192400475,-127.51670955354307,-106.55931663717298
0.45,-115.65042762138299,1.2289592881764722,-126.34013871227121,-106.76724903858285
0.46,-115.77280844895384,1.1629047760348081,-124.65154798090312,-106.95952801785985
0.47000000000000003,-116.0013801422559,1.3546136960660204,-125.97367828195803,-107.03991984970573
0.48,-116.29064976627502,1.2377224803749154,-127.40924201042452,-106.28130548499496
0.49,-116.40477743670304,1.2487904188613124,-126.41287184990804,-108.060366295591
0.5,-117.3319504791216,1.2192341454535727,-129.38033160991552,-109.17753060484223
0.51,-117.67927083279437,1.2761868226264834,-128.62537303453664,-108.15236112490192
0.52,-118.12920179708084,1.2856578894422503,-130.60602316475226,-109.62240801538782
0.53,-117.41016714464196,1.3620337915502851,-129.06542313068144,-107.30476566717864
0.54,-117.54015908234663,1.3523469267889179,-128.84142238208048,-107.02680241234707
0.55,-118.5559767160415,1.2890673481694386,-129.66882435697303,-108.83914139944697
0.56,-118.75608352192721,1.4189581809892626,-130.12433845840894,-108.72947470607792
0.5700000000000001,-119.12692199518705,1.207125819507759,-129.77072678020735,-108.90702676876496
0.58,-120.00210006294827,1.3887276760400327,-132.08274223769902,-109.84106219908908
0.59,-120.28838763727566,1.28494296673823,-128.81542793444166,-109.51623218310395
0.6,-120.37852398016196,1.3682929768687206,-131.00817811738065,-109.5469239946269
0.61,-120.07768477730406,1.3631696269829225,-133.16921865762274,-109.88025153235198
0.62,-120.16746391438461,1.1881248410832652,-131.356542314426,-111.77589216286397
0.63,-121.66288393780361,1.3715119964221836,-133.03014574858753,-110.14768482532989
0.64,-120.73756978574171,1.3587114825828213,-132.3000522268272,-109.40434192126149
0.65,-122.28797930762383,1.6382455302598882,-136.603345072042,-111.50244465177126
0.66,-122.89780603251869,1.619283509594211,-136.60655350340048,-111.7641747088164
0.67,-122.02127599965769,1.471577807179837,-136.73070851856872,-111.46679706805521
0.68,-122.10417511219389,1.44202792226285,-133.36237212318642,-113.38583509501863
0.6900000000000001,-123.73812671425577,1.4290220063440677,-135.58769506268658,-112.8641352709661
0.7000000000000001,-123.26743260024588,1.262758612703588,-133.11731351154134,-113.49112157650308
0.71,-123.47428152179066,1.6053114984059171,-139.09852139256236,-112.7608384188593
0.72,-124.59479557222953,1.2989461188950049,-137.52990660157423,-115.25584684128953
0.73,-126.23469681374627,1.4980931198510747,-137.57515814514673,-114.75440472519861
0.74,-126.46980997270204,1.5871805156413854,-140.0935506564492,-113.53298616702723
0.75,-126.17437775952266,1.3788293640141398,-138.56717033415046,-116.02428213893128
0.76,-127.79608283341382,1.4789851073887164,-137.92503257622974,-115.83469164267468
0.77,-128.6316570134044,1.63845240891966,-140.91164772566518,-115.5529745972879
0.78,-129.27999968233246,1.4514015303137717,-141.21325015511889,-115.53943520648612
0.79,-130.9054984820191,1.7454905303497437,-145.78557509130806,-117.80444525309485
0.8,-130.92158679249698,1.7696243209255471,-146.69532795712738,-117.69327060748883
0.81,-133.12787596695986,1.8902958120781028,-150.69621907758733,-120.07696478245403
0.8200000000000001,-134.29682641236212,1.8983479228580256,-150.4614871458953,-121.41256733631255
0.8300000000000001,-134.41248902741518,1.7362859757582911,-147.1228560952189,-122.0760884389465
0.84,-135.39049996260627,1.9381214766467016,-152.67222796037257,-120.03115756876778
0.85,-137.23029390884312,2.0254006121428,-157.00573924773252,-123.05863401827648
0.86,-139.82166356787297,2.215223967152668,-161.45431249452616,-124.80114890412818
0.87,-142.84351816281736,2.6743958000813843,-169.5318022980922,-126.35441954198065
0.88,-145.752331619134,2.8010880067897284,-169.67995724865548,-126.31703017366257
0.89,-151.57987111047717,4.0319868171718145,-196.9956981941304,-128.0833135708239
0.9,-153.45217726568566,7.553615001492649,-183.99790054450352,-129.40615379687398
0.905,-153.8851760962727,6.270975422938508,-186.73615487402586,-132.30511714625138
0.91,-163.79367253733903,9.924568424653238,-201.3387888568524,-130.59657456196553
0.915,-159.52340150773728,5.779614609377745,-193.1873621139631,-133.7405980136779
0.92,-174.57743406829667,12.5538691047542,-246.47002113175733,-132.39691492551452
0.925,-170.59993973100012,8.495100212834906,-232.90381362790652,-129.1474803113884
0.93,-188.1511815565916,14.687944979586572,-374.08248135576173,-135.69099587822194
0.935,-190.31595362603744,14.004054367001979,-307.3682977896041,-139.27684689390378
0.9400000000000001,-187.6692656383646,13.248767557341234,-313.8764238815299,-139.32022454381956
0.9450000000000001,-201.83641716557943,15.303731504537627,-339.75543309567433,-141.4393105229715
0.95,-199.73031704146103,14.992354220043351,-346.9877365916956,-141.27425868536417
0.9550000000000001,-222.0549939052897,17.663424253016498,-492.12071824146796,-143.99295768347807
0.96,-243.32642091901903,18.594854593317855,-427.99211188203844,-138.37785679075776
0.965,-258.25082506879016,22.099340419923116,-499.91170482340993,-146.2664595537999
0.97,-245.76990812667628,21.443288405696173,-500.0,-146.5617284441201
0.975,-275.7858266024247,23.088422073196664,-500.0,-151.40124664055796
0.98,-282.60429184981757,21.60444214255554,-500.0,-148.49313518834316
0.985,-284.6666051818531,21.362612563645623,-500.0,-159.44651422172242
0.99,-300.9221904094845,23.283839736455437,-500.0,-159.1362277496342
0.995,-329.5898625677004,25.477697735988837,-500.0,-170.80056259348157
1.0,-317.34840769857493,22.826639283930426,-500.0,-169.78380360419249
