lambda,early_learning_value_mean,early_learning_value_ci95,early_learning_p5,early_learning_p95
0.0,279.6711797340329,13.37990927129949,163.14279540802227,354.17405665375196
0.01,254.21784524385185,17.96094099733033,54.88275711064349,352.98006496071804
0.02,260.23953624135,16.911218668154124,76.98863671880524,356.685221371016
0.03,269.3467069753988,17.474555953570736,82.96009813855191,359.71620664503104
0.04,270.26265739594083,16.65170524690819,79.02924369754248,357.8618401575207
0.05,269.39396228700133,18.326062886216494,80.20448682237688,362.86821933698724
0.06,263.448080803974,19.451984129275466,33.594715746241945,368.1169348343972
0.07,257.15634674687743,20.616198666561196,27.97513276025687,359.0608039221716
0.08,267.6491142230101,18.472725011309997,57.006665757627395,364.83020326094714
0.09,267.91294863118213,17.320962775326624,65.95946067502607,363.19196187699106
0.1,280.66065577996517,17.212503629534005,46.82041803203144,366.99581959217124
0.11,278.9189031350254,16.570447572764156,85.54855598853766,374.9482214969432
0.12,284.4467800129247,16.649753108486337,90.78638115158506,369.8002679826498
0.13,268.7024479715624,17.70937780338645,85.62634588819878,367.9368730526651
0.14,271.8763538954803,16.112440587157714,114.87017624590462,368.14894789842316
0.15,280.15691888173257,14.65449734794279,120.53257573305386,369.4933960619209
0.16,289.05956362321416,12.765098666801386,142.57588739103926,371.1121687698869
0.17,292.0493691603488,13.273654380722036,137.7350123252417,369.08806669387025
0.18,301.37344861816405,12.600054504315032,168.8252024517296,372.0657026004217
0.19,305.1597051942135,12.276306476718142,162.01709948390726,375.150884302268
0.2,296.6671184710036,13.74018988503435,134.89960903177794,367.3425726409262
0.21,290.92738652869065,13.778339563427853,126.84343065199862,368.0253466512212
0.22,289.55387899868765,14.90636589731742,116.88268595661492,378.39748879546397
0.23,290.81217777080076,14.690291631733643,109.66880431758408,375.4387960780904
0.24,286.22752711380076,13.791632792851328,133.98552936645254,367.97783635620084
0.25,294.79912944612335,13.332905697421449,134.59772454204392,371.2223036451224
0.26,297.4871448975914,13.283678279424214,147.3193013973017,371.6755071515276
0.27,303.15914519599824,13.376875589754803,127.87295174124681,375.47858315766445
0.28,313.19200136233076,11.738311743477528,169.722186445694,375.24006834663555
0.29,308.91431805969785,12.296742974337002,155.62847861990332,377.8990755986397
0.3,295.4247338959143,13.850095313481159,117.45671166029514,366.4818261641864
0.31,301.7920199356038,15.124480602244434,121.11083873071547,380.92090604228844
0.32,289.0837165954443,14.881951348366279,133.9365920378146,365.660635321808
0.33,302.514714451034,15.086454779749982,115.62103149397257,374.82821185692444
0.34,299.4222540340707,15.179125460357495,114.65492774281682,380.57551355150474
0.35000000000000003,304.5855320818612,13.576233371660535,137.83679249146078,381.3199739103959
0.36,296.40875975557,15.109578814006165,112.81140916490781,376.756399513292
0.37,292.57250340096,14.880794576576996,111.48461297578757,366.8176904359136
0.38,286.2999590955358,15.640482797628012,117.8373507316409,360.8316248638064
0.39,292.71592616271255,15.162686311617703,126.67362578725044,361.22805005665515
0.4,303.96421931487265,13.368999389569444,134.37441516525027,373.7202757523879
0.41000000000000003,291.0929973733856,15.537467740168879,115.92066706930501,375.13761847573636
0.42,302.11923197837774,13.922332093950963,118.40338610115379,368.0787405580088
0.43,294.7743564647714,14.764288666051833,118.62046075111695,367.77416054885
0.44,295.66496606879235,15.921131677760282,118.94202417593631,372.0603827212772
0.45,295.2229970471889,15.2025550339101,119.53405001580805,365.7341636688644
0.46,296.5980905279412,13.829378848783902,123.35684501964656,364.9194254393912
0.47000000000000003,292.3323850903414,15.085634601322964,122.8819748279617,368.090752182032
0.48,292.2280631832144,14.16264038540551,127.05039136070748,359.63807447671036
0.49,298.10045315406865,13.751489946002911,125.02476463208744,373.8744608911297
0.5,294.4141835597499,12.88289944791239,126.73695171203074,364.754951510444
