losses/old_approx_kl,losses/explained_variance,losses/value_loss,losses/policy_loss,_timestamp,charts/SPS,losses/clipfrac,losses/entropy,charts/episodic_length,_runtime,global_step,charts/episodic_return,charts/learning_rate,_step,losses/approx_kl
,,,,1763260043.2600615,,,,,1.1863954067230225,0,,,0,
,,,,1763260044.4592104,,,,25.0,2.3855443000793457,152,25.0,,7,
,,,,1763260045.018025,,,,30.0,2.9443588256835938,694,30.0,,33,
,,,,1763260045.154488,,,,17.0,3.080821990966797,827,17.0,,41,
,,,,1763260045.2692094,,,,21.0,3.1955432891845703,909,21.0,,47,
,,,,1763260045.5473604,,,,23.0,3.473694324493408,1189,23.0,,64,
,,,,1763260045.7239258,,,,16.0,3.6502597332000732,1335,16.0,,74,
,,,,1763260045.742125,,,,9.0,3.668458938598633,1369,9.0,,77,
,,,,1763260045.881106,,,,11.0,3.8074398040771484,1492,11.0,,88,
,,,,1763260046.0317583,,,,10.0,3.958092212677002,1639,10.0,,102,
,,,,1763260046.4614263,,,,16.0,4.387760162353516,1978,16.0,,133,
,,,,1763260046.6121993,,,,8.0,4.5385332107543945,2121,8.0,,147,
,,,,1763260046.6270669,,,,9.0,4.553400754928589,2152,9.0,,149,
,,,,1763260046.632728,,,,11.0,4.5590620040893555,2163,11.0,,150,
,,,,1763260046.7668316,,,,15.0,4.69316554069519,2210,15.0,,155,
,,,,1763260046.7898903,,,,10.0,4.716224193572998,2235,10.0,,157,
,,,,1763260047.217121,,,,16.0,5.1434547901153564,2607,16.0,,195,
,,,,1763260047.2601616,,,,9.0,5.186495542526245,2685,9.0,,203,
,,,,1763260047.3863409,,,,10.0,5.3126747608184814,2778,10.0,,213,
0.04451862722635269,0.6009141206741333,0.6263427734375,-0.008407644927501678,1763260047.476573,889.0,0.021484375,0.3717370629310608,,5.402906894683838,2816,,0.00029838710906915367,217,0.0011108946055173874
,,,,1763260047.5347486,,,,10.0,5.461082458496094,2912,10.0,,228,
,,,,1763260047.6316633,,,,18.0,5.557997226715088,2959,18.0,,233,
,,,,1763260047.860033,,,,13.0,5.786366939544678,3163,13.0,,251,
,,,,1763260047.9891489,,,,15.0,5.915482759475708,3251,15.0,,259,
0.026144888252019882,0.6208251714706421,0.775760293006897,-0.00491897389292717,1763260048.098913,878.0,0.125,0.6337903141975403,,6.025246858596802,3328,,0.0002980798890348524,265,0.01278490386903286
,,,,1763260048.1589296,,,,21.0,6.08526349067688,3445,21.0,,273,
0.0017648376524448395,0.6430954337120056,0.4900023937225342,-0.07293020188808441,1763260048.2339427,880.0,0.0,0.6353172659873962,,6.160276651382446,3456,,0.00029800308402627707,274,0.00798584520816803
,,,,1763260048.555507,,,,22.0,6.4818408489227295,3787,22.0,,292,
,,,,1763260049.5981007,,,,45.0,7.524434566497803,4852,45.0,,327,
,,,,1763260049.7020657,,,,19.0,7.628399610519409,4924,19.0,,330,
0.007011894136667252,-0.02083563804626465,0.3232746124267578,-0.02012404426932335,1763260049.800454,909.0,0.0,0.4528546929359436,,7.726787805557251,4992,,0.0002970814239233732,332,0.0013885479420423508
,,,,1763260049.9765003,,,,42.0,7.902834177017212,5188,42.0,,340,
0.006775340996682644,0.06654316186904907,0.3121963441371918,-0.020373154431581497,1763260051.0171418,916.0,0.0,0.46634015440940857,,8.943475723266602,6144,,0.00029639017884619534,370,0.0011602072045207024
,,,,1763260051.895302,,,,54.0,9.821635961532593,7050,54.0,,396,
,,,,1763260053.143053,,,,105.0,11.069386959075928,8325,105.0,,425,
,,,,1763260054.3110516,,,,132.0,12.237385511398315,9151,132.0,,441,
,,,,1763260054.8857965,,,,92.0,12.812130451202393,9719,92.0,,450,
,,,,1763260056.1117282,,,,81.0,14.03806209564209,10829,81.0,,471,
,,,,1763260056.5772722,,,,67.0,14.503606081008911,11245,67.0,,481,
,,,,1763260056.9861858,,,,81.0,14.912519693374634,11614,81.0,,490,
,,,,1763260057.6611946,,,,86.0,15.587528467178345,12245,86.0,,504,
,,,,1763260058.139222,,,,98.0,16.065555810928345,12717,98.0,,515,
,,,,1763260058.847916,,,,34.0,16.774249792099,13315,34.0,,530,
,,,,1763260059.1305778,,,,66.0,17.05691170692444,13656,66.0,,539,
-0.0014973040670156479,0.7079340219497681,8.479594230651855,0.0006615128368139267,1763260059.7789552,918.0,0.0,0.3240433931350708,,17.705289125442505,14208,,0.00029155146330595016,555,5.6274235248565674e-05
0.0017022667452692986,0.625329852104187,0.12217865139245987,-0.008699242025613785,1763260059.906148,919.0,0.0,0.30651745200157166,,17.832481861114502,14336,,0.00029147465829737484,559,0.0009414097294211388
,,,,1763260060.175787,,,,36.0,18.102120876312256,14642,36.0,,568,
,,,,1763260061.105737,,,,62.0,19.032070875167847,15511,62.0,,595,
0.002138863317668438,0.9340733885765076,0.40865692496299744,-0.0031601041555404663,1763260061.7153797,926.0,0.0,0.31983351707458496,,19.641713619232178,16128,,0.00029039938817732036,614,7.943902164697647e-05
,,,,1763260062.213072,,,,28.0,20.139405965805054,16635,28.0,,630,
0.024159474298357964,0.9827149510383606,1.4802736043930054,-0.003634214401245117,1763260062.4145315,926.0,0.001953125,0.36041688919067383,,20.34086537361145,16768,,0.00029001536313444376,636,0.0011007077991962433
0.005889209918677807,0.9294043183326721,0.17002186179161072,-0.008682496845722198,1763260062.5379152,926.0,0.0,0.349668949842453,,20.46424913406372,16896,,0.00028993855812586844,640,0.0005417196080088615
,,,,1763260063.2628374,,,,21.0,21.189171314239502,17581,21.0,,664,
-0.005718081258237362,0.9793217182159424,2.840266227722168,-0.0030895331874489784,1763260063.86538,929.0,0.0,0.37889862060546875,,21.79171395301819,18176,,0.00028917050804011524,684,0.0005747722461819649
,,,,1763260064.0785658,,,,39.0,22.004899740219116,18341,39.0,,689,
,,,,1763260064.32646,,,,38.0,22.252793788909912,18590,38.0,,698,
