losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/value_loss,losses/policy_loss,_timestamp,losses/entropy,_runtime,charts/episodic_return,losses/approx_kl,charts/learning_rate,_step,global_step,charts/SPS,charts/episodic_length
,,,,,1763260043.3722777,,1.2280957698822021,,,,0,0,,
0.7452042698860168,0.0017082951962947845,0.0,0.5022463798522949,-0.019246798008680344,1763260044.5110369,0.6922369599342346,2.3668549060821533,29.0,0.0010163560509681702,0.0003000000142492354,7,128,976.0,29.0
,,,,,1763260045.0383406,,2.8941586017608643,15.0,,,33,691,,15.0
,,,,,1763260045.1691234,,3.0249414443969727,20.0,,,41,834,,20.0
,,,,,1763260045.294827,,3.1506450176239014,10.0,,,47,967,,10.0
,,,,,1763260045.540109,,3.3959269523620605,10.0,,,64,1191,,10.0
,,,,,1763260045.6635964,,3.5194144248962402,10.0,,,74,1304,,10.0
,,,,,1763260045.6853468,,3.5411648750305176,13.0,,,77,1356,,13.0
,,,,,1763260045.8685474,,3.724365472793579,14.0,,,88,1525,,14.0
,,,,,1763260046.0814404,,3.93725848197937,10.0,,,102,1670,,10.0
,,,,,1763260046.1012273,,3.957045316696167,32.0,,,104,1717,,32.0
,,,,,1763260046.4151378,,4.270955801010132,10.0,,,133,2046,,10.0
,,,,,1763260046.6496387,,4.5054566860198975,17.0,,,147,2183,,17.0
,,,,,1763260046.6610572,,4.516875267028809,10.0,,,149,2203,,10.0
,,,,,1763260046.6671183,,4.5229363441467285,10.0,,,150,2213,,10.0
,,,,,1763260046.6952693,,4.551087379455566,14.0,,,155,2271,,14.0
,,,,,1763260046.7054095,,4.561227560043335,11.0,,,157,2291,,11.0
,,,,,1763260047.160315,,5.016133069992065,10.0,,,195,2666,,10.0
,,,,,1763260047.270715,,5.126533031463623,12.0,,,203,2743,,12.0
,,,,,1763260047.3930798,,5.2488977909088135,15.0,,,213,2852,,15.0
,,,,,1763260047.4142835,,5.270101547241211,10.0,,,217,2894,,10.0
,,,,,1763260047.5556521,,5.411470174789429,17.0,,,228,3042,,17.0
,,,,,1763260047.6482713,,5.50408935546875,10.0,,,233,3089,,10.0
,,,,,1763260047.8243372,,5.680155277252197,18.0,,,251,3312,,18.0
,,,,,1763260047.9621022,,5.817920207977295,11.0,,,259,3423,,11.0
,,,,,1763260048.1240246,,5.979842662811279,19.0,,,265,3516,,19.0
,,,,,1763260048.2526217,,6.108439683914185,16.0,,,273,3651,,16.0
,,,,,1763260048.267664,,6.12348198890686,43.0,,,274,3694,,43.0
-0.08889269828796387,-0.007744383066892624,0.0,0.3477553129196167,-0.008839989081025124,1763260048.930536,0.6234124898910522,6.786354064941406,,0.00021309778094291687,0.0002974654489662498,292,4352,956.0,
,,,,,1763260049.9262016,,7.78201961517334,31.0,,,327,5420,,31.0
-0.03525233268737793,0.0031338175758719444,0.0,0.2854822278022766,0.0011017173528671265,1763260050.0299413,0.5449849963188171,7.885759353637695,,0.0010253312066197395,0.00029677420388907194,330,5504,974.0,
,,,,,1763260050.0526059,,7.908423900604248,40.0,,,332,5556,,40.0
,,,,,1763260050.1646051,,8.020423173904419,37.0,,,337,5661,,37.0
,,,,,1763260050.2262993,,8.082117319107056,17.0,,,340,5745,,17.0
,,,,,1763260051.1004548,,8.956272840499878,59.0,,,370,6584,,59.0
,,,,,1763260052.1839998,,10.039817810058594,109.0,,,396,7774,,109.0
0.9956405162811279,0.006591258570551872,0.013671875,0.8527239561080933,0.003754500299692154,1763260054.3698616,0.23549209535121918,12.225679636001587,,0.00041230395436286926,0.0002942396386060864,425,9728,973.0,
0.9907326102256775,0.004258963279426098,0.060546875,0.12017086148262024,-0.03350830078125,1763260055.4084456,0.34455785155296326,13.26426362991333,,0.009312923066318035,0.0002936251985374838,441,10752,974.0,
,,,,,1763260056.0766256,,13.932443618774414,170.0,,,450,11413,,170.0
,,,,,1763260057.4653137,,15.321131706237793,141.0,,,471,12846,,141.0
,,,,,1763260058.1741562,,16.029974222183228,156.0,,,481,13576,,156.0
0.9952837228775024,-0.012966765090823174,0.01953125,0.309766948223114,0.009128231555223465,1763260058.7416215,0.2632100582122803,16.597439527511597,118.0,0.00373225100338459,0.00029155146330595016,490,14208,989.0,118.0
,,,,,1763260059.4920528,,17.34787082672119,68.0,,,504,15046,,68.0
0.7195172309875488,-0.009246143512427807,0.0,0.1693805754184723,0.0035623526200652122,1763260060.142556,0.28353822231292725,17.998373985290527,,0.0007060403004288673,0.00029070660821162164,515,15616,990.0,
0.32343435287475586,-0.011964219622313976,0.0,0.0908326655626297,0.004220813512802124,1763260060.8302076,0.3173273205757141,18.686025619506836,,0.0015115151181817055,0.0002902457781601697,530,16384,995.0,
,,,,,1763260061.2440276,,19.09984564781189,59.0,,,539,16796,,59.0
,,,,,1763260062.0468569,,19.902674913406372,143.0,,,555,17715,,143.0
,,,,,1763260062.3069918,,20.1628098487854,117.0,,,559,17944,,117.0
,,,,,1763260062.7686276,,20.62444567680359,109.0,,,568,18483,,109.0
,,,,,1763260063.8550231,,21.710841178894043,72.0,,,595,19607,,72.0
,,,,,1763260064.6236699,,22.479487895965576,37.0,,,614,20383,,37.0
,,,,,1763260065.2296195,,23.085437536239624,58.0,,,630,21091,,58.0
,,,,,1763260065.5238113,,23.379629373550415,53.0,,,636,21336,,53.0
0.7781676054000854,0.002461334690451622,0.0,20.72248077392578,-0.0010543204843997955,1763260065.7179425,0.266806423664093,23.573760509490967,,4.253163933753967e-05,0.0002871735778171569,640,21504,1007.0,
,,,,,1763260066.51214,,24.367958068847656,42.0,,,664,22336,,42.0
,,,,,1763260067.1913917,,25.04720973968506,58.0,,,684,23052,,58.0
,,,,,1763260067.3360834,,25.191901445388794,60.0,,,689,23245,,60.0
,,,,,1763260067.7213304,,25.5771484375,58.0,,,698,23556,,58.0
,,,,,1763260067.9725962,,25.82841420173645,39.0,,,707,23842,,39.0
0.9832879900932312,-0.015972651541233063,0.00390625,3.0654995441436768,-0.004340425133705139,1763260068.7271607,0.32151126861572266,26.58297872543335,,0.002542528323829174,0.0002853302576113492,729,24576,1009.0,
,,,,,1763260070.2219858,,28.07780385017395,89.0,,,767,26237,,89.0
,,,,,1763260070.718386,,28.574203968048096,123.0,,,775,26733,,123.0
0.9902244806289673,-0.004587368108332157,0.04296875,0.29783955216407776,-0.00910291075706482,1763260071.470588,0.37724292278289795,29.326406002044678,,0.004136981442570686,0.00028356374241411686,788,27520,1015.0,
,,,,,1763260071.9703977,,29.826215744018555,147.0,,,797,28040,,147.0
,,,,,1763260072.5539682,,30.409786224365234,148.0,,,806,28725,,148.0
0.009053647518157959,0.01682053692638874,0.11328125,59.221622467041016,0.007353778928518295,1763260076.3627086,0.3725559115409851,34.21852660179138,,0.024095911532640457,0.0002803379320539534,863,32896,1028.0,
0.021251678466796875,0.00406270194798708,0.05078125,57.125267028808594,0.001530710607767105,1763260076.7098575,0.4426407814025879,34.565675497055054,,0.009193499572575092,0.00028010751702822745,872,33280,1029.0,
,,,,,1763260076.8593485,,34.7151665687561,35.0,,,876,33505,,35.0
,,,,,1763260078.0123794,,35.868197441101074,26.0,,,922,34585,,26.0
,,,,,1763260078.2095425,,36.06536054611206,23.0,,,930,34745,,23.0
,,,,,1763260078.346973,,36.20279097557068,17.0,,,938,34910,,17.0
,,,,,1763260078.4356756,,36.2914936542511,25.0,,,941,34956,,25.0
,,,,,1763260078.4417667,,36.297584772109985,12.0,,,942,34968,,12.0
,,,,,1763260078.5687168,,36.42453479766846,30.0,,,948,35102,,30.0
-0.0058116912841796875,-0.023024151101708412,0.0,57.026432037353516,-0.006290039047598839,1763260079.0485744,0.45156508684158325,36.90439248085022,,0.0030663814395666122,0.0002787250268738717,974,35584,1026.0,
-0.0028526782989501953,0.004667793400585651,0.0,55.761837005615234,-0.0010396577417850494,1763260079.206444,0.42282235622406006,37.06226205825806,,0.0009809872135519981,0.00027864822186529636,980,35712,1025.0,
,,,,,1763260079.3824332,,37.23825120925903,21.0,,,985,35925,,21.0
-0.004884004592895508,-1.5834346413612366e-05,0.0,54.61817932128906,1.7737969756126404e-05,1763260079.9620318,0.47232815623283386,37.81784987449646,,2.90796160697937e-05,0.00027818739181384444,1015,36480,1025.0,
,,,,,1763260080.21942,,38.07523798942566,19.0,,,1031,36751,,19.0
,,,,,1763260080.6516066,,38.5074245929718,30.0,,,1050,37134,,30.0
,,,,,1763260080.6759157,,38.531733751297,18.0,,,1053,37187,,18.0
,,,,,1763260080.7789054,,38.6347234249115,17.0,,,1058,37268,,17.0
,,,,,1763260081.1862102,,39.042028188705444,19.0,,,1083,37730,,19.0
,,,,,1763260081.3106873,,39.166505336761475,15.0,,,1091,37848,,15.0
,,,,,1763260081.7284443,,39.58426237106323,13.0,,,1106,38208,,13.0
,,,,,1763260082.0634549,,39.919272899627686,19.0,,,1118,38542,,19.0
,,,,,1763260082.6384428,,40.49426078796387,81.0,,,1133,39138,,81.0
0.029761970043182373,0.006931085139513016,0.00390625,49.92041778564453,-0.022433560341596603,1763260083.084889,0.517381489276886,40.940706968307495,,0.002191692590713501,0.00027634407160803676,1145,39552,1021.0,
,,,,,1763260083.7643633,,41.62018132209778,16.0,,,1164,40264,,16.0
,,,,,1763260084.1001575,,41.95597553253174,107.0,,,1172,40612,,107.0
,,,,,1763260084.4711068,,42.3269248008728,15.0,,,1181,41066,,15.0
0.5415938496589661,0.08843539655208588,0.109375,0.032677169889211655,-0.04955025389790535,1763260084.8862011,0.5277702212333679,42.742019176483154,,0.026697570458054543,0.00027526883059181273,1186,41344,1020.0,
0.3990080952644348,0.06159668415784836,0.14453125,35.931087493896484,0.008428333327174187,1763260085.3493984,0.4041018784046173,43.20521640777588,,0.02814304083585739,0.00027496161055751145,1197,41856,1021.0,
,,,,,1763260086.2162952,,44.072113275527954,113.0,,,1213,42833,,113.0
0.31877392530441284,-0.008707202039659023,0.0,0.06206347048282623,-0.002670351415872574,1763260086.3027442,0.5288237929344177,44.15856218338013,,0.0007919399067759514,0.0002743471704889089,1215,42880,1022.0,
,,,,,1763260086.9350228,,44.79084086418152,122.0,,,1226,43561,,122.0
,,,,,1763260087.1487005,,45.00451850891113,112.0,,,1230,43780,,112.0
,,,,,1763260087.3031864,,45.15900444984436,17.0,,,1234,44004,,17.0
,,,,,1763260087.7787266,,45.63454461097717,22.0,,,1245,44543,,22.0
,,,,,1763260088.743464,,46.599282026290894,104.0,,,1271,45504,,104.0
