losses/entropy,_runtime,losses/approx_kl,_timestamp,losses/value_loss,losses/old_approx_kl,charts/episodic_length,charts/learning_rate,losses/explained_variance,losses/policy_loss,_step,charts/SPS,global_step,losses/clipfrac,charts/episodic_return
,2.1225574016571045,,1763260044.2519953,,,,,,,0,,0,,
,3.2755286693573,,1763260045.4049666,,,26.0,,,,7,,158,,26.0
0.6918173432350159,3.7679553031921387,0.0005680713802576065,1763260045.8973932,0.48813074827194214,0.0016319043934345245,,0.0002996927942149341,0.33852052688598633,-0.01140207052230835,33,1017.0,640,0.0,
,3.9040584564208984,,1763260046.0334964,,,25.0,,,,41,,797,,25.0
0.6886429786682129,4.014952182769775,0.0003614742308855057,1763260046.14439,0.4285896122455597,-0.0010529924184083939,,0.00029953918419778347,0.23481208086013794,-0.0072320327162742615,47,1022.0,896,0.0,
,4.309494256973267,,1763260046.4389322,,,12.0,,,,64,,1264,,12.0
,4.547484397888184,,1763260046.6769223,,,17.0,,,,74,,1419,,17.0
,4.565296411514282,,1763260046.6947343,,,12.0,,,,77,,1452,,12.0
,4.709110260009766,,1763260046.8385482,,,10.0,,,,88,,1610,,10.0
0.43810591101646423,4.93086051940918,0.009145299904048443,1763260047.0602984,0.5557633638381958,0.03283818066120148,,0.00029900154913775623,-0.10332214832305908,-0.04958699643611908,102,1000.0,1792,0.03515625,
,5.243468761444092,,1763260047.3729067,,,9.0,,,,133,,2108,,9.0
,5.385476112365723,,1763260047.514914,,,9.0,,,,147,,2250,,9.0
,5.395134925842285,,1763260047.5245728,,,10.0,,,,149,,2270,,10.0
,5.400957107543945,,1763260047.530395,,,10.0,,,,150,,2280,,10.0
,5.491774559020996,,1763260047.6212125,,,10.0,,,,155,,2320,,10.0
,5.504686594009399,,1763260047.6341245,,,10.0,,,,157,,2348,,10.0
0.6250842809677124,6.061953544616699,0.0007737893611192703,1763260048.1913915,0.6158140301704407,0.0029502976685762405,,0.00029838710906915367,0.38636064529418945,-0.0014561363495886326,195,963.0,2816,0.0,
,6.11095666885376,,1763260048.2403946,,,11.0,,,,203,,2916,,11.0
,6.247517108917236,,1763260048.376955,,,21.0,,,,213,,3058,,21.0
,6.365190744400024,,1763260048.4946287,,,81.0,,,,217,,3186,,81.0
