charts/learning_rate,global_step,losses/old_approx_kl,charts/SPS,charts/episodic_return,_step,_runtime,losses/policy_loss,losses/explained_variance,_timestamp,losses/entropy,losses/approx_kl,losses/clipfrac,losses/value_loss,charts/episodic_length
,125,,,16.0,7,2.3290553092956543,,,1763260044.4400892,,,,,16.0
,542,,,20.0,33,2.8168137073516846,,,1763260044.9278476,,,,,20.0
,3155,,,17.0,133,5.376155376434326,,,1763260047.4871893,,,,,17.0
,3445,,,25.0,149,5.640488386154175,,,1763260047.7515223,,,,,25.0
0.00029800308402627707,3456,0.02642262913286686,1004.0,,150,5.7136030197143555,-0.015928171575069427,0.040507614612579346,1763260047.824637,0.5155247449874878,0.004350991919636726,0.009765625,1.5146121978759766,
,4590,,,15.0,228,6.882650136947632,,,1763260048.993684,,,,,15.0
,4659,,,17.0,233,6.987610101699829,,,1763260049.098644,,,,,17.0
,4957,,,22.0,251,7.26097559928894,,,1763260049.3720095,,,,,22.0
,5305,,,18.0,273,7.633262634277344,,,1763260049.7442966,,,,,18.0
,5323,,,18.0,274,7.640933513641357,,,1763260049.7519674,,,,,18.0
,6705,,,24.0,340,9.118642091751099,,,1763260051.229676,,,,,24.0
,7715,,,88.0,370,10.087659358978271,,,1763260052.1986933,,,,,88.0
0.0002947004686575383,8960,-0.0007287478074431419,994.0,,396,11.279564380645752,0.002211000770330429,0.8646445870399475,1763260053.3905983,0.38600727915763855,4.94467094540596e-05,0.0,0.1915937066078186,
,12142,,,38.0,471,14.863974571228027,,,1763260056.9750085,,,,,38.0
,12673,,,30.0,490,15.429196834564209,,,1763260057.5402308,,,,,30.0
0.00029224270838312805,13056,-0.0007674321532249451,960.0,,504,15.868280172348022,-0.0022801607847213745,-0.006829023361206055,1763260057.979314,0.3808209300041199,0.0006584599614143372,0.001953125,0.4029809534549713,
,13732,,,26.0,530,16.49937891960144,,,1763260058.6104128,,,,,26.0
0.00029147465829737484,14336,0.0011027976870536804,958.0,,555,17.230144262313843,0.0009604915976524353,-0.004221677780151367,1763260059.3411782,0.4633096754550934,0.00019656307995319366,0.0,9.846232414245605,
,14435,,,34.0,559,17.273358821868896,,,1763260059.3843927,,,,,34.0
,15240,,,28.0,595,18.186528205871582,,,1763260060.2975621,,,,,28.0
0.0002902457781601697,16384,0.007341882213950157,958.0,,640,19.36885905265808,-0.0063858479261398315,-0.0029178857803344727,1763260061.479893,0.5038029551506042,0.0005078408867120743,0.0,0.33720722794532776,
,17723,,,41.0,689,20.690809726715088,,,1763260062.8018436,,,,,41.0
,18131,,,26.0,707,21.151546239852905,,,1763260063.2625802,,,,,26.0
0.0002883256529457867,19584,-0.006516654975712299,960.0,,767,22.671904802322388,-0.008482564240694046,-0.0015953779220581055,1763260064.7829387,0.5618554353713989,0.0007361872121691704,0.0,0.35521170496940613,
,19796,,,23.0,775,22.83313775062561,,,1763260064.9441717,,,,,23.0
