charts/episodic_length,global_step,losses/clipfrac,_step,losses/approx_kl,losses/policy_loss,charts/episodic_return,charts/SPS,charts/learning_rate,losses/entropy,_timestamp,losses/explained_variance,losses/old_approx_kl,losses/value_loss,_runtime
,0,,0,,,,,,,1763260043.7586775,,,,1.6882505416870117
16.0,119,,7,,,16.0,,,,1763260044.8399088,,,,2.769481897354126
15.0,532,,33,,,15.0,,,,1763260045.3194494,,,,3.2490224838256836
13.0,670,,41,,,13.0,,,,1763260045.4480574,,,,3.3776304721832275
9.0,756,,47,,,9.0,,,,1763260045.4864426,,,,3.416015625
,1024,0.0,64,0.00044679827988147736,0.003687657415866852,,990.0,0.00029946237918920815,0.6914414167404175,1763260045.8171365,0.33623677492141724,-0.0002641882747411728,0.3865887224674225,3.7467095851898193
30.0,1220,,74,,,30.0,,,,1763260045.973959,,,,3.903532028198242
13.0,1268,,77,,,13.0,,,,1763260045.9958222,,,,3.9253952503204346
16.0,1508,,88,,,16.0,,,,1763260046.2704933,,,,4.200066328048706
15.0,2545,,133,,,15.0,,,,1763260047.2943044,,,,5.223877429962158
19.0,2871,,147,,,19.0,,,,1763260047.665673,,,,5.595246076583862
16.0,2927,,149,,,16.0,,,,1763260047.687105,,,,5.61667799949646
,2944,0.0,150,0.0024807360023260117,-0.015174631029367447,,987.0,0.00029831030406057835,0.5807524919509888,1763260047.763639,0.030984878540039062,0.019048605114221573,1.0517463684082031,5.693212032318115
30.0,3059,,155,,,30.0,,,,1763260047.8118117,,,,5.741384744644165
27.0,3086,,157,,,27.0,,,,1763260047.8949184,,,,5.824491500854492
17.0,3697,,195,,,17.0,,,,1763260048.480706,,,,6.410279035568237
18.0,3810,,203,,,18.0,,,,1763260048.6024299,,,,6.532002925872803
19.0,3958,,213,,,19.0,,,,1763260048.737837,,,,6.667410135269165
22.0,4010,,217,,,22.0,,,,1763260048.8378153,,,,6.767388343811035
12.0,4162,,228,,,12.0,,,,1763260048.9790115,,,,6.9085845947265625
,4224,0.0,233,0.0004253629595041275,-0.009265165776014328,,983.0,0.00029754225397482514,0.574892520904541,1763260049.0768669,0.2818784713745117,0.0073012858629226685,2.076009511947632,7.006439924240112
15.0,4464,,251,,,15.0,,,,1763260049.2594166,,,,7.188989639282227
22.0,4598,,259,,,22.0,,,,1763260049.4326668,,,,7.362239837646484
14.0,4809,,273,,,14.0,,,,1763260049.6686308,,,,7.598203897476196
18.0,4827,,274,,,18.0,,,,1763260049.6769946,,,,7.606567621231079
26.0,5160,,292,,,26.0,,,,1763260050.0311046,,,,7.960677623748779
