losses/policy_loss,charts/learning_rate,losses/approx_kl,losses/entropy,losses/value_loss,losses/old_approx_kl,losses/clipfrac,_step,_timestamp,charts/SPS,charts/episodic_length,_runtime,global_step,charts/episodic_return,losses/explained_variance
,,,,,,,0,1763260012.309247,,,1.3671619892120361,0,,
-0.015261255204677582,0.0003000000142492354,0.0008310358971357346,0.69234299659729,0.5143696069717407,0.0018704850226640701,0.0,7,1763260013.9065351,881.0,,2.9644501209259033,128,,0.7429832220077515
,,,,,,,33,1763260014.403773,,12.0,3.4616880416870117,636,12.0,
-0.0326584130525589,0.0002996159892063588,0.0008778907358646393,0.6865115165710449,0.4278755187988281,0.001650812104344368,0.0,41,1763260014.613976,900.0,,3.6718909740448,768,,0.6491924524307251
-0.0165138840675354,0.00029953918419778347,0.0011882269755005836,0.6816729307174683,0.46687784790992737,-0.01544643472880125,0.0,47,1763260014.759917,897.0,,3.8178319931030273,896,,0.3379576802253723
,,,,,,,64,1763260015.0278347,,15.0,4.085749626159668,1167,15.0,
,,,,,,,74,1763260015.191106,,15.0,4.249021053314209,1348,15.0,
-0.03620245307683945,0.0002992319641634822,0.0032118335366249084,0.6148312091827393,0.551255464553833,0.0012576691806316376,0.0078125,77,1763260015.2823849,925.0,,4.340299844741821,1408,,-0.03981375694274902
-0.012045171111822128,0.00029915515915490687,0.004465040750801563,0.6170993447303772,0.5845438838005066,0.009340197779238224,0.001953125,88,1763260015.4176373,927.0,,4.475552320480347,1536,,-0.21679937839508057
,,,,,,,102,1763260015.5770018,,10.0,4.63491678237915,1717,10.0,
,,,,,,,104,1763260015.588452,,13.0,4.646367073059082,1740,13.0,
,,,,,,,133,1763260016.0093727,,12.0,5.0672876834869385,2076,12.0,
,,,,,,,147,1763260016.1582384,,13.0,5.216153383255005,2234,13.0,
,,,,,,,149,1763260016.168584,,10.0,5.226499080657959,2253,10.0,
,,,,,,,150,1763260016.1745179,,12.0,5.232432842254639,2265,12.0,
,,,,,,,155,1763260016.2670777,,13.0,5.324992656707764,2313,13.0,
,,,,,,,157,1763260016.2795358,,12.0,5.337450742721558,2336,12.0,
,,,,,,,195,1763260016.6881568,,10.0,5.746071815490723,2720,10.0,
,,,,,,,203,1763260016.731542,,10.0,5.789457082748413,2803,10.0,
,,,,,,,213,1763260016.9054668,,9.0,5.963381767272949,2896,9.0,
,,,,,,,217,1763260016.9279096,,12.0,5.9858245849609375,2942,12.0,
,,,,,,,228,1763260017.053515,,14.0,6.111429929733276,3047,14.0,
,,,,,,,233,1763260017.1444335,,13.0,6.202348470687866,3090,13.0,
,,,,,,,251,1763260017.3143191,,14.0,6.372234106063843,3279,14.0,
,,,,,,,259,1763260017.4285245,,15.0,6.48643946647644,3362,15.0,
,,,,,,,265,1763260017.4669883,,11.0,6.524903297424316,3441,11.0,
,,,,,,,273,1763260017.5848289,,16.0,6.642743825912476,3540,16.0,
,,,,,,,274,1763260017.5892951,,9.0,6.647210121154785,3549,9.0,
,,,,,,,292,1763260017.8575294,,19.0,6.915444374084473,3804,19.0,
,,,,,,,327,1763260018.6109421,,40.0,7.668857097625732,4486,40.0,
,,,,,,,330,1763260018.6547925,,44.0,7.71270751953125,4598,44.0,
,,,,,,,332,1763260018.742684,,48.0,7.800598859786987,4646,48.0,
-0.04045557603240013,0.00029715822893194854,0.006379222497344017,0.506380558013916,0.30582499504089355,-0.02314933016896248,0.0078125,337,1763260018.961783,935.0,,8.019697904586792,4864,,0.01607334613800049
-0.05273326113820076,0.0002970814239233732,0.009335440583527088,0.4976809620857239,0.2732864320278168,0.04178290441632271,0.01953125,340,1763260019.109637,933.0,,8.16755199432373,4992,,0.23033910989761353
,,,,,,,370,1763260020.2434864,,43.0,9.301401376724243,6153,43.0,
