losses/entropy,global_step,losses/clipfrac,losses/approx_kl,charts/episodic_length,charts/episodic_return,losses/policy_loss,_runtime,losses/value_loss,charts/learning_rate,losses/old_approx_kl,losses/explained_variance,_timestamp,_step,charts/SPS
,0,,,,,,1.5195930004119873,,,,,1763260043.700683,0,
,124,,,13.0,13.0,,2.519472122192383,,,,,1763260044.7005622,7,
,655,,,15.0,15.0,,3.1092076301574707,,,,,1763260045.2902977,33,
,776,,,12.0,12.0,,3.232234477996826,,,,,1763260045.4133246,41,
,876,,,12.0,12.0,,3.2784221172332764,,,,,1763260045.4595122,47,
,1115,,,21.0,21.0,,3.533367156982422,,,,,1763260045.7144573,64,
,1277,,,11.0,11.0,,3.676358938217163,,,,,1763260045.857449,74,
,1298,,,10.0,10.0,,3.7575087547302246,,,,,1763260045.9385989,77,
,1429,,,10.0,10.0,,3.929114818572998,,,,,1763260046.110205,88,
,1606,,,9.0,9.0,,4.086961030960083,,,,,1763260046.2680511,102,
,1626,,,10.0,10.0,,4.0972301959991455,,,,,1763260046.2783203,104,
,1984,,,22.0,22.0,,4.4857869148254395,,,,,1763260046.666877,133,
,2142,,,13.0,13.0,,4.634000062942505,,,,,1763260046.8150902,147,
,2165,,,13.0,13.0,,4.645260334014893,,,,,1763260046.8263505,149,
0.6198433637619019,2176,0.033203125,0.011059248819947243,,,-0.005201779305934906,4.718442916870117,1.1665633916854858,0.00029877113411203027,0.001026923768222332,-0.03840076923370361,1763260046.899533,150,964.0
,2264,,,19.0,19.0,,4.758248329162598,,,,,1763260046.9393384,155,
0.551705002784729,2304,0.0,0.0005354955792427063,,,0.00197523832321167,4.8413777351379395,1.0165575742721558,0.00029869432910345495,0.005994249135255814,-0.051357388496398926,1763260047.0224679,157,968.0
,2726,,,9.0,9.0,,5.340221643447876,,,,,1763260047.5213118,195,
0.5573395490646362,2816,0.0,0.001835712231695652,,,-0.006669782102108002,5.452898025512695,0.8246654272079468,0.00029838710906915367,0.012804337777197361,0.33166569471359253,1763260047.6339881,203,941.0
,2923,,,11.0,11.0,,5.508938312530518,,,,,1763260047.6900284,213,
,2958,,,12.0,12.0,,5.598672151565552,,,,,1763260047.7797623,217,
,3084,,,11.0,11.0,,5.728455066680908,,,,,1763260047.9095452,228,
,3151,,,11.0,11.0,,5.762222528457642,,,,,1763260047.9433126,233,
,3377,,,15.0,15.0,,6.009231328964233,,,,,1763260048.1903214,251,
,3489,,,20.0,20.0,,6.179245233535767,,,,,1763260048.3603354,259,
,3601,,,43.0,43.0,,6.296311140060425,,,,,1763260048.4774013,265,
,3725,,,25.0,25.0,,6.42130184173584,,,,,1763260048.602392,273,
,3745,,,20.0,20.0,,6.429904937744141,,,,,1763260048.610995,274,
,4260,,,43.0,43.0,,6.927197694778442,,,,,1763260049.1082878,292,
,5664,,,39.0,39.0,,8.240981340408325,,,,,1763260050.4220715,327,
,5757,,,32.0,32.0,,8.283924341201782,,,,,1763260050.4650145,330,
,5788,,,31.0,31.0,,8.366172313690186,,,,,1763260050.5472624,332,
,5909,,,35.0,35.0,,8.482470512390137,,,,,1763260050.6635606,337,
,6009,,,26.0,26.0,,8.522341966629028,,,,,1763260050.703432,340,
,6665,,,28.0,28.0,,9.208481550216675,,,,,1763260051.3895717,370,
,7337,,,43.0,43.0,,9.909841775894165,,,,,1763260052.090932,396,
,8521,,,81.0,81.0,,10.988044023513794,,,,,1763260053.1691341,425,
0.4176507890224457,9344,0.0078125,0.000997752882540226,,,0.01708834245800972,12.055438756942749,0.2998041808605194,0.00029447005363181233,-0.003040711395442486,0.6468065977096558,1763260054.2365289,441,973.0
,9843,,,126.0,126.0,,12.498813152313232,,,,,1763260054.6799033,450,
0.3522726893424988,11008,0.0,0.0015989886596798897,,,-0.018965408205986023,13.774604320526123,0.28459301590919495,0.00029347158852033317,0.019155312329530716,0.9578468799591064,1763260055.9556944,471,973.0
,11487,,,56.0,56.0,,14.20052456855774,,,,,1763260056.3816147,481,
0.35776007175445557,11904,0.00390625,0.0008010892197489738,,,-0.0001697540283203125,14.684979677200317,0.23130804300308228,0.00029293395346030593,0.013072059489786625,0.6298476457595825,1763260056.8660698,490,973.0
,12559,,,53.0,53.0,,15.40788197517395,,,,,1763260057.588972,504,
0.3384271562099457,13056,0.005859375,0.0017999829724431038,,,-0.01279335655272007,15.999188423156738,0.9538834095001221,0.00029224270838312805,0.0018945848569273949,0.9783021807670593,1763260058.1802785,515,964.0
0.33657151460647583,13696,0.001953125,0.0035764966160058975,,,0.014204908162355423,16.593199968338013,0.1940271258354187,0.00029185868334025145,-0.014382041990756989,0.9899142980575562,1763260058.77429,530,969.0
,14079,,,38.0,38.0,,16.918039798736572,,,,,1763260059.09913,539,
,14676,,,42.0,42.0,,17.501741647720337,,,,,1763260059.6828318,555,
,14818,,,40.0,40.0,,17.623559951782227,,,,,1763260059.80465,559,
,15219,,,40.0,40.0,,18.022608280181885,,,,,1763260060.2036984,568,
,16123,,,42.0,42.0,,18.855886459350586,,,,,1763260061.0369766,595,
0.2884559631347656,16768,0.0,6.667431443929672e-05,,,-0.0078086256980896,19.580896615982056,11.898468971252441,0.00029001536313444376,0.002441185526549816,0.7981541752815247,1763260061.7619867,614,979.0
,17217,,,50.0,50.0,,19.96839666366577,,,,,1763260062.1494868,630,
,17405,,,49.0,49.0,,20.168413877487183,,,,,1763260062.349504,636,
,17520,,,26.0,26.0,,20.29458260536194,,,,,1763260062.4756727,640,
0.37800270318984985,18176,0.00390625,0.002541610971093178,,,-0.006899647414684296,20.962850332260132,1.3947288990020752,0.00028917050804011524,-0.0051431432366371155,0.9467200040817261,1763260063.1439404,664,982.0
,18695,,,30.0,30.0,,21.525689601898193,,,,,1763260063.7067797,684,
,18837,,,32.0,32.0,,21.6499285697937,,,,,1763260063.8310187,689,
,19093,,,34.0,34.0,,21.8908371925354,,,,,1763260064.0719273,698,
