_step,losses/entropy,_timestamp,losses/value_loss,global_step,charts/learning_rate,charts/episodic_length,losses/policy_loss,losses/explained_variance,losses/clipfrac,losses/old_approx_kl,_runtime,charts/SPS,losses/approx_kl,charts/episodic_return
0,,1763260043.7929022,,0,,,,,,,1.6182291507720947,,,
7,,1763260044.9442987,,158,,26.0,,,,,2.769625663757324,,,26.0
33,0.6919395327568054,1763260045.4462714,0.6061823964118958,640,0.0002996927942149341,,-0.00737515464425087,0.2589426040649414,0.0,-0.0003071129322052002,3.2715983390808105,997.0,0.0003009345382452011,
41,,1763260045.5947568,,832,,34.0,,,,,3.42008376121521,,,34.0
47,,1763260045.722713,,960,,23.0,,,,,3.5480399131774902,,,23.0
64,,1763260045.9978783,,1276,,13.0,,,,,3.8232052326202393,,,13.0
74,,1763260046.2556064,,1478,,27.0,,,,,4.080933332443237,,,27.0
77,,1763260046.2771583,,1526,,21.0,,,,,4.102485179901123,,,21.0
88,,1763260046.4902198,,1683,,12.0,,,,,4.315546751022339,,,12.0
102,0.6477925181388855,1763260046.7296026,0.5380269885063171,1920,0.0002989247441291809,,-0.016694381833076477,0.024599969387054443,0.0,0.010613882914185524,4.554929494857788,997.0,0.0013599488884210587,
133,0.655898928642273,1763260047.2414901,0.7968628406524658,2432,0.00029861752409487963,,-0.0077938511967659,-0.004024505615234375,0.0,0.0011952482163906097,5.066817045211792,997.0,0.0032410304993391037,
147,,1763260047.5673697,,2727,,15.0,,,,,5.3926966190338135,,,15.0
149,,1763260047.5884528,,2766,,23.0,,,,,5.4137797355651855,,,23.0
150,,1763260047.5944593,,2778,,12.0,,,,,5.419786214828491,,,12.0
155,,1763260047.7041414,,2863,,17.0,,,,,5.529468297958374,,,17.0
157,,1763260047.7283902,,2927,,25.0,,,,,5.553717136383057,,,25.0
195,,1763260048.924172,,4152,,38.0,,,,,6.7494988441467285,,,38.0
203,,1763260049.1905506,,4467,,38.0,,,,,7.0158774852752686,,,38.0
213,,1763260049.652295,,4916,,138.0,,,,,7.477622032165527,,,138.0
217,0.5006548166275024,1763260049.862,0.4474680423736572,5120,0.0002970046189147979,,-0.01271439716219902,0.15431320667266846,0.0,0.006122099235653877,7.687326908111572,1012.0,0.002395259216427803,
228,,1763260050.2380602,,5573,,40.0,,,,,8.063387155532837,,,40.0
233,,1763260050.3736567,,5751,,46.0,,,,,8.198983669281006,,,46.0
251,0.41951921582221985,1763260051.1578863,1.5689527988433838,6528,0.0002961597638204694,,-0.03047395870089531,0.6093454360961914,0.0,0.00749615952372551,8.983213186264038,1027.0,0.0019646845757961273,
259,0.4609206020832062,1763260051.395751,4.221803188323975,6784,0.00029600615380331874,,-0.0137515589594841,0.4218984842300415,0.001953125,0.0018305694684386253,9.221077919006348,1029.0,0.0021169697865843773,
265,,1763260051.5648427,,6979,,28.0,,,,,9.390169620513916,,,28.0
273,,1763260051.8052166,,7244,,73.0,,,,,9.63054347038269,,,73.0
274,,1763260051.8193257,,7283,,39.0,,,,,9.644652605056763,,,39.0
292,0.3482564687728882,1763260052.4758937,0.23855796456336975,7936,0.00029531490872614086,,-0.016577590256929398,0.8494692444801331,0.0078125,0.006293242797255516,10.301220655441284,1034.0,0.004714766517281532,
327,0.5028737187385559,1763260054.7006202,0.1158653050661087,9984,0.00029408602858893573,,-0.037770505994558334,0.9815279245376587,0.0234375,0.018475618213415146,12.525947093963623,1008.0,0.007346355356276035,
330,,1763260054.8305576,,10113,,127.0,,,,,12.655884504318237,,,127.0
332,0.39715775847435,1763260054.9598515,0.22547660768032074,10240,0.0002939324185717851,,0.00757414847612381,0.9715949296951294,0.0,-0.0014976374804973602,12.785178422927856,1008.0,0.0007346775382757187,
340,0.31918010115623474,1763260055.3444796,0.500664472579956,10624,0.00029370200354605913,,0.00041193049401044846,0.878502368927002,0.0,0.0006022043526172638,13.169806480407715,1007.0,8.839741349220276e-05,
370,,1763260057.1068716,,12363,,199.0,,,,,14.932198524475098,,,199.0
396,,1763260058.331307,,13667,,62.0,,,,,16.156633853912354,,,62.0
425,0.4095314145088196,1763260059.6207862,0.2632110118865967,14976,0.00029109063325449824,,-0.01922321692109108,0.9867311716079712,0.0,0.006161419674754143,17.446113109588623,1010.0,0.002564474940299988,
441,,1763260060.1923137,,15597,,35.0,,,,,18.017640590667725,,,35.0
450,,1763260060.5132618,,15902,,45.0,,,,,18.33858871459961,,,45.0
471,,1763260061.2909355,,16715,,46.0,,,,,19.116262435913086,,,46.0
481,0.37081077694892883,1763260061.72879,0.4198342561721802,17152,0.0002897849481087178,,0.002205364406108856,0.9905346035957336,0.0,-0.001650291495025158,19.55411696434021,1013.0,0.0010737134143710136,
490,,1763260061.9855957,,17463,,44.0,,,,,19.810922622680664,,,44.0
504,0.3631840944290161,1763260062.6533995,0.37777698040008545,18048,0.00028924731304869056,,-0.011898593045771122,0.9885451793670654,0.0,-0.002013125456869602,20.478726387023926,1011.0,0.0007376847788691521,
515,,1763260063.0376768,,18519,,60.0,,,,,20.863003730773926,,,60.0
530,0.38952749967575073,1763260063.7589922,0.3235837519168854,19200,0.0002885560679715127,,-0.002088390290737152,0.991963267326355,0.0,0.002889098599553108,21.58431911468506,1012.0,0.00018398091197013855,
539,0.32873275876045227,1763260064.2177594,0.12964901328086853,19712,0.0002882488479372114,,0.000905252993106842,0.027007460594177246,0.001953125,-0.007505559362471104,22.043086290359497,1015.0,0.0029098158702254295,
555,,1763260064.9991624,,20595,,75.0,,,,,22.82448935508728,,,75.0
559,0.3629872500896454,1763260065.1875088,0.21937692165374756,20736,0.00028763440786860883,,-0.0012859664857387543,0.9950958490371704,0.001953125,0.0063297804445028305,23.01283574104309,1017.0,0.0018880665302276611,
568,,1763260065.7013888,,21258,,61.0,,,,,23.526715755462646,,,61.0
595,,1763260067.117325,,22805,,74.0,,,,,24.942651987075806,,,74.0
614,0.36669301986694336,1763260068.3947453,0.11100949347019196,24192,0.0002855606726370752,,0.02138044685125351,-0.0016573667526245117,0.052734375,-0.007702295668423176,26.220072269439697,1025.0,0.012161566875874996,
630,0.47275468707084656,1763260069.449982,0.0891135185956955,25344,0.0002848694275598973,,-0.0009943842887878418,0.9048771858215332,0.0,0.0004335334524512291,27.275308847427368,1028.0,1.6131438314914703e-05,
636,0.44463440775871277,1763260069.9442046,0.08711156249046326,25856,0.000284562207525596,,0.0003197602927684784,0.8387545347213745,0.0,0.012144974432885647,27.76953148841858,1028.0,0.001233571209013462,
640,,1763260070.170627,,26116,,148.0,,,,,27.995954036712646,,,148.0
664,,1763260071.4871628,,27601,,107.0,,,,,29.3124897480011,,,107.0
684,,1763260072.5582213,,28697,,115.0,,,,,30.383548259735107,,,115.0
689,,1763260072.8334396,,29000,,102.0,,,,,30.658766508102417,,,102.0
698,,1763260073.1725886,,29357,,114.0,,,,,30.997915506362915,,,114.0
707,0.5532821416854858,1763260073.6184304,0.09221117943525314,29824,0.0002821812522597611,,0.006549181416630745,-0.00041234493255615234,0.013671875,-0.008698069490492344,31.44375729560852,1035.0,0.005688606761395931,
729,0.5259612202644348,1763260074.788633,0.087771937251091,31104,0.0002814132021740079,,-0.013280600309371948,-0.0008652210235595703,0.0,-0.00958892423659563,32.6139600276947,1037.0,0.0014488575980067253,
767,0.5222898721694946,1763260076.6823554,0.09205809235572815,33152,0.00028018432203680277,,-0.03392631560564041,-0.0006772279739379883,0.0546875,0.027780238538980484,34.50768232345581,1039.0,0.01620129495859146,
