losses/explained_variance,charts/episodic_return,global_step,charts/learning_rate,_step,losses/policy_loss,_runtime,losses/entropy,losses/old_approx_kl,losses/clipfrac,losses/value_loss,charts/episodic_length,charts/SPS,_timestamp,losses/approx_kl
,,0,,0,,1.4222044944763184,,,,,,,1763260043.5902805,
,16.0,125,,7,,2.479422092437744,,,,,16.0,,1763260044.6474981,
,19.0,709,,33,,3.0852153301239014,,,,,19.0,,1763260045.2532914,
,22.0,879,,41,,3.22568941116333,,,,,22.0,,1763260045.3937654,
,115.0,1083,,47,,3.4473989009857178,,,,,115.0,,1763260045.615475,
,104.0,1827,,64,,4.189392328262329,,,,,104.0,,1763260046.3574684,
0.07153487205505371,,2176,0.00029877113411203027,74,-0.057558685541152954,4.527455806732178,0.4348188638687134,0.0270275566726923,0.005859375,0.49208587408065796,,1033.0,1763260046.6955318,0.0052438173443078995
0.03435027599334717,,2304,0.00029869432910345495,77,-0.003374457359313965,4.67295503616333,0.44526994228363037,-0.009863747283816338,0.00390625,0.48954498767852783,,1023.0,1763260046.841031,0.0037080245092511177
,35.0,2625,,88,,4.9781036376953125,,,,,35.0,,1763260047.1461797,
,24.0,3009,,102,,5.336458921432495,,,,,24.0,,1763260047.504535,
,18.0,3741,,133,,6.083297252655029,,,,,18.0,,1763260048.2513733,
,20.0,4052,,147,,6.350163698196411,,,,,20.0,,1763260048.5182397,
0.30854904651641846,,4096,0.00029761905898340046,149,-0.008193496614694595,6.434006690979004,0.4103965163230896,-0.0017071831971406937,0.0,1.800778865814209,,1021.0,1763260048.6020827,0.0008201301097869873
,27.0,4111,,150,,6.44569730758667,,,,,27.0,,1763260048.6137733,
0.2950369715690613,,4224,0.00029754225397482514,155,-0.0031982790678739548,6.5610671043396,0.4685165584087372,-0.011991593055427074,0.0,1.91032874584198,,1020.0,1763260048.7291431,0.0010516541078686714
,32.0,4270,,157,,6.5825395584106445,,,,,32.0,,1763260048.7506156,
,23.0,4984,,195,,7.262753486633301,,,,,23.0,,1763260049.4308295,
0.44999468326568604,,5120,0.0002970046189147979,203,0.0042421333491802216,7.460299253463745,0.4783450961112976,0.0012564333155751228,0.0,2.8376331329345703,,1016.0,1763260049.6283753,0.0006657084450125694
,29.0,5329,,213,,7.617966890335083,,,,,29.0,,1763260049.786043,
,28.0,5403,,217,,7.7179789543151855,,,,,28.0,,1763260049.886055,
0.7068861722946167,,5632,0.0002966973988804966,228,0.00028181634843349457,7.947955369949341,0.38647982478141785,0.0021223071962594986,0.0,1.0987372398376465,,1019.0,1763260050.1160314,0.00011040270328521729
,24.0,5743,,233,,8.031171083450317,,,,,24.0,,1763260050.1992471,
,22.0,6099,,251,,8.392033576965332,,,,,22.0,,1763260050.5601096,
0.8025134801864624,,6272,0.00029631337383762,259,-0.0020435266196727753,8.603438138961792,0.4659760594367981,0.0008171303197741508,0.0,1.377606749534607,,1014.0,1763260050.7715142,0.00013049039989709854
0.8795824646949768,,6400,0.0002962365688290447,265,0.001219484955072403,8.725657224655151,0.38936546444892883,0.002871333621442318,0.0,1.0221564769744873,,1015.0,1763260050.8937333,4.111509770154953e-05
,23.0,6552,,273,,8.860065460205078,,,,,23.0,,1763260051.0281415,
,29.0,6581,,274,,8.872008323669434,,,,,29.0,,1763260051.0400844,
,24.0,6991,,292,,9.283412218093872,,,,,24.0,,1763260051.4514883,
,52.0,8006,,327,,10.320727825164795,,,,,52.0,,1763260052.4888039,
,36.0,8113,,330,,10.429173707962036,,,,,36.0,,1763260052.5972497,
0.9852172136306763,,8192,0.0002951612987089902,332,0.0010102242231369019,10.52831482887268,0.3204529285430908,-0.006646058522164822,0.0,0.9789454340934753,,1010.0,1763260052.6963909,0.0002466319128870964
,83.0,8477,,340,,10.777022361755371,,,,,83.0,,1763260052.9450984,
0.9864246845245361,,9856,0.00029416283359751105,370,-0.018950432538986206,12.419914722442627,0.36246365308761597,-0.0012667970731854439,0.001953125,1.3575416803359985,,985.0,1763260054.5879908,0.001456121914088726
,129.0,11088,,396,,13.635290622711182,,,,,129.0,,1763260055.8033667,
,74.0,12444,,425,,15.009954452514648,,,,,74.0,,1763260057.1780305,
,73.0,13163,,441,,15.670682191848755,,,,,73.0,,1763260057.8387582,
0.8900460004806519,,13568,0.00029193548834882677,450,0.002342015504837036,16.105536460876465,0.3279684782028198,0.0009352555498480797,0.0,0.22967448830604553,,991.0,1763260058.2736125,5.596596747636795e-05
0.6128959655761719,,14720,0.0002912442432716489,471,-0.0006722602993249893,17.190048217773438,0.32085514068603516,-0.00015803426504135132,0.0,0.19739213585853577,,996.0,1763260059.3581243,4.381127655506134e-05
0.9777902364730835,,15232,0.0002909370232373476,481,0.0008464828133583069,17.68765425682068,0.3063577115535736,0.0004965998232364655,0.0,0.3227645754814148,,997.0,1763260059.8557303,2.732314169406891e-05
,69.0,15617,,490,,18.09123682975769,,,,,69.0,,1763260060.2593129,
,95.0,16274,,504,,18.67245626449585,,,,,95.0,,1763260060.8405323,
,82.0,16879,,515,,19.216638565063477,,,,,82.0,,1763260061.3847146,
,122.0,17576,,530,,19.930234909057617,,,,,122.0,,1763260062.098311,
