charts/episodic_length,losses/entropy,charts/episodic_return,_runtime,global_step,charts/learning_rate,losses/clipfrac,losses/explained_variance,_timestamp,losses/old_approx_kl,_step,losses/value_loss,losses/policy_loss,losses/approx_kl,charts/SPS
,,,1.6779186725616455,0,,,,1763260043.8174326,,0,,,,
,0.6931335926055908,,2.7832469940185547,128,0.0003000000142492354,0.0,0.6208928823471069,1763260044.922761,-0.0011251997202634811,7,0.6881523132324219,-0.0017818324267864227,1.802481710910797e-05,991.0
24.0,,24.0,3.303532838821411,681,,,,1763260045.4430468,,33,,,,
48.0,,48.0,3.4411277770996094,849,,,,1763260045.5806417,,41,,,,
25.0,,25.0,3.5558407306671143,951,,,,1763260045.6953547,,47,,,,
,0.6800052523612976,,3.9029109477996826,1280,0.0002993087691720575,0.0,-0.2132244110107422,1763260046.042425,-0.0168905071914196,64,0.6580010652542114,-0.03545631095767021,0.002481040544807911,1024.0
14.0,,14.0,4.069404602050781,1445,,,,1763260046.2089186,,74,,,,
22.0,,22.0,4.103006362915039,1499,,,,1763260046.2425203,,77,,,,
15.0,,15.0,4.241302490234375,1638,,,,1763260046.3808165,,88,,,,
19.0,,19.0,4.4756481647491455,1851,,,,1763260046.6151621,,102,,,,
19.0,,19.0,4.489866495132446,1883,,,,1763260046.6293805,,104,,,,
13.0,,13.0,4.855875253677368,2183,,,,1763260046.9953892,,133,,,,
10.0,,10.0,5.000647068023682,2332,,,,1763260047.140161,,147,,,,
11.0,,11.0,5.012912273406982,2356,,,,1763260047.1524262,,149,,,,
13.0,,13.0,5.019177198410034,2369,,,,1763260047.1586912,,150,,,,
11.0,,11.0,5.044654369354248,2419,,,,1763260047.1841683,,155,,,,
,0.3779923915863037,,5.146080493927002,2432,0.00029861752409487963,0.0,0.15846389532089233,1763260047.2855945,-0.003207532688975334,157,0.6084351539611816,0.0029025301337242126,0.000831088051199913,975.0
12.0,,12.0,5.617490768432617,2857,,,,1763260047.7570047,,195,,,,
,0.42757436633110046,,5.746986627578735,2944,0.00029831030406057835,0.044921875,0.5925886631011963,1763260047.8865006,0.00618218258023262,203,0.5426206588745117,0.030637472867965698,0.0030565541237592697,951.0
13.0,,13.0,5.809318542480469,3067,,,,1763260047.9488325,,213,,,,
12.0,,12.0,5.895538091659546,3100,,,,1763260048.035052,,217,,,,
