losses/policy_loss,losses/explained_variance,losses/approx_kl,_timestamp,charts/episodic_return,losses/clipfrac,_runtime,losses/value_loss,charts/episodic_length,charts/learning_rate,losses/old_approx_kl,_step,losses/entropy,charts/SPS,global_step
,,,1763260044.0262973,,,1.8502254486083984,,,,,0,,,0
,,,1763260045.1281087,37.0,,2.9520368576049805,,37.0,,,7,,,171
-0.014128834009170532,0.21779119968414307,0.0004229918122291565,1763260045.6245418,,0.0,3.448469877243042,0.8115194439888,,0.0002996927942149341,0.0019432418048381805,33,0.6875008344650269,1001.0,640
,,,1763260045.771627,16.0,,3.595555067062378,,16.0,,,41,,,814
,,,1763260045.9170077,57.0,,3.740935802459717,,57.0,,,47,,,1014
-0.033151112496852875,0.668550968170166,0.004456999711692333,1763260046.3796818,,0.009765625,4.203609943389893,0.668266773223877,,0.0002992319641634822,7.217284291982651e-05,64,0.6527242064476013,1010.0,1408
,,,1763260046.6239014,20.0,,4.447829484939575,,20.0,,,74,,,1665
,,,1763260046.6560926,29.0,,4.480020761489868,,29.0,,,77,,,1736
-0.00448102131485939,-0.1597585678100586,0.0030228933319449425,1763260046.8745294,,0.00390625,4.698457479476929,0.890915036201477,,0.0002989247441291809,-0.003591432236135006,88,0.6443865299224854,1016.0,1920
,,,1763260047.1441455,11.0,,4.968073606491089,,11.0,,,102,,,2196
,,,1763260047.1627522,18.0,,4.986680269241333,,18.0,,,104,,,2237
,,,1763260047.6019456,15.0,,5.425873756408691,,15.0,,,133,,,2651
,,,1763260047.834423,18.0,,5.658351182937622,,18.0,,,147,,,2859
,,,1763260047.8475614,11.0,,5.671489477157593,,11.0,,,149,,,2888
,,,1763260047.8541665,13.0,,5.6780946254730225,,13.0,,,150,,,2901
,,,1763260047.969546,11.0,,5.793474197387695,,11.0,,,155,,,2964
,,,1763260047.996284,18.0,,5.820212125778198,,18.0,,,157,,,3000
,,,1763260048.5662377,23.0,,6.39016580581665,,23.0,,,195,,,3486
,,,1763260048.6836603,11.0,,6.5075883865356445,,11.0,,,203,,,3593
0.022061843425035477,0.3136262893676758,0.005395291373133659,1763260048.8089643,,0.001953125,6.632892370223999,0.8360974192619324,,0.0002978494740091264,0.02340375818312168,213,0.5889827609062195,970.0,3712
,,,1763260048.838028,16.0,,6.661956071853638,,16.0,,,217,,,3769
,,,1763260048.9717684,11.0,,6.795696496963501,,11.0,,,228,,,3904
,,,1763260049.0791757,18.0,,6.903103828430176,,18.0,,,233,,,3972
-0.01801389828324318,0.5680606365203857,0.004461196251213551,1763260049.3337739,,0.0,7.1577019691467285,0.7250542640686035,,0.00029754225397482514,-0.013280514627695084,251,0.5579721331596375,971.0,4224
-0.02342473715543747,0.4257153272628784,0.005560614168643951,1763260049.4600623,,0.0,7.283990383148193,2.1080965995788574,,0.0002974654489662498,-0.019634336233139038,259,0.6177922487258911,972.0,4352
,,,1763260049.5057387,20.0,,7.32966685295105,,20.0,,,265,,,4451
,,,1763260049.6799283,23.0,,7.503856420516968,,23.0,,,273,,,4601
-0.021542876958847046,0.5607750415802002,0.006645238026976585,1763260049.7506008,,0.0078125,7.574528932571411,1.0413062572479248,,0.0002973118389490992,-0.006481310352683067,274,0.5912240743637085,967.0,4608
,,,1763260050.1396613,21.0,,7.963589429855347,,21.0,,,292,,,5046
,,,1763260051.4650161,43.0,,9.288944244384766,,43.0,,,327,,,6526
,,,1763260051.5666938,32.0,,9.390621900558472,,32.0,,,330,,,6606
,,,1763260051.6601045,64.0,,9.48403263092041,,64.0,,,332,,,6670
,,,1763260051.8804004,56.0,,9.704328536987305,,56.0,,,337,,,6864
,,,1763260051.9809322,41.0,,9.804860353469849,,41.0,,,340,,,6941
,,,1763260052.862309,43.0,,10.686237096786499,,43.0,,,370,,,7926
,,,1763260053.6765163,40.0,,11.500444412231445,,40.0,,,396,,,8777
,,,1763260054.8222826,41.0,,12.646210670471191,,41.0,,,425,,,9685
,,,1763260055.3685043,47.0,,13.192432403564453,,47.0,,,441,,,10145
,,,1763260055.6371875,39.0,,13.461115598678589,,39.0,,,450,,,10417
,,,1763260056.3613448,50.0,,14.185272932052612,,50.0,,,471,,,11095
,,,1763260056.7569237,70.0,,14.580851793289185,,70.0,,,481,,,11485
,,,1763260057.169556,52.0,,14.993484020233154,,52.0,,,490,,,11813
,,,1763260057.6370504,34.0,,15.460978507995605,,34.0,,,504,,,12283
,,,1763260058.0430274,47.0,,15.866955518722534,,47.0,,,515,,,12666
,,,1763260058.6382718,46.0,,16.462199926376343,,46.0,,,530,,,13107
,,,1763260058.8815296,40.0,,16.70545768737793,,40.0,,,539,,,13380
,,,1763260059.129243,36.0,,16.953171014785767,,36.0,,,547,,,13654
,,,1763260059.3565621,28.0,,17.180490255355835,,28.0,,,555,,,13883
,,,1763260059.521977,31.0,,17.3459050655365,,31.0,,,559,,,13979
,,,1763260059.7848759,29.0,,17.60880398750305,,29.0,,,568,,,14252
