charts/episodic_length,losses/value_loss,charts/episodic_return,_step,charts/SPS,losses/approx_kl,charts/learning_rate,_timestamp,losses/explained_variance,global_step,losses/policy_loss,losses/old_approx_kl,_runtime,losses/entropy,losses/clipfrac
,,,0,,,,1763260069.2083373,,0,,,8.9325852394104,,
,0.8926515579223633,,7,1002.0,0.0007330011576414108,0.0003000000142492354,1763260070.1824615,0.6276695728302002,128,-0.021332118660211563,-0.00035062991082668304,9.906709432601929,0.6924771666526794,0.0
22.0,,22.0,33,,,,1763260070.61764,,601,,,10.341887950897217,,
46.0,,46.0,41,,,,1763260070.8328583,,788,,,10.557106256484985,,
13.0,,13.0,47,,,,1763260070.9492514,,897,,,10.673499345779419,,
22.0,,22.0,64,,,,1763260071.2418923,,1250,,,10.966140270233154,,
,0.965105414390564,,74,1007.0,0.00850232969969511,0.0002992319641634822,1763260071.452329,-0.13004791736602783,1408,-0.05893942713737488,-0.02471654862165451,11.176576852798462,0.6128409504890442,0.009765625
14.0,,14.0,77,,,,1763260071.4825468,,1438,,,11.206794738769531,,
15.0,,15.0,88,,,,1763260071.6500807,,1575,,,11.37432861328125,,
11.0,,11.0,102,,,,1763260071.7935054,,1721,,,11.51775336265564,,
14.0,,14.0,104,,,,1763260071.805653,,1748,,,11.529901027679443,,
12.0,,12.0,133,,,,1763260072.1775532,,2066,,,11.901801109313965,,
8.0,,8.0,147,,,,1763260072.3240087,,2218,,,12.048256635665894,,
12.0,,12.0,149,,,,1763260072.3376374,,2247,,,12.061885356903076,,
13.0,,13.0,150,,,,1763260072.345155,,2260,,,12.069402933120728,,
,1.1090102195739746,,155,967.0,0.00023536011576652527,0.00029869432910345495,1763260072.4356396,-0.10917365550994873,2304,-0.0031338660046458244,0.0024316906929016113,12.159887552261353,0.41199734807014465,0.0
11.0,,11.0,157,,,,1763260072.4494023,,2329,,,12.17365026473999,,
9.0,,9.0,195,,,,1763260072.9017932,,2712,,,12.626041173934937,,
10.0,,10.0,203,,,,1763260072.950096,,2795,,,12.674343824386597,,
10.0,,10.0,213,,,,1763260073.0794492,,2889,,,12.803697109222412,,
9.0,,9.0,217,,,,1763260073.100715,,2928,,,12.824962854385376,,
10.0,,10.0,228,,,,1763260073.229631,,3029,,,12.95387887954712,,
,0.5906643271446228,,233,940.0,0.000570567324757576,0.000298233499052003,1763260073.3217106,0.6869415044784546,3072,-0.012159759178757668,0.028268419206142426,13.045958518981934,0.3656162619590759,0.0078125
10.0,,10.0,251,,,,1763260073.4906995,,3258,,,13.21494746208191,,
12.0,,12.0,259,,,,1763260073.6012416,,3335,,,13.325489521026611,,
12.0,,12.0,265,,,,1763260073.6521516,,3410,,,13.376399517059326,,
10.0,,10.0,273,,,,1763260073.8087585,,3494,,,13.533006429672241,,
14.0,,14.0,274,,,,1763260073.8161247,,3508,,,13.540372610092163,,
10.0,,10.0,292,,,,1763260074.0567548,,3718,,,13.781002759933472,,
