_step,losses/policy_loss,charts/episodic_length,_timestamp,charts/episodic_return,_runtime,losses/approx_kl,losses/clipfrac,global_step,charts/learning_rate,losses/explained_variance,losses/old_approx_kl,charts/SPS,losses/entropy,losses/value_loss
0,,,1763260066.8993223,,6.783894300460815,,,0,,,,,,
7,,15.0,1763260067.7827845,15.0,7.667356491088867,,,126,,,,,,
33,,11.0,1763260068.2785003,11.0,8.163072347640991,,,560,,,,,,
41,,14.0,1763260068.4200468,14.0,8.304618835449219,,,729,,,,,,
47,-0.0398714579641819,,1763260068.630885,,8.515456914901733,0.0019586803391575813,0.0,896,0.00029953918419778347,0.19637209177017212,-0.004922510124742985,991.0,0.6793295741081238,0.9876932501792908
64,-0.018950046971440315,,1763260069.00871,,8.893281936645508,0.0016755349934101105,0.0,1280,0.0002993087691720575,-0.3603999614715576,0.0026627052575349808,998.0,0.6666472554206848,1.040166974067688
74,,17.0,1763260069.1610818,17.0,9.045653820037842,,,1456,,,,,,
77,,12.0,1763260069.1835396,12.0,9.068111658096313,,,1508,,,,,,
88,,13.0,1763260069.4368079,13.0,9.321379899978638,,,1684,,,,,,
102,,19.0,1763260069.6095462,19.0,9.494118213653564,,,1903,,,,,,
104,,29.0,1763260069.6924286,29.0,9.577000617980957,,,1932,,,,,,
133,,16.0,1763260070.089918,16.0,9.97448992729187,,,2317,,,,,,
147,,12.0,1763260070.2426167,12.0,10.127188682556152,,,2488,,,,,,
149,,11.0,1763260070.2543585,11.0,10.138930559158325,,,2512,,,,,,
150,,11.0,1763260070.2603316,11.0,10.144903659820557,,,2523,,,,,,
155,,15.0,1763260070.3885431,15.0,10.273115158081055,,,2592,,,,,,
157,,19.0,1763260070.4145215,19.0,10.29909348487854,,,2625,,,,,,
195,,10.0,1763260070.9093566,10.0,10.793928623199463,,,3071,,,,,,
203,,17.0,1763260071.0339441,17.0,10.918516159057617,,,3161,,,,,,
213,,8.0,1763260071.1817126,8.0,11.066284656524658,,,3278,,,,,,
217,-0.006035294383764267,,1763260071.291449,,11.176021099090576,0.004797126166522503,0.0,3328,0.0002980798890348524,0.35165315866470337,0.026296652853488922,933.0,0.6248219609260559,0.8606774806976318
228,,17.0,1763260071.4712713,17.0,11.355843305587769,,,3460,,,,,,
233,,13.0,1763260071.5382123,13.0,11.422784328460693,,,3541,,,,,,
251,,13.0,1763260071.8179338,13.0,11.702505826950073,,,3819,,,,,,
259,,14.0,1763260071.956439,14.0,11.841011047363281,,,3948,,,,,,
265,,28.0,1763260072.0721676,28.0,11.956739664077759,,,4055,,,,,,
273,,20.0,1763260072.2071977,20.0,12.091769695281982,,,4204,,,,,,
274,,16.0,1763260072.213852,16.0,12.098423957824707,,,4220,,,,,,
292,,53.0,1763260072.717958,53.0,12.602530002593994,,,4676,,,,,,
327,-0.005095604807138443,,1763260074.184863,,14.069435119628906,0.001751897856593132,0.0,6144,0.00029639017884619534,-0.009468436241149902,-0.008274046704173088,951.0,0.5826586484909058,3.8726792335510254
330,,55.0,1763260074.2304742,55.0,14.115046262741089,,,6265,,,,,,
332,,60.0,1763260074.3240507,60.0,14.208622694015503,,,6325,,,,,,
337,8.68178904056549e-06,,1763260074.5405846,,14.425156593322754,0.0001709507778286934,0.0,6528,0.0002961597638204694,-0.04882776737213135,0.003959218971431255,958.0,0.5206838250160217,4.239539623260498
340,,37.0,1763260074.5900295,37.0,14.47460150718689,,,6653,,,,,,
370,,48.0,1763260075.7788787,48.0,15.663450717926025,,,7859,,,,,,
396,,54.0,1763260076.8489082,54.0,16.733480215072632,,,8984,,,,,,
425,,49.0,1763260078.373646,49.0,18.25821805000305,,,10059,,,,,,
441,,44.0,1763260079.1043043,44.0,18.988876342773438,,,10692,,,,,,
450,,49.0,1763260079.5133336,49.0,19.397905588150024,,,11064,,,,,,
471,,68.0,1763260080.341781,68.0,20.22635293006897,,,11825,,,,,,
481,,85.0,1763260080.733981,85.0,20.618552923202515,,,12170,,,,,,
490,0.0024418309330940247,,1763260081.174,,21.0585720539093,9.955558925867081e-05,0.0,12544,0.00029254992841742933,0.9759709239006042,0.0017466312274336815,932.0,0.4847384989261627,0.27962809801101685
504,-0.009475328028202057,,1763260081.7734976,,21.658069610595703,0.0014179879799485207,0.0,13184,0.0002921659033745527,0.9859557747840881,0.01740323007106781,938.0,0.4690638780593872,0.57510906457901
515,,39.0,1763260082.1952333,39.0,22.079805374145508,,,13593,,,,,,
530,,41.0,1763260082.6920998,41.0,22.576671838760376,,,14131,,,,,,
539,0.0015532029792666435,,1763260083.029363,,22.91393494606018,2.603325992822647e-05,0.0,14464,0.0002913978532887995,0.8022278547286987,-0.00044937338680028915,945.0,0.4612126350402832,2.335113048553467
547,,40.0,1763260083.3321135,40.0,23.21668553352356,,,14721,,,,,,
555,,48.0,1763260083.589722,48.0,23.47429394721985,,,15027,,,,,,
559,,53.0,1763260083.7081683,53.0,23.592740297317505,,,15143,,,,,,
568,,59.0,1763260083.9730792,59.0,23.857651233673096,,,15464,,,,,,
595,,38.0,1763260084.8557794,38.0,24.74035143852234,,,16267,,,,,,
614,,49.0,1763260085.450821,49.0,25.335392951965332,,,16889,,,,,,
630,,42.0,1763260085.9301095,42.0,25.81468152999878,,,17388,,,,,,
636,,29.0,1763260086.1475997,29.0,26.032171726226807,,,17591,,,,,,
640,,35.0,1763260086.257749,35.0,26.14232110977173,,,17688,,,,,,
664,,38.0,1763260086.9528246,38.0,26.8373966217041,,,18359,,,,,,
684,,26.0,1763260087.6394613,26.0,27.524033308029175,,,19017,,,,,,
689,,54.0,1763260087.7777297,54.0,27.662301778793335,,,19193,,,,,,
698,0.004860270768404007,,1763260088.0914087,,27.975980758666992,0.0006352048367261887,0.0,19456,0.00028840245795436203,0.9868265390396118,-0.001935543492436409,955.0,0.4252488911151886,1.0606529712677002
707,-0.00024088844656944275,,1763260088.3328888,,28.217460870742798,7.387157529592514e-05,0.0,19712,0.0002882488479372114,0.9884277582168579,-0.0016562333330512047,956.0,0.40627026557922363,1.2601375579833984
729,-0.006063524633646011,,1763260089.0107036,,28.895275592803955,0.0006175572052598,0.0,20352,0.0002878648228943348,0.988202691078186,0.0038297874853014946,956.0,0.4202752113342285,1.2038928270339966
757,-0.002874605357646942,,1763260090.0325005,,29.917072534561157,0.00027237366884946823,0.0,21376,0.00028725038282573223,0.9945229887962341,-0.004549593664705753,958.0,0.4116401672363281,1.076188564300537
767,,62.0,1763260090.3097727,62.0,30.194344758987427,,,21733,,,,,,
775,0.0032808631658554077,,1763260090.626466,,30.511038064956665,0.0010150205343961716,0.0,22016,0.00028686635778285563,0.9951193928718567,-0.005906471982598305,961.0,0.39940303564071655,0.6019203066825867
788,0.00858459621667862,,1763260091.2685976,,31.153169631958008,0.00261655542999506,0.0,22656,0.00028648233273997903,0.9953469038009644,0.0132659412920475,962.0,0.3898754119873047,0.3508848547935486
797,-0.007295545190572739,,1763260091.621276,,31.505847930908203,0.00038164667785167694,0.0,23040,0.00028625191771425307,0.9972542524337769,-0.005156992003321648,964.0,0.36010074615478516,0.23011218011379242
806,,68.0,1763260092.032385,68.0,31.916957139968872,,,23438,,,,,,
863,-0.00612243264913559,,1763260094.5527966,,34.437368631362915,0.0007781609892845154,0.0,26112,0.0002844085975084454,0.9378750324249268,0.00948306918144226,973.0,0.4294236898422241,0.2177269458770752
872,,74.0,1763260094.9376493,74.0,34.82222127914429,,,26511,,,,,,
876,0.0028718262910842896,,1763260095.2186131,,35.103185176849365,0.0003421427682042122,0.0,26752,0.0002840245724655688,0.9979534149169922,0.008415226824581623,973.0,0.4440789818763733,0.30813589692115784
922,,65.0,1763260097.1875563,65.0,37.07212829589844,,,28880,,,,,,
930,,91.0,1763260097.5106952,91.0,37.39526724815369,,,29196,,,,,,
938,,33.0,1763260097.7854416,33.0,37.670013666152954,,,29556,,,,,,
941,,173.0,1763260097.9865956,173.0,37.87116765975952,,,29729,,,,,,
942,,50.0,1763260098.0056372,50.0,37.89020919799805,,,29779,,,,,,
948,-0.04158531874418259,,1763260098.2481656,,38.13273763656616,0.005691945552825928,0.01171875,29952,0.0002821044472511858,-0.002946138381958008,0.005121981725096703,981.0,0.42972901463508606,50.87324523925781
974,,43.0,1763260099.003892,43.0,38.88846397399902,,,30815,,,,,,
980,,46.0,1763260099.2516992,46.0,39.136271238327026,,,31048,,,,,,
985,,39.0,1763260099.4042184,39.0,39.288790464401245,,,31197,,,,,,
995,,30.0,1763260099.6518025,30.0,39.53637456893921,,,31465,,,,,,
997,,38.0,1763260099.7378488,38.0,39.62242078781128,,,31503,,,,,,
1015,,35.0,1763260100.2152107,35.0,40.09978270530701,,,32004,,,,,,
1031,,32.0,1763260100.6780403,32.0,40.56261229515076,,,32510,,,,,,
