_step,charts/episodic_length,losses/explained_variance,charts/learning_rate,losses/clipfrac,losses/entropy,losses/old_approx_kl,_runtime,_timestamp,losses/value_loss,losses/policy_loss,charts/SPS,charts/episodic_return,losses/approx_kl,global_step
0,,,,,,,8.797160863876343,1763260069.0709908,,,,,,0
7,17.0,,,,,,9.770185232162476,1763260070.0440152,,,,17.0,,148
33,24.0,,,,,,10.2832350730896,1763260070.557065,,,,24.0,,662
41,18.0,,,,,,10.42061996459961,1763260070.69445,,,,18.0,,822
47,12.0,,,,,,10.532471418380737,1763260070.8063014,,,,12.0,,911
64,,0.05266207456588745,0.0002993087691720575,0.0,0.6539981961250305,-0.009209336712956429,10.89523959159851,1763260071.1690695,1.2258416414260864,-0.02327795699238777,1015.0,,0.0026306696236133575,1280
74,13.0,,,,,,11.03846788406372,1763260071.3122978,,,,13.0,,1445
77,9.0,,,,,,11.057199239730835,1763260071.3310292,,,,9.0,,1487
88,12.0,,,,,,11.242035627365112,1763260071.5158656,,,,12.0,,1659
102,10.0,,,,,,11.454535484313965,1763260071.7283654,,,,10.0,,1808
104,11.0,,,,,,11.465250015258789,1763260071.73908,,,,11.0,,1829
133,,-0.24295318126678467,0.00029877113411203027,0.0,0.39312562346458435,0.01371392235159874,11.844559907913208,1763260072.1183898,1.4445186853408813,-0.010861387476325035,984.0,,0.0018946919590234756,2176
147,11.0,,,,,,11.984777927398682,1763260072.2586079,,,,11.0,,2314
149,10.0,,,,,,11.994636535644531,1763260072.2684665,,,,10.0,,2333
150,12.0,,,,,,12.00033164024353,1763260072.2741616,,,,12.0,,2345
155,13.0,,,,,,12.029047727584839,1763260072.3028777,,,,13.0,,2403
157,10.0,,,,,,12.040522813796997,1763260072.3143528,,,,10.0,,2424
195,10.0,,,,,,12.490958213806152,1763260072.7647882,,,,10.0,,2811
203,11.0,,,,,,12.60048770904541,1763260072.8743176,,,,11.0,,2883
213,10.0,,,,,,12.716631650924683,1763260072.9904616,,,,10.0,,2970
217,9.0,,,,,,12.73935317993164,1763260073.013183,,,,9.0,,3013
228,14.0,,,,,,12.872836589813232,1763260073.1466665,,,,14.0,,3134
233,15.0,,,,,,12.90114974975586,1763260073.1749797,,,,15.0,,3194
251,15.0,,,,,,13.138942003250122,1763260073.412772,,,,15.0,,3388
259,13.0,,,,,,13.286704063415527,1763260073.560534,,,,13.0,,3487
265,12.0,,,,,,13.343398571014404,1763260073.6172285,,,,12.0,,3567
