losses/clipfrac,global_step,losses/policy_loss,losses/old_approx_kl,charts/episodic_return,losses/approx_kl,_timestamp,charts/episodic_length,losses/explained_variance,losses/value_loss,_step,charts/learning_rate,losses/entropy,_runtime,charts/SPS
,0,,,,,1763260069.3107188,,,,0,,,9.040892839431763,
0.0,128,-0.011754848062992096,-0.004591591656208038,,0.0003267582505941391,1763260070.2695408,,0.5217918157577515,1.1386609077453613,7,0.0003000000142492354,0.692809522151947,9.999714851379395,1025.0
,653,,,22.0,,1763260070.7830956,22.0,,,33,,,10.513269662857056,
,867,,,52.0,,1763260070.9373732,52.0,,,41,,,10.667547225952148,
,1000,,,28.0,,1763260071.0640986,28.0,,,47,,,10.794272661209106,
0.0,1536,0.0009511969983577728,-0.0011714007705450058,,0.00025821104645729065,1763260071.6391704,,0.4501446485519409,0.980192244052887,64,0.00029915515915490687,0.617958128452301,11.369344472885132,1027.0
,2016,,,43.0,,1763260072.0294201,43.0,,,74,,,11.759594202041626,
,2075,,,30.0,,1763260072.1237066,30.0,,,77,,,11.853880643844604,
0.07421875,2560,-0.00764213502407074,-0.03454763442277908,,0.004229981452226639,1763260072.5719678,,-0.07774150371551514,1.2231063842773438,88,0.0002985407190863043,0.5278894901275635,12.302141904830933,1054.0
,2984,,,47.0,,1763260072.9701889,47.0,,,102,,,12.700362920761108,
,3044,,,28.0,,1763260072.9936733,28.0,,,104,,,12.723847389221191,
0.0,3840,-0.0028673112392425537,-0.000784480944275856,,0.00015986338257789612,1763260073.8218637,,-0.002906322479248047,0.7962159514427185,133,0.0002977726690005511,0.4800059497356415,13.552037715911865,1044.0
,4192,,,33.0,,1763260074.105873,33.0,,,147,,,13.836047172546387,
,4228,,,36.0,,1763260074.1872783,36.0,,,149,,,13.917452335357666,
,4261,,,33.0,,1763260074.2017736,33.0,,,150,,,13.931947708129883,
,4388,,,33.0,,1763260074.3222194,33.0,,,155,,,14.052393436431885,
,4422,,,19.0,,1763260074.33783,19.0,,,157,,,14.068004131317139,
,5308,,,23.0,,1763260075.207996,23.0,,,195,,,14.938169956207275,
,5482,,,16.0,,1763260075.3492115,16.0,,,203,,,15.07938551902771,
,5667,,,21.0,,1763260075.5660813,21.0,,,213,,,15.296255350112915,
0.0,5760,0.006073251366615295,0.0019813301041722298,,0.0002995571121573448,1763260075.6731627,,0.41321974992752075,0.48300522565841675,217,0.0002966205938719213,0.5249523520469666,15.403336763381958,1041.0
0.0,6016,-0.00015854835510253906,-0.00020655710250139236,28.0,1.6090460121631622e-05,1763260075.9523602,28.0,0.48909056186676025,0.7018881440162659,228,0.00029646698385477066,0.49173063039779663,15.682534217834473,1035.0
,6137,,,26.0,,1763260076.0052898,26.0,,,233,,,15.735463857650757,
,6484,,,18.0,,1763260076.3586576,18.0,,,251,,,16.088831663131714,
,6649,,,30.0,,1763260076.4981325,30.0,,,259,,,16.228306531906128,
0.0,6784,0.002865648828446865,-0.002638908103108406,,8.87010246515274e-05,1763260076.6904056,,0.7920688390731812,2.4322328567504883,265,0.00029600615380331874,0.4863470196723938,16.42057967185974,1036.0
,6956,,,31.0,,1763260076.833677,31.0,,,273,,,16.56385111808777,
,6992,,,36.0,,1763260076.8468232,36.0,,,274,,,16.57699728012085,
0.0,7424,-0.02183692157268524,0.00908021442592144,,0.0013378486037254333,1763260077.3894448,,0.8600054979324341,0.5224784016609192,292,0.00029562212876044214,0.5061982870101929,17.119618892669678,1024.0
,8747,,,110.0,,1763260078.6047196,110.0,,,327,,,18.334893703460693,
0.021484375,8960,-0.04637862369418144,0.008079415187239647,,0.008363544940948486,1763260078.8191044,,0.9787035584449768,1.318983793258667,330,0.0002947004686575383,0.5602172613143921,18.549278497695923,1032.0
0.197265625,9216,0.04603772610425949,0.0631004050374031,,0.04380784183740616,1763260079.0413477,,0.9816304445266724,0.6111264228820801,332,0.00029454685864038765,0.5455636978149414,18.77152180671692,1035.0
