charts/SPS,losses/approx_kl,losses/clipfrac,losses/entropy,global_step,charts/learning_rate,_runtime,charts/episodic_length,charts/episodic_return,losses/value_loss,losses/policy_loss,losses/explained_variance,_step,_timestamp,losses/old_approx_kl
,,,,0,,6.622164249420166,,,,,,0,1763260066.8809702,
,,,,108,,7.501542568206787,13.0,13.0,,,,7,1763260067.7603486,
,,,,634,,8.023630142211914,20.0,20.0,,,,33,1763260068.2824361,
,,,,777,,8.224125146865845,16.0,16.0,,,,41,1763260068.4829311,
,,,,894,,8.277016162872314,18.0,18.0,,,,47,1763260068.5358222,
,,,,1202,,8.623506546020508,15.0,15.0,,,,64,1763260068.8823125,
,,,,1433,,8.8570077419281,30.0,30.0,,,,74,1763260069.1158137,
,,,,1508,,8.888450622558594,20.0,20.0,,,,77,1763260069.1472566,
,,,,1689,,9.14292287826538,17.0,17.0,,,,88,1763260069.4017289,
,,,,1885,,9.306739330291748,12.0,12.0,,,,102,1763260069.5655453,
,,,,1910,,9.31872010231018,11.0,11.0,,,,104,1763260069.577526,
,,,,2262,,9.70206904411316,8.0,8.0,,,,133,1763260069.960875,
,,,,2425,,9.850713729858398,15.0,15.0,,,,147,1763260070.1095197,
,,,,2438,,9.928050756454468,13.0,13.0,,,,149,1763260070.1868567,
,,,,2449,,9.933052778244019,11.0,11.0,,,,150,1763260070.1918588,
,,,,2511,,9.96419644355774,12.0,12.0,,,,155,1763260070.2230024,
,,,,2532,,9.97500491142273,10.0,10.0,,,,157,1763260070.233811,
,,,,2976,,10.515822410583496,16.0,16.0,,,,195,1763260070.7746284,
966.0,0.00029411446303129196,0.0,0.6239725351333618,3072,0.000298233499052003,10.63114857673645,,,1.63118577003479,-0.002861589193344116,0.37118446826934814,203,1763260070.8899546,-0.0009318916127085686
,,,,3182,,10.6862633228302,12.0,12.0,,,,213,1763260070.9450693,
,,,,3221,,10.775365114212036,11.0,11.0,,,,217,1763260071.034171,
,,,,3365,,10.915804147720337,18.0,18.0,,,,228,1763260071.1746101,
,,,,3432,,10.947621822357178,10.0,10.0,,,,233,1763260071.2064278,
,,,,3682,,11.248464822769165,12.0,12.0,,,,251,1763260071.5072708,
,,,,3809,,11.375528573989868,15.0,15.0,,,,259,1763260071.6343346,
,,,,3926,,11.4957754611969,14.0,14.0,,,,265,1763260071.7545815,
963.0,0.002769364044070244,0.0,0.5868452191352844,4096,0.00029761905898340046,11.703930139541626,,,0.9070016145706177,-0.02781493030488491,0.5829557180404663,273,1763260071.9627361,-0.007791608572006226
,,,,4130,,11.718666553497314,46.0,46.0,,,,274,1763260071.9774725,
,,,,4584,,12.109259605407715,32.0,32.0,,,,292,1763260072.3680656,
982.0,0.00028017908334732056,0.0,0.5290341973304749,6016,0.00029646698385477066,13.573174476623535,,,0.8122075200080872,-0.005506712943315506,-0.08560800552368164,327,1763260073.8319805,0.001410478726029396
985.0,0.00015576090663671494,0.0,0.5467640161514282,6144,0.00029639017884619534,13.688350200653076,,,0.8023262619972229,-0.008565232157707214,-0.0684807300567627,330,1763260073.9471562,-0.005501030944287777
,,,,6206,,13.715333938598633,53.0,53.0,,,,332,1763260073.97414,
988.0,0.00014996901154518127,0.0,0.5768495798110962,6400,0.0002962365688290447,13.923059225082397,,,0.6825495958328247,-6.183609366416931e-05,0.02152884006500244,337,1763260074.1818652,-0.0007277186959981918
