charts/SPS,global_step,charts/episodic_length,_runtime,losses/value_loss,losses/old_approx_kl,losses/explained_variance,_step,losses/approx_kl,charts/learning_rate,_timestamp,losses/clipfrac,charts/episodic_return,losses/policy_loss,losses/entropy
,0,,6.880524635314941,,,,0,,,1763260067.1438327,,,,
,123,11.0,7.7503135204315186,,,,7,,,1763260068.0136216,,11.0,,
,595,18.0,8.246946811676025,,,,33,,,1763260068.5102549,,18.0,,
,763,19.0,8.388418436050415,,,,41,,,1763260068.6517265,,19.0,,
,848,24.0,8.49741506576538,,,,47,,,1763260068.760723,,24.0,,
,1182,24.0,8.853446960449219,,,,64,,,1763260069.116755,,24.0,,
,1454,14.0,9.102225542068481,,,,74,,,1763260069.3655336,,14.0,,
,1504,17.0,9.125246286392212,,,,77,,,1763260069.3885543,,17.0,,
,1707,20.0,9.385590076446533,,,,88,,,1763260069.6488981,,20.0,,
,1944,20.0,9.628131866455078,,,,102,,,1763260069.89144,,20.0,,
,1972,11.0,9.641029834747314,,,,104,,,1763260069.904338,,11.0,,
,2407,27.0,10.049047470092773,,,,133,,,1763260070.3123555,,27.0,,
,2586,18.0,10.281080722808838,,,,147,,,1763260070.5443888,,18.0,,
,2616,10.0,10.311258316040039,,,,149,,,1763260070.5745664,,10.0,,
,2631,15.0,10.322229146957397,,,,150,,,1763260070.5855372,,15.0,,
983.0,2688,,10.428608179092407,1.111969232559204,0.01618098095059395,0.1681307554244995,155,0.0023247282952070236,0.000298463914077729,1763260070.6919162,0.0,,-0.021205678582191467,0.5959247350692749
,2711,11.0,10.44052267074585,,,,157,,,1763260070.7038307,,11.0,,
,3227,16.0,10.961934566497803,,,,195,,,1763260071.2252426,,16.0,,
,3355,17.0,11.08757472038269,,,,203,,,1763260071.3508828,,17.0,,
,3567,20.0,11.245381116867065,,,,213,,,1763260071.5086892,,20.0,,
,3650,23.0,11.360609292984009,,,,217,,,1763260071.6239173,,23.0,,
,3945,43.0,11.648146629333496,,,,228,,,1763260071.9114547,,43.0,,
,4147,51.0,11.862425088882446,,,,233,,,1763260072.1257331,,51.0,,
,4834,58.0,12.489498376846313,,,,251,,,1763260072.7528064,,58.0,,
,5232,60.0,12.837841987609863,,,,259,,,1763260073.10115,,60.0,,
1010.0,5504,,13.140278100967407,0.7343034744262695,5.3690746426582336e-05,0.044220685958862305,265,0.004751097410917282,0.00029677420388907194,1763260073.4035861,0.01171875,,0.0030127577483654022,0.5614203810691833
,5849,72.0,13.406010866165161,,,,273,,,1763260073.669319,,72.0,,
1011.0,5888,,13.518109321594238,1.0497205257415771,0.0060388678684830666,-0.06714355945587158,274,0.0006139790639281273,0.000296543788863346,1763260073.7814174,0.0,,0.0008420199155807495,0.4636881351470947
,6520,29.0,14.0773024559021,,,,292,,,1763260074.3406105,,29.0,,
,7698,50.0,15.23892068862915,,,,327,,,1763260075.5022287,,50.0,,
,7859,59.0,15.365330219268799,,,,330,,,1763260075.6286383,,59.0,,
,7951,92.0,15.465141296386719,,,,332,,,1763260075.7284493,,92.0,,
,8177,52.0,15.615740537643433,,,,337,,,1763260075.8790486,,52.0,,
,8261,47.0,15.741426706314087,,,,340,,,1763260076.0047348,,47.0,,
,9549,81.0,17.055075883865356,,,,370,,,1763260077.318384,,81.0,,
