losses/explained_variance,losses/value_loss,charts/learning_rate,charts/episodic_return,_runtime,_timestamp,global_step,charts/episodic_length,losses/clipfrac,charts/SPS,losses/approx_kl,_step,losses/entropy,losses/policy_loss,losses/old_approx_kl
,,,,5.375609874725342,1763260017.0607588,0,,,,,0,,,
,,,27.0,6.300480604171753,1763260017.9856296,174,27.0,,,,7,,,
-0.2611931562423706,1.6021957397460938,0.0002996159892063588,,6.904099464416504,1763260018.5892484,768,,0.0,1027.0,0.0006247470155358315,33,0.6832728981971741,-0.003182917833328247,-0.0022474369034171104
,,,66.0,7.070317029953003,1763260018.755466,1014,66.0,,,,41,,,
0.08121460676193237,1.299293041229248,0.00029938557418063283,,7.264195203781128,1763260018.9493442,1152,,0.001953125,1039.0,0.0010819435119628906,47,0.6650933027267456,0.00999118760228157,-0.009263494983315468
0.24128544330596924,1.3457461595535278,0.00029915515915490687,,7.652059316635132,1763260019.3372083,1536,,0.0,1026.0,0.00024233944714069366,64,0.6309428811073303,-0.004229042679071426,0.005438029766082764
,,,27.0,7.829596996307373,1763260019.514746,1769,27.0,,,,74,,,
,,,14.0,7.917686223983765,1763260019.6028352,1799,14.0,,,,77,,,
,,,44.0,8.172635555267334,1763260019.8577845,2089,44.0,,,,88,,,
,,,23.0,8.44883131980896,1763260020.1339803,2427,23.0,,,,102,,,
,,,33.0,8.53413438796997,1763260020.2192833,2460,33.0,,,,104,,,
,,,47.0,9.301256656646729,1763260020.9864056,3260,47.0,,,,133,,,
,,,50.0,9.679224967956543,1763260021.364374,3708,50.0,,,,147,,,
,,,55.0,9.79452919960022,1763260021.4796782,3763,55.0,,,,149,,,
,,,72.0,9.819297552108765,1763260021.5044465,3835,72.0,,,,150,,,
,,,20.0,9.938130378723145,1763260021.6232793,3954,20.0,,,,155,,,
,,,25.0,10.016978740692139,1763260021.7021277,3979,25.0,,,,157,,,
,,,64.0,11.14154577255249,1763260022.8266947,5208,64.0,,,,195,,,
,,,25.0,11.370018005371094,1763260023.055167,5433,25.0,,,,203,,,
0.46230918169021606,1.0282249450683594,0.0002966205938719213,,11.702088832855225,1763260023.3872378,5760,,0.0,1038.0,0.0018403520807623863,213,0.5484414100646973,0.0027047470211982727,0.013510881923139095
,,,36.0,11.849609851837158,1763260023.5347588,5907,36.0,,,,217,,,
0.9300400018692017,0.9298514127731323,0.0002961597638204694,,12.41019082069397,1763260024.0953398,6528,,0.0234375,1043.0,0.005905281752347946,228,0.5026587843894958,-0.02164565771818161,0.03265819698572159
,,,140.0,12.641981363296509,1763260024.3271303,6795,140.0,,,,233,,,
,,,71.0,13.59831953048706,1763260025.2834685,7889,71.0,,,,251,,,
,,,54.0,14.02315640449524,1763260025.7083054,8291,54.0,,,,259,,,
-0.026745200157165527,2.217259645462036,0.00029493088368326426,,14.329370737075806,1763260026.0145197,8576,,0.0,1049.0,0.0014404542744159698,265,0.5087988972663879,0.003550071269273758,0.001710960641503334
,,,78.0,14.700599670410156,1763260026.3857486,9049,78.0,,,,273,,,
0.054758667945861816,0.9349032044410706,0.000294623663648963,,14.781357049942017,1763260026.466506,9088,,0.0078125,1053.0,0.0020926594734191895,274,0.47664329409599304,-0.03016989678144455,0.01327726524323225
,,,123.0,15.92303466796875,1763260027.6081836,9988,123.0,,,,292,,,
0.8610793352127075,0.5661049485206604,0.00029308756347745657,,17.740173816680908,1763260029.4253228,11648,,0.0,1005.0,7.718801498413086e-05,327,0.5414528250694275,-0.0005279853940010071,-0.0018377453088760376
,,,117.0,17.87468457221985,1763260029.5598335,11793,117.0,,,,330,,,
0.5171868801116943,10.029337882995605,0.00029293395346030593,,17.98721671104431,1763260029.6723657,11904,,0.00390625,1006.0,0.00175444595515728,332,0.4416952431201935,0.005064256489276886,0.007965076714754105
0.874302089214325,0.660066545009613,0.0002927803434431553,,18.2727952003479,1763260029.9579442,12160,,0.0,1003.0,0.0014691343531012535,337,0.451936811208725,-0.025494979694485664,0.002323961816728115
,,,83.0,18.410531044006348,1763260030.09568,12341,83.0,,,,340,,,
0.4529381990432739,5.082159996032715,0.0002917050733231008,,19.933659076690674,1763260031.618808,13952,,0.0,1012.0,0.00042556505650281906,370,0.4864640235900879,0.010850124061107635,-0.005359790287911892
0.6393287181854248,6.725884437561035,0.0002908602182287723,,21.24176859855652,1763260032.9269176,15360,,0.013671875,1018.0,0.005194985307753086,396,0.49216464161872864,-0.03962162882089615,0.010719198733568192
0.9844025373458862,0.3364937901496887,0.0002898617531172931,,22.823500871658325,1763260034.5086498,17024,,0.0,1021.0,0.0006361939013004303,425,0.4446290135383606,-0.01093975268304348,0.007660679519176483
,,,91.0,23.631572246551514,1763260035.3167212,17846,91.0,,,,441,,,
,,,105.0,24.080499410629272,1763260035.7656484,18338,105.0,,,,450,,,
0.9880269765853882,0.4224984347820282,0.0002883256529457867,,25.252209663391113,1763260036.9373586,19584,,0.0,1025.0,0.0005700523033738136,471,0.4608646035194397,-0.001851079985499382,-0.00019535887986421585
0.7238286733627319,2.3599166870117188,0.00028801843291148543,,25.754183053970337,1763260037.439332,20096,,0.005859375,1025.0,0.003995509818196297,481,0.48040682077407837,0.00825268030166626,-0.010135725140571594
0.9846296906471252,0.3170303702354431,0.00028771121287718415,,26.22013521194458,1763260037.9052842,20608,,0.0,1027.0,0.0028368066996335983,490,0.48798471689224243,-0.01813162863254547,0.013652753084897995
,,,81.0,26.771648645401,1763260038.4567976,21198,81.0,,,,504,,,
,,,51.0,27.22367215156555,1763260038.908821,21684,51.0,,,,515,,,
,,,61.0,27.87400221824646,1763260039.5591512,22348,61.0,,,,530,,,
0.9912292957305908,0.5510126352310181,0.0002864055277314037,,28.305562496185303,1763260039.9907115,22784,,0.0,1028.0,0.0009587919339537621,539,0.48733165860176086,0.0014033690094947815,0.00264932494610548
0.9935460090637207,0.3291688859462738,0.00028617511270567775,,28.65485167503357,1763260040.3400006,23168,,0.0,1029.0,0.0007177544757723808,547,0.4736967086791992,0.013601727783679962,-0.0021073268726468086
0.9916836619377136,0.39673295617103577,0.0002859446976799518,,29.04417395591736,1763260040.729323,23552,,0.0,1029.0,0.00029829610139131546,555,0.5041502714157104,-0.005559362471103668,-0.00039141904562711716
0.9918959140777588,0.8247281312942505,0.00028579108766280115,,29.269294023513794,1763260040.954443,23808,,0.0,1030.0,0.0006096288561820984,559,0.4755409359931946,-0.006895877420902252,-0.0035094991326332092
0.9875803589820862,1.0625569820404053,0.0002855606726370752,,29.61982226371765,1763260041.3049712,24192,,0.0,1031.0,4.573166370391846e-05,568,0.5321443676948547,-0.000571422278881073,-0.0036778710782527924
,,,71.0,30.87035083770752,1763260042.5554998,25541,71.0,,,,595,,,
0.9932692646980286,0.5274659395217896,0.0002841013774741441,,31.94969654083252,1763260043.6348455,26624,,0.0,1032.0,0.00045350100845098495,614,0.4211360812187195,-0.0025265291333198547,0.002342688851058483
0.9956796169281006,1.7047977447509766,0.00028348693740554154,,32.85075044631958,1763260044.5358994,27648,,0.0,1035.0,0.0009139999747276306,630,0.4393444359302521,0.0011793039739131927,-0.0008313748985528946
,,,77.0,33.15240812301636,1763260044.837557,28020,77.0,,,,636,,,
,,,99.0,33.364325761795044,1763260045.0494747,28225,99.0,,,,640,,,
,,,138.0,33.82418417930603,1763260045.5093331,28755,138.0,,,,650,,,
0.9989272952079773,0.5344272255897522,0.00028233486227691174,,34.62433099746704,1763260046.30948,29568,,0.03125,1038.0,0.005707506090402603,664,0.3953750431537628,-0.040218889713287354,-0.036550574004650116
,,,68.0,35.61247682571411,1763260047.2976258,30695,68.0,,,,684,,,
0.9952406883239746,1.1111729145050049,0.0002814900071825832,,35.91447734832764,1763260047.5996263,30976,,0.015625,1040.0,0.0029155369848012924,689,0.39198291301727295,0.0005632713437080383,-0.0052766744047403336
,,,83.0,36.32897353172302,1763260048.0141225,31464,83.0,,,,698,,,
,,,120.0,36.78824520111084,1763260048.4733942,31988,120.0,,,,707,,,
,,,165.0,38.22973012924194,1763260049.914879,33501,165.0,,,,729,,,
0.14802515506744385,59.95831298828125,0.0002788786368910223,,39.95102787017822,1763260051.6361768,35328,,0.01171875,1045.0,0.006300211884081364,757,0.47913193702697754,0.007574811577796936,0.0282894317060709
0.06410777568817139,0.8856205344200134,0.00027864822186529636,,40.2859582901001,1763260051.9711072,35712,,0.0,1046.0,0.0003151986747980118,762,0.4838191568851471,-0.0021967049688100815,-0.0009410064667463303
0.06372606754302979,3.6427342891693115,0.0002784178068395704,,40.65604305267334,1763260052.341192,36096,,0.0,1046.0,0.0012786583974957466,767,0.49814289808273315,0.014045940712094307,-0.00401685293763876
,,,386.0,41.28896975517273,1763260052.9741187,36842,386.0,,,,775,,,
0.9228167533874512,0.06503099203109741,0.0002771889267023653,,42.54867219924927,1763260054.2338212,38144,,0.076171875,1048.0,0.010593128390610218,788,0.5265523791313171,0.07300185412168503,0.01608319953083992
0.0225067138671875,0.07475811243057251,0.00027672809665091336,,43.253146171569824,1763260054.9382951,38912,,0.01953125,1048.0,0.011651914566755295,797,0.5184152126312256,-0.031533122062683105,0.08669279515743256
-0.0008332729339599609,0.14792601764202118,0.00027626726659946144,,43.998326539993286,1763260055.6834755,39680,,0.0,1048.0,0.00059535913169384,806,0.5252765417098999,-0.0019473638385534286,0.004690250381827354
,,,128.0,47.99168395996094,1763260059.676833,43878,128.0,,,,863,,,
,,,130.0,48.53652787208557,1763260060.2216768,44439,130.0,,,,872,,,
0.1328829526901245,0.04779776185750961,0.0002731950953602791,,48.89782428741455,1763260060.5829732,44800,,0.05859375,1048.0,0.021074974909424782,876,0.4951069951057434,-0.047039736062288284,-0.04363073781132698
,,,231.0,52.183619022369385,1763260063.868768,48390,231.0,,,,922,,,
0.927627444267273,0.05179769545793533,0.0002705837250687182,,52.851038694381714,1763260064.5361876,49152,,0.04296875,1052.0,0.011986092664301395,930,0.4877479374408722,0.007749453186988831,0.0022350894287228584
,,,274.0,53.49008917808533,1763260065.1752381,49916,274.0,,,,938,,,
,,,134.0,53.67434549331665,1763260065.3594944,50050,134.0,,,,941,,,
0.025860607624053955,0.05721728131175041,0.00026996928500011563,,53.786805152893066,1763260065.471954,50176,,0.0,1053.0,0.0007106754928827286,942,0.4497987627983093,0.008828720077872276,-0.0012013893574476242
,,,145.0,54.187416076660156,1763260065.872565,50636,145.0,,,,948,,,
-0.008026123046875,96.95759582519531,0.00026858679484575987,,55.89272665977478,1763260067.5778756,52480,,0.0,1055.0,0.0032042358070611954,974,0.44986847043037415,0.0017630942165851593,0.012204503640532494
0.8598475456237793,0.050902701914310455,0.0002683563798200339,,56.28108310699463,1763260067.966232,52864,,0.017578125,1054.0,0.0024894429370760918,980,0.5173995494842529,-0.003445131704211235,-0.0024061566218733788
-1.0132789611816406e-05,101.70348358154297,0.00026820276980288327,,56.50986313819885,1763260068.195012,53120,,0.0,1054.0,6.670132279396057e-06,985,0.4838012158870697,8.921325206756592e-05,4.024989902973175e-05
,,,138.0,57.084726333618164,1763260068.7698753,53786,138.0,,,,995,,,
,,,209.0,57.2238347530365,1763260068.9089837,53995,209.0,,,,997,,,
,,,123.0,58.361831188201904,1763260070.0469801,55150,123.0,,,,1015,,,
-0.0007048845291137695,102.13981628417969,0.00026620583957992494,,59.60356688499451,1763260071.2887158,56448,,0.001953125,1056.0,0.0030733104795217514,1031,0.434437096118927,-0.0036741774529218674,-0.012559380382299423
0.26361972093582153,0.019023265689611435,0.0002652841794770211,,60.987908363342285,1763260072.6730573,57984,,0.021484375,1057.0,0.008307828567922115,1050,0.4470050036907196,0.032125018537044525,-0.0038339579477906227
-0.0003095865249633789,98.96394348144531,0.00026513056945987046,,61.21209526062012,1763260072.8972442,58240,,0.0,1057.0,0.00036808475852012634,1053,0.43819814920425415,-0.0035386085510253906,0.00022715330123901367
0.41617631912231445,0.015396282076835632,0.0002648233494255692,,61.69356560707092,1763260073.3787146,58752,,0.046875,1057.0,0.009112277999520302,1058,0.4232700765132904,-0.028357800096273422,-0.003101963549852371
-0.0005953311920166016,6.083325386047363,0.00026359446928836405,,63.533692598342896,1763260075.2188416,60800,,0.0,1059.0,0.001446891576051712,1083,0.4993985593318939,-0.027548229321837425,0.01779717579483986
-0.00045990943908691406,127.61904907226562,0.00026328724925406277,,64.03065323829651,1763260075.7158022,61312,,0.0,1059.0,0.0011569801717996597,1091,0.382313072681427,0.001160789281129837,-0.0013919733464717865
-0.00026023387908935547,6.349750518798828,0.0002626728091854602,,64.97845125198364,1763260076.6636002,62336,,0.0,1059.0,6.809178739786148e-05,1106,0.4021555185317993,0.003093201667070389,-0.0007460629567503929
,,,94.0,65.68400192260742,1763260077.3691509,63132,94.0,,,,1118,,,
-0.00024175643920898438,25.02830696105957,0.0002618279540911317,,66.27971196174622,1763260077.964861,63744,,0.0,1060.0,0.0007793782278895378,1125,0.44773831963539124,0.005197364836931229,-0.005536467768251896
0.0006384849548339844,0.3922736942768097,0.0002614439290482551,,66.88068342208862,1763260078.5658324,64384,,0.080078125,1060.0,0.010070132091641426,1133,0.3907283544540405,-0.030414754524827003,0.0542900487780571
-0.002190828323364258,27.327096939086914,0.0002608294889796525,,67.78066086769104,1763260079.4658098,65408,,0.078125,1061.0,0.026634877547621727,1145,0.46629229187965393,-0.016460992395877838,0.05597718060016632
0.9555972814559937,0.007542259991168976,0.000259984633885324,,69.09770274162292,1763260080.7828517,66816,,0.099609375,1061.0,0.03229624778032303,1164,0.5159701704978943,-0.023923873901367188,0.0744086354970932
,,,339.0,69.10253190994263,1763260080.7876809,66822,339.0,,,,1165,,,
,,,174.0,69.46885347366333,1763260081.1540024,67256,174.0,,,,1172,,,
0.9352636933326721,0.03123166598379612,0.00025937019381672144,,70.03921747207642,1763260081.7243664,67840,,0.1171875,1061.0,0.03859960287809372,1181,0.4438270926475525,-0.08807016909122467,0.017879081889986992
0.14390325546264648,0.018620997667312622,0.0002591397787909955,,70.36286520957947,1763260082.0480142,68224,,0.134765625,1062.0,0.01604577526450157,1186,0.4233950972557068,-0.030752629041671753,0.05787605047225952
0.11085808277130127,5.63419771194458,0.0002587557537481189,,70.96716809272766,1763260082.652317,68864,,0.0,1062.0,0.0016559157520532608,1197,0.44515466690063477,-0.0190468467772007,-0.016422919929027557
,,,116.0,71.70020174980164,1763260083.3853507,69707,116.0,,,,1213,,,
,,,114.0,71.81045746803284,1763260083.4956064,69821,114.0,,,,1215,,,
0.21194243431091309,11.332597732543945,0.00025783409364521503,,72.4125554561615,1763260084.0977044,70400,,0.0,1062.0,0.0016547664999961853,1226,0.4054756760597229,-0.006628174334764481,0.013375936076045036
,,,100.0,72.55981588363647,1763260084.2449648,70618,100.0,,,,1230,,,
,,,110.0,72.6846649646759,1763260084.369814,70771,110.0,,,,1234,,,
0.20616978406906128,84.87770080566406,0.0002572964585851878,,73.27957439422607,1763260084.9647233,71296,,0.0,1062.0,0.00017101876437664032,1245,0.4876628518104553,-0.0021109115332365036,0.0015954915434122086
,,,107.0,73.65987610816956,1763260085.345025,71776,107.0,,,,1254,,,
,,,101.0,74.59217691421509,1763260086.2773259,72707,101.0,,,,1271,,,
,,,54.0,75.82798457145691,1763260087.5131335,74068,54.0,,,,1299,,,
,,,96.0,77.80118727684021,1763260089.4863362,76140,96.0,,,,1339,,,
0.9245814681053162,31.489309310913086,0.0002543778682593256,,77.87694215774536,1763260089.562091,76160,,0.0,1061.0,0.0005874307826161385,1340,0.4403191804885864,0.0034991614520549774,0.010517383925616741
,,,96.0,78.98814511299133,1763260090.673294,77378,96.0,,,,1363,,,
,,,92.0,79.09071922302246,1763260090.7758682,77470,92.0,,,,1365,,,
,,,107.0,79.35971736907959,1763260091.0448663,77787,107.0,,,,1370,,,
0.9765464067459106,15.652751922607422,0.0002530721831135452,,79.94029068946838,1763260091.6254396,78336,,0.0,1061.0,0.00035298243165016174,1380,0.5281434059143066,-0.007649872452020645,-0.0010945983231067657
,,,97.0,79.96197009086609,1763260091.647119,78391,97.0,,,,1381,,,
0.9797586798667908,0.3155006468296051,0.0002528417680878192,,80.28985166549683,1763260091.9750006,78720,,0.013671875,1061.0,0.006095550954341888,1388,0.49890926480293274,-0.008702553808689117,0.019368214532732964
0.8713608384132385,1.6197383403778076,0.00025261135306209326,,80.68232750892639,1763260092.3674765,79104,,0.013671875,1061.0,0.003986924886703491,1395,0.5017158389091492,0.005946233868598938,-0.029161300510168076
,,,170.0,80.93144106864929,1763260092.61659,79408,170.0,,,,1399,,,
,,,123.0,81.28434991836548,1763260092.9694989,79822,123.0,,,,1405,,,
0.9708079695701599,0.22023190557956696,0.000250998476985842,,83.2259213924408,1763260094.9110703,81792,,0.0,1061.0,0.0012607937678694725,1432,0.6024458408355713,0.011480886489152908,-0.0025656772777438164
,,,185.0,83.23526644706726,1763260094.9204154,81813,185.0,,,,1433,,,
0.38133376836776733,0.007819143123924732,0.0002500000118743628,,84.7826554775238,1763260096.4678044,83456,,0.2578125,1061.0,0.055344536900520325,1455,0.4928441345691681,-0.12141164392232895,0.11577450484037399
-0.03352189064025879,0.002583775669336319,0.0002499232068657875,,84.90244793891907,1763260096.587597,83584,,0.21484375,1061.0,0.04106118902564049,1456,0.5646322965621948,-0.03525253012776375,0.04389811307191849
,,,500.0,84.91885590553284,1763260096.6040049,83625,500.0,,,,1457,,,
0.5742939710617065,0.01037620846182108,0.00024662059149704874,,89.9041473865509,1763260101.5892963,89088,,0.0,1063.0,0.0009361309930682182,1514,0.5314885377883911,-0.015021083876490593,-0.0012220880016684532
0.2686699628829956,0.00043558303150348365,0.0002461597614455968,,90.6216812133789,1763260102.3068302,89856,,0.017578125,1063.0,0.0025920532643795013,1521,0.4136785864830017,-0.0016999542713165283,-0.001573583111166954
,,,500.0,91.11521625518799,1763260102.8003652,90407,500.0,,,,1527,,,
-0.30751824378967285,0.012160371989011765,0.0002456989313941449,,91.32935523986816,1763260103.0145042,90624,,0.0234375,1063.0,0.012026605196297169,1529,0.37415409088134766,-0.05168100446462631,0.02471350133419037
-0.21007943153381348,0.007472030818462372,0.0002453917113598436,,91.77965664863586,1763260103.4648056,91136,,0.1328125,1064.0,0.024619711562991142,1534,0.33362939953804016,-0.04417916387319565,0.07727834582328796
-0.24078738689422607,5.48770185559988e-05,0.00024523810134269297,,92.00278663635254,1763260103.6879356,91392,,0.05078125,1064.0,0.0034325923770666122,1536,0.3568981885910034,0.006645377725362778,-0.013259358704090118
-0.00023949146270751953,7.753970146179199,0.00024485407629981637,,92.60163640975952,1763260104.2867854,92032,,0.017578125,1064.0,0.0027134977281093597,1543,0.2770191431045532,-0.014044376090168953,-0.0007303077727556229
-0.020772218704223633,0.0007726222393102944,0.00024470046628266573,,92.82354426383972,1763260104.5086932,92288,,0.0234375,1064.0,0.010135022923350334,1545,0.35292670130729675,-0.017177682369947433,0.01964939385652542
,,,500.0,92.86483788490295,1763260104.5499868,92407,500.0,,,,1546,,,
0.43036144971847534,0.0074450247921049595,0.00024393241619691253,,93.98499512672424,1763260105.670144,93568,,0.029296875,1065.0,0.010809455998241901,1558,0.31557366251945496,-0.028167784214019775,0.02510698512196541
0.24676525592803955,9.761046385392547e-05,0.0002438556111883372,,94.09893751144409,1763260105.7840865,93696,,0.0078125,1065.0,0.0008966494351625443,1559,0.37400132417678833,-0.0056169647723436356,0.006294826045632362
