charts/SPS,_timestamp,charts/episodic_length,global_step,losses/old_approx_kl,losses/value_loss,losses/clipfrac,losses/policy_loss,_step,charts/learning_rate,losses/entropy,charts/episodic_return,losses/explained_variance,losses/approx_kl,_runtime
,1763260017.958779,,0,,,,,0,,,,,,6.202069997787476
,1763260018.9300406,19.0,216,,,,,7,,,19.0,,,7.1733314990997314
,1763260019.4290836,53.0,729,,,,,33,,,53.0,,,7.672374486923218
,1763260019.5690818,24.0,891,,,,,41,,,24.0,,,7.81237268447876
,1763260019.7684395,38.0,1045,,,,,47,,,38.0,,,8.011730432510376
,1763260020.2484038,32.0,1563,,,,,64,,,32.0,,,8.491694688796997
,1763260020.5089447,25.0,1800,,,,,74,,,25.0,,,8.752235651016235
,1763260020.542288,42.0,1877,,,,,77,,,42.0,,,8.785578966140747
,1763260020.7868207,17.0,2143,,,,,88,,,17.0,,,9.03011155128479
,1763260021.040734,25.0,2416,,,,,102,,,25.0,,,9.284024953842163
,1763260021.1189415,22.0,2438,,,,,104,,,22.0,,,9.362232446670532
1022.0,1763260021.6484058,,2944,-0.007706534117460251,1.9909250736236572,0.0,-0.005403529852628708,133,0.00029831030406057835,0.5956571698188782,,-0.011345148086547852,0.0010990258306264877,9.891696691513062
,1763260021.8201823,20.0,3163,,,,,147,,,20.0,,,10.063473224639893
1019.0,1763260021.9060206,18.0,3200,-0.0007679620757699013,1.1718204021453857,0.0,-0.0001620948314666748,149,0.0002981566940434277,0.6238800287246704,18.0,0.08103865385055542,1.6412697732448578e-05,10.149311542510986
,1763260021.9140322,15.0,3215,,,,,150,,,15.0,,,10.157323122024536
,1763260021.9534268,15.0,3304,,,,,155,,,15.0,,,10.196717739105225
1019.0,1763260022.031515,,3328,-0.00027990154922008514,1.8383715152740479,0.0,0.0029609762132167816,157,0.0002980798890348524,0.5654643177986145,,0.03758049011230469,0.0005167871713638306,10.274805784225464
,1763260022.6307104,22.0,3954,,,,,195,,,22.0,,,10.874001264572144
,1763260022.8338206,30.0,4109,,,,,203,,,30.0,,,11.07711148262024
,1763260022.9908419,37.0,4316,,,,,213,,,37.0,,,11.234132766723633
,1763260023.0840697,25.0,4372,,,,,217,,,25.0,,,11.3273606300354
,1763260023.2483032,19.0,4595,,,,,228,,,19.0,,,11.491594076156616
,1763260023.3497906,12.0,4668,,,,,233,,,12.0,,,11.5930814743042
1005.0,1763260023.7341611,,4992,0.005658880807459354,1.759781002998352,0.0,-0.008229929953813553,251,0.0002970814239233732,0.5761243104934692,,0.4181898236274719,0.0005408572033047676,11.977452039718628
,1763260023.87108,27.0,5140,,,,,259,,,27.0,,,12.114370822906494
,1763260023.9963586,36.0,5274,,,,,265,,,36.0,,,12.239649534225464
,1763260024.1418495,44.0,5460,,,,,273,,,44.0,,,12.385140419006348
,1763260024.153406,30.0,5490,,,,,274,,,30.0,,,12.39669680595398
,1763260024.6954908,37.0,5953,,,,,292,,,37.0,,,12.93878173828125
1016.0,1763260026.1948726,,7552,0.007421138696372509,2.0640370845794678,0.0,-0.027781441807746887,327,0.0002955453237518668,0.5253159403800964,,-0.07295835018157959,0.0014443723484873772,14.43816351890564
,1763260026.3209143,80.0,7706,,,,,330,,,80.0,,,14.564205169677734
1019.0,1763260026.426003,,7808,0.004848157055675983,7.389416694641113,0.0,-0.008437268435955048,332,0.0002953917137347162,0.4713437557220459,,-0.09336245059967041,0.0005609849467873573,14.669293880462646
,1763260026.6941261,182.0,8189,,,,,337,,,182.0,,,14.937417030334473
,1763260026.8992405,148.0,8337,,,,,340,,,148.0,,,15.142531394958496
,1763260028.8597047,132.0,10025,,,,,370,,,132.0,,,17.10299563407898
,1763260030.306735,34.0,11388,,,,,396,,,34.0,,,18.550025939941406
,1763260031.6470866,46.0,12675,,,,,425,,,46.0,,,19.890377521514893
988.0,1763260032.49564,,13568,-0.0122622549533844,14.205219268798828,0.0,-0.001562267541885376,441,0.00029193548834882677,0.4982559382915497,,-0.008641839027404785,0.0023143086582422256,20.73893094062805
992.0,1763260032.9574857,,14080,-0.006513039581477642,1.5824227333068848,0.0,-0.004385175183415413,450,0.0002916282683145255,0.5549972057342529,,0.8415064215660095,0.00029704999178647995,21.20077657699585
996.0,1763260033.9205766,,15104,0.006260160356760025,7.323803424835205,0.0,-0.019280612468719482,471,0.0002910138282459229,0.5466171503067017,,0.6221283078193665,0.000498039647936821,22.163867473602295
,1763260034.4455922,76.0,15665,,,,,481,,,76.0,,,22.688883066177368
