charts/episodic_return,global_step
27,27
43,70
36,106
10,116
16,132
29,161
12,173
18,191
22,213
12,225
14,239
13,252
14,266
13,279
10,289
37,326
13,339
26,365
36,401
32,433
32,465
88,553
17,570
21,591
15,606
40,646
12,658
47,705
18,723
37,760
11,771
44,815
30,845
13,858
22,880
14,894
12,906
11,917
49,966
15,981
16,997
18,1015
13,1028
19,1047
25,1072
39,1111
45,1156
20,1176
33,1209
12,1221
35,1256
12,1268
18,1286
17,1303
15,1318
17,1335
21,1356
35,1391
18,1409
30,1439
38,1477
18,1495
60,1555
23,1578
19,1597
18,1615
32,1647
29,1676
13,1689
17,1706
13,1719
28,1747
45,1792
23,1815
16,1831
12,1843
20,1863
17,1880
10,1890
13,1903
11,1914
16,1930
21,1951
13,1964
15,1979
27,2006
18,2024
13,2037
25,2062
19,2081
11,2092
14,2106
23,2129
34,2163
23,2186
16,2202
17,2219
14,2233
30,2263
21,2284
14,2298
17,2315
21,2336
12,2348
18,2366
62,2428
28,2456
45,2501
12,2513
17,2530
15,2545
15,2560
20,2580
24,2604
35,2639
22,2661
26,2687
25,2712
22,2734
21,2755
24,2779
28,2807
18,2825
27,2852
14,2866
40,2906
20,2926
21,2947
15,2962
33,2995
27,3022
25,3047
56,3103
71,3174
23,3197
42,3239
57,3296
42,3338
31,3369
22,3391
73,3464
40,3504
43,3547
34,3581
63,3644
77,3721
66,3787
38,3825
77,3902
68,3970
77,4047
69,4116
59,4175
47,4222
103,4325
68,4393
74,4467
255,4722
40,4762
49,4811
46,4857
111,4968
70,5038
78,5116
59,5175
155,5330
72,5402
70,5472
127,5599
62,5661
367,6028
93,6121
115,6236
143,6379
165,6544
234,6778
140,6918
76,6994
151,7145
84,7229
103,7332
172,7504
73,7577
98,7675
68,7743
106,7849
130,7979
110,8089
89,8178
81,8259
141,8400
108,8508
144,8652
146,8798
317,9115
123,9238
169,9407
203,9610
139,9749
230,9979
123,10102
189,10291
218,10509
187,10696
210,10906
274,11180
226,11406
130,11536
189,11725
146,11871
118,11989
207,12196
193,12389
195,12584
153,12737
162,12899
52,12951
78,13029
63,13092
59,13151
117,13268
143,13411
105,13516
127,13643
90,13733
84,13817
102,13919
68,13987
109,14096
79,14175
137,14312
80,14392
145,14537
76,14613
130,14743
118,14861
99,14960
135,15095
144,15239
112,15351
123,15474
139,15613
141,15754
113,15867
129,15996
90,16086
107,16193
123,16316
121,16437
106,16543
129,16672
66,16738
121,16859
112,16971
130,17101
107,17208
130,17338
129,17467
137,17604
137,17741
97,17838
120,17958
122,18080
131,18211
136,18347
62,18409
131,18540
67,18607
121,18728
75,18803
152,18955
143,19098
116,19214
57,19271
56,19327
117,19444
116,19560
140,19700
101,19801
119,19920
71,19991
132,20123
106,20229
124,20353
71,20424
133,20557
64,20621
124,20745
52,20797
62,20859
85,20944
116,21060
45,21105
131,21236
59,21295
45,21340
75,21415
119,21534
74,21608
112,21720
113,21833
111,21944
115,22059
121,22180
112,22292
36,22328
108,22436
51,22487
106,22593
92,22685
107,22792
127,22919
104,23023
99,23122
125,23247
143,23390
109,23499
116,23615
79,23694
133,23827
136,23963
115,24078
152,24230
146,24376
178,24554
460,25014
139,25153
241,25394
180,25574
145,25719
183,25902
241,26143
314,26457
149,26606
384,26990
224,27214
375,27589
335,27924
500,28424
243,28667
232,28899
158,29057
125,29182
121,29303
135,29438
140,29578
152,29730
136,29866
122,29988
154,30142
134,30276
168,30444
115,30559
122,30681
84,30765
117,30882
126,31008
120,31128
130,31258
134,31392
141,31533
96,31629
115,31744
69,31813
150,31963
115,32078
186,32264
136,32400
110,32510
113,32623
73,32696
146,32842
116,32958
117,33075
92,33167
134,33301
150,33451
135,33586
118,33704
111,33815
93,33908
105,34013
118,34131
114,34245
195,34440
145,34585
133,34718
104,34822
134,34956
108,35064
125,35189
132,35321
114,35435
137,35572
116,35688
120,35808
110,35918
112,36030
110,36140
110,36250
113,36363
125,36488
119,36607
59,36666
123,36789
117,36906
56,36962
41,37003
54,37057
91,37148
106,37254
99,37353
119,37472
96,37568
103,37671
42,37713
105,37818
35,37853
111,37964
103,38067
125,38192
109,38301
107,38408
54,38462
119,38581
138,38719
132,38851
133,38984
139,39123
138,39261
130,39391
136,39527
129,39656
119,39775
136,39911
134,40045
138,40183
197,40380
200,40580
178,40758
326,41084
260,41344
325,41669
168,41837
181,42018
177,42195
213,42408
170,42578
137,42715
173,42888
163,43051
172,43223
187,43410
172,43582
152,43734
124,43858
123,43981
157,44138
143,44281
125,44406
140,44546
129,44675
116,44791
114,44905
142,45047
145,45192
133,45325
100,45425
115,45540
120,45660
121,45781
105,45886
118,46004
120,46124
131,46255
106,46361
131,46492
116,46608
141,46749
151,46900
132,47032
144,47176
130,47306
129,47435
164,47599
164,47763
201,47964
205,48169
260,48429
305,48734
314,49048
290,49338
221,49559
189,49748
169,49917
173,50090
139,50229
141,50370
127,50497
135,50632
126,50758
122,50880
123,51003
132,51135
135,51270
101,51371
111,51482
108,51590
119,51709
125,51834
134,51968
148,52116
132,52248
141,52389
164,52553
142,52695
142,52837
137,52974
141,53115
123,53238
164,53402
130,53532
146,53678
156,53834
169,54003
164,54167
192,54359
269,54628
274,54902
500,55402
197,55599
202,55801
500,56301
437,56738
78,56816
176,56992
169,57161
143,57304
156,57460
83,57543
59,57602
79,57681
158,57839
64,57903
120,58023
79,58102
68,58170
67,58237
179,58416
179,58416
23,58439
249,58688
193,58881
164,59045
151,59196
109,59305
30,59335
109,59444
27,59471
112,59583
107,59690
108,59798
108,59906
110,60016
37,60053
31,60084
36,60120
95,60215
39,60254
99,60353
99,60452
96,60548
116,60664
106,60770
37,60807
108,60915
114,61029
100,61129
98,61227
112,61339
103,61442
117,61559
102,61661
100,61761
110,61871
148,62019
129,62148
146,62294
190,62484
203,62687
229,62916
200,63116
214,63330
500,63830
500,64330
500,64830
271,65101
308,65409
500,65909
166,66075
220,66295
215,66510
272,66782
414,67196
500,67696
236,67932
500,68432
500,68932
500,69432
500,69932
500,70432
500,70932
500,71432
500,71932
500,72432
500,72932
500,73432
500,73932
500,74432
500,74932
500,75432
500,75932
500,76432
500,76932
500,77432
500,77932
500,78432
500,78932
500,79432
500,79932
500,80432
500,80932
500,81432
500,81932
500,82432
500,82932
500,83432
500,83932
