global_step,losses/approx_kl,losses/value_loss,charts/SPS,charts/episodic_length,charts/episodic_return,losses/explained_variance,_step,losses/policy_loss,_timestamp,losses/clipfrac,charts/learning_rate,losses/old_approx_kl,_runtime,losses/entropy
0,,,,,,,0,,1763260016.5452905,,,,4.830719470977783,
125,,,,16.0,16.0,,7,,1763260017.375528,,,,5.660957098007202,
676,,,,18.0,18.0,,33,,1763260017.9804344,,,,6.265863418579102,
854,,,,35.0,35.0,,41,,1763260018.1266904,,,,6.412119388580322,
1009,,,,15.0,15.0,,47,,1763260018.2594776,,,,6.5449066162109375,
1452,,,,16.0,16.0,,64,,1763260018.7210822,,,,7.006511211395264,
1707,,,,24.0,24.0,,74,,1763260018.9930713,,,,7.278500318527222,
1792,0.00032522715628147125,1.402780532836914,1010.0,,,-0.07772946357727051,77,-0.011391187086701393,1763260019.093469,0.0,0.00029900154913775623,0.005697302520275116,7.3788979053497314,0.6194807887077332
2270,,,,74.0,74.0,,88,,1763260019.477954,,,,7.763382911682129,
2816,6.642565131187439e-05,1.7103885412216187,1033.0,,,-0.013664007186889648,102,0.0008649174124002457,1763260020.0458562,0.0,0.00029838710906915367,-0.00276300311088562,8.331285238265991,0.5467356443405151
2944,0.00016149040311574936,1.3129242658615112,1036.0,,,0.19786912202835083,104,-0.00047992169857025146,1763260020.1596932,0.0,0.00029831030406057835,-0.0006930762901902199,8.445122241973877,0.5311210751533508
4346,,,,49.0,49.0,,133,,1763260021.3932972,,,,9.678726196289062,
5122,,,,79.0,79.0,,147,,1763260022.1745858,,,,10.460014820098877,
5248,0.00027505867183208466,1.1567161083221436,1056.0,,,0.033783674240112305,149,-0.00014374405145645142,1763260022.287821,0.001953125,0.0002969278139062226,-0.010370077565312386,10.57325005531311,0.47653061151504517
5312,,,,78.0,78.0,,150,,1763260022.3127446,,,,10.59817361831665,
5516,,,,67.0,67.0,,155,,1763260022.527277,,,,10.812705993652344,
5654,,,,138.0,138.0,,157,,1763260022.6435647,,,,10.928993701934814,
6296,,,,67.0,67.0,,172,,1763260023.2475994,,,,11.533028364181519,
7424,0.0028388025239109993,2.3520116806030273,1064.0,,,0.7900388240814209,195,0.0018956344574689865,1763260024.2935622,0.025390625,0.00029562212876044214,0.004498075693845749,12.578991174697876,0.36937201023101807
