losses/entropy,losses/policy_loss,losses/approx_kl,charts/learning_rate,losses/value_loss,_step,global_step,charts/episodic_length,_timestamp,charts/SPS,losses/clipfrac,charts/episodic_return,losses/old_approx_kl,losses/explained_variance,_runtime
,,,,,0,0,,1763260017.5755079,,,,,,5.860850811004639
,,,,,7,172,81.0,1763260018.520422,,,81.0,,,6.80576491355896
,,,,,33,620,24.0,1763260018.9451149,,,24.0,,,7.230457782745361
,,,,,41,781,47.0,1763260019.1551676,,,47.0,,,7.440510511398315
0.6773664355278015,-0.012800335884094238,0.0017941920086741447,0.00029953918419778347,1.4478551149368286,47,896,,1763260019.2722495,999.0,0.0,,0.007671891711652279,0.36632490158081055,7.557592391967773
,,,,,64,1275,30.0,1763260019.569682,,,30.0,,,7.855024814605713
,,,,,74,1520,56.0,1763260019.80707,,,56.0,,,8.092412948608398
,,,,,77,1566,33.0,1763260019.9266315,,,33.0,,,8.211974382400513
,,,,,88,1872,56.0,1763260020.1930494,,,56.0,,,8.478392362594604
,,,,,102,2165,16.0,1763260020.4554548,,,16.0,,,8.740797758102417
,,,,,104,2185,20.0,1763260020.5343611,,,20.0,,,8.819704055786133
,,,,,133,2675,15.0,1763260021.0051386,,,15.0,,,9.290481567382812
,,,,,147,2868,17.0,1763260021.2484615,,,17.0,,,9.533804416656494
,,,,,149,2899,15.0,1763260021.2620542,,,15.0,,,9.547397136688232
,,,,,150,2919,20.0,1763260021.2701535,,,20.0,,,9.555496454238892
,,,,,155,2990,20.0,1763260021.3750885,,,20.0,,,9.660431385040283
,,,,,157,3032,24.0,1763260021.3954024,,,24.0,,,9.680745363235474
,,,,,195,3622,19.0,1763260022.0871851,,,19.0,,,10.372528076171875
,,,,,203,3748,22.0,1763260022.2134893,,,22.0,,,10.49883222579956
,,,,,213,3957,25.0,1763260022.3810055,,,25.0,,,10.666348457336426
,,,,,217,4035,38.0,1763260022.4919403,,,38.0,,,10.777283191680908
,,,,,228,4229,21.0,1763260022.7272842,,,21.0,,,11.012627124786377
,,,,,233,4345,22.0,1763260022.7762914,,,22.0,,,11.061634302139282
,,,,,251,4715,21.0,1763260023.1747563,,,21.0,,,11.460099220275879
,,,,,259,4867,24.0,1763260023.3757641,,,24.0,,,11.661107063293457
,,,,,265,4996,16.0,1763260023.5055907,,,16.0,,,11.790933609008789
,,,,,273,5193,26.0,1763260023.6557293,,,26.0,,,11.941072225570679
,,,,,274,5239,46.0,1763260023.6733937,,,46.0,,,11.958736658096313
,,,,,292,5639,19.0,1763260024.1422276,,,19.0,,,12.427570581436157
0.5279372334480286,-0.04233413189649582,0.006586137227714062,0.0002959293487947434,0.902202844619751,327,6912,,1763260025.4124289,982.0,0.015625,,0.003757786937057972,0.7997727394104004,13.697771787643433
0.5031954050064087,0.011896558105945587,0.00224187970161438,0.0002958525437861681,1.2040728330612183,330,7040,,1763260025.5310996,983.0,0.0,,-0.005723031237721443,0.9024863839149475,13.816442489624023
0.5407219529151917,0.003847021609544754,0.0002482933923602104,0.0002957757387775928,1.199044108390808,332,7168,,1763260025.6480496,985.0,0.0,,-0.003598948009312153,-0.12446105480194092,13.933392524719238
,,,,,337,7498,226.0,1763260025.9052498,,,226.0,,,14.190592765808105
,,,,,340,7678,113.0,1763260026.039723,,,113.0,,,14.325065851211548
,,,,,370,9321,106.0,1763260027.6155999,,,106.0,,,15.9009428024292
,,,,,396,10688,100.0,1763260029.599037,,,100.0,,,17.884379863739014
,,,,,425,12316,60.0,1763260031.2350352,,,60.0,,,19.52037811279297
0.5644630789756775,0.005756840109825134,0.00016084406524896622,0.0002921659033745527,0.49721384048461914,441,13184,,1763260032.0813632,961.0,0.0,,0.0011026551946997643,0.9453604221343994,20.366706132888794
0.5525712966918945,-0.007414855994284153,0.00030048098415136337,0.00029185868334025145,0.584470272064209,450,13696,,1763260032.542485,966.0,0.0,,0.008243690244853497,0.41381341218948364,20.82782793045044
0.5083259344100952,0.013944447040557861,0.012906473129987717,0.00029116743826307356,0.518032431602478,471,14848,,1763260033.6493995,972.0,0.02734375,,-0.01666439324617386,0.9445694088935852,21.93474245071411
0.5088510513305664,-0.010443124920129776,0.006178124807775021,0.00029078341322019696,1.231827735900879,481,15488,,1763260034.2656865,974.0,0.041015625,,0.018284201622009277,0.9217758178710938,22.551029443740845
0.4805172085762024,-0.036488860845565796,0.004008936695754528,0.0002904761931858957,2.663489580154419,490,16000,,1763260034.7270837,978.0,0.017578125,,0.02425500378012657,0.830134391784668,23.012426614761353
0.5534254312515259,-0.03861856460571289,0.005913829430937767,0.00028993855812586844,0.4760199189186096,504,16896,,1763260035.5901322,981.0,0.009765625,,0.022006789222359657,0.9847831130027771,23.87547516822815
,,,,,515,17499,108.0,1763260036.1331568,,,108.0,,,24.41849970817566
,,,,,530,18355,86.0,1763260036.9721272,,,86.0,,,25.25747013092041
0.5121067762374878,-0.006050553172826767,0.0003139795735478401,0.0002887096779886633,11.983396530151367,539,18944,,1763260037.5244317,989.0,0.0,,0.003961595706641674,0.7604333162307739,25.80977463722229
,,,,,547,19417,129.0,1763260037.90044,,,129.0,,,26.18578290939331
0.49619609117507935,-0.0405709445476532,0.0063729677349328995,0.0002881720429286361,8.23249626159668,555,19840,,1763260038.376259,991.0,0.005859375,,0.018512427806854248,0.49357372522354126,26.661602020263672
,,,,,559,20056,102.0,1763260038.5338745,,,102.0,,,26.819217443466187
,,,,,568,20524,111.0,1763260039.0212054,,,111.0,,,27.306548357009888
,,,,,595,22074,120.0,1763260040.509974,,,120.0,,,28.79531693458557
,,,,,614,23138,94.0,1763260041.5139837,,,94.0,,,29.7993266582489
0.4479684829711914,-0.004214920103549957,0.0005775922909379005,0.0002856374776456505,2.4122936725616455,630,24064,,1763260042.4540722,999.0,0.0,,-0.0013543115928769112,0.8786532282829285,30.739415168762207
,,,,,636,24396,68.0,1763260042.714022,,,68.0,,,30.999364852905273
0.49144962430000305,-0.00789153017103672,0.0019019832834601402,0.0002853302576113492,8.132753372192383,640,24576,,1763260042.9136732,1001.0,0.005859375,,-0.006512376479804516,0.7986680269241333,31.199016094207764
,,,,,650,24964,67.0,1763260043.3034983,,,67.0,,,31.588841199874878
,,,,,664,25531,76.0,1763260043.7929971,,,76.0,,,32.07834005355835
,,,,,684,26447,90.0,1763260044.6838973,,,90.0,,,32.96924018859863
,,,,,689,26658,77.0,1763260044.9029114,,,77.0,,,33.18825435638428
0.4945073127746582,0.0013783574104309082,4.865042865276337e-05,0.0002837941574398428,0.27572065591812134,698,27136,,1763260045.3705184,1005.0,0.0,,0.0021342188119888306,0.9964984655380249,33.655861377716064
,,,,,707,27575,88.0,1763260045.7520683,,,88.0,,,34.03741121292114
,,,,,729,28437,85.0,1763260046.5910244,,,85.0,,,34.87636733055115
,,,,,757,29527,59.0,1763260047.6460378,,,59.0,,,35.93138074874878
0.5069465637207031,-0.00012602657079696655,0.0015811845660209656,0.0002822580572683364,0.968508243560791,762,29696,,1763260047.8467221,1007.0,0.0,,-0.01668073609471321,0.9749919176101685,36.13206505775452
,,,,,767,29916,67.0,1763260047.9971118,,,67.0,,,36.2824547290802
,,,,,775,30264,85.0,1763260048.3330991,,,85.0,,,36.61844205856323
,,,,,788,30827,58.0,1763260048.8526504,,,58.0,,,37.13799333572388
0.49753624200820923,-0.008309975266456604,0.0004539536312222481,0.00028133639716543257,0.5006364583969116,797,31232,,1763260049.2724955,1010.0,0.0,,0.0017137406393885612,0.9963999390602112,37.557838439941406
,,,,,806,31605,83.0,1763260049.5514302,,,83.0,,,37.83677315711975
,,,,,863,33731,79.0,1763260051.6171658,,,79.0,,,39.90250873565674
,,,,,872,34119,65.0,1763260052.0170603,,,65.0,,,40.30240321159363
,,,,,876,34269,54.0,1763260052.1512852,,,54.0,,,40.436628103256226
,,,,,922,35762,27.0,1763260053.6470447,,,27.0,,,41.932387590408325
,,,,,930,36168,78.0,1763260054.059297,,,78.0,,,42.344640016555786
,,,,,938,36575,85.0,1763260054.4246705,,,85.0,,,42.7100133895874
0.4323705732822418,-0.012295786291360855,0.0025715185329318047,0.0002780337817966938,0.6156064867973328,941,36736,,1763260054.6279328,1013.0,0.001953125,,-0.010989961214363575,0.9958307147026062,42.913275718688965
,,,,,942,36745,90.0,1763260054.6342063,,,90.0,,,42.919549226760864
,,,,,948,37058,78.0,1763260054.8968642,,,78.0,,,43.182207107543945
,,,,,974,38876,100.0,1763260056.7282255,,,100.0,,,45.01356840133667
,,,,,980,39190,100.0,1763260057.1122117,,,100.0,,,45.39755463600159
,,,,,985,39491,92.0,1763260057.3905091,,,92.0,,,45.67585206031799
0.5500462055206299,0.0022419802844524384,0.015283824875950813,0.00027603688067756593,0.7886600494384766,995,40064,,1763260057.9698498,1011.0,0.048828125,,0.0009284848347306252,0.3032594919204712,46.25519275665283
0.5462164282798767,0.013822527602314949,0.007925347425043583,0.0002759600756689906,49.65765380859375,997,40192,,1763260058.1286285,1011.0,0.0390625,,0.039908669888973236,0.36104875802993774,46.41397142410278
,,,,,1015,41348,171.0,1763260059.3973687,,,171.0,,,47.682711601257324
,,,,,1031,42393,158.0,1763260060.3287292,,,158.0,,,48.61407208442688
