losses/old_approx_kl,_runtime,_step,losses/entropy,losses/clipfrac,losses/value_loss,charts/SPS,charts/learning_rate,global_step,losses/policy_loss,losses/explained_variance,losses/approx_kl,_timestamp,charts/episodic_return,charts/episodic_length
,4.963890314102173,0,,,,,,0,,,,1763260016.5129032,,
,5.794217348098755,7,,,,,,126,,,,1763260017.3432302,15.0,15.0
,6.295193672180176,33,,,,,,560,,,,1763260017.8442066,11.0,11.0
,6.436628341674805,41,,,,,,729,,,,1763260017.9856412,12.0,12.0
,6.555699586868286,47,,,,,,840,,,,1763260018.1047125,13.0,13.0
,6.92744517326355,64,,,,,,1221,,,,1763260018.476458,19.0,19.0
,7.184553146362305,74,,,,,,1523,,,,1763260018.733566,51.0,51.0
,7.307199239730835,77,,,,,,1577,,,,1763260018.8562121,23.0,23.0
-0.003143451176583767,7.64236044883728,88,0.6533096432685852,0.0,2.278406858444214,1006.0,0.0002989247441291809,1920,-0.006538989022374153,-0.20098137855529785,0.0005179634317755699,1763260019.1913733,,
,7.928767681121826,102,,,,,,2284,,,,1763260019.4777806,48.0,48.0
,8.016384363174438,104,,,,,,2330,,,,1763260019.5653973,46.0,46.0
0.0026949848979711533,8.753767013549805,133,0.6157853007316589,0.0,2.327782154083252,1017.0,0.000298233499052003,3072,0.0012088268995285034,0.04686737060546875,8.117593824863434e-05,1763260020.30278,,
-0.0015607988461852074,9.115682601928711,147,0.6077693104743958,0.0,2.1090800762176514,1022.0,0.00029800308402627707,3456,-0.007477492094039917,0.0545232892036438,0.00011853408068418503,1763260020.6646955,,
,9.135531902313232,149,,,,,,3497,,,,1763260020.6845448,33.0,33.0
,9.150128364562988,150,,,,,,3538,,,,1763260020.6991413,41.0,41.0
0.0022428594529628754,9.374894857406616,155,0.572944164276123,0.0,2.6130666732788086,1019.0,0.0002978494740091264,3712,-0.0005717780441045761,0.24626153707504272,0.0002489853650331497,1763260020.9239078,,
,9.405624866485596,157,,,,,,3791,,,,1763260020.9546378,78.0,78.0
0.013625782914459705,9.850505113601685,172,0.5580390691757202,0.0,2.8253931999206543,1026.0,0.00029754225397482514,4224,-0.0010387804359197617,0.13703501224517822,0.001130049116909504,1763260021.399518,,
,10.815746545791626,195,,,,,,5308,,,,1763260022.3647594,105.0,105.0
0.017382385209202766,11.341457843780518,203,0.5398108959197998,0.1380208283662796,1.9649361371994019,1050.0,0.000296543788863346,5888,-0.02607518434524536,0.98683762550354,0.04507405683398247,1763260022.8904707,,
,11.96919298171997,213,,,,,,6653,,,,1763260023.518206,110.0,110.0
,12.180404424667358,217,,,,,,6864,,,,1763260023.7294173,73.0,73.0
,12.67392086982727,228,,,,,,7422,,,,1763260024.2229338,66.0,66.0
,12.97519850730896,233,,,,,,7690,,,,1763260024.5242114,122.0,122.0
0.030685408040881157,13.852394104003906,251,0.46160292625427246,0.0859375,1.867236614227295,1056.0,0.00029493088368326426,8576,0.012933105230331421,0.21652454137802124,0.01763877086341381,1763260025.401407,,
,14.212693452835083,259,,,,,,9005,,,,1763260025.7617064,130.0,130.0
-0.00024489592760801315,14.538151502609253,265,0.4820265471935272,0.0,1.7403913736343384,1061.0,0.00029447005363181233,9344,-0.00031442567706108093,0.15929025411605835,1.7222948372364044e-05,1763260026.0871644,,
,14.83652400970459,273,,,,,,9719,,,,1763260026.385537,66.0,66.0
0.011763032525777817,14.911307096481323,274,0.469821959733963,0.0,10.8102445602417,1060.0,0.0002942396386060864,9728,-0.0061340294778347015,0.036733925342559814,0.0004798341542482376,1763260026.46032,,
