_step,losses/clipfrac,losses/explained_variance,losses/value_loss,global_step,losses/old_approx_kl,losses/entropy,_runtime,losses/policy_loss,losses/approx_kl,charts/learning_rate,_timestamp,charts/episodic_return,charts/SPS,charts/episodic_length
0,,,,0,,,2.0265426635742188,,,,1763260029.2451637,,,
7,,,,174,,,3.1805081367492676,,,,1763260030.3991292,27.0,,27.0
33,0.001953125,0.019459009170532227,3.9973039627075195,768,-0.0019424846395850182,0.6691355109214783,3.8633217811584473,-0.015821348875761032,0.002430529333651066,0.0002996159892063588,1763260031.0819428,,907.0,
41,,,,1004,,,4.04863715171814,,,,1763260031.2672582,51.0,,51.0
47,,,,1211,,,4.292381763458252,,,,1763260031.5110028,85.0,,85.0
64,,,,1723,,,4.822790861129761,,,,1763260032.0414119,40.0,,40.0
74,,,,2189,,,5.300467252731323,,,,1763260032.5190883,67.0,,67.0
77,,,,2302,,,5.346156358718872,,,,1763260032.5647774,46.0,,46.0
88,0.0,-0.21746695041656494,3.6383495330810547,2816,-0.0010363012552261353,0.6510365605354309,5.931556224822998,-0.02150275930762291,0.0014640353620052338,0.00029838710906915367,1763260033.1501772,,966.0,
102,,,,3612,,,6.683055639266968,,,,1763260033.9016767,72.0,,72.0
104,0.0,0.13385754823684692,3.4757087230682373,3712,-0.003703594207763672,0.5579919815063477,6.791433811187744,0.006272375583648682,0.00017295219004154205,0.0002978494740091264,1763260034.0100548,,983.0,
133,,,,5391,,,8.374849081039429,,,,1763260035.59347,92.0,,92.0
147,,,,6085,,,9.016631364822388,,,,1763260036.2352524,75.0,,75.0
149,,,,6156,,,9.117737293243408,,,,1763260036.3363583,71.0,,71.0
150,,,,6194,,,9.13352346420288,,,,1763260036.3521445,38.0,,38.0
155,0.0078125,0.21498936414718628,7.785393238067627,6528,0.009849687106907368,0.5661478042602539,9.472296714782715,0.01085621491074562,0.005854682065546513,0.0002961597638204694,1763260036.6909177,,1011.0,
157,0.0,0.8550768494606018,3.452566146850586,6656,-0.004255681298673153,0.48916733264923096,9.594314098358154,0.007255144417285919,0.0003643883392214775,0.00029608295881189406,1763260036.812935,,1011.0,
172,0.01171875,0.9509310722351074,2.4219329357147217,7552,0.01980668678879738,0.48418211936950684,10.455609560012817,-0.021318957209587097,0.0036150002852082253,0.0002955453237518668,1763260037.6742306,,1015.0,
195,,,,8888,,,11.698308944702148,,,,1763260038.91693,101.0,,101.0
203,,,,9390,,,12.37569546699524,,,,1763260039.5943165,161.0,,161.0
213,0.0,-0.0232388973236084,8.653285026550293,10112,0.0017527379095554352,0.563121497631073,13.181977272033691,-0.0003965720534324646,0.0002973712980747223,0.0002940092235803604,1763260040.4005983,,994.0,
217,,,,10410,,,13.459315061569214,,,,1763260040.677936,219.0,,219.0
228,,,,11290,,,14.432027816772461,,,,1763260041.6506488,213.0,,213.0
233,,,,11751,,,14.964648246765137,,,,1763260042.1832693,286.0,,286.0
251,0.05859375,0.05016058683395386,8.148481369018555,13184,-0.049063973128795624,0.5410850644111633,16.650328636169434,-0.014246394857764244,0.013379142619669437,0.0002921659033745527,1763260043.8689497,,967.0,
259,0.0,-0.0068569183349609375,5.702849864959717,13824,0.00739591009914875,0.536404013633728,17.317472457885742,-0.00046994537115097046,0.0006986930966377258,0.0002917818783316761,1763260044.5360935,,966.0,
265,0.015625,0.9426426291465759,1.712690830230713,14208,0.04264155775308609,0.5377076864242554,17.706263542175293,0.01538081094622612,0.011689812876284122,0.00029155146330595016,1763260044.9248846,,967.0,
273,0.0,0.01727890968322754,2.1057322025299072,14592,-0.00028286222368478775,0.534127950668335,18.068546295166016,0.002053976058959961,4.169531166553497e-06,0.0002913210482802242,1763260045.2871673,,969.0,
274,,,,14625,,,18.08212924003601,,,,1763260045.3007503,92.0,,92.0
292,0.0,0.9877981543540955,1.4424989223480225,15872,0.024218617007136345,0.5067599415779114,19.352172136306763,-0.021239042282104492,0.003344843164086342,0.000290552998194471,1763260046.5707932,,971.0,
327,,,,18405,,,21.74593758583069,,,,1763260048.9645586,233.0,,233.0
330,,,,18579,,,21.954894065856934,,,,1763260049.173515,174.0,,174.0
332,,,,18689,,,22.065935850143433,,,,1763260049.2845569,110.0,,110.0
337,0.001953125,0.5710492134094238,2.6318373680114746,19072,-0.008340537548065186,0.5304863452911377,22.458665132522583,0.01599900983273983,0.0029435884207487106,0.000288632872980088,1763260049.6772861,,980.0,
340,,,,19206,,,22.58290147781372,,,,1763260049.8015225,116.0,,116.0
370,,,,21160,,,24.479092597961426,,,,1763260051.6977136,43.0,,43.0
396,,,,22897,,,26.106493949890137,,,,1763260053.325115,76.0,,76.0
425,0.0,0.9545112252235413,1.6862573623657227,24832,-0.0072992220520973206,0.5692934393882751,28.064644813537598,0.008089296519756317,0.0003036223351955414,0.0002851766475941986,1763260055.2832658,,991.0,
441,0.01171875,0.9649908542633057,0.388060063123703,25984,0.010205945000052452,0.5637979507446289,29.175379037857056,-0.029796935617923737,0.004856538027524948,0.0002844854025170207,1763260056.394,,993.0,
450,0.0,0.9977638125419617,0.4202733337879181,26624,-0.005686763674020767,0.48564964532852173,29.82011342048645,0.010578436776995659,0.000825926661491394,0.0002841013774741441,1763260057.0387344,,993.0,
471,,,,27991,,,31.082541465759277,,,,1763260058.3011625,108.0,,108.0
481,,,,28591,,,31.66685175895691,,,,1763260058.8854728,46.0,,46.0
490,0.02734375,0.9966607093811035,0.8206344842910767,29184,0.026157578453421593,0.470132052898407,32.27712035179138,-0.00026226043701171875,0.008794772438704967,0.0002825652773026377,1763260059.4957414,,997.0,
504,0.0,0.9967193007469177,0.21023491024971008,30080,0.003549329936504364,0.5383337140083313,33.195486545562744,-0.0011913403868675232,0.0006292499601840973,0.00028202764224261045,1763260060.4141076,,996.0,
515,0.0,0.9983630180358887,0.4366542100906372,30848,-0.001102108508348465,0.5681982040405273,33.940107107162476,-0.0006474405527114868,4.7013163566589355e-06,0.00028156681219115853,1763260061.1587281,,997.0,
530,,,,31936,,,34.90946125984192,,,,1763260062.1280823,93.0,,93.0
539,0.232421875,0.9758514165878296,0.5755561590194702,32768,0.06523437798023224,0.5698469281196594,35.74034786224365,-0.010679714381694794,0.030568063259124756,0.00028041473706252873,1763260062.9589689,,1001.0,
547,0.001953125,-0.0007506608963012695,34.339324951171875,33280,-0.012950554490089417,0.5050855278968811,36.24466800689697,0.0004203077405691147,0.0010828180238604546,0.00028010751702822745,1763260063.463289,,1001.0,
555,,,,34095,,,36.96151161193848,,,,1763260064.1801326,386.0,,386.0
559,0.001953125,-0.0024869441986083984,0.32662880420684814,34560,-0.005876042880117893,0.5312149524688721,37.436020851135254,-0.009130412712693214,0.0016837334260344505,0.00027933946694247425,1763260064.6546419,,1004.0,
568,0.0,-0.010722994804382324,0.28639018535614014,35456,0.010115513578057289,0.5359479188919067,38.28532075881958,-0.0055878013372421265,0.0011959560215473175,0.000278801831882447,1763260065.5039418,,1005.0,
595,0.0,0.0007410049438476562,41.40658187866211,37632,-0.0002993633970618248,0.566852331161499,40.372504472732544,0.013669237494468689,0.0017798030748963356,0.00027749614673666656,1763260067.5911255,,1007.0,
