losses/approx_kl,losses/value_loss,global_step,losses/entropy,losses/explained_variance,_timestamp,losses/policy_loss,_runtime,charts/episodic_length,_step,losses/old_approx_kl,charts/SPS,charts/learning_rate,charts/episodic_return,losses/clipfrac
,,0,,,1763260030.194335,,2.5406808853149414,,0,,,,,
,,161,,,1763260031.4068391,,3.7531850337982178,29.0,7,,,,29.0,
,,576,,,1763260031.8511748,,4.197520732879639,14.0,33,,,,14.0,
,,788,,,1763260032.1096888,,4.4560346603393555,25.0,41,,,,25.0,
,,956,,,1763260032.2473044,,4.5936503410339355,44.0,47,,,,44.0,
,,1373,,,1763260032.6652775,,5.011623382568359,27.0,64,,,,27.0,
,,1773,,,1763260033.0250816,,5.371427536010742,83.0,74,,,,83.0,
,,1916,,,1763260033.148097,,5.494442939758301,30.0,77,,,,30.0,
,,2242,,,1763260033.4918947,,5.838240623474121,44.0,88,,,,44.0,
0.00029785651713609695,3.37965989112854,2688,0.5767551064491272,-0.06346869468688965,1763260033.972647,0.0009942222386598587,6.318992853164673,,102,-0.00259311031550169,989.0,0.000298463914077729,,0.0
,,2756,,,1763260033.9998271,,6.346173048019409,42.0,104,,,,42.0,
,,4052,,,1763260035.2105913,,7.556937217712402,46.0,133,,,,46.0,
,,4518,,,1763260035.6749034,,8.021249294281006,44.0,147,,,,44.0,
,,4631,,,1763260035.8057067,,8.152052640914917,113.0,149,,,,113.0,
,,4654,,,1763260035.8151548,,8.161500692367554,23.0,150,,,,23.0,
,,4862,,,1763260035.9636748,,8.310020685195923,27.0,155,,,,27.0,
0.020269693806767464,3.2710962295532227,4992,0.5263079404830933,0.9896618127822876,1763260036.1463006,0.026600409299135208,8.49264645576477,,157,0.020975256338715553,1020.0,0.0002970814239233732,,0.060546875
,,5538,,,1763260036.633782,,8.980127811431885,37.0,172,,,,37.0,
0.001620577648282051,2.968844413757324,6656,0.5424787402153015,0.5068480968475342,1763260037.7021997,0.008615276776254177,10.048545598983765,,195,-0.0005681291222572327,1032.0,0.00029608295881189406,,0.0
,,7005,,,1763260037.9955263,,10.341872215270996,63.0,203,,,,63.0,
0.0004287557676434517,2.5446901321411133,7552,0.5204317569732666,0.9795041084289551,1763260038.5428424,-0.004457877017557621,10.889188289642334,,213,0.002646845765411854,1036.0,0.0002955453237518668,,0.0
0.0007513910531997681,3.837613105773926,7808,0.5391179323196411,0.41126781702041626,1763260038.7721863,-0.005090375430881977,11.118532180786133,,217,-0.0038085561245679855,1038.0,0.0002953917137347162,,0.0
0.002914133481681347,2.1451919078826904,8448,0.5583806037902832,0.9703484773635864,1763260039.3846204,-0.014648079872131348,11.730966329574585,,228,0.016881611198186874,1039.0,0.0002950076886918396,,0.013671875
,,8738,,,1763260039.630287,,11.976632833480835,63.0,233,,,,63.0,
,,10063,,,1763260041.092083,,13.43842887878418,214.0,251,,,,214.0,
,,10705,,,1763260041.8137426,,14.160088539123535,170.0,259,,,,170.0,
0.0010227151215076447,3.8705053329467773,11264,0.5416667461395264,0.08466631174087524,1763260042.5481417,0.0035530459135770798,14.894487619400024,,265,0.01748432219028473,997.0,0.00029331797850318253,,0.0
0.00045198481529951096,2.227041721343994,11904,0.5355798006057739,0.07606244087219238,1763260043.2661638,0.003510221838951111,15.612509727478027,,273,0.0021590860560536385,991.0,0.00029293395346030593,,0.0
0.004831230267882347,2.2128725051879883,12032,0.5194149017333984,-0.09214580059051514,1763260043.3905387,-0.009573660790920258,15.736884593963623,,274,-0.011106598190963268,991.0,0.0002928571484517306,,0.01171875
0.0031458884477615356,2.028273820877075,13696,0.48156529664993286,0.8498073816299438,1763260045.083972,-0.001352064311504364,17.430317878723145,,292,0.018441714346408844,990.0,0.00029185868334025145,,0.005859375
0.002335101366043091,1.2099623680114746,16384,0.556875467300415,0.9710803627967834,1763260047.620121,0.022900894284248352,19.966466903686523,,327,-0.013447046279907227,1001.0,0.0002902457781601697,,0.0
,,16601,,,1763260047.766268,,20.112613916397095,149.0,330,,,,149.0,
,,16724,,,1763260047.8795698,,20.225915670394897,123.0,332,,,,123.0,
0.000494636595249176,1.2245627641677856,17024,0.49538618326187134,0.9818456172943115,1763260048.1970477,-0.0018643513321876526,20.54339361190796,,337,-0.005169203504920006,1004.0,0.0002898617531172931,,0.0
0.00639373529702425,0.853532612323761,17280,0.5311858654022217,0.9920121431350708,1763260048.4260395,0.013970257714390755,20.772385358810425,,340,-0.002341494895517826,1006.0,0.0002897081431001425,,0.029296875
0.002609812654554844,1.015243411064148,19200,0.49288833141326904,0.9887628555297852,1763260050.2505531,-0.009050045162439346,22.596899032592773,,370,0.008753613568842411,1010.0,0.0002885560679715127,,0.00390625
,,21119,,,1763260051.9858909,,24.332236766815186,171.0,396,,,,171.0,
,,23011,,,1763260053.79062,,26.13696599006653,86.0,425,,,,86.0,
0.006784301251173019,6.822430610656738,23936,0.4366798996925354,0.07829093933105469,1763260054.6835852,-0.0448458194732666,27.02993106842041,,441,0.012603439390659332,1021.0,0.0002857142826542258,,0.0234375
,,24552,,,1763260055.2295125,,27.57585835456848,152.0,450,,,,152.0,
0.006263784132897854,0.5833826065063477,25856,0.5440710783004761,0.99747633934021,1763260056.518918,-0.014603190124034882,28.86526393890381,,471,-0.010516499169170856,1023.0,0.000284562207525596,,0.025390625
,,26395,,,1763260057.08695,,29.433295965194702,62.0,481,,,,62.0,
,,26803,,,1763260057.45432,,29.800665855407715,65.0,490,,,,65.0,
,,27646,,,1763260058.2109172,,30.557263135910034,121.0,504,,,,121.0,
0.0034090643748641014,1.2601310014724731,28160,0.5326293706893921,0.9819869995117188,1763260058.746475,0.0018777158111333847,31.09282088279724,,515,-0.011723198927938938,1024.0,0.00028317971737124026,,0.00390625
,,28884,,,1763260059.4005952,,31.746941089630127,53.0,530,,,,53.0,
,,29288,,,1763260059.7604964,,32.106842279434204,32.0,539,,,,32.0,
0.0017848704010248184,0.5558623671531677,29696,0.5090607404708862,0.9969615936279297,1763260060.2248807,-0.0010596886277198792,32.571226596832275,,547,0.006867045536637306,1025.0,0.0002822580572683364,,0.0
0.009851752780377865,0.8944939970970154,30208,0.49846628308296204,0.9959061741828918,1763260060.683479,0.002763688564300537,33.02982497215271,,555,0.02599763683974743,1026.0,0.00028195083723403513,,0.11328125
0.004346359521150589,0.4373694658279419,30464,0.5108326077461243,0.9946637153625488,1763260060.9142885,-0.020615607500076294,33.260634422302246,,559,-0.0077161844819784164,1027.0,0.0002817972272168845,,0.001953125
