losses/old_approx_kl,losses/value_loss,charts/episodic_length,losses/entropy,global_step,charts/episodic_return,losses/explained_variance,charts/learning_rate,losses/clipfrac,_step,_runtime,_timestamp,charts/SPS,losses/policy_loss,losses/approx_kl
,,,,0,,,,,0,2.0994985103607178,1763260011.1142714,,,
,,11.0,,123,11.0,,,,7,3.185776472091675,1763260012.2005494,,,
,,12.0,,622,12.0,,,,33,3.7054505348205566,1763260012.7202234,,,
,,28.0,,788,28.0,,,,41,3.9146721363067627,1763260012.929445,,,
,,68.0,,962,68.0,,,,47,4.053776025772095,1763260013.068549,,,
-0.0047703878954052925,3.715707302093506,,0.6375188827514648,1280,,0.31656360626220703,0.0002993087691720575,0.0078125,64,4.432830333709717,1763260013.4476032,978.0,-0.04573884606361389,0.0037530912086367607
,,26.0,,1609,26.0,,,,74,4.751256227493286,1763260013.7660291,,,
0.0023447396233677864,3.6940436363220215,,0.6448276042938232,1664,,-0.2951626777648926,0.00029907835414633155,0.0,77,4.843965291976929,1763260013.8587382,967.0,0.005178799852728844,0.0002895677462220192
,,41.0,,1934,41.0,,,,88,5.094269514083862,1763260014.1090424,,,
,,28.0,,2337,28.0,,,,102,5.469504356384277,1763260014.4842772,,,
,,38.0,,2397,38.0,,,,104,5.4943177700042725,1763260014.5090907,,,
,,37.0,,3126,37.0,,,,133,6.244309425354004,1763260015.2590823,,,
,,36.0,,3536,36.0,,,,147,6.621664047241211,1763260015.636437,,,
0.002811501733958721,4.522856712341309,,0.6060348749160767,3584,,0.09231436252593994,0.00029792627901770175,0.0,149,6.736505746841431,1763260015.7512786,992.0,-0.0006478577852249146,1.5770085155963898e-05
,,39.0,,3621,39.0,,,,150,6.752617835998535,1763260015.7673907,,,
,,99.0,,3821,99.0,,,,155,6.897941589355469,1763260015.9127145,,,
,,39.0,,3860,39.0,,,,157,6.983232498168945,1763260015.9980054,,,
,,30.0,,4293,30.0,,,,172,7.373462200164795,1763260016.388235,,,
,,77.0,,4999,77.0,,,,195,8.096412658691406,1763260017.1111856,,,
,,32.0,,5291,32.0,,,,203,8.347148656845093,1763260017.3619215,,,
,,77.0,,5640,77.0,,,,213,8.693191051483154,1763260017.707964,,,
,,83.0,,5822,83.0,,,,217,8.854369401931763,1763260017.8691423,,,
0.0037325434386730194,4.011759281158447,,0.5282731652259827,6272,,0.8264262676239014,0.00029631337383762,0.0078125,228,9.300639867782593,1763260018.3154128,1015.0,0.007736425846815109,0.0035808123648166656
0.03266351670026779,4.608882904052734,111.0,0.5299779176712036,6656,111.0,-0.07255089282989502,0.00029608295881189406,0.0,233,9.649650573730469,1763260018.6644235,1020.0,-0.029392801225185394,0.00443563237786293
,,202.0,,8032,202.0,,,,251,10.859947204589844,1763260019.87472,,,
,,500.0,,8729,500.0,,,,259,11.525201559066772,1763260020.5399745,,,
-0.0038146208971738815,2.6545040607452393,,0.45440346002578735,9088,,-0.061621904373168945,0.000294623663648963,0.0,265,11.85950255393982,1763260020.8742754,1040.0,0.0013405941426753998,0.00011348165571689606
0.006066344678401947,2.535344362258911,,0.4745078682899475,9728,,-0.05889332294464111,0.0002942396386060864,0.00390625,273,12.703150272369385,1763260021.7179232,1015.0,0.01407240703701973,0.0027902070432901382
,,439.0,,9746,439.0,,,,274,12.71196174621582,1763260021.7267346,,,
,,108.0,,10812,108.0,,,,292,13.776060104370117,1763260022.790833,,,
,,120.0,,13052,120.0,,,,327,16.591742753982544,1763260025.6065156,,,
-6.77136704325676e-05,1.9479621648788452,,0.4737621247768402,13184,,-0.011571288108825684,0.0002921659033745527,0.0,330,16.828815460205078,1763260025.8435884,962.0,-0.0024187974631786346,2.9682181775569916e-05
,,79.0,,13277,79.0,,,,332,16.895614624023438,1763260025.9103875,,,
-0.008411053568124771,2.392510175704956,,0.44467175006866455,13568,,-0.008332133293151855,0.00029193548834882677,0.0,337,17.29218602180481,1763260026.306959,957.0,-0.03333883732557297,0.001455053687095642
,,154.0,,13782,154.0,,,,340,17.44544744491577,1763260026.4602203,,,
,,106.0,,15691,106.0,,,,370,19.219229221343994,1763260028.234002,,,
0.05072388797998428,6.259900093078613,,0.521284282207489,17280,,0.8572201728820801,0.0002897081431001425,0.02734375,396,20.784369945526123,1763260029.7991428,978.0,-0.04232620820403099,0.009598794393241405
0.0015903720632195473,1.029833197593689,,0.5327304005622864,18944,,0.9860373735427856,0.0002887096779886633,0.0,425,22.34307312965393,1763260031.357846,985.0,0.0035018622875213623,0.0008087670430541039
,,106.0,,19854,106.0,,,,441,23.202436208724976,1763260032.217209,,,
,,135.0,,20431,135.0,,,,450,23.731537103652954,1763260032.74631,,,
,,122.0,,21615,122.0,,,,471,24.84133791923523,1763260033.8561108,,,
,,104.0,,22157,104.0,,,,481,25.393410205841064,1763260034.408183,,,
0.019117336720228195,3.342362642288208,,0.49714523553848267,22656,,0.47118788957595825,0.00028648233273997903,0.001953125,490,25.9168598651886,1763260034.9316328,994.0,-0.03338877111673355,0.0017582569271326065
0.0027392245829105377,10.540118217468262,,0.5188655853271484,23424,,0.40389275550842285,0.0002860215026885271,0.0,504,26.612600326538086,1763260035.6273732,997.0,-0.004629034548997879,0.00043564289808273315
