global_step,charts/episodic_length,losses/policy_loss,_step,charts/episodic_return,losses/approx_kl,charts/learning_rate,charts/SPS,losses/entropy,losses/value_loss,_runtime,losses/clipfrac,_timestamp,losses/old_approx_kl,losses/explained_variance
0,,,0,,,,,,,2.675081729888916,,1763260030.4221497,,
148,17.0,,7,17.0,,,,,,3.8422789573669434,,1763260031.589347,,
610,12.0,,33,12.0,,,,,,4.325791358947754,,1763260032.0728593,,
770,13.0,,41,13.0,,,,,,4.532526969909668,,1763260032.279595,,
914,29.0,,47,29.0,,,,,,4.66131591796875,,1763260032.4083838,,
1536,,-0.006889551877975464,64,,0.00012341514229774475,0.00029915515915490687,956.0,0.6588910818099976,8.103938102722168,5.274394512176514,0.0,1763260033.0214624,-0.002748653292655945,-0.060065627098083496
1832,20.0,,74,20.0,,,,,,5.530310153961182,,1763260033.277378,,
1920,,-0.006755951792001724,77,,0.0022150585427880287,0.0002989247441291809,977.0,0.6006312966346741,7.006918907165527,5.633033275604248,0.0,1763260033.3801012,0.01166135910898447,0.055738210678100586
2313,38.0,,88,38.0,,,,,,5.992298364639282,,1763260033.7393663,,
2934,58.0,,102,58.0,,,,,,6.526339530944824,,1763260034.2734075,,
2977,43.0,,104,43.0,,,,,,6.612365961074829,,1763260034.359434,,
4365,135.0,,133,135.0,,,,,,7.898464202880859,,1763260035.6455321,,
5061,86.0,,147,86.0,,,,,,8.522355079650879,,1763260036.269423,,
5227,166.0,,149,166.0,,,,,,8.647094964981079,,1763260036.394163,,
5248,,-0.016115475445985794,150,,0.001224704086780548,0.0002969278139062226,1038.0,0.6097931861877441,7.430468559265137,8.723535537719727,0.0,1763260036.4706035,0.0024842768907546997,0.2548832297325134
5504,,-0.006068982183933258,155,,0.00026874057948589325,0.00029677420388907194,1040.0,0.5824080109596252,6.037270545959473,8.95635199546814,0.0,1763260036.70342,-8.109956979751587e-05,0.72735595703125
5632,,-0.008176986128091812,157,,0.0016220323741436005,0.0002966973988804966,1042.0,0.5763172507286072,6.946892738342285,9.070283651351929,0.0,1763260036.8173516,0.004633532837033272,0.7671546339988708
6361,118.0,,172,118.0,,,,,,9.70676851272583,,1763260037.4538364,,
8064,,0.008310820907354355,195,,0.0011214269325137138,0.00029523810371756554,1056.0,0.5866334438323975,6.2338457107543945,11.30030083656311,0.0,1763260039.0473688,0.0076800985261797905,-0.0222165584564209
8799,236.0,,203,236.0,,,,,,11.920938968658447,,1763260039.668007,,
9600,,-0.0007528737187385559,213,,1.3802200555801392e-05,0.0002943164436146617,1063.0,0.5676612854003906,6.002447605133057,12.691677808761597,0.0,1763260040.4387457,-0.000749487429857254,-0.10071432590484619
9856,,0.000609666109085083,217,,5.091354250907898e-05,0.00029416283359751105,1042.0,0.5511462688446045,6.068426132202148,13.126936435699463,0.0,1763260040.8740044,0.001971729099750519,0.030090272426605225
10797,209.0,,228,209.0,,,,,,14.119715929031372,,1763260041.8667839,,
11153,160.0,,233,160.0,,,,,,14.62419319152832,,1763260042.3712611,,
12544,,0.0230429545044899,251,,0.00115134846419096,0.00029254992841742933,999.0,0.588661789894104,6.014502048492432,16.221673488616943,0.0,1763260043.9687414,-0.004014656879007816,0.22176969051361084
13102,188.0,,259,188.0,,,,,,16.82864260673523,,1763260044.5757105,,
13460,126.0,,265,126.0,,,,,,17.167690992355347,,1763260044.914759,,
13948,113.0,,273,113.0,,,,,,17.543808460235596,,1763260045.2908764,,
