_timestamp,_step,global_step,charts/episodic_length,losses/clipfrac,charts/learning_rate,charts/SPS,losses/entropy,losses/value_loss,losses/old_approx_kl,_runtime,losses/explained_variance,losses/policy_loss,losses/approx_kl,charts/episodic_return
1763260030.6956933,0,0,,,,,,,,2.4087471961975098,,,,
1763260031.8177254,7,161,29.0,,,,,,,3.5307793617248535,,,,29.0
1763260032.239445,33,631,8.0,,,,,,,3.9524989128112793,,,,8.0
1763260032.4591372,41,825,26.0,,,,,,,4.172191143035889,,,,26.0
1763260032.7019022,47,1111,123.0,,,,,,,4.414956092834473,,,,123.0
1763260033.4557526,64,1893,146.0,,,,,,,5.168806552886963,,,,146.0
1763260034.0272057,74,2477,49.0,,,,,,,5.740259647369385,,,,49.0
1763260034.2597468,77,2688,,0.001953125,0.000298463914077729,1042.0,0.5555588006973267,8.686966896057129,-0.0014351727440953255,5.9728007316589355,0.03079766035079956,-0.009716348722577095,0.0006844671443104744,
1763260034.8711329,88,3328,,0.0,0.0002980798890348524,1043.0,0.547231137752533,7.776220798492432,0.008109190501272678,6.584186792373657,0.20622694492340088,-0.01018591970205307,0.0008447868749499321,
1763260035.8199697,102,4352,,0.009765625,0.0002974654489662498,1051.0,0.5346402525901794,7.2891926765441895,0.0072948746383190155,7.5330235958099365,0.8820699453353882,-0.015415824949741364,0.004817895591259003,
1763260035.9363213,104,4480,,0.0,0.0002973886439576745,1052.0,0.589484453201294,7.17301607131958,-0.0091516999527812,7.6493752002716064,0.20148080587387085,0.010066185146570206,0.0007276488468050957,
1763260037.2397685,133,5888,,0.0,0.000296543788863346,1059.0,0.5227721333503723,6.821444988250732,0.006195695139467716,8.95282244682312,0.4133351445198059,0.0006722230464220047,0.00023613031953573227,
1763260037.9629476,147,6776,110.0,,,,,,,9.67600154876709,,,,110.0
1763260038.0516798,149,6827,51.0,,,,,,,9.764733791351318,,,,51.0
1763260038.1692367,150,6912,,0.0,0.0002959293487947434,1065.0,0.5070544481277466,6.6108503341674805,0.005974547006189823,9.882290601730347,0.1935586929321289,-0.008823426440358162,0.00016997475177049637,
1763260038.5089173,155,7296,,0.0,0.00029569893376901746,1068.0,0.5296674966812134,6.646612167358398,-0.002285407856106758,10.221971273422241,0.7984983921051025,0.005478883162140846,0.00013976357877254486,
1763260038.6217556,157,7424,,0.00390625,0.00029562212876044214,1069.0,0.580473780632019,5.144789695739746,0.0036483900621533394,10.33480954170227,0.9790078401565552,0.023116912692785263,0.0034940196201205254,
1763260039.5417724,172,8448,,0.14453125,0.0002950076886918396,1074.0,0.5501065254211426,6.525090217590332,0.005984409712255001,11.254826307296753,0.8760490417480469,0.006382589694112539,0.020914902910590172,
1763260041.4059625,195,10240,,0.005859375,0.0002939324185717851,1052.0,0.47284021973609924,15.159872055053711,-0.0023527583107352257,13.119016408920288,0.04842168092727661,0.0011529475450515747,0.0014613429084420204,
1763260042.1171978,203,10754,138.0,,,,,,,13.830251693725586,,,,138.0
1763260043.158738,213,11648,,0.056640625,0.00029308756347745657,1014.0,0.4489879012107849,3.0877864360809326,0.04456528276205063,14.87179183959961,0.9559106230735779,-0.004448920488357544,0.012690935283899307,
1763260043.4949586,217,12013,248.0,,,,,,,15.208012580871582,,,,248.0
1763260044.459727,228,12905,183.0,,,,,,,16.172780990600586,,,,183.0
1763260044.7192342,233,13180,96.0,,,,,,,16.43228816986084,,,,96.0
1763260046.10539,251,14592,,0.0,0.0002913210482802242,1011.0,0.5355754494667053,4.251198768615723,0.0040145935490727425,17.81844401359558,0.0007219910621643066,-6.876885890960693e-06,0.0001389598473906517,
1763260046.7094233,259,15232,,0.0,0.0002909370232373476,1013.0,0.5011500120162964,4.0084428787231445,0.0006621219217777252,18.42247724533081,-0.021453380584716797,0.00013221800327301025,1.101568341255188e-05,
1763260047.1609905,265,15767,433.0,,,,,,,18.87404441833496,,,,433.0
1763260047.9694188,273,16640,,0.0,0.0002900921681430191,1021.0,0.5233626365661621,3.680278778076172,0.0017734188586473465,19.682472705841064,-0.02262723445892334,-0.001409292221069336,0.00013891048729419708,
1763260047.971548,274,16643,376.0,,,,,,,19.68460202217102,,,,376.0
1763260049.2480106,292,18048,,0.0,0.00028924731304869056,1027.0,0.5159709453582764,1.9972760677337646,-0.000295405276119709,20.96106457710266,0.9785619974136353,-0.00041788816452026367,0.0001789545640349388,
1763260051.3628514,321,20364,124.0,,,,,,,23.075905323028564,,,,124.0
1763260051.71348,327,20774,138.0,,,,,,,23.426533937454224,,,,138.0
1763260051.966784,330,20992,,0.0,0.0002874807978514582,1034.0,0.5076258778572083,2.447321653366089,0.0033554257825016975,23.679837942123413,0.990950345993042,-0.007222559303045273,8.558947592973709e-05,
1763260052.082869,332,21129,237.0,,,,,,,23.795922994613647,,,,237.0
1763260052.3322666,337,21443,105.0,,,,,,,24.045320510864258,,,,105.0
1763260052.5342045,340,21632,,0.0078125,0.0002870967728085816,1037.0,0.5295749306678772,3.3678321838378906,-0.008291378617286682,24.24725842475891,0.9500529170036316,0.03542522341012955,0.0015504322946071625,
1763260054.6478615,370,23936,,0.017578125,0.0002857142826542258,1042.0,0.4758942723274231,1.8227717876434326,0.005885405465960503,26.360915422439575,0.9984006285667419,-0.042997054755687714,0.004599295556545258,
1763260055.020764,375,24320,,0.0,0.00028548386762849987,1042.0,0.5676639676094055,1.328358769416809,-0.0037052053958177567,26.73381805419922,0.9917967319488525,0.0006606504321098328,0.00011236406862735748,
1763260056.5293193,396,25984,,0.0,0.0002844854025170207,1045.0,0.5428014993667603,1.657387614250183,0.0007792897522449493,28.24237322807312,0.1099289059638977,-0.0013469718396663666,3.814883530139923e-05,
