charts/episodic_return,global_step,losses/clipfrac,_timestamp,losses/value_loss,losses/explained_variance,charts/learning_rate,losses/policy_loss,losses/approx_kl,_step,_runtime,charts/episodic_length,losses/old_approx_kl,charts/SPS,losses/entropy
,0,,1763260030.6824045,,,,,,0,2.378746509552002,,,,
32.0,142,,1763260031.7974653,,,,,,7,3.493807315826416,32.0,,,
16.0,742,,1763260032.3293912,,,,,,33,4.025733232498169,16.0,,,
28.0,912,,1763260032.535469,,,,,,41,4.231811046600342,28.0,,,
21.0,1053,,1763260032.6611006,,,,,,47,4.357442617416382,21.0,,,
38.0,1509,,1763260033.1085453,,,,,,64,4.804887294769287,38.0,,,
21.0,1703,,1763260033.3305051,,,,,,74,5.0268471240997314,21.0,,,
,1792,0.0,1763260033.4315636,22.694786071777344,-0.023016810417175293,0.00029900154913775623,-0.002025436609983444,0.00022771023213863373,77,5.127905607223511,,0.003545209765434265,1014.0,0.656117856502533
36.0,2199,,1763260033.8066053,,,,,,88,5.5029473304748535,36.0,,,
26.0,2685,,1763260034.2361062,,,,,,102,5.932448148727417,26.0,,,
21.0,2706,,1763260034.3147721,,,,,,104,6.011114120483398,21.0,,,
113.0,3832,,1763260035.3415527,,,,,,133,7.0378947257995605,113.0,,,
38.0,4406,,1763260035.8977766,,,,,,147,7.594118595123291,38.0,,,
,4480,0.0,1763260035.9918208,19.970970153808594,0.02035301923751831,0.0002973886439576745,-0.014242000877857208,0.0007057460024952888,149,7.688162803649902,,0.009785846807062626,1035.0,0.6192258596420288
57.0,4531,,1763260036.0113409,,,,,,150,7.707682847976685,57.0,,,
166.0,4821,,1763260036.274064,,,,,,155,7.9704060554504395,166.0,,,
107.0,4928,,1763260036.37967,,,,,,157,8.076011896133423,107.0,,,
,5888,0.0,1763260037.2807271,22.825315475463867,0.06461715698242188,0.000296543788863346,0.005978737026453018,0.0001150369644165039,172,8.97706913948059,,-0.0019092950969934464,1048.0,0.5731630921363831
123.0,7510,,1763260038.6859214,,,,,,195,10.382263422012329,123.0,,,
118.0,8078,,1763260039.2171676,,,,,,203,10.913509607315063,118.0,,,
,8576,0.0,1763260039.6873493,16.99291229248047,0.6022400856018066,0.00029493088368326426,0.002694922499358654,4.297029227018356e-05,213,11.383691310882568,,-0.002193617634475231,1069.0,0.6372647881507874
,8832,0.0,1763260039.9142475,18.851314544677734,0.06704062223434448,0.0002947772736661136,-0.016289539635181427,0.0009829830378293991,217,11.610589504241943,,0.0009933225810527802,1070.0,0.5636230111122131
175.0,9623,,1763260040.6119144,,,,,,228,12.308256387710571,175.0,,,
108.0,9973,,1763260041.0479746,,,,,,233,12.744316577911377,108.0,,,
90.0,11486,,1763260042.8646934,,,,,,251,14.561035394668579,90.0,,,
,12032,0.0,1763260043.606391,28.189510345458984,0.008373737335205078,0.0002928571484517306,-0.0010171979665756226,4.357006400823593e-05,259,15.302732944488525,,-0.0017250115051865578,1007.0,0.6071526408195496
500.0,12575,,1763260044.1677444,,,,,,265,15.864086389541626,500.0,,,
,13312,0.0,1763260044.9361887,31.32076644897461,0.1086266040802002,0.0002920890983659774,0.003191635012626648,0.0006853248924016953,273,16.632530689239502,,0.00943329744040966,1003.0,0.6076207756996155
,13440,0.0,1763260045.0531788,16.916391372680664,0.131625235080719,0.0002920122933574021,-1.6052275896072388e-05,0.00011354871094226837,274,16.749520778656006,,0.00038513727486133575,1003.0,0.6105923056602478
