charts/SPS,losses/clipfrac,losses/explained_variance,losses/approx_kl,losses/entropy,charts/learning_rate,losses/old_approx_kl,global_step,charts/episodic_return,_runtime,_step,_timestamp,losses/policy_loss,charts/episodic_length,losses/value_loss
,,,,,,,0,,24.838557720184326,0,1763260046.0157628,,,
,,,,,,,112,19.0,25.73389434814453,7,1763260046.9110994,,19.0,
909.0,0.0,-0.0024297237396240234,0.0007524266839027405,0.6928849816322327,0.00029976959922350943,0.01201637089252472,512,,26.240434885025024,33,1763260047.41764,-0.015826627612113953,,15.189888000488281
917.0,0.0,0.03845149278640747,0.0005124770104885101,0.6913701295852661,0.0002996927942149341,0.0027817804366350174,640,,26.37488031387329,41,1763260047.5520854,-0.005100943148136139,,13.455862998962402
,,,,,,,748,13.0,26.426510334014893,47,1763260047.6037154,,13.0,
,,,,,,,1120,40.0,26.80551791191101,64,1763260047.982723,,40.0,
,,,,,,,1311,18.0,27.03169012069702,74,1763260048.2088952,,18.0,
,,,,,,,1378,14.0,27.061239004135132,77,1763260048.238444,,14.0,
,,,,,,,1678,45.0,27.443070888519287,88,1763260048.620276,,45.0,
,,,,,,,2144,101.0,27.841676950454712,102,1763260049.018882,,101.0,
967.0,0.0,-0.09120285511016846,0.00012411829084157944,0.6234495043754578,0.00029877113411203027,0.00041874591261148453,2176,,27.927546501159668,104,1763260049.1047516,-0.0009044483304023743,,27.149206161499023
,,,,,,,3824,26.0,29.446452140808105,133,1763260050.6236572,,26.0,
1007.0,0.0,0.3998490571975708,0.0004007108509540558,0.6312875151634216,0.0002973886439576745,0.0018457621335983276,4480,,30.125865697860718,147,1763260051.3030708,0.0006823688745498657,,25.41622543334961
1009.0,0.0,-0.028515934944152832,2.1520070731639862e-05,0.6297271847724915,0.0002973118389490992,-5.916226655244827e-05,4608,,30.241684675216675,149,1763260051.4188898,0.0017452463507652283,,24.918100357055664
1007.0,0.0,0.638420820236206,0.0013176482170820236,0.621983528137207,0.00029723503394052386,0.006535924971103668,4736,,30.378183364868164,150,1763260051.5553885,-0.006421182304620743,,27.174102783203125
1010.0,0.0,0.12214744091033936,0.0007334789261221886,0.5883031487464905,0.0002970814239233732,0.005131022073328495,4992,,30.615495920181274,155,1763260051.792701,0.00810636579990387,,20.8749942779541
,,,,,,,5160,175.0,30.748889684677124,157,1763260051.9260948,,175.0,
,,,,,,,6017,74.0,31.581856727600098,172,1763260052.7590618,,74.0,
1028.0,0.0,-0.004538416862487793,0.0010914290323853493,0.5987163782119751,0.0002955453237518668,-0.010835978202521801,7552,,33.01864051818848,195,1763260054.1958456,-0.008670594543218613,,24.255037307739258
,,,,,,,8096,198.0,33.52208065986633,203,1763260054.6992857,,198.0,
,,,,,,,8758,130.0,34.11410737037659,213,1763260055.2913125,,130.0,
1030.0,0.0,0.6332042813301086,0.0006474871188402176,0.5291836261749268,0.0002947004686575383,0.003589395433664322,8960,,34.37330412864685,217,1763260055.5505092,0.005086369812488556,,15.976167678833008
,,,,,,,9601,154.0,35.35776686668396,228,1763260056.534972,,154.0,
971.0,0.0,0.7228275537490845,0.0006752097979187965,0.5478386878967285,0.00029408602858893573,-0.007030553184449673,9984,,35.951910734176636,233,1763260057.1291158,0.002354320138692856,,14.312692642211914
