charts/episodic_return,losses/explained_variance,charts/SPS,losses/entropy,_timestamp,_runtime,losses/policy_loss,losses/clipfrac,charts/learning_rate,global_step,losses/value_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_length,_step
,,,,1763260045.9558637,24.79861068725586,,,,0,,,,,0
,0.0157814621925354,996.0,0.6931310892105103,1763260046.9000952,25.742842197418213,-0.0008132606744766235,0.0,0.0003000000142492354,128,20.025468826293945,1.0935589671134949e-05,0.0008919388055801392,,7
19.0,,,,1763260047.424993,26.26774001121521,,,,660,,,,19.0,33
113.0,,,,1763260047.6657145,26.508461475372314,,,,923,,,,113.0,41
35.0,,,,1763260047.7959645,26.63871145248413,,,,1071,,,,35.0,47
41.0,,,,1763260048.3037307,27.146477699279785,,,,1579,,,,41.0,64
51.0,,,,1763260048.6773446,27.52009153366089,,,,2025,,,,51.0,74
88.0,,,,1763260048.7882717,27.63101863861084,,,,2141,,,,88.0,77
159.0,,,,1763260049.2631264,28.105873346328735,,,,2687,,,,159.0,88
,0.2112157940864563,1059.0,0.6018112897872925,1763260050.1544259,28.997172832489014,0.0027992576360702515,0.0,0.00029792627901770175,3584,34.85395050048828,0.00014224834740161896,0.0007867664098739624,,102
500.0,,,,1763260050.2887836,29.13153052330017,,,,3759,,,,500.0,104
,0.19733840227127075,1079.0,0.5999117493629456,1763260052.3447154,31.187462329864502,0.010900557041168213,0.0,0.00029646698385477066,6016,22.739437103271484,0.0008313450962305069,-0.0077487751841545105,,133
264.0,,,,1763260053.2854922,32.128239154815674,,,,7088,,,,264.0,147
162.0,,,,1763260053.4093385,32.2520854473114,,,,7250,,,,162.0,149
,0.011573731899261475,1085.0,0.6298383474349976,1763260053.4940014,32.336748361587524,-0.01937471702694893,0.0,0.00029569893376901746,7296,26.498939514160156,0.0009334590286016464,0.004692582413554192,,150
141.0,,,,1763260053.781229,32.62397599220276,,,,7671,,,,141.0,155
,-0.16420972347259521,1085.0,0.6188530921936035,1763260053.9670644,32.80981135368347,-4.68716025352478e-05,0.0,0.0002953917137347162,7808,26.391489028930664,1.8123537302017212e-05,0.00012757070362567902,,157
,0.008510410785675049,1088.0,0.6021933555603027,1763260055.0048196,33.84756660461426,0.0022521167993545532,0.0,0.0002947004686575383,8960,21.413822174072266,0.00027226749807596207,0.0018157334998250008,,172
,0.009699404239654541,1026.0,0.5865410566329956,1763260057.1256807,35.968427658081055,-0.001741413027048111,0.0,0.00029370200354605913,10624,39.321502685546875,4.129018634557724e-05,0.0015080412849783897,,195
163.0,,,,1763260058.043618,36.88636493682861,,,,11173,,,,163.0,203
,0.026988446712493896,939.0,0.5882201194763184,1763260059.442298,38.28504490852356,-0.001598857343196869,0.0,0.00029293395346030593,11904,24.33441925048828,2.0393170416355133e-05,-0.0004093209281563759,,213
68.0,,,,1763260059.8006213,38.64336824417114,,,,12129,,,,68.0,217
71.0,,,,1763260061.155736,39.99848294258118,,,,12696,,,,71.0,228
,-0.03345489501953125,864.0,0.6156920194625854,1763260062.0157719,40.858518838882446,0.00043857190757989883,0.0,0.0002921659033745527,13184,18.641952514648438,1.0555610060691833e-05,0.0009863078594207764,,233
,0.18026000261306763,854.0,0.5779541730880737,1763260063.9978187,42.84056568145752,-0.04085478559136391,0.0,0.0002912442432716489,14720,17.472625732421875,0.0024480167776346207,0.013395192101597786,,251
187.0,,,,1763260064.5128636,43.355610609054565,,,,15282,,,,187.0,259
