losses/old_approx_kl,global_step,charts/learning_rate,losses/clipfrac,_timestamp,losses/policy_loss,_step,charts/SPS,charts/episodic_return,_runtime,losses/value_loss,charts/episodic_length,losses/explained_variance,losses/entropy,losses/approx_kl
,0,,,1763260046.377863,,0,,,25.237937927246094,,,,,
,167,,,1763260047.330174,,7,,22.0,26.19024896621704,,22.0,,,
,683,,,1763260047.874219,,33,,18.0,26.734293937683105,,18.0,,,
,892,,,1763260048.0296793,,41,,23.0,26.88975429534912,,23.0,,,
,1055,,,1763260048.2309878,,47,,19.0,27.091062784194946,,19.0,,,
0.026953913271427155,1408,0.0002992319641634822,0.005859375,1763260048.5967436,0.0024794582277536392,64,1000.0,,27.45681858062744,21.552906036376953,,0.025477349758148193,0.6285141706466675,0.004495183005928993
,1851,,,1763260049.0127387,,74,,72.0,27.87281370162964,,72.0,,,
,1981,,,1763260049.1301146,,77,,52.0,27.99018955230713,,52.0,,,
,2433,,,1763260049.5758774,,88,,67.0,28.43595242500305,,67.0,,,
0.010623284615576267,3072,0.000298233499052003,0.0,1763260050.1755047,-0.0017400849610567093,102,1028.0,,29.035579681396484,22.98005485534668,,-0.03507256507873535,0.5957697033882141,0.0004399912431836128
,3162,,,1763260050.2105107,,104,,44.0,29.07058572769165,,44.0,,,
,4508,,,1763260051.4797156,,133,,119.0,30.33979058265686,,119.0,,,
-0.0011074487119913101,5120,0.0002970046189147979,0.0,1763260052.0640514,0.0009402856230735779,147,1050.0,,30.924126386642456,20.77602767944336,,0.10549211502075195,0.49726444482803345,1.3282522559165955e-05
0.00022692326456308365,5248,0.0002969278139062226,0.0,1763260052.1760375,-0.0008322149515151978,149,1052.0,,31.036112546920776,26.348501205444336,,0.2465580701828003,0.5858659744262695,1.1322088539600372e-05
,5274,,,1763260052.1883745,,150,,68.0,31.048449516296387,,68.0,,,
0.0009615318849682808,5504,0.00029677420388907194,0.0,1763260052.4086215,-0.0008218921720981598,155,1054.0,,31.268696546554565,24.459802627563477,,-0.04582071304321289,0.5588792562484741,1.4596618711948395e-05
,5600,,,1763260052.4451532,,157,,66.0,31.305228233337402,,66.0,,,
6.709247827529907e-06,6272,0.00029631337383762,0.0,1763260053.1198177,-0.001263897866010666,172,1057.0,,31.97989273071289,18.379804611206055,,-0.05851602554321289,0.5440834760665894,5.999580025672913e-06
,7593,,,1763260054.2869127,,195,,138.0,33.14698767662048,,138.0,,,
0.001191798597574234,8064,0.00029523810371756554,0.0,1763260054.724169,0.0006167180836200714,203,1070.0,,33.58424401283264,23.400619506835938,,0.13243240118026733,0.5551912784576416,0.00010557286441326141
-0.000340435653924942,8832,0.0002947772736661136,0.0,1763260055.4183366,5.216524004936218e-05,213,1073.0,,34.278411626815796,21.780317306518555,,-0.032232046127319336,0.5422139167785645,9.024515748023987e-06
,9138,,,1763260055.6744392,,217,,184.0,34.53451418876648,,184.0,,,
-0.0008923197165131569,9856,0.00029416283359751105,0.0,1763260056.8061242,0.002327151596546173,228,1024.0,,35.66619920730591,20.52787208557129,,0.26746201515197754,0.6058177947998047,1.6911886632442474e-05
,10181,,,1763260057.2570488,,233,,93.0,36.11712384223938,,93.0,,,
,11283,,,1763260059.448412,,251,,137.0,38.30848693847656,,137.0,,,
