charts/episodic_return,charts/episodic_length,_step,losses/explained_variance,charts/SPS,losses/clipfrac,charts/learning_rate,losses/old_approx_kl,losses/policy_loss,losses/value_loss,_runtime,global_step,losses/entropy,losses/approx_kl,_timestamp
,,0,,,,,,,,24.25741481781006,0,,,1763260045.3010697
10.0,10.0,7,,,,,,,,25.74064564704895,107,,,1763260046.7843006
,,33,0.005287647247314453,967.0,0.0,0.0002996927942149341,-0.0074286675080657005,-0.004618227481842041,21.702796936035156,26.330124378204346,640,0.6781464219093323,0.0007942887023091316,1763260047.3737793
14.0,14.0,41,,,,,,,,26.516528844833374,857,,,1763260047.5601838
29.0,29.0,47,,,,,,,,26.64019465446472,990,,,1763260047.6838496
52.0,52.0,64,,,,,,,,27.227373123168945,1620,,,1763260048.271028
38.0,38.0,74,,,,,,,,27.699973821640015,2108,,,1763260048.7436287
15.0,15.0,77,,,,,,,,27.825917959213257,2267,,,1763260048.8695729
,,88,0.09552270174026489,1046.0,0.0,0.00029831030406057835,0.005992293357849121,-0.011325189843773842,28.565793991088867,28.48227310180664,2944,0.6201735138893127,0.0005045682191848755,1763260049.525928
,,102,0.40567725896835327,1062.0,0.0,0.0002976958639919758,0.0014330819249153137,-0.0004321858286857605,27.622758865356445,29.404252767562866,3968,0.609988808631897,4.1466206312179565e-05,1763260050.4479077
220.0,220.0,104,,,,,,,,29.524818420410156,4120,,,1763260050.5684733
,,133,0.059396982192993164,1077.0,0.0,0.00029639017884619534,0.004416150040924549,-0.007827147841453552,25.42498016357422,31.371237993240356,6144,0.5369197130203247,0.00025515537708997726,1763260052.414893
,,147,0.13291668891906738,1080.0,0.0,0.0002958525437861681,0.001614355482161045,-0.004432174377143383,24.62407684326172,32.1837043762207,7040,0.5247130393981934,0.0004986217245459557,1763260053.2273593
,,149,0.5448058843612671,1081.0,0.0078125,0.0002957757387775928,0.025463735684752464,-0.00964362919330597,20.819185256958008,32.297019958496094,7168,0.5436359643936157,0.0035732993856072426,1763260053.3406749
118.0,118.0,150,,,,,,,,32.32240891456604,7234,,,1763260053.3660638
,,155,0.3406960964202881,1083.0,0.0,0.0002955453237518668,-0.004779573529958725,0.0033906158059835434,18.98329734802246,32.635947465896606,7552,0.5322510004043579,0.0002305842936038971,1763260053.6796024
,,157,0.01591050624847412,1081.0,0.0,0.0002954685187432915,-0.002563844434916973,-0.0003820471465587616,31.525850296020508,32.769410610198975,7680,0.5432359576225281,5.5856071412563324e-05,1763260053.8130655
,,172,0.6714572906494141,1085.0,0.0,0.0002947772736661136,-0.0029599200934171677,0.0034509338438510895,21.023170471191406,33.80195331573486,8832,0.5686306953430176,0.00013665109872817993,1763260054.8456082
219.0,219.0,195,,,,,,,,36.05843377113342,10616,,,1763260057.1020887
216.0,216.0,203,,,,,,,,37.1308171749115,11191,,,1763260058.174472
500.0,500.0,213,,,,,,,,38.846635580062866,12049,,,1763260059.8902905
201.0,201.0,217,,,,,,,,39.42006039619446,12383,,,1763260060.4637153
,,228,0.3219882845878601,858.0,0.00390625,0.00029224270838312805,-0.01208016462624073,0.01608307659626007,22.568607330322266,40.87294006347656,13056,0.5674305558204651,0.0023751966655254364,1763260061.916595
222.0,222.0,233,,,,,,,,41.382651567459106,13436,,,1763260062.4263065
197.0,197.0,251,,,,,,,,43.02198123931885,14691,,,1763260064.0656362
113.0,113.0,259,,,,,,,,43.60584235191345,15237,,,1763260064.6494973
,,265,0.39359229803085327,855.0,0.0,0.0002906298032030463,-0.00020954851061105728,0.0012608319520950317,34.526451110839844,44.06385922431946,15744,0.545041561126709,6.139744073152542e-05,1763260065.1075141
,,273,0.23698896169662476,862.0,0.0,0.0002901689731515944,0.0010917391628026962,-0.005296412855386734,14.878353118896484,44.82129168510437,16512,0.5624662637710571,0.00014198198914527893,1763260065.8649466
500.0,500.0,274,,,,,,,,44.85012936592102,16595,,,1763260065.8937843
257.0,257.0,292,,,,,,,,46.34766149520874,18234,,,1763260067.3913164
350.0,350.0,321,,,,,,,,48.300254821777344,20345,,,1763260069.3439097
,,327,0.77632075548172,896.0,0.0,0.00028763440786860883,0.0014248844236135483,-0.01154833659529686,17.17896270751953,48.80188250541687,20736,0.5325195789337158,0.0005414672195911407,1763260069.8455374
139.0,139.0,330,,,,,,,,48.98094820976257,20983,,,1763260070.0246031
,,332,0.4530189633369446,897.0,0.0,0.00028740399284288287,-0.000616762787103653,0.0010935869067907333,9.664133071899414,49.201833963394165,21120,0.5175937414169312,9.345076978206635e-05,1763260070.245489
