_timestamp,charts/episodic_return,losses/clipfrac,charts/episodic_length,_step,charts/learning_rate,_runtime,global_step,charts/SPS,losses/value_loss,losses/policy_loss,losses/entropy,losses/old_approx_kl,losses/approx_kl,losses/explained_variance
1763260045.65573,,,,0,,24.597692012786865,0,,,,,,,
1763260046.869858,,0.0,,7,0.0003000000142492354,25.811820030212402,128,810.0,21.305137634277344,-0.0008927769958972931,0.6930267810821533,0.0005730073899030685,0.0001300554722547531,0.01971811056137085
1763260047.4038882,23.0,,23.0,33,,26.345850229263306,721,,,,,,,
1763260047.6320386,13.0,,13.0,41,,26.574000597000122,939,,,,,,,
1763260047.848767,,0.001953125,,47,0.00029938557418063283,26.79072904586792,1152,1013.0,32.107627868652344,-0.0034259557723999023,0.6424401998519897,-0.008718153461813927,0.0013064127415418625,-0.037604451179504395
1763260048.3959942,58.0,,58.0,64,,27.337956190109253,1783,,,,,,,
1763260048.8496494,,0.0,,74,0.00029877113411203027,27.791611433029175,2176,1017.0,22.698749542236328,-0.014813974499702454,0.6275478601455688,-0.005303317680954933,0.0006852243095636368,0.03065311908721924
1763260049.0057397,17.0,,17.0,77,,27.947701692581177,2356,,,,,,,
1763260049.6732242,,0.0,,88,0.000298233499052003,28.61518621444702,3072,1037.0,34.046695709228516,-0.0021360814571380615,0.6102668642997742,-0.00320556852966547,0.0003736177459359169,0.09200519323348999
1763260050.526394,165.0,,165.0,102,,29.468355894088745,4067,,,,,,,
1763260050.6319895,104.0,,104.0,104,,29.573951482772827,4171,,,,,,,
1763260052.5790308,261.0,,261.0,133,,31.520992755889893,6298,,,,,,,
1763260053.384766,,0.0,,147,0.0002957757387775928,32.326728105545044,7168,1074.0,21.439722061157227,-0.0001101866364479065,0.593969464302063,0.0002684714272618294,0.0003148810938000679,0.5259778499603271
1763260053.498219,,0.0,,149,0.00029569893376901746,32.440181016922,7296,1075.0,23.401004791259766,-0.005520898848772049,0.5668662786483765,-0.0034309839829802513,0.00032556336373090744,0.06688594818115234
1763260053.5372646,140.0,,140.0,150,,32.47922658920288,7404,,,,,,,
1763260053.8402455,,0.0,,155,0.0002954685187432915,32.78220748901367,7680,1077.0,23.079608917236328,0.006642110645771027,0.5682383179664612,-0.0002879500389099121,9.810179471969604e-05,0.04097855091094971
1763260053.9941142,115.0,,115.0,157,,32.936076164245605,7923,,,,,,,
1763260054.7741492,98.0,,98.0,172,,33.716111183166504,8706,,,,,,,
1763260056.6015058,85.0,,85.0,195,,35.54346776008606,10132,,,,,,,
1763260057.64497,,0.0,,203,0.0002936251985374838,36.58693194389343,10752,983.0,29.751766204833984,-0.0032543018460273743,0.6040873527526855,-0.0030757933855056763,0.00038802437484264374,-0.015252828598022461
1763260058.9628365,126.0,,126.0,213,,37.90479850769043,11521,,,,,,,
1763260059.493768,161.0,,161.0,217,,38.43572998046875,11880,,,,,,,
1763260061.3954673,180.0,,180.0,228,,40.33742928504944,12926,,,,,,,
1763260062.0611053,158.0,,158.0,233,,41.00306725502014,13259,,,,,,,
1763260064.0120263,214.0,,214.0,251,,42.95398831367493,14722,,,,,,,
1763260064.618008,,0.0,,259,0.0002908602182287723,43.559969902038574,15360,857.0,26.53118324279785,-0.005413178354501724,0.5080388784408569,-0.00010834634304046631,7.538869976997375e-05,0.1714673638343811
1763260065.079129,,0.0,,265,0.000290552998194471,44.02109098434448,15872,864.0,16.808809280395508,-0.004083193838596344,0.5536074042320251,-0.007075839675962925,0.0001732194796204567,-0.03515172004699707
1763260065.6624537,314.0,,314.0,273,,44.60441565513611,16410,,,,,,,
1763260065.7907722,,0.0,,274,0.0002901689731515944,44.73273420333862,16512,865.0,13.852424621582031,0.005299501121044159,0.5830187201499939,-0.00015357043594121933,0.00011930521577596664,0.6831531524658203
1763260067.1337328,213.0,,213.0,292,,46.07569479942322,17973,,,,,,,
1763260069.2331862,,0.0,,321,0.0002879416279029101,48.175148248672485,20224,897.0,11.764012336730957,0.0006060339510440826,0.5649767518043518,-0.0004865918308496475,2.0153820514678955e-06,0.18226277828216553
1763260069.733882,,0.0,,327,0.00028763440786860883,48.675843954086304,20736,900.0,11.477655410766602,-0.02178691327571869,0.5095107555389404,0.007111130282282829,0.0015752613544464111,-0.15062379837036133
1763260069.9704823,500.0,,500.0,330,,48.91244435310364,21032,,,,,,,
1763260070.1797893,,0.0,,332,0.00028732718783430755,49.12175130844116,21248,905.0,9.857061386108398,-0.0025615692138671875,0.5339176654815674,-0.0011481745168566704,0.00032079871743917465,0.792902946472168
1763260070.4912694,182.0,,182.0,337,,49.433231353759766,21614,,,,,,,
1763260070.7359176,167.0,,167.0,340,,49.67787957191467,21781,,,,,,,
1763260073.1668942,126.0,,126.0,370,,52.108856201171875,24074,,,,,,,
1763260073.5647018,,0.0,,375,0.00028540706261992455,52.50666379928589,24448,910.0,10.536131858825684,-0.00410966482013464,0.5154551863670349,0.002589787356555462,0.00012112129479646683,0.6241994500160217
1763260075.1723347,151.0,,151.0,396,,54.114296674728394,25961,,,,,,,
1763260077.5422661,199.0,,199.0,425,,56.48422813415527,28066,,,,,,,
1763260078.9603186,190.0,,190.0,441,,57.90228056907654,29339,,,,,,,
1763260079.6305325,148.0,,148.0,450,,58.57249450683594,29996,,,,,,,
1763260081.3802018,126.0,,126.0,471,,60.322163820266724,31429,,,,,,,
1763260082.4280653,224.0,,224.0,481,,61.37002730369568,32192,,,,,,,
1763260083.3879995,237.0,,237.0,490,,62.32996153831482,32918,,,,,,,
1763260084.8616118,115.0,,115.0,504,,63.80357384681702,34052,,,,,,,
1763260085.9060848,,0.0,,515,0.0002791858569253236,64.84804677963257,34816,888.0,64.56720733642578,-0.00021820887923240662,0.5887441635131836,-0.004555628634989262,0.00028215255588293076,-0.00281524658203125
1763260087.9222298,,0.0,,530,0.0002784946118481457,66.86419177055359,35968,872.0,3.6121129989624023,-0.0025383159518241882,0.5783178210258484,0.00045534223318099976,1.8088147044181824e-05,-0.10675716400146484
1763260089.4358814,,0.0,,539,0.0002779569767881185,68.37784337997437,36864,862.0,3.2506511211395264,-0.008287465199828148,0.6157302856445312,0.00020484533160924911,0.00018546078354120255,-0.05965292453765869
1763260090.7458804,,0.0,,547,0.00027749614673666656,69.68784236907959,37632,854.0,2.5676708221435547,-0.0011858828365802765,0.5249643921852112,-0.004122132435441017,0.00015923939645290375,0.8408852815628052
1763260091.9669075,326.0,,326.0,555,,70.90886950492859,38289,,,,,,,
1763260092.682482,490.0,,490.0,559,,71.62444400787354,38779,,,,,,,
1763260094.3305697,357.0,,357.0,568,,73.272531747818,39636,,,,,,,
1763260099.9286613,,0.0,,595,0.0002748080005403608,78.87062335014343,42112,791.0,18.93738555908203,-0.017690807580947876,0.5946534276008606,0.010141830891370773,0.001402033492922783,0.5629968643188477
1763260102.821429,133.0,,133.0,612,,81.76339101791382,43547,,,,,,,
1763260103.1025188,124.0,,124.0,614,,82.04448080062866,43671,,,,,,,
1763260105.8029957,,0.0,,630,0.00027304148534312844,84.74495768547058,45056,762.0,164.3505096435547,0.004756107926368713,0.5311931371688843,-0.0008462788537144661,8.964259177446365e-05,0.06904429197311401
1763260106.9746377,,0.0,,636,0.00027265746030025184,85.9165997505188,45696,758.0,1.294386625289917,0.0005860729143023491,0.5157663226127625,0.001142159104347229,2.101808786392212e-05,0.11390715837478638
1763260107.692321,,0.0,,640,0.0002724270452745259,86.6342830657959,46080,755.0,47.568450927734375,-0.0005609262734651566,0.5528099536895752,0.0023059044033288956,2.4121254682540894e-05,0.016050100326538086
1763260109.4479423,302.0,,302.0,650,,88.38990426063538,47051,,,,,,,
1763260111.9036827,,0.0,,664,0.00027112136012874544,90.84564471244812,48256,740.0,0.9379439949989319,-0.024124495685100555,0.5926390886306763,0.002747081220149994,0.0008563026785850525,0.4894665479660034
1763260115.2636,,0.0,,684,0.00027004609000869095,94.20556211471558,50048,730.0,0.8080898523330688,0.00025984831154346466,0.5226362943649292,0.0009322622790932655,4.102196544408798e-05,-0.36527419090270996
1763260115.9976466,208.0,,208.0,689,,94.93960857391357,50465,,,,,,,
1763260117.6489317,,0.0,,698,0.00026927803992293775,96.59089374542236,51328,723.0,0.4275963008403778,-0.027907460927963257,0.5415989756584167,0.018580958247184753,0.0015393448993563652,0.9007935523986816
1763260118.2994554,,0.0,,702,0.0002690476248972118,97.2414174079895,51712,722.0,0.7392508387565613,0.00044260174036026,0.5035097599029541,0.003307701088488102,9.907130151987076e-05,0.34986114501953125
1763260119.0126843,,0.0,,707,0.00026881720987148583,97.95464634895325,52096,720.0,123.13951110839844,4.168599843978882e-05,0.579596221446991,0.0008244272321462631,1.6083940863609314e-05,0.0004309415817260742
1763260122.625983,,0.0,,729,0.0002675883297342807,101.56794500350952,54144,713.0,0.4662400782108307,-0.0002618730068206787,0.6087204217910767,0.004694915376603603,0.0003963196650147438,-0.0025572776794433594
1763260126.8026829,500.0,,500.0,757,,105.7446448802948,56771,,,,,,,
1763260127.6136246,500.0,,500.0,762,,106.55558657646179,57271,,,,,,,
