charts/episodic_length,charts/episodic_return,losses/policy_loss,charts/SPS,_timestamp,losses/explained_variance,_step,charts/learning_rate,losses/entropy,losses/old_approx_kl,losses/clipfrac,_runtime,losses/approx_kl,global_step,losses/value_loss
,,,,1763260059.8477044,,0,,,,,26.32465147972107,,0,
19.0,19.0,,,1763260060.8545816,,7,,,,,27.331528663635254,,112,
,,-0.016024742275476456,801.0,1763260061.414477,-0.002344489097595215,33,0.00029976959922350943,0.6928255558013916,0.012275455519557,0.0,27.89142417907715,0.0007770135998725891,512,16.724029541015625
,,-0.00541282631456852,764.0,1763260061.613365,0.035072922706604004,41,0.0002996927942149341,0.6911408305168152,0.0029631219804286957,0.0,28.090312004089355,0.0005494523793458939,640,14.817571640014648
22.0,22.0,,,1763260061.7479758,,47,,,,,28.22492289543152,,788,
35.0,35.0,,,1763260062.1788394,,64,,,,,28.655786514282227,,1107,
,,-0.015199575573205948,791.0,1763260062.392169,0.029129207134246826,74,0.0002993087691720575,0.6716817021369934,0.005483931861817837,0.0,28.869116067886353,0.0020372169092297554,1280,22.1650333404541
23.0,23.0,,,1763260062.4163935,,77,,,,,28.893340587615967,,1330,
,,0.014787621796131134,840.0,1763260062.754877,0.03939509391784668,88,0.00029907835414633155,0.651084840297699,-0.007205178029835224,0.0,29.231824159622192,0.0004509659484028816,1664,21.822059631347656
57.0,57.0,,,1763260063.269133,,102,,,,,29.74608016014099,,2241,
68.0,68.0,,,1763260063.3611686,,104,,,,,29.838115692138672,,2309,
89.0,89.0,,,1763260064.682567,,133,,,,,31.1595139503479,,3814,
131.0,131.0,,,1763260065.474055,,147,,,,,31.95100212097168,,4636,
210.0,210.0,,,1763260065.61174,,149,,,,,32.08868718147278,,4846,
,,0.009097352623939514,990.0,1763260065.6860802,0.4627499580383301,150,0.00029715822893194854,0.5878744125366211,0.0011461284011602402,0.0,32.16302728652954,0.00039231404662132263,4864,27.57219696044922
59.0,59.0,,,1763260065.9291627,,155,,,,,32.40610980987549,,5157,
218.0,218.0,,,1763260066.071259,,157,,,,,32.548206090927124,,5375,
67.0,67.0,,,1763260066.971195,,172,,,,,33.44814205169678,,6328,
,,-0.017407044768333435,999.0,1763260068.7160645,0.612563967704773,195,0.00029531490872614086,0.5303297638893127,0.0054099066182971,0.0,35.19301152229309,0.001724262721836567,7936,20.576263427734375
,,-0.0032958537340164185,964.0,1763260069.6711526,0.35926979780197144,203,0.00029493088368326426,0.5763266086578369,-0.0005889199674129486,0.0,36.14809966087341,0.000540614128112793,8576,20.968690872192383
,,0.00023545511066913605,911.0,1763260070.8919253,0.627395510673523,213,0.00029454685864038765,0.5963653326034546,-0.0002736290916800499,0.0,37.36887240409851,1.5023164451122284e-05,9216,21.651180267333984
72.0,72.0,,,1763260071.2179077,,217,,,,,37.694854736328125,,9406,
,,0.00021649710834026337,844.0,1763260072.9059732,0.4785824418067932,228,0.0002939324185717851,0.5492140054702759,0.0006729690358042717,0.0,39.382920265197754,3.191642463207245e-06,10240,24.920753479003906
,,0.004053119570016861,827.0,1763260073.6121354,0.4925811290740967,233,0.00029370200354605913,0.564826250076294,-4.810746759176254e-05,0.0,40.08908247947693,0.0002526072785258293,10624,20.970149993896484
,,-0.0012996047735214233,794.0,1763260075.4420645,0.9401447772979736,251,0.00029308756347745657,0.5869354009628296,-0.002448996528983116,0.0,41.91901159286499,0.0003389231860637665,11648,12.25245475769043
,,0.0038934126496315002,797.0,1763260076.175756,0.6249467730522156,259,0.00029270353843457997,0.5717949867248535,-0.0013768449425697327,0.0,42.652703046798706,0.000463239848613739,12288,18.56065559387207
,,-0.012537483125925064,804.0,1763260076.5210445,0.7058144807815552,265,0.000292473123408854,0.5452531576156616,0.0014744605869054794,0.0,42.99799156188965,0.00018676556646823883,12672,19.068376541137695
117.0,117.0,,,1763260076.9072325,,273,,,,,43.38417959213257,,13100,
,,-0.003279675031080842,811.0,1763260077.0273583,0.9635321497917175,274,0.0002921659033745527,0.5982378721237183,-0.00946835521608591,0.0,43.504305362701416,0.0013382518664002419,13184,16.696298599243164
