losses/old_approx_kl,global_step,charts/SPS,charts/episodic_return,charts/learning_rate,losses/approx_kl,_step,_timestamp,losses/explained_variance,losses/entropy,losses/clipfrac,losses/policy_loss,_runtime,losses/value_loss,charts/episodic_length
,0,,,,,0,1763260059.07778,,,,,25.554795026779175,,
,125,,16.0,,,7,1763260060.8588424,,,,,27.335857391357422,,16.0
,578,,24.0,,,33,1763260061.4296455,,,,,27.906660556793213,,24.0
,763,,23.0,,,41,1763260061.6086497,,,,,28.085664749145508,,23.0
,881,,35.0,,,47,1763260061.7798135,,,,,28.256828546524048,,35.0
,1384,,21.0,,,64,1763260062.3063667,,,,,28.783381700515747,,21.0
,1750,,44.0,,,74,1763260062.6837928,,,,,29.160807847976685,,44.0
,1885,,46.0,,,77,1763260062.803432,,,,,29.280447006225586,,46.0
0.02647545002400875,2432,946.0,,0.00029861752409487963,0.0030437586829066277,88,1763260063.344523,0.004043757915496826,0.6106128096580505,0.001953125,-0.036393120884895325,29.821537971496582,30.661575317382812,
0.006118166260421276,3328,983.0,,0.0002980798890348524,0.0010288422927260399,102,1763260064.1587014,0.40691637992858887,0.6154956221580505,0.0,-0.014326808974146843,30.635716438293457,28.68597412109375,
-0.0033643534407019615,3456,988.0,,0.00029800308402627707,0.0017332462593913078,104,1763260064.2730503,-0.026625752449035645,0.6153573393821716,0.0,-0.009081266820430756,30.750065326690674,31.95482635498047,
,5288,,144.0,,,133,1763260065.9375267,,,,,32.414541721343994,,144.0
0.001504184678196907,6528,1038.0,,0.0002961597638204694,8.959509432315826e-05,147,1763260067.059686,0.008399605751037598,0.625256359577179,0.0,-0.00039714574813842773,33.536700963974,28.96102523803711,
,6769,,380.0,,,149,1763260067.2114513,,,,,33.6884663105011,,380.0
0.0018251193687319756,6784,1042.0,,0.00029600615380331874,0.0011352086439728737,150,1763260067.2857935,0.33463191986083984,0.6151574850082397,0.0,-0.01157630980014801,33.76280856132507,27.06993865966797,
,7230,,233.0,,,155,1763260067.665114,,,,,34.14212894439697,,233.0
,7392,,162.0,,,157,1763260067.7901804,,,,,34.26719546318054,,162.0
-0.000996677204966545,8448,990.0,,0.0002950076886918396,3.396160900592804e-05,172,1763260069.3079937,0.006090342998504639,0.5766210556030273,0.0,-0.0004253983497619629,35.785008668899536,29.073623657226562,
0.002261442132294178,10112,871.0,,0.0002940092235803604,0.00016222242265939713,195,1763260072.382442,0.0930793285369873,0.5690313577651978,0.0,-0.00989142619073391,38.85945701599121,20.651777267456055,
0.000325886532664299,10752,836.0,,0.0002936251985374838,0.00021686777472496033,203,1763260073.6249347,0.3513399362564087,0.605177640914917,0.0,0.003445204347372055,40.10194969177246,21.162982940673828,
-0.0077157579362392426,11648,818.0,,0.00029308756347745657,0.0012369398027658463,213,1763260075.0045984,0.4005924463272095,0.5947220325469971,0.0,0.011483434587717056,41.48161339759827,27.309524536132812,
,12081,,450.0,,,217,1763260075.5295997,,,,,42.006614685058594,,450.0
,13036,,316.0,,,228,1763260076.4213848,,,,,42.8983998298645,,316.0
-0.002620898187160492,13440,834.0,,0.0002920122933574021,0.001956650987267494,233,1763260076.8737383,0.20955586433410645,0.5850479602813721,0.0,0.009683575481176376,43.35075330734253,48.751914978027344,
-0.0019357195124030113,14848,850.0,,0.00029116743826307356,0.00016125012189149857,251,1763260078.2235558,0.24317169189453125,0.5799311995506287,0.0,-0.0014844611287117004,44.700570821762085,30.158540725708008,
,15484,,184.0,,,259,1763260078.745297,,,,,45.22231197357178,,184.0
,15938,,268.0,,,265,1763260079.1988907,,,,,45.67590570449829,,268.0
,16606,,321.0,,,273,1763260079.7720592,,,,,46.24907422065735,,321.0
0.001706819050014019,16640,870.0,,0.0002900921681430191,1.3903714716434479e-05,274,1763260079.8852348,0.7931005954742432,0.5763763189315796,0.0,0.002651013433933258,46.36224985122681,12.851845741271973,
,18134,,230.0,,,292,1763260081.208131,,,,,47.68514609336853,,230.0
-0.004324379377067089,20352,900.0,,0.0002878648228943348,0.0006286567077040672,321,1763260083.3698025,0.0080033540725708,0.528803825378418,0.0,0.006436821073293686,49.84681749343872,23.81623649597168,
,20917,,383.0,,,327,1763260083.8432055,,,,,50.32022047042847,,383.0
,21194,,277.0,,,330,1763260084.137902,,,,,50.614917039871216,,277.0
-0.000664837658405304,21376,906.0,,0.00028725038282573223,2.368353307247162e-05,332,1763260084.3455,0.5386835336685181,0.5167163610458374,0.0,-0.00015746057033538818,50.82251501083374,10.245372772216797,
,21789,,331.0,,,337,1763260084.7287736,,,,,51.20578861236572,,331.0
0.0006665894761681557,22144,912.0,,0.0002867895527742803,0.00110537838190794,340,1763260085.0558627,0.5680817365646362,0.5852271914482117,0.0,0.0017568282783031464,51.532877683639526,9.647138595581055,
,24782,,175.0,,,370,1763260087.551871,,,,,54.02888607978821,,175.0
,25123,,198.0,,,375,1763260087.9196966,,,,,54.396711587905884,,198.0
,27068,,279.0,,,396,1763260089.9447582,,,,,56.421773195266724,,279.0
,29900,,500.0,,,425,1763260092.847141,,,,,59.324156045913696,,500.0
0.0035125957801938057,31488,926.0,,0.00028118278714828193,0.0008101696148514748,441,1763260094.7440574,-0.02004218101501465,0.5876429080963135,0.0,0.008919227868318558,61.22107243537903,4.863633155822754,
0.0012868298217654228,32256,923.0,,0.00028072195709683,4.029925912618637e-05,450,1763260095.7008185,0.03138077259063721,0.545531690120697,0.0,0.002402283251285553,62.177833557128906,5.388154983520508,
0.0028945375233888626,34048,918.0,,0.0002796466869767755,0.0002164505422115326,471,1763260097.8560314,0.12569522857666016,0.5892908573150635,0.0,-0.002911921590566635,64.33304643630981,4.476794242858887,
,34928,,227.0,,,481,1763260099.0524983,,,,,65.52951335906982,,227.0
,35709,,500.0,,,490,1763260100.3627772,,,,,66.83979225158691,,500.0
-0.005564299412071705,36864,883.0,,0.0002779569767881185,0.0005651218816637993,504,1763260102.517821,-0.22724449634552002,0.5453819632530212,0.0,-0.0014032572507858276,68.99483609199524,83.59452056884766,
0.004002252593636513,38016,869.0,,0.0002772657317109406,0.00022774189710617065,515,1763260104.5096962,0.03791940212249756,0.5331282615661621,0.0,0.0015364252030849457,70.98671126365662,3.9761457443237305,
,39472,,500.0,,,530,1763260107.0833974,,,,,73.56041240692139,,500.0
,40410,,438.0,,,539,1763260108.7602835,,,,,75.23729848861694,,438.0
0.0021861568093299866,41088,825.0,,0.00027542244060896337,0.00013726390898227692,547,1763260110.5700288,-0.007047533988952637,0.5288203358650208,0.0,-0.0012874826788902283,77.047043800354,2.5600814819335938,
,41749,,171.0,,,555,1763260112.2821307,,,,,78.75914573669434,,171.0
0.015987593680620193,42112,804.0,,0.0002748080005403608,0.00537450984120369,559,1763260113.148671,0.2834309935569763,0.5176920294761658,0.0390625,-0.0063400790095329285,79.62568593025208,132.0054931640625,
,42916,,208.0,,,568,1763260114.6569846,,,,,81.13399958610535,,208.0
-0.0006675021722912788,45440,774.0,,0.0002728110703174025,0.0003270646557211876,595,1763260119.430166,0.8154385089874268,0.5446867346763611,0.0,-0.00035393983125686646,85.90718102455139,1.2826251983642578,
0.0017075305804610252,46976,761.0,,0.00027188941021449864,0.00011795666068792343,612,1763260122.4286323,0.5277852416038513,0.5294724702835083,0.0,0.0036836564540863037,88.90564727783203,1.140150785446167,
-0.004319585859775543,47104,760.0,,0.0002718126052059233,0.0011353082954883575,614,1763260122.723534,0.34050101041793823,0.5275364518165588,0.0,0.0002821497619152069,89.20054912567139,16.97844886779785,
0.00046529434621334076,48512,751.0,,0.0002709677501115948,0.0013469401746988297,630,1763260125.370392,0.9226675629615784,0.5041710138320923,0.0,-0.004178009927272797,91.84740710258484,0.803027868270874,
,48980,,185.0,,,636,1763260126.203539,,,,,92.68055391311646,,185.0
-0.0008767722174525261,49280,745.0,,0.0002705069200601429,0.00011063646525144577,640,1763260126.8915107,0.0024268031120300293,0.5327478647232056,0.0,-0.00040774233639240265,93.3685257434845,94.49112701416016,
-0.0016115941107273102,50304,740.0,,0.0002698924799915403,2.8820708394050598e-05,650,1763260128.6995265,0.1563243269920349,0.5447762608528137,0.0,0.00020037591457366943,95.17654156684875,0.606483519077301,
0.007848262786865234,51456,734.0,,0.00026920123491436243,0.001145811751484871,664,1763260130.8579063,-0.0007517337799072266,0.5308547019958496,0.0,0.0010860413312911987,97.33492136001587,223.8683624267578,
0.006177588365972042,53376,726.0,,0.0002680491597857326,0.0002688029780983925,684,1763260134.2032232,-0.6217739582061768,0.5709751844406128,0.0,0.0010873638093471527,100.68023824691772,0.41662129759788513,
0.03578467294573784,53888,724.0,,0.00026774193975143135,0.01614123024046421,689,1763260135.1253102,0.8117717504501343,0.5647748708724976,0.078125,-0.029456865042448044,101.60232520103455,0.25489237904548645,
0.0004476085305213928,54528,721.0,,0.00026735791470855474,0.00011584535241127014,698,1763260136.375634,0.9657290577888489,0.5690392255783081,0.0,-0.005508739501237869,102.85264897346497,15.02183723449707,
0.03410758078098297,54784,720.0,,0.0002672043046914041,0.00702119804918766,702,1763260136.8274138,0.9568989872932434,0.5354081392288208,0.03125,-0.030217017978429794,103.30442881584167,12.8526611328125,
0.007359709590673447,55168,718.0,,0.00026697388966567814,0.0030033886432647705,707,1763260137.5084329,0.9572153091430664,0.5350329279899597,0.0,0.0026413751766085625,103.98544788360596,7.9116644859313965,
,56664,,296.0,,,729,1763260140.202521,,,,,106.67953610420227,,296.0
,59043,,500.0,,,757,1763260144.8071342,,,,,111.28414916992188,,500.0
,59543,,500.0,,,762,1763260145.8141272,,,,,112.2911422252655,,500.0
,60043,,500.0,,,767,1763260146.751546,,,,,113.22856092453003,,500.0
-0.01671520248055458,60928,695.0,,0.00026351766427978873,0.006394225172698498,775,1763260148.352358,0.051608145236968994,0.5730701088905334,0.015625,-0.024425983428955078,114.8293731212616,0.16120606660842896,
0.010041989386081696,62080,691.0,,0.00026282641920261085,0.0006629191339015961,788,1763260150.5026302,0.005203723907470703,0.6020828485488892,0.0,9.69618558883667e-05,116.97964525222778,0.13369783759117126,
,62148,,230.0,,,789,1763260150.5497131,,,,,117.02672815322876,,230.0
,62752,,90.0,,,797,1763260151.7501168,,,,,118.2271318435669,,90.0
0.00980775523930788,63488,687.0,,0.00026198156410828233,0.0017154859378933907,806,1763260153.135276,-0.5144504308700562,0.6129633188247681,0.001953125,-0.02905990183353424,119.61229109764099,0.13867726922035217,
-0.002372398041188717,64384,685.0,,0.0002614439290482551,0.0003589605912566185,815,1763260154.6893022,-0.002759218215942383,0.534437894821167,0.0,0.0031178705394268036,121.16631722450256,362.91339111328125,
,69042,,500.0,,,863,1763260162.8098207,,,,,129.2868356704712,,500.0
0.011282367631793022,70016,674.0,,0.000258064508670941,0.0037640202790498734,872,1763260164.5181775,-0.17118966579437256,0.5581291913986206,0.005859375,-0.004606308415532112,130.995192527771,0.0001462392247049138,
0.004451144486665726,70400,674.0,,0.00025783409364521503,0.0014213453978300095,876,1763260165.1860976,0.00922316312789917,0.5279179811477661,0.001953125,-0.008744589984416962,131.66311264038086,0.0002766739053186029,
-0.005618654191493988,74496,667.0,,0.0002553763333708048,0.01912076026201248,916,1763260172.423543,-0.31542158126831055,0.5178726315498352,0.056640625,-0.004753809422254562,138.90055799484253,4.702903243014589e-05,
,75042,,500.0,,,922,1763260173.4072998,,,,,139.88431477546692,,500.0
-0.0015335110947489738,75904,664.0,,0.00025453147827647626,0.000168520025908947,930,1763260174.970765,-0.13151872158050537,0.5227000117301941,0.0,0.003185465931892395,141.4477801322937,0.00013718308764509857,
-0.005621555261313915,76672,663.0,,0.00025407064822502434,0.004434962756931782,938,1763260176.3455374,-0.6886813640594482,0.4739014804363251,0.015625,0.009612195193767548,142.82255244255066,0.005221252329647541,
,77042,,500.0,,,941,1763260176.8055284,,,,,143.28254342079163,,500.0
0.031827375292778015,77056,662.0,,0.0002538402331992984,0.004437108524143696,942,1763260177.0282483,-0.00019073486328125,0.5309783220291138,0.001953125,-0.026393532752990723,143.50526332855225,79.50843811035156,
-0.018240928649902344,77696,661.0,,0.0002534562081564218,0.0034211473539471626,948,1763260178.1795056,-0.40002477169036865,0.5052356719970703,0.03515625,0.007833048701286316,144.65652060508728,0.006378010381013155,
0.0007432596758008003,80384,657.0,,0.0002518433320801705,0.004610118456184864,974,1763260183.0714047,-0.22669804096221924,0.5270859003067017,0.009765625,-0.012953529134392738,149.548419713974,0.0005125994794070721,
0.007407400757074356,81024,656.0,,0.0002514593070372939,0.0019421335309743881,980,1763260184.2407022,-0.4664498567581177,0.5203773975372314,0.00390625,-0.004171643406152725,150.71771717071533,0.000274427467957139,
0.0010686703026294708,81536,655.0,,0.00025115208700299263,0.013214204460382462,985,1763260185.170946,-0.12547838687896729,0.5627742409706116,0.03515625,-0.023942243307828903,151.64796090126038,0.0002731240529101342,
,82542,,500.0,,,995,1763260186.8392184,,,,,153.31623339653015,,500.0
-0.0006825802847743034,82688,653.0,,0.00025046084192581475,0.0003234418109059334,997,1763260187.2299132,-0.3019975423812866,0.49554243683815,0.0,-0.012264849618077278,153.70692825317383,0.0045766993425786495,
,84542,,500.0,,,1015,1763260190.5128665,,,,,156.98988151550293,,500.0
,85042,,500.0,,,1020,1763260191.4564722,,,,,157.93348717689514,,500.0
0.0011847857385873795,86144,649.0,,0.0002483871066942811,6.53676688671112e-05,1031,1763260193.5006046,-0.0004277229309082031,0.5197448134422302,0.0,0.0012463554739952087,159.97761964797974,47.4273567199707,
0.0009487979114055634,88064,647.0,,0.0002472350315656513,0.0005938149988651276,1050,1763260196.843758,-0.00016832351684570312,0.5419398546218872,0.0,-0.0003224015235900879,163.32077312469482,238.75929260253906,
-0.00010191649198532104,88448,647.0,,0.00024700461653992534,0.0003644917160272598,1053,1763260197.4435632,-0.11532807350158691,0.5312783122062683,0.0,-0.0037933960556983948,163.92057824134827,6.951901741558686e-05,
0.048085518181324005,88960,647.0,,0.00024669739650562406,0.0056611718609929085,1058,1763260198.255263,0.31493139266967773,0.48592379689216614,0.03125,-0.008611921221017838,164.7322781085968,5.437981599243358e-05,
0.025574086233973503,91392,644.0,,0.00024523810134269297,0.0036442019045352936,1082,1763260202.485099,-0.12052762508392334,0.523436963558197,0.005859375,-0.015710510313510895,168.96211409568787,0.0005110059282742441,
-0.009021365083754063,91520,644.0,,0.00024516129633411765,0.0016504684463143349,1083,1763260202.6888502,0.0527765154838562,0.3870365023612976,0.001953125,-0.003909353166818619,169.1658651828766,0.00012019108544336632,
-0.0029808133840560913,92288,644.0,,0.00024470046628266573,0.0022110994905233383,1091,1763260203.9986398,-0.0785139799118042,0.4608113765716553,0.00390625,0.0028086602687835693,170.47565484046936,0.006351460237056017,
0.0110045550391078,93824,643.0,,0.0002437788061797619,0.0006030919030308723,1106,1763260206.600091,-0.08180892467498779,0.4577213525772095,0.0,-0.006080661900341511,173.07710599899292,0.00035736802965402603,
,95042,,500.0,,,1118,1763260208.6327589,,,,,175.10977387428284,,500.0
0.0034445784986019135,95744,641.0,,0.00024262673105113208,0.0009469874203205109,1125,1763260209.958852,-0.2912631034851074,0.509397029876709,0.001953125,-0.006378397345542908,176.43586707115173,0.005379243288189173,
,96542,,500.0,,,1133,1763260211.3600976,,,,,177.8371126651764,,500.0
-0.0010997001081705093,97792,639.0,,0.00024139785091392696,0.0042405035346746445,1145,1763260213.5848725,-0.20049476623535156,0.4899488687515259,0.0,0.00812720786780119,180.0618875026703,0.0017897210782393813,
