global_step,losses/value_loss,losses/policy_loss,_step,losses/approx_kl,losses/entropy,losses/clipfrac,charts/episodic_length,_runtime,charts/episodic_return,_timestamp,charts/learning_rate,charts/SPS,losses/old_approx_kl,losses/explained_variance
0,,,0,,,,,26.51876187324524,,1763260060.170394,,,,
172,,,7,,,,81.0,27.56875491142273,81.0,1763260061.220387,,,,
768,21.455097198486328,-0.024668721482157707,33,0.0013042930513620377,0.6830906867980957,0.0,,28.28025245666504,,1763260061.9318845,0.0002996159892063588,888.0,0.01370329037308693,0.0075119733810424805
955,,,41,,,,28.0,28.4459331035614,28.0,1763260062.0975652,,,,
1135,,,47,,,,23.0,28.601025104522705,23.0,1763260062.2526572,,,,
1759,,,64,,,,96.0,29.2520489692688,96.0,1763260062.903681,,,,
2107,,,74,,,,35.0,29.620564699172974,35.0,1763260063.2721968,,,,
2292,,,77,,,,64.0,29.765980005264282,64.0,1763260063.417612,,,,
2825,,,88,,,,54.0,30.35916495323181,54.0,1763260064.010797,,,,
3864,,,102,,,,206.0,31.346625328063965,206.0,1763260064.9982574,,,,
4017,,,104,,,,153.0,31.477649450302124,153.0,1763260065.1292815,,,,
6375,,,133,,,,393.0,33.709563970565796,393.0,1763260067.361196,,,,
7500,,,147,,,,142.0,34.936585903167725,142.0,1763260068.588218,,,,
7680,28.920143127441406,-0.004018668085336685,149,0.0001598568633198738,0.6091877222061157,0.0,,35.20850467681885,,1763260068.8601367,0.0002954685187432915,985.0,0.001200021244585514,0.2293190360069275
7683,,,150,,,,183.0,35.24841928482056,183.0,1763260068.9000514,,,,
8169,,,155,,,,206.0,35.86441349983215,206.0,1763260069.5160456,,,,
8320,25.858247756958008,0.0017309337854385376,157,1.1591240763664246e-05,0.5674244165420532,0.0,,36.194514751434326,,1763260069.8461468,0.0002950844937004149,947.0,0.001048969104886055,0.05096280574798584
9420,,,172,,,,206.0,38.239949226379395,206.0,1763260071.8915813,,,,
11264,20.780818939208984,-0.0031167790293693542,195,0.00014455895870923996,0.5776965618133545,0.0,,41.44619822502136,,1763260075.0978303,0.00029331797850318253,802.0,-0.0010288478806614876,0.08221018314361572
11876,,,203,,,,167.0,42.17580723762512,167.0,1763260075.8274393,,,,
12607,,,213,,,,304.0,42.940515995025635,304.0,1763260076.592148,,,,
12928,16.295177459716797,0.01510610431432724,217,0.0006301887333393097,0.5947959423065186,0.0,,43.2788450717926,,1763260076.9304771,0.00029231951339170337,814.0,0.0017987322062253952,0.16260284185409546
13696,42.7061653137207,-0.006243202835321426,228,0.00021563749760389328,0.5659933090209961,0.0,,44.04337668418884,,1763260077.6950088,0.00029185868334025145,823.0,0.0005537858232855797,0.01382899284362793
14080,25.51225471496582,0.0014876723289489746,233,3.820285201072693e-05,0.6160870790481567,0.0,,44.468772172927856,,1763260078.1204042,0.0002916282683145255,825.0,0.0010808445513248444,0.28378546237945557
15560,,,251,,,,176.0,45.896793365478516,176.0,1763260079.5484254,,,,
16012,,,259,,,,141.0,46.374141693115234,141.0,1763260080.0257738,,,,
16384,27.20918846130371,0.003773387521505356,265,0.00019273441284894943,0.5975467562675476,0.0,,46.75078630447388,,1763260080.4024184,0.0002902457781601697,847.0,-0.00022675562649965286,0.6024864912033081
16896,14.802411079406738,-0.0003158487379550934,273,8.0866739153862e-06,0.5912100672721863,0.0,,47.278624057769775,,1763260080.9302561,0.00028993855812586844,850.0,-0.0006110658869147301,0.5410604476928711
16951,,,274,,,,113.0,47.300684690475464,113.0,1763260080.9523168,,,,
18122,,,292,,,,149.0,48.44292116165161,149.0,1763260082.0945532,,,,
20294,,,321,,,,82.0,50.636188983917236,82.0,1763260084.287821,,,,
20629,,,327,,,,114.0,51.091243743896484,114.0,1763260084.7428758,,,,
20864,7.337122917175293,-0.013163723051548004,330,0.0019460879266262054,0.5510298609733582,0.0,,51.332993268966675,,1763260084.9846253,0.0002875576028600335,872.0,0.007759571075439453,0.9114402532577515
20992,10.789725303649902,-0.011415407061576843,332,0.0003914153203368187,0.5180444717407227,0.0,,51.45471715927124,,1763260085.1063492,0.0002874807978514582,873.0,0.0036027850583195686,0.9134026765823364
21376,23.663394927978516,0.016883812844753265,337,0.0008120881393551826,0.4946326017379761,0.0,,51.86753559112549,,1763260085.5191677,0.00028725038282573223,874.0,-0.00815312284976244,0.721542239189148
21583,,,340,,,,121.0,52.072720527648926,121.0,1763260085.7243526,,,,
23552,7.403739929199219,0.0010742731392383575,370,0.00012430362403392792,0.5844375491142273,0.0,,54.1676664352417,,1763260087.8192985,0.0002859446976799518,880.0,0.002046436071395874,0.9830735325813293
23936,5.526569843292236,-0.018779367208480835,375,0.0012601865455508232,0.5389391779899597,0.0,,54.56902360916138,,1763260088.2206557,0.0002857142826542258,881.0,0.0002034297212958336,0.9798270463943481
25600,6.14492130279541,-0.0036999881267547607,396,0.001253342255949974,0.5553938150405884,0.0,,56.38110327720642,,1763260090.0327353,0.00028471581754274666,883.0,0.004763035103678703,0.9629985094070435
28160,11.254722595214844,0.001313474029302597,425,0.00010072998702526093,0.532850980758667,0.0,,59.074005126953125,,1763260092.7256372,0.00028317971737124026,889.0,-0.001965876668691635,0.6752591133117676
29568,8.321771621704102,-0.012233942747116089,441,0.0010101618245244026,0.5108965039253235,0.0,,60.800644397735596,,1763260094.4522765,0.00028233486227691174,885.0,0.0059125302359461784,0.9549171924591064
30208,6.31841516494751,0.0070310309529304504,450,0.00015873555094003677,0.5480399131774902,0.0,,61.624069690704346,,1763260095.2757018,0.00028195083723403513,883.0,-0.0033871596679091454,0.9193608164787292
31682,,,471,,,,160.0,63.42303252220154,160.0,1763260097.0746646,,,,
32512,24.078365325927734,-0.0015677064657211304,481,0.00024178717285394669,0.549079418182373,0.0,,64.48003816604614,,1763260098.1316702,0.00028056834707967937,877.0,0.0004171384498476982,-0.0008283853530883789
33280,3.8926591873168945,0.0015580598264932632,490,9.921565651893616e-05,0.573707103729248,0.0,,65.79881238937378,,1763260099.4504445,0.00028010751702822745,867.0,0.00013710744678974152,0.00273740291595459
