charts/SPS,_runtime,losses/entropy,losses/policy_loss,losses/value_loss,losses/old_approx_kl,charts/episodic_length,losses/approx_kl,charts/learning_rate,_timestamp,losses/explained_variance,_step,global_step,charts/episodic_return,losses/clipfrac
,25.901499032974243,,,,,,,,1763260059.425214,,0,0,,
,27.43646740913391,,,,,17.0,,,1763260060.9601824,,7,148,17.0,
,28.058109521865845,,,,,15.0,,,1763260061.5818245,,33,772,15.0,
,28.266894578933716,,,,,33.0,,,1763260061.7906096,,41,1013,33.0,
,28.494658946990967,,,,,32.0,,,1763260062.018374,,47,1181,32.0,
,29.087660312652588,,,,,40.0,,,1763260062.6113753,,64,1837,40.0,
1000.0,29.554059982299805,0.608133852481842,-0.000708509236574173,40.59531021118164,-0.005411905236542225,,0.00010275561362504959,0.00029869432910345495,1763260063.077775,0.012502074241638184,74,2304,,0.0
,29.675461053848267,,,,,77.0,,,1763260063.199176,,77,2443,77.0,
,30.164600372314453,,,,,129.0,,,1763260063.6883154,,88,3035,129.0,
1037.0,30.952293872833252,0.5985825657844543,-0.020534761250019073,36.248512268066406,0.010891849175095558,,0.0015859510749578476,0.0002977726690005511,1763260064.476009,0.20510774850845337,102,3840,,0.0
1040.0,31.064476013183594,0.56758713722229,-0.003874249756336212,35.41008758544922,-0.0002587437629699707,,0.003142409026622772,0.0002976958639919758,1763260064.588191,0.19164657592773438,104,3968,,0.0
1060.0,32.806700229644775,0.583279013633728,-0.005605006590485573,25.09678077697754,0.010503430850803852,,0.003204883076250553,0.000296543788863346,1763260066.3304152,0.1424262523651123,133,5888,,0.009765625
,33.444713830947876,,,,,97.0,,,1763260066.9684289,,147,6654,97.0,
,33.543627977371216,,,,,79.0,,,1763260067.067343,,149,6733,79.0,
,33.556822299957275,,,,,35.0,,,1763260067.0805373,,150,6768,35.0,
,33.86353302001953,,,,,71.0,,,1763260067.387248,,155,7054,71.0,
,33.97978234291077,,,,,132.0,,,1763260067.5034974,,157,7186,132.0,
1020.0,35.1569242477417,0.5839295387268066,-0.004198208451271057,28.000322341918945,0.0004919329658150673,,7.10049644112587e-05,0.00029523810371756554,1763260068.6806393,0.2469193935394287,172,8064,,0.0
885.0,38.384236574172974,0.6022621393203735,-0.0020736269652843475,27.970125198364258,0.0002774186432361603,,5.122274160385132e-05,0.00029416283359751105,1763260071.9079516,0.0635143518447876,195,9856,,0.0
847.0,39.48739671707153,0.5991653203964233,-0.009248465299606323,21.174203872680664,-0.00032813288271427155,,0.0003245137631893158,0.00029385561356320977,1763260073.0111117,0.24764472246170044,203,10368,,0.0
,40.7303831577301,,,,,147.0,,,1763260074.2540982,,213,11098,147.0,
,41.16253328323364,,,,,89.0,,,1763260074.6862483,,217,11309,89.0,
804.0,42.1994206905365,0.5444119572639465,-0.017711391672492027,25.687755584716797,0.029751203954219818,,0.0019466085359454155,0.0002928571484517306,1763260075.7231357,0.4108102321624756,228,12032,,0.0
,42.61113929748535,,,,,366.0,,,1763260076.1348543,,233,12535,366.0,
832.0,43.864245653152466,0.5714391469955444,-0.0005036294460296631,48.90515899658203,-0.0012121805921196938,,4.30988147854805e-05,0.0002917818783316761,1763260077.3879607,-0.004053831100463867,251,13824,,0.0
,44.42745637893677,,,,,254.0,,,1763260077.9511714,,259,14343,254.0,
,44.82867169380188,,,,,131.0,,,1763260078.3523867,,265,14838,131.0,
847.0,45.51811647415161,0.5733209252357483,-0.009442359209060669,19.98685646057129,0.00797841977328062,,0.0005018347874283791,0.00029078341322019696,1763260079.0418315,0.5300214290618896,273,15488,,0.0
,45.555885553359985,,,,,308.0,,,1763260079.0796006,,274,15587,308.0,
867.0,47.03310036659241,0.588555097579956,0.006617933511734009,17.937902450561523,0.005920923314988613,338.0,0.0005125841125845909,0.0002897849481087178,1763260080.5568154,0.26974987983703613,292,17152,338.0,0.0
,49.282522439956665,,,,,178.0,,,1763260082.8062375,,321,19631,178.0,
891.0,49.7955117225647,0.5982621312141418,0.007177859544754028,26.443920135498047,0.0007598400115966797,,0.00015933625400066376,0.00028801843291148543,1763260083.3192267,0.3053722381591797,327,20096,,0.0
893.0,50.029184341430664,0.6003152132034302,0.002573324367403984,12.837489128112793,0.007234563119709492,,0.0004802113398909569,0.0002878648228943348,1763260083.5528994,0.5627082586288452,330,20352,,0.0
894.0,50.14736032485962,0.5638000965118408,0.027385666966438293,13.402084350585938,-0.007320265285670757,,0.0012116404250264168,0.00028778801788575947,1763260083.6710753,0.16016405820846558,332,20480,,0.0
895.0,50.55701684951782,0.5677279829978943,0.016100943088531494,13.692466735839844,-0.008361420594155788,,0.0010529467836022377,0.0002875576028600335,1763260084.0807319,0.532401978969574,337,20864,,0.0
,50.733628273010254,,,,,138.0,,,1763260084.2573433,,340,21042,138.0,
,53.37424874305725,,,,,425.0,,,1763260086.8979638,,370,23641,425.0,
