global_step,_step,charts/learning_rate,losses/old_approx_kl,losses/explained_variance,losses/policy_loss,losses/entropy,losses/clipfrac,losses/approx_kl,charts/episodic_return,charts/SPS,_runtime,losses/value_loss,charts/episodic_length,_timestamp
0,0,,,,,,,,,,36.709333658218384,,,1763260066.8245227
165,7,,,,,,,,37.0,,37.7284882068634,,37.0,1763260067.8436773
724,33,,,,,,,,17.0,,39.159276723861694,,17.0,1763260069.2744658
926,41,,,,,,,,52.0,,39.66900992393494,,52.0,1763260069.784199
1084,47,,,,,,,,41.0,,40.04587650299072,,41.0,1763260070.1610656
1641,64,,,,,,,,39.0,,41.31063747406006,,39.0,1763260071.4258265
2196,74,,,,,,,,66.0,,42.40750789642334,,66.0,1763260072.522697
2260,77,,,,,,,,29.0,,42.53275656700134,,29.0,1763260072.6479456
2688,88,0.000298463914077729,-0.005974357947707176,0.13443350791931152,-0.0009022653102874756,0.6263492107391357,0.0,0.00045638345181941986,,459.0,43.399121046066284,24.670001983642578,,1763260073.5143101
3328,102,0.0002980798890348524,0.006654875352978706,-0.13637423515319824,-0.001155570149421692,0.6148684024810791,0.0,0.00024082139134407043,,493.0,44.28747296333313,28.94498062133789,,1763260074.402662
3456,104,0.00029800308402627707,-9.700842201709747e-05,0.16223573684692383,-0.01166926883161068,0.583067774772644,0.0,0.00038824230432510376,,501.0,44.43430137634277,32.28123474121094,,1763260074.5494905
5293,133,,,,,,,,123.0,,46.89201068878174,,123.0,1763260077.0071998
6386,147,,,,,,,,135.0,,48.451467514038086,,135.0,1763260078.5666566
6528,149,0.0002961597638204694,0.023588823154568672,0.5618820786476135,-0.01927606388926506,0.5733590126037598,0.00390625,0.0032692281529307365,,581.0,48.780574321746826,31.23866844177246,,1763260078.8957634
6534,150,,,,,,,,148.0,,48.7862548828125,,148.0,1763260078.901444
6920,155,,,,,,,,236.0,,49.28105115890503,,236.0,1763260079.3962402
7065,157,,,,,,,,145.0,,49.481632232666016,,145.0,1763260079.5968213
8192,172,0.0002951612987089902,0.004698483273386955,0.09954887628555298,-0.01425083726644516,0.5703444480895996,0.0,0.000405188649892807,,615.0,50.86195349693298,27.342809677124023,,1763260080.9771426
10112,195,0.0002940092235803604,0.004670032300055027,0.10101115703582764,0.007766688242554665,0.5622960329055786,0.033203125,0.0077417707070708275,,653.0,53.02144193649292,24.42862319946289,,1763260083.136631
10752,203,0.0002936251985374838,0.025300979614257812,0.2582942843437195,-0.018161442130804062,0.5403954386711121,0.0,0.003001661039888859,,663.0,53.7481644153595,29.28774642944336,,1763260083.8633535
11447,213,,,,,,,,137.0,,54.49659585952759,,137.0,1763260084.611785
11747,217,,,,,,,,131.0,,54.78071737289429,,131.0,1763260084.8959064
12544,228,0.00029254992841742933,-0.007340096868574619,0.6083956956863403,-0.006729036569595337,0.5858500003814697,0.0,0.0012274039909243584,,692.0,55.65794038772583,17.78491973876953,,1763260085.7731295
12928,233,0.00029231951339170337,0.005304496735334396,0.48611611127853394,-0.008882639929652214,0.5286974906921387,0.0,0.0001405719667673111,,695.0,56.14189410209656,22.26285171508789,,1763260086.2570832
14209,251,,,,,,,,177.0,,57.5536105632782,,177.0,1763260087.6687996
14848,259,0.00029116743826307356,-0.00018636323511600494,0.5962798595428467,-0.00043448060750961304,0.5766903162002563,0.0,1.3452023267745972e-05,,715.0,58.30688452720642,21.114017486572266,,1763260088.4220736
15360,265,0.0002908602182287723,0.012480469420552254,0.5384291410446167,0.040505606681108475,0.5118944644927979,0.115234375,0.009966464713215828,,719.0,58.890777587890625,22.29527473449707,,1763260089.0059667
16032,273,,,,,,,,187.0,,59.748125314712524,,187.0,1763260089.8633144
16128,274,0.00029039938817732036,0.012475011870265007,0.6428420543670654,0.0034878887236118317,0.5246690511703491,0.037109375,0.008092885836958885,,722.0,59.86167073249817,16.559858322143555,,1763260089.9768598
17204,292,,,,,,,,101.0,,61.35724091529846,,101.0,1763260091.47243
19200,321,0.0002885560679715127,0.025982895866036415,0.9580056667327881,0.005411561578512192,0.5757131576538086,0.005859375,0.006194491870701313,,699.0,64.99014282226562,6.802623271942139,,1763260095.105332
19712,327,0.0002882488479372114,-0.0009843986481428146,0.048020005226135254,-0.006530575454235077,0.5175162553787231,0.0,0.0003372468054294586,,691.0,66.07086324691772,13.681053161621094,,1763260096.1860523
19968,330,0.00028809523792006075,0.0038650762289762497,0.1856081485748291,-0.004838842898607254,0.5318326950073242,0.0,4.238635301589966e-05,,686.0,66.61691784858704,13.263997077941895,,1763260096.732107
20096,332,0.00028801843291148543,0.028453996405005455,0.967115581035614,-0.017451658844947815,0.5139332413673401,0.01953125,0.006110272370278835,,684.0,66.91338610649109,4.911264419555664,,1763260097.0285752
20437,337,,,,,,,,153.0,,67.55192589759827,,153.0,1763260097.667115
20608,340,0.00028771121287718415,-0.0008122818544507027,0.9620943069458008,0.0007943063974380493,0.5351898670196533,0.0,2.924073487520218e-05,,675.0,68.06079936027527,5.922369003295898,,1763260098.1759884
22929,370,,,,,,,,238.0,,73.01278758049011,,238.0,1763260103.1279767
23296,375,0.00028609830769710243,9.697210043668747e-05,0.9740899205207825,-0.0007924437522888184,0.608465313911438,0.0,1.3562850654125214e-05,,641.0,73.83709454536438,3.458308696746826,,1763260103.9522836
24832,396,0.0002851766475941986,-0.0019354801625013351,0.9902961850166321,-0.0009925216436386108,0.607417643070221,0.0,0.00014808960258960724,,625.0,77.25120854377747,2.053596019744873,,1763260107.3663976
27136,425,0.0002837941574398428,-0.0022315820679068565,-0.0011272430419921875,0.00040400028228759766,0.6089231371879578,0.0,0.00010658707469701767,,609.0,82.04849934577942,7.37790060043335,,1763260112.1636884
28416,441,0.0002830261073540896,0.00027218181639909744,0.05604642629623413,-0.0065559446811676025,0.6073781847953796,0.0,0.0007581198588013649,,605.0,84.47842121124268,66.65766906738281,,1763260114.5936103
29008,450,,,,,,,,189.0,,85.58352780342102,,189.0,1763260115.6987169
30976,471,0.0002814900071825832,-0.00024586915969848633,0.03833073377609253,0.0015781763941049576,0.5583213567733765,0.0,2.7135014533996582e-05,,598.0,89.2745304107666,5.679844379425049,,1763260119.3897195
31845,481,,,,,,,,340.0,,90.71945023536682,,340.0,1763260120.8346393
32640,490,0.00028049154207110405,0.0025273002684116364,-0.027592778205871582,-0.0025041401386260986,0.5454645156860352,0.0,7.236935198307037e-05,,596.0,92.25439667701721,5.815293788909912,,1763260122.3695858
34048,504,0.0002796466869767755,0.005361166782677174,-0.06682050228118896,-0.0006645247340202332,0.5580689907073975,0.0,0.0009733298793435097,,596.0,94.628835439682,5.180450916290283,,1763260124.7440245
35200,515,0.00027895544189959764,0.0017611654475331306,0.3952174186706543,0.0007663033902645111,0.5504074692726135,0.0,0.000339544378221035,,596.0,96.60771584510803,4.300451755523682,,1763260126.722905
36736,530,0.0002780337817966938,0.007896717637777328,-0.1144181489944458,0.004030629992485046,0.5696178674697876,0.0,0.0004895683377981186,,597.0,99.06446957588196,3.3936147689819336,,1763260129.1796587
37632,539,0.00027749614673666656,0.004245913587510586,0.03779733180999756,-0.001179628074169159,0.5843523740768433,0.0,0.00013248715549707413,,597.0,100.49305295944214,3.089982748031616,,1763260130.608242
38391,547,,,,,,,,500.0,,101.56322693824768,,500.0,1763260131.678416
39040,555,0.00027665129164233804,-0.0001800423488020897,-0.0005611181259155273,0.0003547072410583496,0.5970230102539062,0.0,1.0660849511623383e-05,,598.0,102.74592304229736,2.6171693801879883,,1763260132.861112
39424,559,0.0002764208766166121,0.01126172300428152,0.18368232250213623,-0.03651004657149315,0.5677949786186218,0.013671875,0.003603733144700527,,599.0,103.32709503173828,129.86256408691406,,1763260133.442284
40103,568,,,,,,,,222.0,,104.4134202003479,,222.0,1763260134.5286093
41939,595,,,,,,,,147.0,,107.79710555076599,,147.0,1763260137.9122946
43190,612,,,,,,,,253.0,,110.40365481376648,,253.0,1763260140.518844
43392,614,0.0002740399504546076,0.005088322795927525,0.9452891945838928,0.0028702709823846817,0.5433513522148132,0.0,0.00016126874834299088,,591.0,110.8747386932373,1.3293116092681885,,1763260140.9899278
44928,630,0.00027311829035170376,0.0003627324476838112,-0.08942937850952148,-2.221018075942993e-05,0.5884628295898438,0.0,1.5555880963802338e-05,,589.0,113.77488708496094,1.2520701885223389,,1763260143.8900762
45538,636,,,,,,,,500.0,,114.71024489402771,,500.0,1763260144.825434
45952,640,0.0002725038502831012,-0.0018766820430755615,0.010071754455566406,0.0014825016260147095,0.5865275263786316,0.0,0.00011650100350379944,,588.0,115.5771975517273,1.0032119750976562,,1763260145.6923866
46894,650,,,,,,,,500.0,,117.23942637443542,,500.0,1763260147.3546154
48384,664,0.0002710445551201701,0.0028648171573877335,-0.0707165002822876,0.0003501996397972107,0.5472937822341919,0.0,0.0002088211476802826,,587.0,119.84802746772766,0.7711179256439209,,1763260149.9632165
50176,684,0.00026996928500011563,0.006433725357055664,0.01088404655456543,-0.0046681612730026245,0.5383835434913635,0.0,0.00037499889731407166,,586.0,123.06565070152283,221.34353637695312,,1763260153.1808398
50688,689,0.00026966206496581435,0.0016026711091399193,0.009577274322509766,-0.00037786737084388733,0.5353923439979553,0.0,2.0478852093219757e-05,,586.0,123.92759084701538,0.5594581961631775,,1763260154.04278
51584,698,0.0002691244299057871,0.0007518725469708443,0.03837442398071289,-0.0007492471486330032,0.5638651251792908,0.0,6.8480148911476135e-06,,586.0,125.46536231040955,0.4977389872074127,,1763260155.5805514
51968,702,0.00026889401488006115,0.004739479161798954,0.007457077503204346,-0.005221698433160782,0.5659328103065491,0.0,0.0002175876870751381,,586.0,126.13489198684692,155.01290893554688,,1763260156.250081
52480,707,0.00026858679484575987,0.0027236901223659515,-0.017775535583496094,-0.00034640729427337646,0.5807587504386902,0.0,0.00013454444706439972,,586.0,127.02851343154907,0.4182884991168976,,1763260157.1437025
54784,729,0.0002672043046914041,0.037158653140068054,0.7013007402420044,-0.03248554468154907,0.5680189728736877,0.046875,0.011489723809063435,,586.0,131.00984692573547,0.42419201135635376,,1763260161.125036
57554,757,,,,,,,,468.0,,135.65608501434326,,468.0,1763260165.771274
58002,762,,,,,,,,448.0,,136.49243211746216,,448.0,1763260166.6076212
58502,767,,,,,,,,500.0,,137.36192345619202,,500.0,1763260167.4771125
59264,775,0.0002645161293912679,-0.01387903280556202,0.9473522305488586,0.00865209475159645,0.5498653650283813,0.0078125,0.0021830126643180847,,586.0,138.63963842391968,0.04432729259133339,,1763260168.7548275
60544,788,0.0002637480793055147,0.02318514883518219,0.532280445098877,0.01949012279510498,0.5143224596977234,0.0078125,0.006854902021586895,,586.0,140.7929244041443,0.0727132111787796,,1763260170.9081135
60672,789,0.0002636712742969394,-0.036885637789964676,0.9177095293998718,0.013967055827379227,0.451384961605072,0.03125,0.007960454560816288,,586.0,140.98002672195435,0.12703579664230347,,1763260171.0952158
61440,797,0.00026321044424548745,0.0012293104082345963,0.5604143142700195,0.003133118152618408,0.5202447772026062,0.0,0.00021036341786384583,,586.0,142.26612424850464,0.4232383966445923,,1763260172.3813133
62208,806,0.00026274961419403553,0.004506277851760387,0.34247106313705444,0.004683636128902435,0.5174017548561096,0.0,0.0008165733888745308,,586.0,143.59134078025818,206.77676391601562,,1763260173.7065299
62980,815,,,,,,,,282.0,,144.94378471374512,,282.0,1763260175.0589738
67072,863,0.00025983102386817336,-0.0001139957457780838,0.8752263784408569,-0.002388283610343933,0.5140080451965332,0.0,0.0014233961701393127,,585.0,152.12782740592957,1.0999280214309692,,1763260182.2430165
67968,872,0.0002592933888081461,0.002068004570901394,0.2990603446960449,-0.003973308019340038,0.5786864161491394,0.0,0.0009838836267590523,,585.0,153.61620664596558,0.4184645414352417,,1763260183.7313957
68352,876,0.00025906297378242016,-0.0001194346696138382,0.23036587238311768,0.003246009349822998,0.5384069681167603,0.0,5.194172263145447e-05,,585.0,154.26491022109985,0.23340022563934326,,1763260184.3800993
72448,916,0.0002566052135080099,0.010997681878507137,0.0014352798461914062,0.014559384435415268,0.5607016086578369,0.078125,0.012499861419200897,,586.0,161.1159257888794,201.2717742919922,,1763260191.2311149
73088,922,0.0002562211884651333,0.02507888525724411,0.8357502222061157,-0.002828337252140045,0.5565880537033081,0.056640625,0.016762908548116684,,586.0,162.17119932174683,0.0026855915784835815,,1763260192.2863884
73924,930,,,,,,,,500.0,,163.47499108314514,,500.0,1763260193.5901802
74752,938,0.00025522272335365415,0.002984958700835705,0.8521146178245544,-0.013713736087083817,0.5106430053710938,0.0,0.002414100803434849,,586.0,164.9296259880066,0.0015327833825722337,,1763260195.044815
75008,941,0.0002550691133365035,0.003231658600270748,0.031079113483428955,-0.0026963800191879272,0.4569584131240845,0.0,0.0008676266297698021,,586.0,165.35169005393982,121.99453735351562,,1763260195.4668791
75136,942,0.0002549923083279282,0.09682884067296982,0.9043277502059937,-0.039795584976673126,0.5483725666999817,0.037109375,0.01601671241223812,,587.0,165.54635334014893,0.00015903633902780712,,1763260195.6615424
75776,948,0.0002546082832850516,0.010064520873129368,-0.24719202518463135,-0.008252456784248352,0.5382744073867798,0.0,0.0015615159645676613,,587.0,166.60414719581604,0.0017214386025443673,,1763260196.7193363
78424,974,,,,,,,,500.0,,171.02193236351013,,500.0,1763260201.1371214
78976,980,0.0002526881580706686,0.023499198257923126,0.031262874603271484,2.7589499950408936e-05,0.44675981998443604,0.005859375,0.004851809702813625,,586.0,172.12568306922913,155.4224090576172,,1763260202.2408721
79488,985,0.0002523809380363673,-0.0032772114500403404,0.035219013690948486,-0.0034549497067928314,0.47212135791778564,0.005859375,0.0012338915839791298,,586.0,173.03293180465698,357.0577392578125,,1763260203.1481209
80512,995,0.0002517665270715952,-0.007069597020745277,0.0395282506942749,-0.014401786029338837,0.4646989405155182,0.0,0.0007178280502557755,,586.0,174.80547547340393,421.3670959472656,,1763260204.9206645
