_step,_runtime,global_step,_timestamp,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss,charts/episodic_length,charts/episodic_return
0,36.71235728263855,0,1763260066.8032804,,,,,,,,,,,
7,37.67687773704529,128,1763260067.7678008,1.2660399079322815e-05,0.013794302940368652,0.0009528584778308868,0.0,-0.0008703172206878662,0.6931290626525879,0.0003000000142492354,949.0,23.66287612915039,,
33,39.17477607727051,660,1763260069.2656991,,,,,,,,,,19.0,19.0
41,39.698752880096436,923,1763260069.789676,,,,,,,,,,113.0,113.0
47,40.09261417388916,1071,1763260070.1835372,,,,,,,,,,35.0,35.0
64,41.412893533706665,1576,1763260071.5038166,,,,,,,,,,50.0,50.0
74,42.22783422470093,2023,1763260072.3187573,,,,,,,,,,57.0,57.0
77,42.61500549316406,2176,1763260072.7059286,0.00028188806027173996,0.17637157440185547,0.01421892549842596,0.0,-0.0028164759278297424,0.6568871736526489,0.00029877113411203027,428.0,41.58310317993164,,
88,43.43042802810669,2678,1763260073.521351,,,,,,,,,,37.0,37.0
102,44.27350068092346,3128,1763260074.3644238,,,,,,,,,,30.0,30.0
104,44.422828912734985,3257,1763260074.513752,,,,,,,,,,129.0,129.0
133,46.95440721511841,4992,1763260077.0453303,0.0010283421725034714,0.39044034481048584,0.003983302041888237,0.00390625,-0.006692633964121342,0.6199491620063782,0.0002970814239233732,530.0,36.55253219604492,,
147,48.542229652404785,6016,1763260078.6331527,0.0008879639208316803,-0.013763904571533203,0.008128901943564415,0.0,-0.03248317539691925,0.5962135791778564,0.00029646698385477066,546.0,35.502201080322266,,
149,48.61936068534851,6091,1763260078.7102838,,,,,,,,,,24.0,24.0
150,48.74420166015625,6144,1763260078.8351247,9.424705058336258e-05,-0.11053752899169922,-0.0007424382492899895,0.0,0.0021354220807552338,0.5879817008972168,0.00029639017884619534,548.0,26.497949600219727,,
155,49.175352811813354,6509,1763260079.266276,,,,,,,,,,193.0,193.0
157,49.486822843551636,6656,1763260079.577746,0.000347331166267395,0.694851279258728,-0.007647350430488586,0.0,0.009154729545116425,0.6049961447715759,0.00029608295881189406,557.0,33.13077163696289,,
172,50.68197226524353,7552,1763260080.7728953,0.021556876599788666,0.15545666217803955,-0.005092393606901169,0.078125,-0.036162830889225006,0.6015325784683228,0.0002955453237518668,574.0,31.797161102294922,,
195,52.376134634017944,8936,1763260082.4670577,,,,,,,,,,60.0,60.0
203,52.995577335357666,9442,1763260083.0865004,,,,,,,,,,42.0,42.0
213,53.91137409210205,10112,1763260084.0022972,8.162390440702438e-05,0.09208577871322632,-0.0020284363999962807,0.0,0.0008266456425189972,0.5669346451759338,0.0002940092235803604,617.0,37.161956787109375,,
217,54.22500395774841,10368,1763260084.315927,0.00033125095069408417,0.8475630283355713,-0.00034697912633419037,0.0,-0.0041767992079257965,0.5814960598945618,0.00029385561356320977,621.0,16.925790786743164,,
228,55.085105657577515,11136,1763260085.1760287,9.314250200986862e-05,0.9072962999343872,-0.0003246394917368889,0.0,-0.0009866729378700256,0.5587947368621826,0.00029339478351175785,634.0,23.653907775878906,,
233,55.45157861709595,11520,1763260085.5425017,0.00010723154991865158,0.6636638641357422,0.00046854931861162186,0.0,-0.0008579567074775696,0.570144772529602,0.0002931643684860319,643.0,27.06210708618164,,
251,56.877779960632324,12770,1763260086.968703,,,,,,,,,,158.0,158.0
259,57.67399740219116,13370,1763260087.7649205,,,,,,,,,,156.0,156.0
265,58.174686908721924,13762,1763260088.26561,,,,,,,,,,168.0,168.0
273,58.83048343658447,14208,1763260088.9214065,3.4003518521785736e-05,0.42277365922927856,0.0005980255082249641,0.0,-0.00017635151743888855,0.5106821656227112,0.00029155146330595016,667.0,42.64937210083008,,
274,58.96652841567993,14336,1763260089.0574515,0.00011242367327213287,0.897915780544281,-0.0007507763803005219,0.0,0.0006143078207969666,0.5314226150512695,0.00029147465829737484,669.0,16.094995498657227,,
292,60.55293273925781,15395,1763260090.6438558,,,,,,,,,,26.0,26.0
321,63.721116065979004,17456,1763260093.8120391,,,,,,,,,,133.0,133.0
327,64.70559072494507,17920,1763260094.7965138,0.000562434084713459,0.6874727606773376,-0.0032854201272130013,0.0,-0.0018708817660808563,0.61623615026474,0.0002893241180572659,659.0,16.514015197753906,,
330,65.04219555854797,18095,1763260095.1331186,,,,,,,,,,133.0,133.0
332,65.30687522888184,18257,1763260095.3977983,,,,,,,,,,162.0,162.0
337,66.06831240653992,18649,1763260096.1592355,,,,,,,,,,240.0,240.0
340,66.54237413406372,18816,1763260096.6332972,0.00017785374075174332,0.8974681496620178,0.0011279145255684853,0.0,-0.0023294836282730103,0.5140243172645569,0.00028878648299723864,648.0,10.969654083251953,,
370,71.17175960540771,21120,1763260101.2626827,0.0001117875799536705,0.9293511509895325,-0.0007618321105837822,0.0,-1.7073005437850952e-05,0.6019638776779175,0.00028740399284288287,628.0,7.413269996643066,,
375,71.78371739387512,21435,1763260101.8746405,,,,,,,,,,159.0,159.0
396,74.93150877952576,22928,1763260105.0224319,,,,,,,,,,42.0,42.0
425,79.50857281684875,25095,1763260109.599496,,,,,,,,,,186.0,186.0
441,81.75961136817932,26240,1763260111.8505344,8.281879127025604e-05,0.9733121395111084,0.0002733711153268814,0.0,-0.002705983817577362,0.6022951602935791,0.00028433179249987006,593.0,3.8461971282958984,,
450,82.9181694984436,26880,1763260113.0090926,0.000246693380177021,0.9803603887557983,0.0021018004044890404,0.0,-0.0038426294922828674,0.5855298042297363,0.00028394776745699346,592.0,3.412503480911255,124.0,124.0
471,85.56884050369263,28389,1763260115.6597636,,,,,,,,,,160.0,160.0
481,86.92117309570312,29132,1763260117.0120962,,,,,,,,,,74.0,74.0
490,88.39385509490967,29996,1763260118.4847782,,,,,,,,,,364.0,364.0
504,90.53994965553284,31232,1763260120.6308727,6.917305290699005e-05,0.611175537109375,-0.000292045995593071,0.0,-0.0035415738821029663,0.5561020374298096,0.00028133639716543257,589.0,56.39155578613281,,
515,92.2450692653656,32304,1763260122.3359923,,,,,,,,,,500.0,500.0
530,94.70772814750671,33792,1763260124.7986512,0.00016332976520061493,0.39359354972839355,0.0007212795317173004,0.0,0.00199207104742527,0.6080252528190613,0.00027980029699392617,591.0,4.771394729614258,,
539,96.16516089439392,34779,1763260126.256084,,,,,,,,,,347.0,347.0
547,97.45106530189514,35584,1763260127.5419884,8.794385939836502e-05,-0.03444063663482666,-0.0020978348329663277,0.0,0.00016698986291885376,0.5478768348693848,0.0002787250268738717,593.0,4.522080421447754,,
555,98.62302017211914,36352,1763260128.7139432,6.0012564063072205e-05,0.12244188785552979,0.003308543935418129,0.0,-0.0005921497941017151,0.49400874972343445,0.00027826419682241976,595.0,4.455483436584473,,
559,99.01141571998596,36608,1763260129.1023388,0.0004472946748137474,-0.00014400482177734375,0.00023187976330518723,0.0,-0.0028253495693206787,0.5930300951004028,0.0002781105868052691,595.0,3.944272041320801,,
568,100.37222671508789,37504,1763260130.4631498,0.012802529148757458,0.07740223407745361,0.024670151993632317,0.060546875,-0.04608041048049927,0.5713405013084412,0.0002775729517452419,596.0,240.28018188476562,,
595,104.34634208679199,40320,1763260134.4372652,0.00026253145188093185,0.5373421907424927,-0.0046652937307953835,0.0,-0.000432085245847702,0.5843867659568787,0.0002758832706604153,603.0,2.573629856109619,,
612,106.78874397277832,41856,1763260136.879667,0.0006663557142019272,0.08687448501586914,0.004407837986946106,0.0,0.0011203493922948837,0.5569952726364136,0.00027496161055751145,604.0,2.3500986099243164,,
614,107.03404426574707,42062,1763260137.1249673,,,,,,,,,,475.0,475.0
630,109.62027931213379,43549,1763260139.7112024,,,,,,,,,,318.0,318.0
636,110.68774771690369,44160,1763260140.7786708,0.005937386304140091,0.8379743099212646,0.01407235860824585,0.00390625,-0.005483321845531464,0.560890257358551,0.0002735791204031557,603.0,1.5218504667282104,,
640,111.21393060684204,44502,1763260141.3048537,,,,,,,,,,271.0,271.0
650,112.85454392433167,45312,1763260142.945467,0.0011656545102596283,0.39384061098098755,0.00989273376762867,0.0,-0.010616280138492584,0.602303147315979,0.0002728878753259778,601.0,100.56179809570312,,
664,114.87348008155823,46464,1763260144.9644032,0.0008193254470825195,0.9670913815498352,0.004898302257061005,0.0,0.012747183442115784,0.5842971801757812,0.0002721966302487999,600.0,0.8802424669265747,,
684,117.65188360214233,48000,1763260147.7428067,0.002910356968641281,0.7113521099090576,0.009827487170696259,0.0,-0.029003243893384933,0.5376805663108826,0.0002712749701458961,599.0,43.03291702270508,,
689,118.33817601203918,48451,1763260148.429099,,,,,,,,,,243.0,243.0
698,119.78880167007446,49280,1763260149.8797247,8.43508169054985e-05,-0.037712931632995605,0.0007069213315844536,0.0,0.0017624404281377792,0.5531957149505615,0.0002705069200601429,599.0,0.45346254110336304,,
702,120.41511034965515,49664,1763260150.5060334,0.0003829728811979294,-0.00048279762268066406,-0.0010047685354948044,0.0,-0.001617729663848877,0.5767198801040649,0.0002702765050344169,599.0,165.78109741210938,,
707,121.27571678161621,50176,1763260151.3666399,0.00012212060391902924,0.11123466491699219,0.002548065036535263,0.0,0.0006980150938034058,0.6100846529006958,0.00026996928500011563,599.0,81.96211242675781,,
729,124.9556655883789,52480,1763260155.0465887,0.0011816881597042084,0.08148074150085449,0.005498543381690979,0.0,-0.016203787177801132,0.574506402015686,0.00026858679484575987,600.0,0.1640826314687729,,
757,129.3454737663269,55080,1763260159.4363968,,,,,,,,,,297.0,297.0
762,130.17940664291382,55552,1763260160.2703297,2.224557101726532e-05,-0.011972904205322266,0.0006039626896381378,0.0,-0.0002967212349176407,0.6058704853057861,0.0002667434746399522,599.0,0.10918773710727692,,
767,130.86038255691528,55936,1763260160.9513056,0.00024891551584005356,0.06633716821670532,-0.005045942030847073,0.0,0.006388600915670395,0.5583486557006836,0.0002665130596142262,599.0,24.105365753173828,,
775,132.06711053848267,56704,1763260162.1580336,0.0065304310992360115,-0.655373215675354,-0.026814792305231094,0.033203125,-0.027539225295186043,0.5793253779411316,0.0002660522295627743,599.0,0.12047205120325089,,
788,134.07456970214844,57984,1763260164.1654928,0.0003020958974957466,0.8625275492668152,-0.005427100695669651,0.0,-0.007578948512673378,0.5851230025291443,0.0002652841794770211,600.0,0.038142673671245575,,
797,135.5268783569336,58880,1763260165.6178014,0.002458585426211357,0.016010701656341553,0.010828597471117973,0.0,-0.0038462094962596893,0.5565115809440613,0.00026474654441699386,600.0,279.6849365234375,,
806,136.9471423625946,59776,1763260167.0380654,0.0006092330440878868,0.0017769336700439453,0.005686313845217228,0.0,0.004269234836101532,0.4323287010192871,0.0002642089093569666,601.0,377.6140441894531,,
815,138.34689259529114,60680,1763260168.4378157,,,,,,,,,,500.0,500.0
863,145.83296871185303,65566,1763260175.9238918,,,,,,,,,,500.0,500.0
872,147.3151092529297,66560,1763260177.4060323,0.002019096165895462,-0.9518634080886841,0.00520256906747818,0.00390625,-0.03625702112913132,0.3819054663181305,0.00026013824390247464,606.0,7.86181481089443e-05,,
876,147.92425107955933,66944,1763260178.0151742,0.0026116473600268364,-0.6380088329315186,0.00033742282539606094,0.00390625,-0.015243340283632278,0.42002254724502563,0.0002599078288767487,606.0,0.000282438937574625,,
916,154.17022728919983,71040,1763260184.2611504,0.0006435150280594826,0.17217183113098145,0.006057246588170528,0.0,-0.00885104201734066,0.44142523407936096,0.00025745006860233843,609.0,0.0001084701216313988,,
922,155.0227129459381,71566,1763260185.113636,,,,,,,,,,500.0,500.0
930,156.33221793174744,72448,1763260186.423141,0.004165509715676308,0.08869659900665283,0.02943265810608864,0.0,-0.009952642023563385,0.4456444978713989,0.0002566052135080099,609.0,0.00023892744502518326,,
938,157.50739121437073,73216,1763260187.5983143,0.005847752094268799,0.17234677076339722,0.04267100244760513,0.033203125,-0.022302493453025818,0.4837917685508728,0.000256144383456558,610.0,0.003869203384965658,,
941,157.9365484714508,73566,1763260188.0274715,,,,,,,,,,500.0,500.0
942,158.10370659828186,73600,1763260188.1946297,7.244199514389038e-05,-4.673004150390625e-05,0.0010303128510713577,0.0,0.0009371936321258545,0.414478600025177,0.00025591396843083203,610.0,138.84376525878906,,
948,159.10962104797363,74240,1763260189.200544,6.402283906936646e-05,0.2555517554283142,-0.00013152696192264557,0.0,-0.00018549710512161255,0.46914365887641907,0.00025552994338795543,610.0,0.003957747481763363,,
974,163.260400056839,76928,1763260193.3513231,0.0002724062651395798,-0.05293405055999756,-0.0005120038986206055,0.0,-0.0020426735281944275,0.49755343794822693,0.0002539170382078737,611.0,0.0004579321830533445,,
980,164.10599207878113,77566,1763260194.1969151,,,,,,,,,,500.0,500.0
985,164.92597079277039,78066,1763260195.0168939,,,,,,,,,,500.0,500.0
995,166.43587040901184,79066,1763260196.5267935,,,,,,,,,,500.0,500.0
997,166.67202162742615,79151,1763260196.7629447,,,,,,,,,,85.0,85.0
1015,169.67637538909912,81024,1763260199.7672985,0.00029385462403297424,-0.18420517444610596,-0.0009170509874820709,0.0,0.0020231157541275024,0.5262032747268677,0.0002514593070372939,613.0,0.00012876203982159495,,
1020,170.3620889186859,81525,1763260200.453012,,,,,,,,,,500.0,500.0
1031,172.208398103714,82560,1763260202.2993212,0.0015813149511814117,0.0003470182418823242,0.003086596727371216,0.0,-0.0011605694890022278,0.4839232265949249,0.00025053764693439007,613.0,285.3980407714844,,
1050,175.28158712387085,84525,1763260205.3725102,,,,,,,,,,500.0,500.0
1053,175.90848588943481,84864,1763260205.999409,0.00314157921820879,-0.5235046148300171,0.011521234177052975,0.001953125,0.0074687376618385315,0.5404945611953735,0.0002491551567800343,613.0,0.0004224104341119528,,
1058,176.73740029335022,85376,1763260206.8283234,0.0005836673080921173,0.602201521396637,-0.0005369652062654495,0.0,-0.0004449114203453064,0.4912635087966919,0.000248847936745733,613.0,0.00039282700163312256,,
1083,180.63505125045776,87880,1763260210.7259743,,,,,,,,,,500.0,500.0
1091,182.02696657180786,88704,1763260212.1178896,1.2106262147426605e-05,0.12430679798126221,-0.001680196262896061,0.0,-0.00031264498829841614,0.5525710582733154,0.0002468510065227747,613.0,0.0006479352596215904,,
1106,184.45413255691528,90240,1763260214.5450556,0.00016645807772874832,-0.008314728736877441,0.003563898615539074,0.0,-0.0017265528440475464,0.529733419418335,0.00024592934641987085,614.0,0.0007186587317846715,,
1118,186.40402674674988,91520,1763260216.4949498,0.0009360378608107567,-0.09825694561004639,-0.00253977719694376,0.0,-0.01805483177304268,0.5897067785263062,0.00024516129633411765,614.0,0.004311357159167528,,
1125,187.5837767124176,92288,1763260217.6746998,0.0013210223987698555,-0.13167691230773926,0.013239025138318539,0.0,-0.015428498387336731,0.5155509114265442,0.00024470046628266573,615.0,9.702786337584257e-05,,
1133,188.76801371574402,93056,1763260218.8589368,0.0010044602677226067,0.23820024728775024,0.008074826560914516,0.001953125,-0.005008891224861145,0.5048959255218506,0.0002442396362312138,615.0,0.005455868784338236,,
1145,190.7142870426178,94336,1763260220.80521,0.0005180826410651207,0.03694796562194824,0.005277807824313641,0.0,-0.004959277808666229,0.4709097743034363,0.0002434715861454606,615.0,7.84323419793509e-05,,
1164,193.5725977420807,96256,1763260223.6635208,0.0008055800572037697,0.0407370924949646,0.001987067051231861,0.0,-0.014812249690294266,0.4971811771392822,0.0002423195110168308,616.0,0.0007290061330422759,,
1165,193.63213896751404,96380,1763260223.723062,,,,,,,,,,500.0,500.0
1172,194.74424815177917,97024,1763260224.8351712,0.0022797808051109314,0.01287299394607544,0.009487539529800415,0.0,-0.008770175278186798,0.4526456594467163,0.00024185868096537888,617.0,0.005455546081066132,,
