charts/episodic_return,_step,losses/approx_kl,losses/clipfrac,losses/explained_variance,_runtime,losses/value_loss,charts/learning_rate,losses/policy_loss,_timestamp,losses/entropy,charts/SPS,losses/old_approx_kl,global_step,charts/episodic_length
,0,,,,36.74112367630005,,,,1763260066.8494878,,,,0,
19.0,7,,,,37.70800161361694,,,,1763260067.8163657,,,,216,19.0
39.0,33,,,,39.305641889572144,,,,1763260069.414006,,,,770,39.0
,41,0.0011553354561328888,0.0,-0.05502653121948242,39.764357566833496,33.093772888183594,0.00029946237918920815,-0.014449422247707844,1763260069.8727217,0.6609116792678833,462.0,-0.008751031011343002,1024,
32.0,47,,,,40.16098475456238,,,,1763260070.2693489,,,,1246,32.0
30.0,64,,,,41.61075949668884,,,,1763260071.7191236,,,,1798,30.0
27.0,74,,,,42.498563051223755,,,,1763260072.6069272,,,,2178,27.0
,77,0.0009645652025938034,0.0,-0.14625561237335205,42.75537323951721,42.39015579223633,0.00029869432910345495,-0.001964978873729706,1763260072.8637373,0.5888804197311401,442.0,0.009328993037343025,2304,
,88,0.00038331281393766403,0.0,-0.025905847549438477,43.594794273376465,28.479528427124023,0.00029838710906915367,-0.011601481586694717,1763260073.7031584,0.5734397172927856,465.0,0.0023901062086224556,2816,
63.0,102,,,,44.607975006103516,,,,1763260074.716339,,,,3686,63.0
96.0,104,,,,44.77579689025879,,,,1763260074.884161,,,,3782,96.0
,133,0.0002737930044531822,0.0,-0.37235164642333984,47.44832730293274,45.56241989135742,0.0002966973988804966,-0.00042895227670669556,1763260077.5566914,0.5632830858230591,568.0,-0.003398037515580654,5632,
,147,0.003964322619140148,0.0,-0.4614790678024292,49.072017192840576,38.11598587036133,0.00029600615380331874,-0.0036352574825286865,1763260079.1803813,0.5766221284866333,588.0,-0.02395077422261238,6784,
,149,0.005094119347631931,0.01171875,0.027793288230895996,49.27915954589844,32.864925384521484,0.0002959293487947434,-0.03116123378276825,1763260079.3875237,0.5919249057769775,589.0,0.0067604221403598785,6912,
152.0,150,,,,49.31585693359375,,,,1763260079.424221,,,,6960,152.0
,155,2.0966865122318268e-05,0.0,0.034426331520080566,49.87562966346741,35.038211822509766,0.00029569893376901746,0.001903340220451355,1763260079.9839938,0.5467821955680847,591.0,0.0002672569826245308,7296,
,157,2.6438385248184204e-05,0.0,0.05201083421707153,50.18894815444946,32.90913772583008,0.0002955453237518668,-0.0005837231874465942,1763260080.2973123,0.5630931854248047,597.0,-0.0027397777885198593,7552,
,172,0.00013632234185934067,0.0,0.5054053068161011,51.44833946228027,25.727266311645508,0.00029485407867468894,-0.0027167052030563354,1763260081.5567036,0.582696795463562,626.0,-0.0016569001600146294,8704,
,195,0.002094632014632225,0.005859375,0.1518174409866333,53.682727098464966,31.427616119384766,0.00029370200354605913,-0.021695097908377647,1763260083.7910912,0.5246148705482483,658.0,0.017771190032362938,10624,
