_step,_runtime,losses/old_approx_kl,losses/explained_variance,charts/episodic_return,charts/learning_rate,charts/episodic_length,global_step,losses/value_loss,charts/SPS,_timestamp,losses/clipfrac,losses/entropy,losses/policy_loss,losses/approx_kl
0,36.751699686050415,,,,,,0,,,1763260066.8341846,,,,
7,37.70408892631531,-0.00026503391563892365,-0.002593994140625,29.0,0.0003000000142492354,29.0,128,22.701946258544922,888.0,1763260067.786574,0.0,0.6931102871894836,0.0001237373799085617,5.846284329891205e-05
33,39.23303198814392,,,23.0,,23.0,676,,,1763260069.315517,,,,
41,39.64473009109497,,,24.0,,24.0,868,,,1763260069.727215,,,,
47,40.003193616867065,,,10.0,,10.0,949,,,1763260070.0856786,,,,
64,41.33056044578552,,,36.0,,36.0,1499,,,1763260071.4130454,,,,
74,42.177969455718994,,,33.0,,33.0,1806,,,1763260072.2604544,,,,
77,42.54884171485901,0.03300013393163681,0.020308494567871094,,0.0002988479391206056,,2048,34.52193069458008,410.0,1763260072.6313267,0.0078125,0.5750038623809814,-0.012336045503616333,0.005270827561616898
88,43.35951471328735,,,75.0,,75.0,2527,,,1763260073.4419997,,,,
102,44.459941148757935,0.00021675880998373032,0.7377801537513733,,0.0002980798890348524,,3328,32.566314697265625,482.0,1763260074.542426,0.0,0.6116682291030884,0.0056334733963012695,0.0020715976133942604
104,44.62411403656006,-0.010720530524849892,0.7665277719497681,,0.00029800308402627707,,3456,34.55266571044922,489.0,1763260074.706599,0.0,0.6160233020782471,-0.008988551795482635,0.001307312399148941
133,47.194345474243164,,,231.0,,231.0,5305,,,1763260077.2768304,,,,
147,48.69264197349548,-0.008219163864850998,0.8468820452690125,,0.00029631337383762,,6272,25.31795883178711,563.0,1763260078.775127,0.0,0.5789971351623535,0.010653141885995865,0.002459350973367691
149,48.874035596847534,,,179.0,,179.0,6421,,,1763260078.9565206,,,,
150,49.01928973197937,-0.006105503067374229,0.7623994946479797,,0.0002961597638204694,,6528,30.397258758544922,569.0,1763260079.1017747,0.0,0.5123234391212463,0.00045686960220336914,0.0005171149969100952
155,49.54776573181152,-0.000931120477616787,-0.14453625679016113,,0.0002959293487947434,,6912,33.669010162353516,576.0,1763260079.6302507,0.0,0.55439293384552,5.4270029067993164e-05,4.28343191742897e-05
157,49.75078105926514,,,365.0,,365.0,7132,,,1763260079.833266,,,,
172,50.875829458236694,,,84.0,,84.0,8001,,,1763260080.9583144,,,,
195,52.91377353668213,,,256.0,,256.0,9804,,,1763260082.9962585,,,,
203,53.632357358932495,,,135.0,,135.0,10405,,,1763260083.7148423,,,,
213,54.58468317985535,0.0015261564403772354,-0.018580079078674316,,0.00029331797850318253,,11264,49.334442138671875,661.0,1763260084.6671681,0.0,0.49061155319213867,-0.0015349611639976501,0.00036295317113399506
217,54.853785276412964,,,183.0,,183.0,11558,,,1763260084.9362702,,,,
228,55.94738411903381,0.00038846954703330994,0.37356650829315186,,0.00029254992841742933,,12544,26.2254695892334,682.0,1763260086.029869,0.0,0.5757778286933899,-0.0020471401512622833,9.548850357532501e-05
233,56.38685154914856,,,400.0,,400.0,13003,,,1763260086.4693365,,,,
251,58.21494793891907,0.004958030767738819,0.2467760443687439,,0.0002913210482802242,,14592,21.377744674682617,706.0,1763260088.297433,0.0,0.5545954704284668,-0.008640393614768982,0.0009091021493077278
259,59.00431275367737,,,340.0,,340.0,15273,,,1763260089.0867977,,,,
265,59.71423292160034,,,261.0,,261.0,15819,,,1763260089.796718,,,,
273,60.606886863708496,,,142.0,,142.0,16421,,,1763260090.6893718,,,,
274,60.73472785949707,-0.00019990094006061554,-0.005747199058532715,,0.0002901689731515944,,16512,62.649322509765625,712.0,1763260090.8172128,0.0,0.5200511813163757,-0.0011849701404571533,0.001637907698750496
292,62.6953980922699,-0.0009372085332870483,0.0029190778732299805,,0.0002893241180572659,,17920,18.70386505126953,712.0,1763260092.777883,0.0,0.5899546146392822,-0.002827368676662445,0.00019484013319015503
321,67.62048482894897,,,215.0,,215.0,20575,,,1763260097.7029698,,,,
327,68.6149492263794,,,248.0,,248.0,21087,,,1763260098.6974342,,,,
330,69.33733797073364,-0.0008809128776192665,0.0008330345153808594,,0.00028725038282573223,,21376,14.032164573669434,672.0,1763260099.419823,0.0,0.5464284420013428,0.0025058090686798096,2.2600404918193817e-05
332,69.62280917167664,,,500.0,,500.0,21587,,,1763260099.7052941,,,,
337,70.43568539619446,,,217.0,,217.0,21948,,,1763260100.5181704,,,,
340,70.94730544090271,,,206.0,,206.0,22154,,,1763260101.0297904,,,,
370,76.42057394981384,-0.003036857582628727,0.21064841747283936,,0.0002851766475941986,,24832,10.514262199401855,639.0,1763260106.503059,0.0,0.599299430847168,0.0006091706454753876,0.00026863347738981247
375,77.23452568054199,,,447.0,,447.0,25324,,,1763260107.3170106,,,,
396,80.94508719444275,,,402.0,,402.0,27050,,,1763260111.0275722,,,,
425,85.394291639328,,,461.0,,461.0,29526,,,1763260115.4767766,,,,
441,87.87518620491028,,,219.0,,219.0,30876,,,1763260117.9576712,,,,
450,89.38231110572815,8.60411673784256e-05,0.3871424198150635,,0.0002810291771311313,,31744,6.015305042266846,612.0,1763260119.464796,0.0,0.587177038192749,6.27860426902771e-05,2.310425043106079e-05
471,92.5591549873352,-0.0022424012422561646,-0.0013054609298706055,,0.0002799539070110768,,33536,5.721188545227051,609.0,1763260122.64164,0.0,0.5565272569656372,0.0005822032690048218,0.00017795711755752563
481,94.07808876037598,,,242.0,,242.0,34497,,,1763260124.1605737,,,,
490,95.55029535293579,-0.0004969239234924316,0.019260525703430176,,0.0002788786368910223,,35328,43.312591552734375,609.0,1763260125.6327803,0.0,0.5416384935379028,0.0021136682480573654,0.000500854104757309
504,97.61443758010864,0.00018933415412902832,0.0017856955528259277,,0.0002781105868052691,,36608,4.616384983062744,609.0,1763260127.6969225,0.0,0.5962191820144653,-0.0008573159575462341,4.8745423555374146e-06
515,99.26908135414124,-0.006882469169795513,-0.023325443267822266,,0.00027749614673666656,,37632,4.178954124450684,609.0,1763260129.3515663,0.0,0.5810712575912476,-0.0005689337849617004,0.0001473771408200264
530,101.43988823890686,0.0013917339965701103,0.012269794940948486,,0.00027665129164233804,,39040,3.633866786956787,611.0,1763260131.5223732,0.0,0.5265886783599854,-0.000980522483587265,8.701998740434647e-05
539,102.65456438064575,,,299.0,,299.0,39896,,,1763260132.7370493,,,,
547,103.89195156097412,0.006477124057710171,0.7098754644393921,,0.00027565285563468933,,40704,3.11429762840271,613.0,1763260133.9744365,0.0,0.5388146638870239,-0.029661282896995544,0.004382911138236523
555,104.89817333221436,,,335.0,,335.0,41418,,,1763260134.9806583,,,,
559,105.49126863479614,0.008565939031541348,0.48503541946411133,,0.00027503841556608677,,41728,72.30622100830078,614.0,1763260135.5737536,0.0,0.5351079106330872,-0.003518730401992798,0.0012057768180966377
568,106.75731897354126,,,164.0,,164.0,42515,,,1763260136.839804,,,,
595,110.85389018058777,-0.00411359965801239,0.778967022895813,,0.0002733487053774297,,44544,52.4985237121582,607.0,1763260140.9363751,0.0,0.5526179075241089,-0.005263909697532654,0.0003311019390821457
612,113.07104086875916,0.005722600035369396,0.9484267234802246,,0.00027273426530882716,,45568,12.806751251220703,603.0,1763260143.1535258,0.0,0.5592613816261292,0.00046993792057037354,0.00032406579703092575
614,113.33681035041809,0.004314866848289967,0.9888393878936768,,0.00027265746030025184,,45696,4.285357475280762,603.0,1763260143.4192953,0.0,0.5566526055335999,-0.004669630900025368,0.0001963665708899498
630,115.56685042381287,-0.0006133215501904488,0.9938274621963501,,0.00027196621522307396,,46848,2.1212472915649414,600.0,1763260145.6493354,0.0,0.5558841824531555,-0.0038294121623039246,0.00042969826608896255
636,116.3626081943512,,,163.0,,163.0,47294,,,1763260146.4450932,,,,
640,117.04688429832458,-5.183275789022446e-05,0.9789972305297852,,0.00027150538517162204,,47616,4.092519283294678,599.0,1763260147.1293693,0.0,0.5242335200309753,3.6600977182388306e-05,5.653128027915955e-07
650,118.63557624816895,-0.009127993136644363,0.7524807453155518,,0.0002709677501115948,,48512,62.63980484008789,598.0,1763260148.7180612,0.0,0.5650784373283386,-0.030515873804688454,0.0031752344220876694
664,120.86925315856934,0.0024560969322919846,0.9756003618240356,,0.0002701997000258416,,49792,0.3849002718925476,597.0,1763260150.951738,0.05078125,0.5889492630958557,-0.0029027163982391357,0.013503666035830975
684,123.69076895713806,-0.00994131714105606,0.6231808662414551,,0.00026927803992293775,,51328,121.8521499633789,595.0,1763260153.773254,0.060546875,0.5454128980636597,-0.0031420737504959106,0.014201640151441097
689,124.40682625770569,0.00334255862981081,0.5931490659713745,,0.0002690476248972118,,51712,0.7162264585494995,595.0,1763260154.4893112,0.0,0.533806562423706,-0.002439253032207489,0.00021096784621477127
698,125.4488410949707,,,105.0,,105.0,52248,,,1763260155.531326,,,,
702,125.97400164604187,,,112.0,,112.0,52481,,,1763260156.0564866,,,,
707,126.71198177337646,0.000954953022301197,0.7008432149887085,,0.0002683563798200339,,52864,70.2400894165039,592.0,1763260156.7944667,0.0,0.5455307364463806,-0.008677791804075241,0.001505228690803051
729,129.83622002601624,-0.006581357680261135,0.833389937877655,,0.00026735791470855474,,54528,59.06940460205078,590.0,1763260159.918705,0.001953125,0.5628024935722351,-0.005723994225263596,0.003672630526125431
757,134.05146431922913,0.022403215989470482,0.19716107845306396,,0.00026589861954562366,,56960,1.39789617061615,590.0,1763260164.1339493,0.0,0.5308854579925537,-0.009387782774865627,0.002871522679924965
762,134.8388547897339,0.0006218627095222473,0.3293522596359253,,0.0002655913995113224,,57472,1.2702540159225464,590.0,1763260164.9213398,0.001953125,0.5740880370140076,-0.001232139766216278,0.0032082777470350266
