episodic_return,global_step
14,14
61,75
22,97
82,179
18,197
19,216
21,237
22,259
53,312
27,339
16,355
11,366
34,400
37,437
60,497
9,506
22,528
22,550
50,600
21,621
26,647
28,675
10,685
17,702
14,716
15,731
39,770
18,788
42,830
18,848
77,925
42,967
40,1007
40,1047
79,1126
53,1179
35,1214
32,1246
26,1272
91,1363
29,1392
57,1449
44,1493
29,1522
41,1563
32,1595
30,1625
72,1697
51,1748
33,1781
175,1956
80,2036
32,2068
59,2127
47,2174
68,2242
55,2297
44,2341
72,2413
123,2536
28,2564
55,2619
32,2651
77,2728
31,2759
138,2897
42,2939
147,3086
67,3153
68,3221
38,3259
168,3427
118,3545
89,3634
65,3699
45,3744
181,3925
111,4036
140,4176
56,4232
86,4318
114,4432
68,4500
45,4545
87,4632
55,4687
161,4848
122,4970
119,5089
200,5289
126,5415
190,5605
210,5815
105,5920
117,6037
273,6310
144,6454
165,6619
142,6761
44,6805
194,6999
98,7097
265,7362
60,7422
159,7581
113,7694
61,7755
94,7849
247,8096
157,8253
138,8391
262,8653
167,8820
152,8972
139,9111
56,9167
111,9278
95,9373
166,9539
42,9581
169,9750
177,9927
159,10086
88,10174
172,10346
156,10502
377,10879
194,11073
435,11508
261,11769
196,11965
200,12165
256,12421
458,12879
168,13047
80,13127
166,13293
98,13391
124,13515
128,13643
138,13781
170,13951
89,14040
120,14160
30,14190
155,14345
133,14478
160,14638
119,14757
294,15051
124,15175
119,15294
116,15410
144,15554
143,15697
178,15875
109,15984
120,16104
133,16237
162,16399
107,16506
112,16618
95,16713
114,16827
38,16865
44,16909
110,17019
76,17095
117,17212
115,17327
212,17539
93,17632
164,17796
153,17949
141,18090
72,18162
206,18368
262,18630
289,18919
238,19157
262,19419
358,19777
166,19943
91,20034
266,20300
255,20555
221,20776
187,20963
109,21072
161,21233
116,21349
142,21491
198,21689
149,21838
174,22012
138,22150
127,22277
158,22435
65,22500
118,22618
89,22707
115,22822
122,22944
84,23028
125,23153
60,23213
200,23413
156,23569
81,23650
148,23798
63,23861
53,23914
214,24128
113,24241
133,24374
65,24439
103,24542
116,24658
123,24781
179,24960
67,25027
