global_step,charts/episodic_return,losses/entropy,losses/old_approx_kl,_step,losses/value_loss,charts/episodic_length,_runtime,charts/SPS,losses/approx_kl,losses/policy_loss,charts/learning_rate,losses/explained_variance,_timestamp,losses/clipfrac
0,,,,0,,,24.88514471054077,,,,,,1763260055.5858097,
171,37.0,,,7,,37.0,26.307015657424927,,,,,,1763260057.0076807,
768,,0.6881083846092224,0.0013166163116693497,33,40.64118957519531,,26.91443109512329,961.0,7.769651710987091e-05,-0.0018386393785476685,0.0002996159892063588,-0.05907547473907471,1763260057.615096,0.0
939,27.0,,,41,,27.0,27.05667543411255,,,,,,1763260057.7573404,
1052,21.0,,,47,,21.0,27.200586795806885,,,,,,1763260057.9012518,
1536,,0.6474236845970154,0.0009935339912772179,64,41.8296012878418,,27.659373998641968,995.0,0.000685601495206356,0.004902563989162445,0.00029915515915490687,-0.02911996841430664,1763260058.360039,0.0
1910,63.0,,,74,,63.0,27.947336435317993,,,,,,1763260058.6480014,
2002,43.0,,,77,,43.0,28.051852703094482,,,,,,1763260058.7525177,
2432,,0.6088250875473022,-0.0026117609813809395,88,48.12583923339844,,28.504810094833374,1018.0,0.00016851257532835007,0.004408352077007294,0.00029861752409487963,-0.0632479190826416,1763260059.205475,0.0
3200,,0.6109917759895325,0.0015431661158800125,102,45.017677307128906,,29.206619262695312,1035.0,0.0011834464967250824,-0.005207784473896027,0.0002981566940434277,-0.05789542198181152,1763260059.9072843,0.001953125
3328,,0.6327433586120605,0.0018350062891840935,104,43.145721435546875,,29.346590995788574,1030.0,0.0002638278529047966,-0.0005333460867404938,0.0002980798890348524,-0.0488286018371582,1763260060.047256,0.0
5248,,0.558138370513916,-0.004943864420056343,133,48.54166030883789,,31.12854027748108,1046.0,0.0007035881280899048,-0.006229043006896973,0.0002969278139062226,0.24879002571105957,1763260061.8292053,0.0
6400,,0.5315603017807007,-0.0018597673624753952,147,32.67167282104492,,32.174421548843384,1056.0,0.0001514200121164322,-0.0031278878450393677,0.0002962365688290447,0.0920863151550293,1763260062.8750865,0.0
6528,,0.5318302512168884,0.0020512035116553307,149,41.0362548828125,,32.289756536483765,1057.0,2.536643296480179e-05,0.0007915012538433075,0.0002961597638204694,0.17938685417175293,1763260062.9904215,0.0
6653,236.0,,,150,,236.0,32.33549642562866,,,,,,1763260063.0361614,
6912,,0.5715203881263733,0.0004236055538058281,155,37.561180114746094,,32.66161918640137,1055.0,1.6757287085056305e-05,-0.00040271878242492676,0.0002959293487947434,0.2969741225242615,1763260063.3622842,0.0
7040,,0.5918568968772888,-0.0007332274690270424,157,37.75178909301758,,32.77434682846069,1057.0,3.916490823030472e-05,-0.0013281144201755524,0.0002958525437861681,0.29785794019699097,1763260063.4750118,0.0
8192,,0.5359467267990112,0.0033608870580792427,172,38.655826568603516,,33.805070638656616,1065.0,0.003133135847747326,0.01112374011427164,0.0002951612987089902,0.09053480625152588,1763260064.5057356,0.001953125
9914,124.0,,,195,,124.0,35.68004083633423,,,,,,1763260066.3807058,
10496,,0.6061767935752869,0.004269449971616268,203,38.22177505493164,,36.48344945907593,1012.0,0.00030573923140764236,-0.012278356589376926,0.00029377880855463445,0.3215787410736084,1763260067.1841145,0.0
11191,153.0,,,213,,153.0,37.54391622543335,,,,,,1763260068.2445812,
11471,109.0,,,217,,109.0,38.03840088844299,,,,,,1763260068.739066,
12544,,0.5256537199020386,0.008469533175230026,228,32.771148681640625,,40.01937484741211,902.0,0.0006867572665214539,-0.019030582159757614,0.00029254992841742933,0.07116997241973877,1763260070.7200398,0.0
12892,166.0,,,233,,166.0,40.59642553329468,,,,,,1763260071.2970905,
14464,,0.5405307412147522,-0.0037399353459477425,251,48.78797149658203,,43.230408906936646,845.0,0.00032552797347307205,0.011542849242687225,0.0002913978532887995,0.1516152024269104,1763260073.931074,0.0
15126,242.0,,,259,,242.0,43.902528285980225,,,,,,1763260074.6031933,
15498,122.0,,,265,,122.0,44.24885010719299,,,,,,1763260074.949515,
16052,156.0,,,273,,156.0,44.76571345329285,,,,,,1763260075.4663785,
