global_step,_step,losses/clipfrac,losses/approx_kl,losses/old_approx_kl,charts/learning_rate,losses/policy_loss,charts/episodic_length,_runtime,charts/SPS,losses/value_loss,charts/episodic_return,losses/explained_variance,_timestamp,losses/entropy
0,0,,,,,,,24.78645348548889,,,,,1763260055.4867635,
152,7,,,,,,25.0,26.2989718914032,,,25.0,,1763260056.999282,
732,33,,,,,,28.0,26.80268406867981,,,28.0,,1763260057.502994,
921,41,,,,,,89.0,27.034284353256226,,,89.0,,1763260057.7345943,
1055,47,,,,,,25.0,27.163461446762085,,,25.0,,1763260057.8637714,
1471,64,,,,,,23.0,27.53182101249695,,,23.0,,1763260058.232131,
1792,74,0.0,0.0008043432608246803,0.006022206507623196,0.00029900154913775623,-0.0034951716661453247,,27.85372042655945,1030.0,21.245567321777344,,0.004896998405456543,1763260058.5540304,0.6162073612213135
1918,77,,,,,,17.0,27.90047287940979,,,17.0,,1763260058.6007829,
2304,88,0.0,3.463029861450195e-05,-0.002364933490753174,0.00029869432910345495,0.0051157474517822266,,28.338050603866577,1035.0,51.74430847167969,,0.008780360221862793,1763260059.0383606,0.621166467666626
2890,102,,,,,,26.0,28.853978633880615,,,26.0,,1763260059.5542886,
3030,104,,,,,,140.0,28.96825361251831,,,140.0,,1763260059.6685636,
5053,133,,,,,,176.0,30.78542685508728,,,176.0,,1763260061.4857368,
6016,147,0.0,0.0008505359292030334,-0.0029275398701429367,0.00029646698385477066,-0.004049057140946388,,31.665965795516968,1083.0,32.754493713378906,,0.17908638715744019,1763260062.3662758,0.6169914603233337
6146,149,,,,,,203.0,31.777353525161743,,,203.0,,1763260062.4776635,
6272,150,0.0,0.0012619681656360626,0.015116248279809952,0.00029631337383762,-0.002194436267018318,,31.886502504348755,1086.0,47.75839614868164,,0.12549465894699097,1763260062.5868125,0.5757670998573303
6656,155,0.044921875,0.005254182033240795,0.0002794070169329643,0.00029608295881189406,0.022795818746089935,,32.23302507400513,1087.0,39.70603561401367,,0.05845719575881958,1763260062.933335,0.576871931552887
6811,157,,,,,,244.0,32.35826253890991,,,244.0,,1763260063.0585725,
7936,172,0.0,0.0002494761720299721,0.00470369216054678,0.00029531490872614086,-0.0056772008538246155,,33.36932373046875,1093.0,37.90073013305664,,0.07465904951095581,1763260064.0696337,0.5907343626022339
9643,195,,,,,,192.0,34.98815608024597,,,192.0,,1763260065.688466,
10240,203,0.0,3.232620656490326e-06,-0.00038888026028871536,0.0002939324185717851,-0.00042531639337539673,,35.74973440170288,1062.0,25.858976364135742,,0.5115714073181152,1763260066.4500444,0.5405986309051514
10945,213,,,,,,159.0,36.59104251861572,,,159.0,,1763260067.2913525,
11264,217,0.03515625,0.007386445067822933,-0.014003127813339233,0.00029331797850318253,0.01335972547531128,,37.13933706283569,1021.0,24.136262893676758,,0.5762014985084534,1763260067.839647,0.5334951877593994
12032,228,0.0,0.0012443820014595985,0.017900338396430016,0.0002928571484517306,-0.021794220432639122,,38.48566460609436,972.0,30.035526275634766,,0.6688674688339233,1763260069.1859746,0.5973923206329346
