global_step,charts/episodic_length,losses/policy_loss,losses/entropy,charts/learning_rate,losses/clipfrac,losses/value_loss,charts/episodic_return,_runtime,_step,charts/SPS,losses/old_approx_kl,losses/explained_variance,_timestamp,losses/approx_kl
0,,,,,,,,24.432945013046265,0,,,,1763260054.865519,
196,105.0,,,,,,105.0,26.584362745285034,7,,,,1763260057.0169368,
768,,-0.017727412283420563,0.668082594871521,0.0002996159892063588,0.0,25.22177505493164,,27.181819915771484,33,971.0,0.0165773406624794,0.012366116046905518,1763260057.614394,0.001409212127327919
943,55.0,,,,,,55.0,27.333083629608154,41,,,,1763260057.7656577,
1214,47.0,,,,,,47.0,27.577025890350342,47,,,,1763260058.0096,
1792,,0.006352219730615616,0.6479891538619995,0.00029900154913775623,0.0,34.15555953979492,,28.200310230255127,64,990.0,0.009284854866564274,0.006785869598388672,1763260058.6328843,0.00040144938975572586
2038,14.0,,,,,,14.0,28.3766188621521,74,,,,1763260058.809193,
2157,82.0,,,,,,82.0,28.49359130859375,77,,,,1763260058.9261653,
2688,,-0.007073350250720978,0.6334048509597778,0.000298463914077729,0.0,45.893943786621094,,29.082178831100464,88,998.0,0.0026752129197120667,-0.05157470703125,1763260059.5147529,0.0007655639201402664
3456,,-0.008654354140162468,0.5908088684082031,0.00029800308402627707,0.0,53.195152282714844,,29.783954858779907,102,1018.0,-0.00780145637691021,0.06781512498855591,1763260060.216529,0.0006417799741029739
3584,,0.020000658929347992,0.5891181230545044,0.00029792627901770175,0.0,49.278602600097656,,29.905083656311035,104,1019.0,-0.003932371735572815,0.05910599231719971,1763260060.3376577,0.0012834277004003525
5587,169.0,,,,,,169.0,31.664873361587524,133,,,,1763260062.0974474,
6637,274.0,,,,,,274.0,32.58715748786926,147,,,,1763260063.0197315,
6784,,-0.004593551158905029,0.5667763352394104,0.00029600615380331874,0.0,42.57448196411133,,32.770060777664185,149,1063.0,0.0040817344561219215,-0.008856773376464844,1763260063.2026348,0.00030334945768117905
6912,,-0.0011534765362739563,0.6098355054855347,0.0002959293487947434,0.0,45.84061050415039,,32.897480964660645,150,1062.0,0.0006653768941760063,0.06326943635940552,1763260063.330055,0.0008560745045542717
7296,,-0.001943003386259079,0.593776285648346,0.00029569893376901746,0.0,30.795047760009766,,33.237443685531616,155,1065.0,0.006111235357820988,-0.016082406044006348,1763260063.6700177,0.00035307276993989944
7533,290.0,,,,,,290.0,33.39226412773132,157,,,,1763260063.8248382,
8883,332.0,,,,,,332.0,34.9424569606781,172,,,,1763260065.375031,
10730,340.0,,,,,,340.0,37.027475357055664,195,,,,1763260067.4600494,
11392,,-0.0015217345207929611,0.5880632996559143,0.0002932411734946072,0.0,39.8919792175293,,38.22149896621704,203,962.0,0.006494414061307907,0.09241706132888794,1763260068.654073,0.00033164024353027344
12145,220.0,,,,,,220.0,39.45705199241638,213,,,,1763260069.889626,
12544,,0.0023996615782380104,0.5852305293083191,0.00029254992841742933,0.0,33.30463409423828,,40.354230642318726,217,898.0,0.0017702588811516762,0.24116599559783936,1763260070.7868047,0.0007665837183594704
13361,167.0,,,,,,167.0,41.87800192832947,228,,,,1763260072.310576,
13696,,0.007203230634331703,0.5983705520629883,0.00029185868334025145,0.0,20.224382400512695,,42.49934363365173,233,850.0,-0.00035486649721860886,0.33900243043899536,1763260072.9319177,0.0003215717151761055
14976,,-0.03210719674825668,0.5739153623580933,0.00029109063325449824,0.005859375,29.983402252197266,,44.20863175392151,251,840.0,0.010574471205472946,0.05049532651901245,1763260074.6412058,0.0022612549364566803
15616,,-0.011319989338517189,0.5535916090011597,0.00029070660821162164,0.0,46.14659118652344,,44.77343153953552,259,849.0,0.001820678822696209,-0.0016131401062011719,1763260075.2060056,0.00019590090960264206
16256,,1.8924474716186523e-06,0.5988011956214905,0.00029032258316874504,0.0,26.321361541748047,,45.377761363983154,265,856.0,-0.0023566531017422676,-0.0242842435836792,1763260075.8103354,7.814820855855942e-05
16896,,-0.006450500339269638,0.5807888507843018,0.00028993855812586844,0.001953125,47.499168395996094,,46.04263997077942,273,859.0,-0.007692055776715279,-0.016411304473876953,1763260076.475214,0.0012600719928741455
17024,,0.002088025212287903,0.5909045338630676,0.0002898617531172931,0.0,25.664525985717773,,46.173930168151855,274,860.0,-0.0028859926387667656,-0.008760929107666016,1763260076.6065042,4.614982753992081e-05
18469,285.0,,,,,,285.0,47.52005338668823,292,,,,1763260077.9526274,
20992,,0.001020878553390503,0.5428428649902344,0.0002874807978514582,0.0,19.39739227294922,,49.8093364238739,321,896.0,0.00042536016553640366,0.2231276035308838,1763260080.2419105,6.78105279803276e-05
21504,,-0.000288340263068676,0.5649960041046143,0.0002871735778171569,0.0,18.238372802734375,,50.289509534835815,327,899.0,0.00018224306404590607,0.05928158760070801,1763260080.7220836,4.513002932071686e-05
21760,,0.011080324649810791,0.5533377528190613,0.00028701996780000627,0.0,43.27235412597656,,50.52196979522705,330,901.0,-0.010530193336308002,0.0037040114402770996,1763260080.9545438,0.0007231375202536583
21963,308.0,,,,,,308.0,50.66417932510376,332,,,,1763260081.0967534,
