global_step,losses/approx_kl,_runtime,charts/SPS,_step,losses/old_approx_kl,_timestamp,losses/value_loss,charts/learning_rate,losses/explained_variance,charts/episodic_return,losses/clipfrac,losses/policy_loss,charts/episodic_length,losses/entropy
0,,24.289970874786377,,0,,1763260080.8044958,,,,,,,,
108,,25.25166368484497,,7,,1763260081.7661886,,,,13.0,,,13.0,
640,0.001201121136546135,26.23259997367859,620.0,33,0.002277003601193428,1763260082.747125,32.217464447021484,0.0002996927942149341,0.005474090576171875,,0.0,0.00053444504737854,,0.6767700910568237
816,,26.534064054489136,,41,,1763260083.048589,,,,31.0,,,31.0,
975,,26.759837865829468,,47,,1763260083.2743628,,,,57.0,,,57.0,
1527,,27.571396112442017,,64,,1763260084.085921,,,,108.0,,,108.0,
1890,,28.055370330810547,,74,,1763260084.5698953,,,,46.0,,,46.0,
1933,,28.204480409622192,,77,,1763260084.7190053,,,,21.0,,,21.0,
2688,0.0006205346435308456,28.96644139289856,714.0,88,0.003200232982635498,1763260085.4809663,60.00802230834961,0.000298463914077729,0.10829377174377441,,0.0,-0.008710840716958046,,0.6111716628074646
3456,0.006060777232050896,29.74676012992859,760.0,102,-0.008680899627506733,1763260086.261285,51.15430450439453,0.00029800308402627707,0.33858656883239746,,0.009765625,-0.03970219939947128,,0.6201379299163818
3584,1.49458646774292e-05,29.883734226226807,765.0,104,-0.0007318686693906784,1763260086.3982592,41.80669403076172,0.00029792627901770175,-0.0741657018661499,,0.0,-0.0003678649663925171,,0.6040210127830505
5297,,31.806057453155518,,133,,1763260088.3205824,,,,34.0,,,34.0,
6272,6.326939910650253e-05,33.02511143684387,801.0,147,0.0017865495756268501,1763260089.5396364,39.88334274291992,0.00029631337383762,0.05904668569564819,,0.0,-0.0023170625790953636,,0.6004767417907715
6507,,33.18537163734436,,149,,1763260089.6998966,,,,258.0,,,258.0,
6528,0.00046943221241235733,33.29191040992737,806.0,150,-0.00010470394045114517,1763260089.8064353,44.403202056884766,0.0002961597638204694,0.17300796508789062,,0.0,-0.011799171566963196,,0.5942205190658569
6971,,33.65291213989258,,155,,1763260090.167437,,,,349.0,,,349.0,
7136,,33.777138233184814,,157,,1763260090.2916632,,,,165.0,,,165.0,
8272,,35.31931471824646,,172,,1763260091.8338397,,,,148.0,,,148.0,
9984,0.0009624417871236801,37.65477180480957,801.0,195,0.009026508778333664,1763260094.1692967,38.6696891784668,0.00029408602858893573,0.1344812512397766,,0.0,-0.006464764475822449,,0.5846143960952759
10496,0.00039004068821668625,38.42191553115845,793.0,203,-0.0024142833426594734,1763260094.9364405,33.871726989746094,0.00029377880855463445,0.29808956384658813,,0.0,0.006256319582462311,,0.5968606472015381
11311,,39.31160640716553,,213,,1763260095.8261313,,,,219.0,,,219.0,
11520,6.38328492641449e-06,39.63797998428345,798.0,217,-0.00026522018015384674,1763260096.152505,34.24749755859375,0.0002931643684860319,0.0433732271194458,,0.0,-0.0013909488916397095,,0.5686289072036743
12416,0.00020665954798460007,40.95703840255737,788.0,228,0.0053599802777171135,1763260097.4715633,46.377288818359375,0.00029262673342600465,0.09553605318069458,,0.0,-0.00026683509349823,,0.5470089316368103
12800,4.736613482236862e-05,41.66372585296631,777.0,233,0.0023987004533410072,1763260098.1782508,34.349849700927734,0.0002923963184002787,0.2536318898200989,,0.0,-0.0013554394245147705,,0.6165064573287964
14080,0.00010122451931238174,44.101107120513916,745.0,251,0.0027133552357554436,1763260100.615632,29.939064025878906,0.0002916282683145255,0.3585955500602722,,0.0,-0.004052244126796722,,0.5943082571029663
14702,,45.16530895233154,,259,,1763260101.679834,,,,237.0,,,237.0,
15104,2.8973445296287537e-06,46.10583758354187,722.0,265,-0.00014885608106851578,1763260102.6203625,30.936899185180664,0.0002910138282459229,-0.031436800956726074,,0.0,-7.695704698562622e-05,,0.5694981813430786
15713,,47.2015655040741,,273,,1763260103.7160904,,,,119.0,,,119.0,
15744,4.873145371675491e-05,47.410388708114624,708.0,274,-0.0013613337650895119,1763260103.9249136,60.53095245361328,0.0002906298032030463,0.016210556030273438,,0.0,-0.003383418545126915,,0.5920361280441284
16896,0.0001934180036187172,49.88807725906372,684.0,292,-0.002689761109650135,1763260106.4026022,21.04808235168457,0.00028993855812586844,0.7485300302505493,,0.0,0.002851612865924835,,0.5952995419502258
18933,,55.03753042221069,,321,,1763260111.5520554,,,,178.0,,,178.0,
19212,,55.870073556900024,,327,,1763260112.3845985,,,,96.0,,,96.0,
19456,0.008081155829131603,56.373950242996216,624.0,330,0.019630562514066696,1763260112.8884752,13.99193000793457,0.00028840245795436203,0.8901815414428711,,0.06640625,-0.016238678246736526,,0.5679697394371033
19584,0.00011533405631780624,56.6411919593811,622.0,332,-0.003622562624514103,1763260113.155717,73.27800750732422,0.0002883256529457867,0.0005071163177490234,,0.0,-0.00018002651631832123,,0.5736147165298462
19999,,57.40160655975342,,337,,1763260113.9161315,,,,218.0,,,218.0,
20224,5.166791379451752e-05,57.90376019477844,618.0,340,0.00021879933774471283,1763260114.4182851,17.26723289489746,0.0002879416279029101,0.9314978718757629,,0.0,-0.002225082367658615,,0.5677858591079712
22656,6.834976375102997e-06,62.720566272735596,603.0,370,0.0007854541763663292,1763260119.2350912,19.998973846435547,0.00028648233273997903,0.013095319271087646,,0.0,0.0007897187024354935,,0.5688332319259644
24697,,66.62015151977539,,396,,1763260123.1346765,,,,159.0,,,159.0,
26880,3.7972815334796906e-05,71.10913133621216,585.0,425,0.0036017773672938347,1763260127.6236563,8.920845985412598,0.00028394776745699346,0.9399620294570923,,0.0,-0.003879508003592491,,0.5712156295776367
28032,0.00010809395462274551,73.32962465286255,582.0,441,0.003932318650186062,1763260129.8441496,119.64663696289062,0.0002832565223798156,0.6757363677024841,,0.0,-0.001434318721294403,,0.5591986775398254
28634,,74.39001750946045,,450,,1763260130.9045424,,,,126.0,,,126.0,
30296,,77.45924305915833,,471,,1763260133.973768,,,,212.0,,,212.0,
31104,0.00010207761079072952,78.94312810897827,578.0,481,-0.0034222090616822243,1763260135.457653,5.865080833435059,0.0002814132021740079,0.8797840476036072,,0.0,0.002484641969203949,,0.5431849956512451
31744,1.0582618415355682e-05,80.02868509292603,578.0,490,0.00020753499120473862,1763260136.54321,7.0379719734191895,0.0002810291771311313,0.8585041761398315,,0.0,-0.00014236383140087128,,0.5043323040008545
32724,,81.76178169250488,,504,,1763260138.2763066,,,,155.0,,,155.0,
33454,,83.18492650985718,,515,,1763260139.6994514,,,,108.0,,,108.0,
34617,,85.38299798965454,,530,,1763260141.897523,,,,261.0,,,261.0,
35328,0.0006974544376134872,86.97563052177429,571.0,539,0.006851295009255409,1763260143.4901555,43.22186279296875,0.0002788786368910223,0.5214101076126099,,0.0,-0.028478210791945457,,0.5543094277381897
35840,1.5085563063621521e-05,88.11225461959839,569.0,547,0.0014153309166431427,1763260144.6267796,5.409633159637451,0.00027857141685672104,0.9649406671524048,,0.0,0.0003271177411079407,,0.524139940738678
36480,5.200691521167755e-05,89.35385131835938,568.0,555,-0.0016885288059711456,1763260145.8683763,4.747950553894043,0.00027818739181384444,0.7809341549873352,,0.0,-0.00244295597076416,,0.5899953246116638
36748,,89.88997483253479,,559,,1763260146.4044998,,,,221.0,,,221.0,
37504,0.0007885461673140526,91.30640912055969,567.0,568,-0.010483614169061184,1763260147.820934,74.0408706665039,0.0002775729517452419,0.4488285779953003,,0.0,0.03717590868473053,,0.5580286383628845
39389,,94.97219967842102,,595,,1763260151.4867246,,,,69.0,,,69.0,
40284,,96.89282131195068,,612,,1763260153.4073462,,,,71.0,,,71.0,
40381,,97.16782426834106,,614,,1763260153.6823492,,,,97.0,,,97.0,
41472,0.00012307334691286087,99.42417740821838,558.0,630,-0.0003991043195128441,1763260155.9387023,10.759147644042969,0.0002751920255832374,0.9679544568061829,,0.0,0.00046062469482421875,,0.5219547748565674
41862,,100.18020629882812,,636,,1763260156.6947312,,,,84.0,,,84.0,
42240,0.0010088421404361725,100.83465456962585,558.0,640,0.008600929751992226,1763260157.3491795,246.8677978515625,0.0002747311955317855,-0.17680025100708008,,0.0,-0.0016655661165714264,,0.5363430380821228
42880,0.0008393833413720131,102.14267778396606,557.0,650,0.003466595895588398,1763260158.6572027,3.3541862964630127,0.0002743471704889089,0.9911338090896606,,0.0,-0.007498655468225479,,0.48653942346572876
43793,,104.0038697719574,,664,,1763260160.5183947,,,,142.0,,,142.0,
45079,,106.66825819015503,,684,,1763260163.1827831,,,,130.0,,,130.0,
45440,0.0010944502428174019,107.39116144180298,552.0,689,0.0021591586992144585,1763260163.9056864,70.45613861083984,0.0002728110703174025,0.5684226751327515,,0.0,-0.01444137841463089,,0.561540424823761
46336,0.0005118958652019501,109.02005672454834,552.0,698,-0.0045296065509319305,1763260165.5345817,3.426830291748047,0.00027227343525737524,0.944603681564331,,0.0,0.002029312774538994,,0.556704044342041
46720,0.0005342364311218262,109.7119493484497,552.0,702,0.007343020290136337,1763260166.2264743,3.856283187866211,0.0002720430202316493,-0.08534908294677734,,0.0,0.009457353502511978,,0.5978761911392212
47232,0.00023004133254289627,110.65316247940063,552.0,707,-0.010493784211575985,1763260167.1676874,11.637626647949219,0.000271735800197348,0.48348724842071533,,0.0,0.0019722450524568558,,0.6114855408668518
49152,4.550069570541382e-05,114.21018719673157,552.0,729,-0.0006158929318189621,1763260170.7247121,8.794617652893066,0.0002705837250687182,-0.11669397354125977,,0.0,-0.00286676362156868,,0.5208685398101807
51968,0.003364499658346176,119.3107545375824,552.0,757,0.018558014184236526,1763260175.8252795,2.0619161128997803,0.00026889401488006115,-0.6606466770172119,,0.001953125,-0.01088075339794159,,0.5407283902168274
52395,,120.0746328830719,,762,,1763260176.5891578,,,,310.0,,,310.0,
52895,,120.99690842628479,,767,,1763260177.5114334,,,,500.0,,,500.0,
53760,9.552203118801117e-05,122.68610072135925,551.0,775,-0.0008556824177503586,1763260179.2006257,1.2807083129882812,0.00026781874476000667,0.0036597251892089844,,0.0,-0.000576116144657135,,0.5623658299446106
54970,,124.926278591156,,788,,1763260181.4408035,,,,456.0,,,456.0,
55867,,126.5932605266571,,797,,1763260183.1077855,,,,397.0,,,397.0,
56769,,128.2518663406372,,806,,1763260184.7663913,,,,500.0,,,500.0,
57728,0.00019234232604503632,130.06895995140076,550.0,815,0.0031299348920583725,1763260186.583485,0.5878978371620178,0.00026543778949417174,-0.2990680932998657,,0.0,-0.0064903441816568375,,0.525730550289154
62336,0.0031236419454216957,138.48820424079895,550.0,863,-0.021681513637304306,1763260195.0027292,252.4725341796875,0.0002626728091854602,0.002973616123199463,,0.00390625,0.0361759215593338,,0.5401329398155212
63217,,139.87005186080933,,872,,1763260196.3845768,,,,500.0,,,500.0,
63616,0.0010255007073283195,140.71596908569336,550.0,876,-0.006684421561658382,1763260197.230494,0.1303534209728241,0.000261904759099707,-0.030428171157836914,,0.0,-0.0007091201841831207,,0.5803337097167969
67968,0.0005788980051875114,148.56476283073425,550.0,922,1.8528662621974945e-05,1763260205.0792878,0.016249796375632286,0.0002592933888081461,-0.07587432861328125,,0.0,-0.002829980105161667,,0.5442813634872437
68736,0.00031131133437156677,149.98543095588684,550.0,930,0.005152769386768341,1763260206.499956,0.03280670940876007,0.0002588325587566942,0.2886343002319336,,0.0,0.004550836980342865,,0.5597286820411682
69594,,151.4044508934021,,938,,1763260207.9189758,,,,500.0,,,500.0,
69888,0.00011825002729892731,152.07898473739624,550.0,941,0.00011520646512508392,1763260208.5935097,0.0006690432201139629,0.0002581413136795163,-0.5297147035598755,,0.0,-0.0016748122870922089,,0.5596895813941956
70016,0.000434068962931633,152.30635142326355,550.0,942,0.010045595467090607,1763260208.8208764,0.0005877352086827159,0.000258064508670941,-0.7130312919616699,,0.0,0.0014061033725738525,,0.5700939297676086
70594,,153.2813012599945,,948,,1763260209.7958262,,,,500.0,,,500.0,
