charts/episodic_length,_runtime,losses/approx_kl,losses/policy_loss,losses/clipfrac,charts/learning_rate,charts/SPS,global_step,_step,losses/explained_variance,losses/entropy,losses/value_loss,losses/old_approx_kl,charts/episodic_return,_timestamp
,24.853614330291748,,,,,,0,0,,,,,,1763260077.5778224
,25.925983428955078,0.000484611839056015,-0.00292973592877388,0.0,0.0003000000142492354,810.0,128,7,0.07344239950180054,0.6927154064178467,27.285295486450195,-0.0006014779210090637,,1763260078.6501915
16.0,26.351687908172607,,,,,,594,33,,,,,16.0,1763260079.075896
,26.5628342628479,3.9657577872276306e-05,-0.0013974718749523163,0.0,0.0002996159892063588,966.0,768,41,0.03279674053192139,0.6900379657745361,35.927982330322266,-0.0016551390290260315,,1763260079.2870424
9.0,26.688767671585083,,,,,,902,47,,,,,9.0,1763260079.4129758
20.0,26.983784675598145,,,,,,1270,64,,,,,20.0,1763260079.7079928
107.0,27.34228515625,,,,,,1575,74,,,,,107.0,1763260080.0664933
,27.44439673423767,0.00029130280017852783,-0.002571575343608856,0.0,0.00029907835414633155,992.0,1664,77,-0.03384232521057129,0.6540229916572571,40.02333068847656,-0.005603203549981117,,1763260080.1686049
48.0,27.797822952270508,,,,,,2058,88,,,,,48.0,1763260080.522031
78.0,28.39666223526001,,,,,,2693,102,,,,,78.0,1763260081.1208704
19.0,28.420997858047485,,,,,,2751,104,,,,,19.0,1763260081.145206
142.0,29.82676124572754,,,,,,4299,133,,,,,142.0,1763260082.5509694
,30.833523511886597,0.0008305618539452553,-0.0028557926416397095,0.0,0.00029685100889764726,1061.0,5376,147,0.16550427675247192,0.6385309100151062,53.66804122924805,0.001948322169482708,,1763260083.5577316
,30.94783353805542,0.0005413684993982315,-0.016889676451683044,0.0,0.00029677420388907194,1062.0,5504,149,0.06845790147781372,0.5852574110031128,52.020294189453125,0.005598997697234154,,1763260083.6720417
,31.059335947036743,0.00044820643961429596,0.004180088639259338,0.0,0.0002966973988804966,1064.0,5632,150,-0.10297989845275879,0.6366656422615051,66.40229797363281,0.005893895402550697,,1763260083.783544
,31.41650104522705,4.903320223093033e-05,-0.001145094633102417,0.0,0.00029646698385477066,1065.0,6016,155,0.06740272045135498,0.602837860584259,48.23418045043945,0.0012235725298523903,,1763260084.1407092
,31.528242111206055,0.0017905570566654205,-0.015819206833839417,0.00390625,0.00029639017884619534,1066.0,6144,157,0.11944520473480225,0.6044283509254456,46.74143981933594,-0.0011867154389619827,,1763260084.2524502
,32.670586585998535,0.00535440631210804,0.0019755959510803223,0.00390625,0.00029562212876044214,1075.0,7424,172,0.22443735599517822,0.5939527750015259,43.079158782958984,0.003063458949327469,,1763260085.3947947
,34.26807522773743,2.919510006904602e-05,-0.0008202865719795227,0.0,0.00029454685864038765,1084.0,9216,195,0.27385056018829346,0.5764508843421936,39.15208053588867,-4.118308424949646e-05,,1763260086.9922833
144.0,34.831520795822144,,,,,,9808,203,,,,,144.0,1763260087.555729
197.0,35.84164333343506,,,,,,10537,213,,,,,197.0,1763260088.5658514
,36.23598027229309,4.480872303247452e-05,-0.0010473281145095825,0.0,0.0002935483935289085,1039.0,10880,217,0.12044048309326172,0.5881810188293457,46.22480773925781,8.269213140010834e-06,,1763260088.9601884
,37.44414162635803,1.5084631741046906e-05,0.0012052496895194054,0.0,0.00029308756347745657,997.0,11648,228,0.006351649761199951,0.5749750137329102,33.47655487060547,0.00042180996388196945,,1763260090.1683497
,38.05264139175415,2.9296614229679108e-05,0.00045944005250930786,0.0,0.0002928571484517306,979.0,12032,233,0.007411360740661621,0.5209676027297974,42.25310516357422,-0.0007013017311692238,,1763260090.7768495
,40.14436221122742,4.251766949892044e-05,-5.159527063369751e-05,0.0,0.0002920890983659774,925.0,13312,251,0.45730262994766235,0.6002020835876465,36.6846809387207,0.0001794351264834404,,1763260092.8685703
213.0,41.024585485458374,,,,,,13918,259,,,,,213.0,1763260093.7487936
,41.8404860496521,0.000392841175198555,0.008057942613959312,0.0,0.0002913978532887995,899.0,14464,265,-0.01933586597442627,0.6322793364524841,38.316165924072266,0.0040405429899692535,,1763260094.5646942
324.0,42.5718138217926,,,,,,15113,273,,,,,324.0,1763260095.296022
,42.70652103424072,0.003962075337767601,-0.023560982197523117,0.021484375,0.0002909370232373476,899.0,15232,274,0.10795122385025024,0.5647092461585999,48.674861907958984,0.005318688228726387,,1763260095.4307292
,44.38215780258179,0.000356500968337059,-0.006310921162366867,0.0,0.00029001536313444376,900.0,16768,292,0.023126542568206787,0.6137369871139526,31.784912109375,-0.0008914414793252945,,1763260097.106366
