global_step,losses/entropy,losses/old_approx_kl,losses/explained_variance,losses/clipfrac,_step,_runtime,losses/value_loss,charts/episodic_length,_timestamp,charts/SPS,charts/learning_rate,charts/episodic_return,losses/approx_kl,losses/policy_loss
0,,,,,0,24.992562294006348,,,1763260077.7565134,,,,,
108,,,,,7,25.83565402030945,,13.0,1763260078.599605,,,13.0,,
640,0.6768969893455505,0.0022520218044519424,0.004795849323272705,0.0,33,26.424960136413574,34.48289489746094,,1763260079.1889112,1001.0,0.0002996927942149341,,0.001193556934595108,0.0003310889005661011
816,,,,,41,26.570682764053345,,31.0,1763260079.3346338,,,31.0,,
975,,,,,47,26.703150987625122,,57.0,1763260079.467102,,,57.0,,
1408,0.6406481266021729,0.018616948276758194,0.013738870620727539,0.0,64,27.1508047580719,25.81277847290039,,1763260079.9147558,1031.0,0.0002992319641634822,,0.0009715566411614418,-0.017425792291760445
1792,0.6366198658943176,0.0008846307173371315,0.011151015758514404,0.0,74,27.52742075920105,53.65888214111328,,1763260080.2913718,1028.0,0.00029900154913775623,,6.051640957593918e-05,-0.004037089645862579
2048,0.6187400221824646,0.0020730914548039436,0.07186764478683472,0.0,77,27.74977159500122,78.85498809814453,,1763260080.5137227,1043.0,0.0002988479391206056,,0.00040173809975385666,-0.0017004311084747314
2688,0.64361572265625,0.00152597576379776,0.015003800392150879,0.0,88,28.316115379333496,52.64597702026367,,1763260081.0800664,1062.0,0.000298463914077729,,0.00019144080579280853,0.007225457578897476
3388,,,,,102,28.929059267044067,,82.0,1763260081.6930103,,,82.0,,
3456,0.6393545269966125,0.000461820513010025,0.07135462760925293,0.0,104,29.02171492576599,48.98170471191406,,1763260081.785666,1068.0,0.00029800308402627707,,0.00023590773344039917,-0.007748611271381378
4827,,,,,133,30.228849411010742,,52.0,1763260082.9928005,,,52.0,,
5618,,,,,147,30.94184446334839,,83.0,1763260083.7057955,,,83.0,,
5696,,,,,149,31.040642499923706,,78.0,1763260083.8045936,,,78.0,,
5760,0.6140326261520386,0.0042647914960980415,0.02240586280822754,0.0,150,31.13020610809326,39.101375579833984,,1763260083.8941572,1077.0,0.0002966205938719213,,0.00021019671112298965,-0.004554525017738342
6100,,,,,155,31.384769439697266,,83.0,1763260084.1487205,,,83.0,,
6224,,,,,157,31.519141674041748,,124.0,1763260084.2830927,,,124.0,,
7296,0.5833084583282471,-0.0006821602582931519,0.17488139867782593,0.0,172,32.52459788322449,51.89822006225586,,1763260085.288549,1082.0,0.00029569893376901746,,4.665367305278778e-05,0.0028791241347789764
8992,,,,,195,34.03200650215149,,148.0,1763260086.7959576,,,148.0,,
9481,,,,,203,34.58338522911072,,121.0,1763260087.3473363,,,121.0,,
10240,0.5584008693695068,0.0014035413041710854,0.06222456693649292,0.0,213,35.613523960113525,46.86982727050781,,1763260088.377475,1041.0,0.0002939324185717851,,3.8967467844486237e-05,-0.0026375800371170044
10556,,,,,217,35.89994788169861,,216.0,1763260088.663899,,,216.0,,
11392,0.6402156352996826,-5.88688999414444e-05,0.027116835117340088,0.0,228,37.24772238731384,32.555320739746094,,1763260090.0116735,993.0,0.0002932411734946072,,9.760260581970215e-07,-3.602169454097748e-05
11655,,,,,233,37.764453172683716,,123.0,1763260090.5284042,,,123.0,,
13056,0.5895386934280396,-0.0023565487936139107,0.020964980125427246,0.0,251,40.223381996154785,52.20024871826172,,1763260092.987333,904.0,0.00029224270838312805,,7.32196494936943e-05,0.004463579505681992
13484,,,,,259,41.040385007858276,,79.0,1763260093.804336,,,79.0,,
13914,,,,,265,41.716073989868164,,284.0,1763260094.480025,,,284.0,,
14397,,,,,273,42.45039415359497,,84.0,1763260095.2143452,,,84.0,,
