global_step,losses/policy_loss,losses/explained_variance,_timestamp,_runtime,losses/clipfrac,charts/learning_rate,charts/episodic_return,losses/old_approx_kl,charts/SPS,losses/approx_kl,losses/value_loss,charts/episodic_length,_step,losses/entropy
0,,,1763260078.1868372,25.28277826309204,,,,,,,,,0,
107,,,1763260079.0304067,26.12634778022766,,,10.0,,,,,10.0,7,
640,-0.0034619569778442383,0.0010131001472473145,1763260079.6219065,26.7178475856781,0.0,0.0002996927942149341,,-0.007073793560266495,998.0,0.0007523931562900543,33.1389274597168,,33,0.6792559623718262
857,,,1763260079.7802925,26.87623357772827,,,14.0,,,,,14.0,41,
990,,,1763260079.9056447,27.001585721969604,,,29.0,,,,,29.0,47,
1512,,,1763260080.3888962,27.484837293624878,,,24.0,,,,,24.0,64,
1917,,,1763260080.7766325,27.872573614120483,,,59.0,,,,,59.0,74,
2048,-0.004912996664643288,-0.014171123504638672,1763260080.9603508,28.056291818618774,0.0,0.0002988479391206056,,-0.0014266325160861015,1034.0,0.0006894068792462349,57.049400329589844,,77,0.6307517290115356
2560,-0.005296889692544937,0.08991670608520508,1763260081.4239638,28.519904851913452,0.0,0.0002985407190863043,,-0.010699756443500519,1047.0,0.00032827071845531464,60.22979736328125,,88,0.6431201100349426
3584,0.0007829237729310989,0.007387220859527588,1763260082.355907,29.451848030090332,0.0,0.00029792627901770175,,-5.02169132232666e-05,1061.0,1.2142583727836609e-05,72.60802459716797,,102,0.587141215801239
3661,,,1763260082.3862462,29.482187271118164,,,37.0,,,,,37.0,104,
5347,,,1763260083.9249153,31.020856380462646,,,172.0,,,,,172.0,133,
6144,-0.0017399564385414124,0.060551226139068604,1763260084.7135882,31.809529304504395,0.0,0.00029639017884619534,,-0.002248890697956085,1071.0,3.6947429180145264e-05,60.84000015258789,,147,0.575282096862793
6272,-0.022859904915094376,0.131941556930542,1763260084.827445,31.923386096954346,0.0,0.00029631337383762,,0.015597747638821602,1072.0,0.0007547009736299515,47.78087615966797,,149,0.5779694318771362
6305,,,1763260084.8414674,31.937408447265625,,,126.0,,,,,126.0,150,
6656,-0.01877586916089058,0.13587284088134766,1763260085.1690838,32.2650249004364,0.01953125,0.00029608295881189406,,-0.02301095984876156,1075.0,0.005762653425335884,39.83811950683594,,155,0.6198382377624512
6784,-0.002893242985010147,-0.026353120803833008,1763260085.2841382,32.38007926940918,0.0,0.00029600615380331874,,0.00031132902950048447,1076.0,4.2621977627277374e-05,47.65653991699219,,157,0.567000687122345
7801,,,1763260086.1459236,33.2418646812439,,,133.0,,,,,133.0,172,
9397,,,1763260087.6231768,34.719117879867554,,,77.0,,,,,77.0,195,
9993,,,1763260088.4392161,35.535157203674316,,,382.0,,,,,382.0,203,
