global_step,charts/episodic_length,losses/value_loss,losses/policy_loss,charts/learning_rate,losses/clipfrac,losses/explained_variance,_step,charts/SPS,losses/entropy,_runtime,charts/episodic_return,_timestamp,losses/approx_kl,losses/old_approx_kl
0,,,,,,,0,,,25.485854864120483,,1763260078.5570858,,
174,27.0,,,,,,7,,,26.430744886398315,27.0,1763260079.5019758,,
768,,32.589332580566406,-0.022257711738348007,0.0002996159892063588,0.0,-0.026948094367980957,33,1014.0,0.6697819232940674,27.04355239868164,,1763260080.1147833,0.00141203124076128,0.006362111307680607
920,17.0,,,,,,41,,,27.180625200271606,17.0,1763260080.251856,,
1058,28.0,,,,,,47,,,27.30999255180359,28.0,1763260080.3812234,,
1699,17.0,,,,,,64,,,27.9341402053833,17.0,1763260081.005371,,
2009,39.0,,,,,,74,,,28.201226234436035,39.0,1763260081.2724571,,
2164,91.0,,,,,,77,,,28.328587532043457,91.0,1763260081.3998184,,
2467,67.0,,,,,,88,,,28.661744117736816,67.0,1763260081.732975,,
3328,,63.40364456176758,0.0038758725859224796,0.0002980798890348524,0.0,0.3058643341064453,102,1039.0,0.5678836107254028,29.48802876472473,,1763260082.5592597,0.0007295487448573112,-0.0007118610665202141
3456,,59.183292388916016,-0.0011461488902568817,0.00029800308402627707,0.0,0.04423069953918457,104,1041.0,0.5870264768600464,29.60377049446106,,1763260082.6750014,0.0007778787985444069,-0.0006393147632479668
5376,,70.61311340332031,-0.01311860978603363,0.00029685100889764726,0.0,0.1954403519630432,133,1055.0,0.6357881426811218,31.381815433502197,,1763260084.4530463,0.0006810007616877556,0.0033482750877738
6272,,41.002220153808594,-0.011848591268062592,0.00029631337383762,0.0,0.011031806468963623,147,1058.0,0.5373007655143738,32.21067786216736,,1763260085.2819088,0.0007073730230331421,0.006152717396616936
6400,,52.57969665527344,-0.0027422215789556503,0.0002962365688290447,0.0,-0.030364394187927246,149,1059.0,0.5723609924316406,32.32656502723694,,1763260085.397796,0.0010844888165593147,0.0003848997876048088
6524,159.0,,,,,,150,,,32.37211513519287,159.0,1763260085.443346,,
6842,141.0,,,,,,155,,,32.69584512710571,141.0,1763260085.767076,,
6906,39.0,,,,,,157,,,32.720924854278564,39.0,1763260085.7921557,,
7998,279.0,,,,,,172,,,33.76422715187073,279.0,1763260086.835458,,
9600,,49.92692565917969,-0.00449071079492569,0.0002943164436146617,0.0,0.01834315061569214,195,1054.0,0.6026765704154968,35.39293122291565,,1763260088.464162,0.0002091284841299057,6.618723273277283e-05
10122,118.0,,,,,,203,,,36.27338933944702,118.0,1763260089.3446202,,
10799,64.0,,,,,,213,,,37.41894745826721,64.0,1763260090.4901783,,
10979,38.0,,,,,,217,,,37.733635902404785,38.0,1763260090.8048668,,
11730,48.0,,,,,,228,,,39.1093270778656,48.0,1763260092.180558,,
