losses/value_loss,charts/learning_rate,_step,losses/old_approx_kl,losses/clipfrac,losses/approx_kl,charts/SPS,_timestamp,global_step,charts/episodic_return,charts/episodic_length,losses/explained_variance,_runtime,losses/entropy,losses/policy_loss
,,0,,,,,1763260077.5742989,0,,,,25.029313802719116,,
29.759532928466797,0.0003000000142492354,7,0.010440506041049957,0.0,0.0007855482399463654,816.0,1763260078.648992,128,,,-0.0032269954681396484,26.10400700569153,0.6923220157623291,-0.01549273170530796
69.273193359375,0.0002996927942149341,33,0.0004013311117887497,0.0,5.287677049636841e-05,966.0,1763260079.1542258,640,,,-0.013697981834411621,26.609240770339966,0.6870996952056885,-0.003052707761526108
,,41,,,,,1763260079.3049712,839,47.0,47.0,,26.75998616218567,,
,,47,,,,,1763260079.440149,1014,25.0,25.0,,26.895164012908936,,
,,64,,,,,1763260080.0181715,1560,139.0,139.0,,27.473186492919922,,
,,74,,,,,1763260080.3800151,1979,52.0,52.0,,27.83503007888794,,
,,77,,,,,1763260080.4932127,2099,88.0,88.0,,27.948227643966675,,
64.59725952148438,0.000298463914077729,88,0.0034704701974987984,0.0078125,0.0030786963179707527,1045.0,1763260081.0629537,2688,,,0.167130708694458,28.51796865463257,0.6255005598068237,0.014753922820091248
,,102,,,,,1763260081.766892,3526,130.0,130.0,,29.221906900405884,,
,,104,,,,,1763260081.877435,3646,120.0,120.0,,29.332449913024902,,
,,133,,,,,1763260083.4980254,5449,65.0,65.0,,30.95304036140442,,
51.30918884277344,0.00029631337383762,147,0.002284516580402851,0.0,9.393598884344101e-05,1082.0,1763260084.2864773,6272,,,0.17105287313461304,31.74149227142334,0.6005377769470215,-0.004470907151699066
48.699771881103516,0.0002962365688290447,149,0.00316661037504673,0.0,0.00034013763070106506,1083.0,1763260084.4000456,6400,,,0.3987613320350647,31.855060577392578,0.5948828458786011,-0.007855299860239029
,,150,,,,,1763260084.4173942,6443,81.0,81.0,,31.872409105300903,,
48.44927215576172,0.00029600615380331874,155,-0.005685869604349136,0.0,5.968846380710602e-05,1086.0,1763260084.7380714,6784,,,0.3974915146827698,32.19308638572693,0.5753386616706848,0.0034437403082847595
,,157,,,,,1763260084.8598382,6937,204.0,204.0,,32.31485319137573,,
32.657470703125,0.0002953917137347162,172,0.0004082154482603073,0.0,7.949769496917725e-06,1088.0,1763260085.6639729,7808,,,0.22523421049118042,33.118987798690796,0.5892792344093323,-0.0003533586859703064
,,195,,,,,1763260086.9378583,9241,121.0,121.0,,34.39287328720093,,
40.44746780395508,0.0002942396386060864,203,0.0007644491270184517,0.0,1.5844590961933136e-05,1082.0,1763260087.47682,9728,,,0.041431307792663574,34.93183493614197,0.5733538269996643,-0.00015444308519363403
,,213,,,,,1763260088.244263,10290,125.0,125.0,,35.69927787780762,,
40.9218864440918,0.00029377880855463445,217,0.008093842305243015,0.0,0.00026106927543878555,1046.0,1763260088.5215304,10496,,,0.07467186450958252,35.976545333862305,0.5532212257385254,-0.0037981420755386353
29.28201675415039,0.00029331797850318253,228,-0.00044754892587661743,0.0,2.680346369743347e-06,1019.0,1763260089.543412,11264,,,0.6746790409088135,36.99842691421509,0.5590596199035645,0.000139530748128891
,,233,,,,,1763260090.0089278,11594,172.0,172.0,,37.463942766189575,,
65.89668273925781,0.0002923963184002787,251,0.006035312078893185,0.0,0.00036508869379758835,937.0,1763260092.1439457,12800,,,0.15154582262039185,39.598960638046265,0.5893933176994324,-0.014338571578264236
,,259,,,,,1763260093.0484693,13322,191.0,191.0,,40.50348424911499,,
20.718372344970703,0.0002917818783316761,265,0.006800590083003044,0.0,0.00016102567315101624,899.0,1763260093.8681242,13824,,,0.8647379875183105,41.32313919067383,0.5660218000411987,0.005256693810224533
,,273,,,,,1763260094.5548148,14297,129.0,129.0,,42.00982975959778,,
30.237125396728516,0.00029147465829737484,274,0.00045545585453510284,0.0,4.218891263008118e-06,885.0,1763260094.6835723,14336,,,0.5431500673294067,42.13858723640442,0.6045224666595459,0.0004727207124233246
,,292,,,,,1763260096.155456,15495,167.0,167.0,,43.61047101020813,,
31.97237777709961,0.0002897081431001425,321,-0.00024097226560115814,0.0,0.00012943707406520844,867.0,1763260098.4131727,17280,,,0.6165173053741455,45.86818766593933,0.6057745218276978,0.0010941028594970703
100.35478210449219,0.0002894777280744165,327,-0.0011260760948061943,0.0,0.0003612590953707695,865.0,1763260098.8901303,17664,,,0.002807319164276123,46.3451452255249,0.5772735476493835,-0.0005606170743703842
,,330,,,,,1763260099.0793316,17842,144.0,144.0,,46.53434658050537,,
,,332,,,,,1763260099.2546425,18042,200.0,200.0,,46.709657430648804,,
,,337,,,,,1763260099.6438582,18317,92.0,92.0,,47.098873138427734,,
,,340,,,,,1763260099.8339977,18462,32.0,32.0,,47.28901267051697,,
23.59041404724121,0.00028778801788575947,370,0.0005734376609325409,0.0,0.00025721266865730286,864.0,1763260102.1830842,20480,,,0.8747682571411133,49.638099193573,0.5058791637420654,-0.0028740372508764267
,,396,,,,,1763260104.036649,22256,91.0,91.0,,51.49166393280029,,
26.088924407958984,0.0002853302576113492,425,0.001339426264166832,0.0,6.0988590121269226e-05,874.0,1763260106.5920246,24576,,,-0.7151460647583008,54.04703950881958,0.500028133392334,0.003224041312932968
,,441,,,,,1763260107.9028635,25892,214.0,214.0,,55.35787844657898,,
,,450,,,,,1763260108.4970942,26546,104.0,104.0,,55.95210909843445,,
,,471,,,,,1763260110.2649324,28455,500.0,500.0,,57.71994733810425,,
13.190547943115234,0.0002824884722940624,481,-0.006591625511646271,0.0,0.00020384974777698517,898.0,1763260111.1249754,29312,,,0.3241767883300781,58.57999038696289,0.5184873938560486,0.012660138309001923
11.405035972595215,0.0002821044472511858,490,0.003746194764971733,0.0,0.0005879104137420654,902.0,1763260111.6896331,29952,,,0.9390248656272888,59.14464807510376,0.5041842460632324,-0.010355547070503235
,,504,,,,,1763260112.608499,30962,118.0,118.0,,60.06351399421692,,
2.938335657119751,0.00028095237212255597,515,0.00127442367374897,0.0,3.6654993891716003e-05,908.0,1763260113.5570164,31872,,,0.9906052947044373,61.0120313167572,0.5176106095314026,-0.0008539855480194092
,,530,,,,,1763260114.7594829,33234,500.0,500.0,,62.214497804641724,,
3.2401723861694336,0.0002796466869767755,539,0.000847245566546917,0.0,7.033068686723709e-05,918.0,1763260115.5529528,34048,,,0.9582130908966064,63.007967710494995,0.5744089484214783,-0.0012679100036621094
27.671403884887695,0.0002792626619338989,547,0.00883990153670311,0.0,0.0004009343683719635,922.0,1763260116.1136532,34688,,,0.18805211782455444,63.56866812705994,0.5783524513244629,0.005140677094459534
,,555,,,,,1763260116.7468243,35389,232.0,232.0,,64.2018392086029,,
,,559,,,,,1763260117.097229,35830,441.0,441.0,,64.55224394798279,,
7.93861198425293,0.0002780337817966938,568,0.0075481245294213295,0.00390625,0.002694283612072468,930.0,1763260117.9899833,36736,,,0.3723182678222656,65.44499826431274,0.5038251876831055,-0.0037374706007540226
,,595,,,,,1763260119.9878085,39018,209.0,209.0,,67.44282341003418,,
