charts/learning_rate,charts/SPS,losses/entropy,losses/old_approx_kl,global_step,_timestamp,losses/policy_loss,losses/explained_variance,losses/value_loss,charts/episodic_return,_step,losses/approx_kl,losses/clipfrac,charts/episodic_length,_runtime
,,,,0,1763260084.5391006,,,,,0,,,,26.097968578338623
,,,,159,1763260085.5217214,,,,20.0,7,,,20.0,27.080589294433594
,,,,688,1763260086.0565383,,,,23.0,33,,,23.0,27.615406274795532
,,,,868,1763260086.3359358,,,,18.0,41,,,18.0,27.894803762435913
,,,,1003,1763260086.6800838,,,,26.0,47,,,26.0,28.238951683044434
0.0002992319641634822,576.0,0.655410647392273,-0.0016642799600958824,1408,1763260087.8191986,0.0015508364886045456,0.015396356582641602,33.256465911865234,,64,1.9946135580539703e-05,0.0,,29.378066539764404
,,,,1655,1763260088.330305,,,,42.0,74,,,42.0,29.88917303085327
,,,,1738,1763260088.5798597,,,,60.0,77,,,60.0,30.13872766494751
0.0002988479391206056,508.0,0.6542133688926697,0.002105230465531349,2048,1763260089.4065561,-0.0034039467573165894,0.09118819236755371,42.795310974121094,,88,4.1095539927482605e-05,0.0,,30.965424060821533
,,,,2629,1763260090.4523687,,,,36.0,102,,,36.0,32.01123666763306
,,,,2690,1763260090.6683786,,,,61.0,104,,,61.0,32.22724652290344
,,,,3905,1763260093.8578038,,,,67.0,133,,,67.0,35.41667175292969
,,,,4606,1763260096.1076863,,,,70.0,147,,,70.0,37.66655421257019
,,,,4645,1763260096.4986749,,,,39.0,149,,,39.0,38.05754280090332
0.00029723503394052386,412.0,0.5725801587104797,-0.0012216735631227493,4736,1763260096.870468,0.0017911046743392944,0.09790420532226562,53.190818786621094,,150,4.0821731090545654e-05,0.0,,38.429335832595825
0.0002970814239233732,399.0,0.6168599128723145,0.006142565049231052,4992,1763260097.8755696,0.0013301968574523926,0.18535053730010986,52.155277252197266,,155,0.00017765816301107407,0.0,,39.43443751335144
0.0002970046189147979,396.0,0.5386644601821899,0.004702909849584103,5120,1763260098.278771,-0.009413586929440498,0.06046032905578613,57.02677917480469,,157,0.0002583889290690422,0.0,,39.83763885498047
,,,,5865,1763260100.6229558,,,,120.0,172,,,120.0,42.18182373046875
0.0002957757387775928,380.0,0.5348560810089111,-5.8288685977458954e-05,7168,1763260104.2342463,-0.0009997785091400146,0.17411088943481445,50.48851776123047,,195,8.757226169109344e-06,0.0,,45.79311418533325
0.0002955453237518668,378.0,0.5760369896888733,-0.0016234470531344414,7552,1763260105.3442981,0.0007402915507555008,0.43118762969970703,46.24561309814453,,203,4.746485501527786e-05,0.0,,46.90316605567932
0.00029523810371756554,377.0,0.5486368536949158,0.0004503931850194931,8064,1763260106.7571988,0.00151776522397995,0.08189469575881958,40.19098663330078,,213,2.1925196051597595e-05,0.0,,48.31606674194336
,,,,8281,1763260107.1948624,,,,102.0,217,,,102.0,48.75373029708862
,,,,8847,1763260108.8416588,,,,145.0,228,,,145.0,50.40052676200867
0.00029454685864038765,378.0,0.5655510425567627,0.0027704592794179916,9216,1763260109.728194,-0.00035887211561203003,-0.0011892318725585938,55.36825180053711,,233,0.00022685714066028595,0.0,,51.28706192970276
0.00029385561356320977,380.0,0.6004183292388916,0.0015095062553882599,10368,1763260112.62052,-0.0011916495859622955,0.9357611536979675,38.52434539794922,,251,0.00031617097556591034,0.0,,54.17938804626465
,,,,10883,1763260113.9413826,,,,164.0,259,,,164.0,55.500250577926636
,,,,11362,1763260114.8963785,,,,128.0,265,,,128.0,56.455246448516846
0.00029293395346030593,384.0,0.6207361221313477,-0.0006254464387893677,11904,1763260116.3605306,0.0027247220277786255,-0.012685894966125488,52.141357421875,,273,0.00015354901552200317,0.0,,57.91939854621887
,,,,11988,1763260116.4198718,,,,194.0,274,,,194.0,57.978739738464355
,,,,13381,1763260119.5401604,,,,232.0,292,,,232.0,61.09902834892273
0.00029078341322019696,398.0,0.5850085020065308,0.0038005560636520386,15488,1763260124.2277555,0.0017320960760116577,-0.008298635482788086,35.33856964111328,,321,0.00024641677737236023,0.0,,65.78662347793579
,,,,16104,1763260125.1890063,,,,500.0,327,,,500.0,66.74787425994873
,,,,16260,1763260125.6807046,,,,156.0,330,,,156.0,67.23957252502441
0.0002901689731515944,405.0,0.5899364352226257,0.013985119760036469,16512,1763260126.1001658,-0.002626761794090271,0.0010086894035339355,40.01095962524414,,332,0.0016981447115540504,0.0,,67.65903377532959
0.00028993855812586844,407.0,0.5794087648391724,-0.0005369111895561218,16896,1763260126.8814569,-0.0030018985271453857,0.850680947303772,16.950973510742188,,337,2.1265819668769836e-05,0.0,,68.4403247833252
0.0002897849481087178,408.0,0.614079475402832,-0.01842348650097847,17152,1763260127.4163024,0.022198356688022614,-0.003372669219970703,88.96603393554688,,340,0.003701592795550823,0.001953125,,68.97517037391663
0.0002883256529457867,415.0,0.5421157479286194,0.0015774760395288467,19584,1763260132.4643703,-0.007537283003330231,0.1942644715309143,53.64793014526367,,370,0.0002677515149116516,0.0,,74.02323818206787
,,,,19894,1763260133.180407,,,,106.0,375,,,106.0,74.7392749786377
0.0002871735778171569,413.0,0.561759889125824,0.000861859880387783,21504,1763260137.4444916,-0.003966204822063446,0.3249650001525879,55.288082122802734,,396,0.0003251871094107628,0.0,,79.00335955619812
0.0002856374776456505,414.0,0.5896214842796326,-0.007915147580206394,24064,1763260143.4089491,-0.013779520988464355,0.32555025815963745,19.985877990722656,,425,0.0033640852198004723,0.0078125,,84.96781706809998
0.000284792622551322,417.0,0.6014995574951172,0.0015575038269162178,25472,1763260146.447097,0.002042878419160843,0.5257908701896667,18.42428970336914,,441,8.411798626184464e-05,0.0,,88.00596499443054
0.00028433179249987006,418.0,0.5814334154129028,-0.0015756133943796158,26240,1763260148.1057134,0.001112326979637146,0.012752234935760498,19.131317138671875,,450,1.5262514352798462e-05,0.0,,89.66458129882812
0.0002833333273883909,419.0,0.5584444403648376,-0.0005581779405474663,27904,1763260151.8218653,0.0014678388833999634,0.5600168704986572,58.875083923339844,,471,5.244743078947067e-05,0.0,,93.38073325157166
,,,,28716,1763260153.5577643,,,,155.0,481,,,155.0,95.11663222312927
,,,,29522,1763260155.2258177,,,,444.0,490,,,444.0,96.78468561172485
,,,,30665,1763260157.7414901,,,,223.0,504,,,223.0,99.3003580570221
0.0002811059821397066,424.0,0.5592163801193237,-0.002605120651423931,31616,1763260159.8709612,-0.003852955996990204,0.0010743141174316406,10.811729431152344,,515,0.00022753234952688217,0.0,,101.42982912063599
,,,,32830,1763260162.4568372,,,,237.0,530,,,237.0,104.01570510864258
0.0002798771020025015,426.0,0.574135422706604,0.005322728306055069,33664,1763260164.2298493,0.005915850400924683,0.025542259216308594,9.564414978027344,,539,0.0002883542329072952,0.0,,105.78871726989746
0.00027941627195104957,427.0,0.5778770446777344,-0.0006505930796265602,34432,1763260165.8741622,-0.00014498084783554077,0.08361852169036865,8.829142570495605,,547,9.517185389995575e-06,0.0,,107.433030128479
0.00027903224690817297,428.0,0.5530478954315186,-0.011211846023797989,35072,1763260167.2657363,0.02627723291516304,0.006983160972595215,182.34121704101562,,555,0.0028298255056142807,0.00390625,,108.82460427284241
0.000278801831882447,428.0,0.5538562536239624,0.005233777686953545,35456,1763260168.089189,-0.0016727093607187271,0.2708664536476135,8.894767761230469,,559,0.00041434355080127716,0.0,,109.64805698394775
0.0002783410018309951,429.0,0.5822740197181702,0.0035262620076537132,36224,1763260169.7984772,0.003812171518802643,0.1261664628982544,8.425318717956543,,568,0.00022618193179368973,0.0,,111.35734510421753
0.000276881706668064,431.0,0.494894802570343,0.039661042392253876,38656,1763260175.056233,-0.024514509364962578,0.840695858001709,4.912890434265137,,595,0.007029334083199501,0.021484375,,116.6151008605957
0.00027611368568614125,431.0,0.45918452739715576,-0.022108344361186028,39936,1763260177.9473464,0.011279698461294174,0.4328444004058838,162.3592529296875,,612,0.0017108544707298279,0.0,,119.50621438026428
0.0002759600756689906,431.0,0.49709904193878174,-0.0008077938109636307,40192,1763260178.4342823,0.0028397999703884125,0.09373664855957031,5.132009983062744,,614,0.0001338217407464981,0.0,,119.99315023422241
,,,,41481,1763260181.2892554,,,,210.0,630,,,210.0,122.84812331199646
,,,,41961,1763260182.2306285,,,,195.0,636,,,195.0,123.78949642181396
,,,,42194,1763260182.8372974,,,,128.0,640,,,128.0,124.39616537094116
