_step,losses/clipfrac,charts/learning_rate,charts/episodic_length,charts/episodic_return,losses/entropy,losses/approx_kl,losses/policy_loss,losses/explained_variance,losses/value_loss,losses/old_approx_kl,charts/SPS,global_step,_runtime,_timestamp
0,,,,,,,,,,,,0,24.82939577102661,1763260083.1652448
7,,,19.0,19.0,,,,,,,,216,26.676018953323364,1763260085.011868
33,,,39.0,39.0,,,,,,,,770,27.271953582763672,1763260085.6078026
41,,,110.0,110.0,,,,,,,,1068,27.520537614822388,1763260085.8563867
47,0.0,0.0002993087691720575,,,0.649293065071106,0.0005482286214828491,0.000858895480632782,0.0846286416053772,66.01466369628906,-0.0062112994492053986,1008.0,1280,27.737133979797363,1763260086.072983
64,0.0,0.0002989247441291809,,,0.5948293805122375,0.0012899823486804962,-0.01198422722518444,0.052230894565582275,54.906700134277344,0.006275162100791931,828.0,1920,28.784998416900635,1763260087.1208475
74,,,119.0,119.0,,,,,,,,2535,29.514567852020264,1763260087.850417
77,0.0,0.000298463914077729,,,0.6016563773155212,0.003219631500542164,-0.015544544905424118,0.13895589113235474,55.78833770751953,-0.006795928813517094,800.0,2688,29.826488494873047,1763260088.1623375
88,,,88.0,88.0,,,,,,,,3352,30.797065496444702,1763260089.1329145
102,0.0,0.0002974654489662498,,,0.6096755862236023,1.4686957001686096e-05,0.001555807888507843,0.07026040554046631,56.35601806640625,0.0002669673413038254,757.0,4352,32.21596622467041,1763260090.5518153
104,0.0,0.0002973886439576745,,,0.5796511173248291,0.0008936077356338501,-0.011213820427656174,0.10238748788833618,57.157413482666016,0.0026277881115674973,752.0,4480,32.420175075531006,1763260090.7560241
133,,,99.0,99.0,,,,,,,,6707,37.037813663482666,1763260095.3736627
147,,,129.0,129.0,,,,,,,,7722,40.230204820632935,1763260098.5660539
149,,,127.0,127.0,,,,,,,,7849,40.63058161735535,1763260098.9664307
150,0.0,0.00029531490872614086,,,0.5963142514228821,0.0002852175384759903,-0.00606347993016243,0.3105127215385437,46.3081169128418,0.00630352646112442,548.0,7936,40.94920778274536,1763260099.2850568
155,,,118.0,118.0,,,,,,,,8246,41.7346830368042,1763260100.070532
157,0.0,0.0002950076886918396,,,0.6024125814437866,3.689434379339218e-05,-0.0019961632788181305,0.02011483907699585,59.563560485839844,0.0005819490179419518,535.0,8448,42.25679564476013,1763260100.5926447
172,,,183.0,183.0,,,,,,,,9431,44.47331118583679,1763260102.8091602
195,,,34.0,34.0,,,,,,,,10991,48.01599621772766,1763260106.3518453
203,0.0,0.0002931643684860319,,,0.5566417574882507,1.1022202670574188e-05,-6.335228681564331e-05,0.0728958249092102,39.15544891357422,0.0005893884226679802,501.0,11520,49.4245662689209,1763260107.7604153
213,,,61.0,61.0,,,,,,,,12150,50.80829882621765,1763260109.1441479
217,0.0,0.00029270353843457997,,,0.5914193987846375,0.0001925583928823471,-0.008086146786808968,0.019830286502838135,51.88700866699219,0.0010041166096925735,492.0,12288,51.4021897315979,1763260109.7380388
228,,,139.0,139.0,,,,,,,,12950,52.993138790130615,1763260111.3289878
233,,,189.0,189.0,,,,,,,,13317,53.79321765899658,1763260112.1290667
251,0.0,0.0002913210482802242,,,0.5923107266426086,9.743869304656982e-05,0.0023941369727253914,0.01897364854812622,31.26730728149414,-0.006644450128078461,482.0,14592,56.71912217140198,1763260115.0549712
259,0.0,0.0002910138282459229,,,0.6225858330726624,0.0002354457974433899,-0.012094743549823761,0.16720104217529297,44.25820541381836,0.0019137375056743622,480.0,15104,57.90209674835205,1763260116.2379458
265,,,309.0,309.0,,,,,,,,15646,58.95880198478699,1763260117.294651
273,0.0,0.0002902457781601697,,,0.6195536851882935,5.1118433475494385e-05,-0.0013920515775680542,0.3148968815803528,35.944664001464844,0.002503659576177597,481.0,16384,60.49787521362305,1763260118.8337243
274,,,323.0,323.0,,,,,,,,16475,60.55226755142212,1763260118.8881166
292,,,99.0,99.0,,,,,,,,17632,62.99740290641785,1763260121.333252
321,0.0078125,0.00028840245795436203,,,0.6188008785247803,0.0022233696654438972,0.05366199463605881,0.39747506380081177,51.26761245727539,-0.012751261703670025,480.0,19456,66.99675631523132,1763260125.3326054
327,0.0,0.0002881720429286361,,,0.5755273699760437,0.0004178537055850029,-0.006706696003675461,-0.01244974136352539,70.5600357055664,-0.005816751159727573,480.0,19840,67.75304460525513,1763260126.0888937
330,0.0,0.00028801843291148543,,,0.5939725637435913,7.841270416975021e-05,1.862645149230957e-08,0.18306374549865723,56.1142692565918,0.0008184248581528664,481.0,20096,68.18440747261047,1763260126.5202565
332,,,177.0,177.0,,,,,,,,20262,68.44800758361816,1763260126.7838566
337,0.0,0.00028771121287718415,,,0.5886908173561096,0.0005699591711163521,-0.00020107626914978027,0.7408548593521118,27.473175048828125,-0.007361794821918011,482.0,20608,69.21108984947205,1763260127.546939
340,0.0,0.0002875576028600335,,,0.5424365997314453,0.00017687678337097168,-0.004624970257282257,0.021849334239959717,28.016036987304688,0.0022641755640506744,482.0,20864,69.69075608253479,1763260128.0266051
370,0.0,0.00028609830769710243,,,0.6021141409873962,0.00011605862528085709,0.003268420696258545,0.6902852654457092,37.38006591796875,-3.566313534975052e-05,487.0,23296,74.29203414916992,1763260132.6278832
375,,,180.0,180.0,,,,,,,,23690,75.1595561504364,1763260133.4954052
396,0.0,0.000284792622551322,,,0.6000120639801025,0.0001475028693675995,-0.0019408129155635834,0.22815465927124023,21.661869049072266,0.004094591364264488,480.0,25472,79.51857995986938,1763260137.854429
425,0.0,0.0002834101323969662,,,0.5844582319259644,0.00012658443301916122,-0.0018758811056613922,0.9063504338264465,11.890244483947754,0.002315661869943142,477.0,27776,84.6077527999878,1763260142.9436018
441,0.0,0.0002825652773026377,,,0.565314531326294,0.0013351785019040108,-0.016050487756729126,0.3585240840911865,15.000360488891602,0.005886971019208431,478.0,29184,87.44083142280579,1763260145.7766805
450,0.0,0.0002821044472511858,,,0.538041353225708,0.0005698530003428459,-0.0038901064544916153,0.01989758014678955,16.184045791625977,0.00957073550671339,479.0,29952,88.97843098640442,1763260147.31428
471,0.0,0.00028095237212255597,,,0.5913916826248169,0.0046075815334916115,-0.01107707992196083,0.5266168713569641,53.64606475830078,0.005732358433306217,480.0,31872,92.83494806289673,1763260151.170797
481,0.0,0.0002803379320539534,,,0.5981181859970093,5.772337317466736e-06,-4.3808482587337494e-05,0.007486522197723389,11.643889427185059,-0.0001264624297618866,481.0,32896,94.75055074691772,1763260153.0863998
