charts/learning_rate,charts/SPS,global_step,losses/clipfrac,_runtime,losses/value_loss,losses/entropy,charts/episodic_return,losses/policy_loss,losses/explained_variance,losses/approx_kl,losses/old_approx_kl,_step,charts/episodic_length,_timestamp
,,0,,25.58657193183899,,,,,,,,0,,1763260084.066961
,,161,,26.57760977745056,,,29.0,,,,,7,29.0,1763260085.057999
,,651,,27.09834361076355,,,15.0,,,,,33,15.0,1763260085.5787327
,,882,,27.266804933547974,,,49.0,,,,,41,49.0,1763260085.747194
,,1087,,27.491052865982056,,,69.0,,,,,47,69.0,1763260085.971442
,,1746,,28.48799204826355,,,84.0,,,,,64,84.0,1763260086.9683812
,,2190,,29.2721586227417,,,100.0,,,,,74,100.0,1763260087.7525477
,,2341,,29.474772930145264,,,74.0,,,,,77,74.0,1763260087.955162
0.00029838710906915367,716.0,2816,0.0,30.361672163009644,52.73839569091797,0.6254094243049622,,-0.0016005896031856537,-0.001759648323059082,5.347747355699539e-05,0.0008385730907320976,88,,1763260088.8420613
,,3730,,31.664593935012817,,,130.0,,,,,102,130.0,1763260090.144983
0.0002977726690005511,707.0,3840,0.0,31.85822343826294,54.709571838378906,0.5728790760040283,,-0.02611478418111801,0.03476715087890625,0.0008475389331579208,0.0035795792937278748,104,,1763260090.3386126
,,5663,,35.52905082702637,,,68.0,,,,,133,68.0,1763260094.00944
,,6686,,38.34625768661499,,,247.0,,,,,147,247.0,1763260096.8266468
0.0002959293487947434,547.0,6912,0.0,39.06155300140381,63.00920104980469,0.5972148776054382,,0.0017711613327264786,0.2803170084953308,0.000257052481174469,0.007745176553726196,149,,1763260097.5419421
,,6968,,39.15048313140869,,,282.0,,,,,150,282.0,1763260097.6308722
0.00029569893376901746,527.0,7296,0.0,40.26123094558716,54.89581298828125,0.5580446720123291,,0.0004740878939628601,0.08920592069625854,5.112960934638977e-07,0.00011293869465589523,155,,1763260098.74162
0.00029562212876044214,521.0,7424,0.0,40.65634274482727,51.02040100097656,0.5466734766960144,,0.0011258721351623535,0.12297368049621582,0.00016204733401536942,-0.0026155849918723106,157,,1763260099.1367319
,,8645,,43.52936267852783,,,500.0,,,,,172,500.0,1763260102.0097518
,,10293,,47.30793213844299,,,117.0,,,,,195,117.0,1763260105.7883213
0.0002935483935289085,488.0,10880,0.0,48.72745490074158,55.147701263427734,0.5463052988052368,,-0.004922240972518921,0.0414048433303833,3.332644701004028e-05,0.0008781496435403824,203,,1763260107.207844
0.00029308756347745657,485.0,11648,0.0,50.449187994003296,38.73646926879883,0.541493833065033,,0.002433590590953827,0.14120370149612427,1.643318682909012e-05,-4.03793528676033e-05,213,,1763260108.929577
,,11905,,51.06262755393982,,,124.0,,,,,217,124.0,1763260109.5430167
,,12676,,52.85685133934021,,,107.0,,,,,228,107.0,1763260111.3372405
,,13151,,53.6883602142334,,,326.0,,,,,233,326.0,1763260112.1687493
0.0002912442432716489,478.0,14720,0.072265625,57.18424701690674,41.205078125,0.5614732503890991,,-0.02949114888906479,0.5739898085594177,0.021432947367429733,0.012690062634646893,251,,1763260115.6646361
,,15345,,58.37843585014343,,,288.0,,,,,259,288.0,1763260116.858825
,,15704,,59.27360224723816,,,140.0,,,,,265,140.0,1763260117.7539914
,,16143,,60.43696641921997,,,111.0,,,,,273,111.0,1763260118.9173555
