losses/old_approx_kl,losses/explained_variance,global_step,losses/value_loss,charts/learning_rate,_runtime,losses/entropy,losses/clipfrac,charts/SPS,charts/episodic_return,_step,_timestamp,losses/approx_kl,charts/episodic_length,losses/policy_loss
,,0,,,25.17690920829773,,,,,0,1763260083.6458082,,,
,,165,,,26.521075010299683,,,,37.0,7,1763260084.989974,,37.0,
,,724,,,27.03779888153076,,,,17.0,33,1763260085.506698,,17.0,
,,926,,,27.26091432571411,,,,52.0,41,1763260085.7298133,,52.0,
,,1140,,,27.430503129959106,,,,48.0,47,1763260085.8994021,,48.0,
,,1635,,,28.184465885162354,,,,35.0,64,1763260086.653365,,35.0,
,,1979,,,28.86869788169861,,,,39.0,74,1763260087.337597,,39.0,
,,2089,,,29.075155019760132,,,,58.0,77,1763260087.544054,,58.0,
,,2454,,,29.79898428916931,,,,30.0,88,1763260088.2678833,,30.0,
,,2987,,,30.78435969352722,,,,44.0,102,1763260089.2532587,,44.0,
1.210719347000122e-07,0.036785125732421875,3072,55.2851448059082,0.000298233499052003,30.973602056503296,0.6242386102676392,0.0,662.0,,104,1763260089.442501,9.26293432712555e-06,,0.00037617236375808716
0.0011950396001338959,-0.001142740249633789,4352,45.35733413696289,0.0002974654489662498,33.41219925880432,0.6070941686630249,0.0,614.0,,133,1763260091.8810983,9.09753143787384e-05,,-0.0011566579341888428
0.006369704380631447,0.03776383399963379,5120,39.65608215332031,0.0002970046189147979,35.3027241230011,0.633926510810852,0.0,570.0,,147,1763260093.7716231,0.00017932429909706116,,-0.002965962514281273
0.003601653501391411,0.051449716091156006,5248,51.18034362792969,0.0002969278139062226,35.62618923187256,0.5783870220184326,0.0,564.0,,149,1763260094.0950882,0.0008293800055980682,,-0.011923685669898987
0.0008575674146413803,-0.09291136264801025,5376,76.92105865478516,0.00029685100889764726,35.893227100372314,0.6441285014152527,0.0,562.0,,150,1763260094.362126,0.0013356637209653854,,-0.003536440432071686
-0.005018582567572594,0.17733055353164673,5760,57.89296340942383,0.0002966205938719213,36.855549335479736,0.6192476153373718,0.0,547.0,,155,1763260095.3244483,0.0005240179598331451,,0.008367670699954033
,,5962,,,37.242594957351685,,,,258.0,157,1763260095.711494,,258.0,
-0.0006901482120156288,-0.02643907070159912,6912,65.72776794433594,0.0002959293487947434,40.39767360687256,0.5794625282287598,0.0,491.0,,172,1763260098.8665726,0.00013671163469552994,,-0.0024800822138786316
0.002615053206682205,0.11966967582702637,8448,54.67958068847656,0.0002950076886918396,44.24594807624817,0.5841461420059204,0.001953125,471.0,,195,1763260102.714847,0.003535248339176178,,0.014131475239992142
0.002023485489189625,0.1904577612876892,8960,41.85173416137695,0.0002947004686575383,45.48675513267517,0.5908317565917969,0.0,467.0,,203,1763260103.9556541,7.940549403429031e-05,,-0.002265915274620056
0.00395742803812027,0.31426018476486206,9600,45.66676712036133,0.0002943164436146617,47.026413917541504,0.6088125109672546,0.0,463.0,,213,1763260105.495313,0.0011171083897352219,,-0.016838079318404198
0.0017722146585583687,0.20668351650238037,9856,48.91854476928711,0.00029416283359751105,47.643354177474976,0.5637901425361633,0.0,462.0,,217,1763260106.1122532,0.00019964296370744705,,-0.0075767189264297485
,,10731,,,49.42431879043579,,,,210.0,228,1763260107.8932178,,210.0,
-0.0003850487992167473,0.018616318702697754,11008,44.17372131347656,0.00029347158852033317,50.24311327934265,0.5881922841072083,0.0,460.0,,233,1763260108.7120123,3.162305802106857e-05,,0.002108607441186905
,,12162,,,53.016170263290405,,,,50.0,251,1763260111.4850693,,50.0,
,,12778,,,54.228129863739014,,,,162.0,259,1763260112.6970289,,162.0,
,,13170,,,55.16586446762085,,,,147.0,265,1763260113.6347635,,147.0,
,,13661,,,56.38070011138916,,,,66.0,273,1763260114.8495991,,66.0,
-0.0005435775965452194,0.07584673166275024,13696,71.8203353881836,0.00029185868334025145,56.61825227737427,0.5822489857673645,0.0,452.0,,274,1763260115.0871513,8.733943104743958e-06,,-0.0014005284756422043
,,14857,,,59.25252890586853,,,,163.0,292,1763260117.721428,,163.0,
-0.004249965772032738,0.33940523862838745,16768,37.9356803894043,0.00029001536313444376,63.3639612197876,0.627646267414093,0.0,452.0,,321,1763260121.8328602,0.0002901516854763031,,-0.0018788576126098633
,,17078,,,64.0401701927185,,,,32.0,327,1763260122.5090692,,32.0,
0.001988164149224758,0.6468634605407715,17280,28.652658462524414,0.0002897081431001425,64.54164481163025,0.5511660575866699,0.0,452.0,,330,1763260123.0105438,0.00013188552111387253,,-6.701052188873291e-05
,,17390,,,64.6456241607666,,,,44.0,332,1763260123.1145232,,44.0,
0.001348273828625679,0.8876237869262695,17664,15.129647254943848,0.0002894777280744165,65.42650938034058,0.6004256010055542,0.0,451.0,,337,1763260123.8954084,0.00039000436663627625,,7.350370287895203e-05
0.0043110838159918785,0.5445044040679932,17792,67.21771240234375,0.0002894009230658412,65.74017715454102,0.5607187151908875,0.0,451.0,,340,1763260124.2090762,0.0010410090908408165,,0.0003215009346604347
,,20150,,,70.12978029251099,,,,151.0,370,1763260128.5986793,,151.0,
,,20501,,,70.80360269546509,,,,164.0,375,1763260129.2725017,,164.0,
,,22295,,,74.32814311981201,,,,220.0,396,1763260132.7970421,,220.0,
,,24535,,,79.77953839302063,,,,244.0,425,1763260138.2484374,,244.0,
-0.0031204670667648315,0.9603058695793152,25856,7.500629425048828,0.000284562207525596,82.84492707252502,0.6040761470794678,0.0,457.0,,441,1763260141.313826,0.0017595328390598297,,0.0028002411127090454
-0.0017306646332144737,0.3821682333946228,26624,15.162647247314453,0.0002841013774741441,84.39384841918945,0.6081458330154419,0.0,458.0,,450,1763260142.8627474,0.0003344109281897545,,0.00781230628490448
,,28130,,,87.44919896125793,,,,271.0,471,1763260145.918098,,271.0,
,,28817,,,89.08010649681091,,,,194.0,481,1763260147.5490055,,194.0,
0.00020286813378334045,-0.013138771057128906,29568,15.087226867675781,0.00028233486227691174,90.64774918556213,0.570955753326416,0.0,459.0,,490,1763260149.1166482,1.1594966053962708e-05,,-0.0003203917294740677
0.009273964911699295,0.004011571407318115,30848,132.2640380859375,0.00028156681219115853,93.20633220672607,0.6193965077400208,0.0,461.0,,504,1763260151.6752312,0.0005156677216291428,,0.00519154965877533
,,31810,,,95.05244445800781,,,,271.0,515,1763260153.5213435,,271.0,
,,33098,,,97.65566992759705,,,,236.0,530,1763260156.124569,,236.0,
0.04676491394639015,0.9875582456588745,33920,5.800121307373047,0.00027972349198535085,99.37553358078003,0.5970196723937988,0.0546875,464.0,,539,1763260157.8444326,0.017278313636779785,,0.012539433315396309
-0.0006498843431472778,0.503178596496582,34688,11.038283348083496,0.0002792626619338989,100.86759281158447,0.6200186014175415,0.0,465.0,,547,1763260159.3364918,1.3593584299087524e-05,,-0.00044070929288864136
-0.0034818537533283234,0.01074451208114624,35456,10.662925720214844,0.000278801831882447,102.37487578392029,0.575425922870636,0.0,466.0,,555,1763260160.8437748,3.3330172300338745e-05,,0.002220436930656433
-0.002126934938132763,-0.1136622428894043,35840,9.470775604248047,0.00027857141685672104,103.11192870140076,0.5473754405975342,0.0,466.0,,559,1763260161.5808277,0.0001962529495358467,,4.130229353904724e-05
,,36718,,,104.65965986251831,,,,500.0,568,1763260163.1285589,,500.0,
-0.005739178508520126,-0.01424098014831543,39168,8.213150978088379,0.0002765744866337627,109.86311507225037,0.5806516408920288,0.0,468.0,,595,1763260168.332014,0.00037126801908016205,,0.004079446196556091
-0.00031621381640434265,-0.03755974769592285,40832,6.841925144195557,0.000275576050626114,113.19942307472229,0.5797834992408752,0.0,470.0,,612,1763260171.668322,9.510666131973267e-06,,0.00042300671339035034
,,40963,,,113.5069432258606,,,,281.0,614,1763260171.9758422,,281.0,
-0.0029242001473903656,0.39456361532211304,42240,5.256157875061035,0.0002747311955317855,116.29908537864685,0.5738486051559448,0.0,469.0,,630,1763260174.7679844,0.00011243857443332672,,0.0020221322774887085
-0.0039021773263812065,0.1777004599571228,42752,205.22366333007812,0.0002744239754974842,117.36438226699829,0.5382518172264099,0.0,469.0,,636,1763260175.8332813,0.00042433198541402817,,-0.0009020715951919556
0.02487972378730774,0.8411561846733093,43136,29.152379989624023,0.00027419356047175825,118.15766644477844,0.536123514175415,0.005859375,469.0,,640,1763260176.6265655,0.007636653259396553,,-0.04308157041668892
-0.0014539910480380058,0.08202093839645386,44032,85.04700469970703,0.000273655925411731,119.9858467578888,0.5432770848274231,0.0,470.0,,650,1763260178.4547458,4.20520082116127e-05,,0.0009499751031398773
0.0008637914434075356,0.001944422721862793,45440,4.22214937210083,0.0002728110703174025,122.81589436531067,0.5082573890686035,0.0,470.0,,664,1763260181.2847934,1.0573305189609528e-05,,-1.1272728443145752e-05
0.001397017389535904,0.6431934833526611,47104,106.33818817138672,0.0002718126052059233,126.31685376167297,0.543541669845581,0.0,471.0,,684,1763260184.7857528,3.042258322238922e-05,,-0.0025172159075737
,,47536,,,127.13822960853577,,,,208.0,689,1763260185.6071286,,208.0,
-0.001855362206697464,-0.60797119140625,48384,3.2500035762786865,0.0002710445551201701,128.9423863887787,0.5529019832611084,0.0,471.0,,698,1763260187.4112854,0.00027397461235523224,,-0.006140492856502533
,,48731,,,129.55961799621582,,,,152.0,702,1763260188.028517,,152.0,
0.020638305693864822,0.03507572412490845,49152,94.73048400878906,0.0002705837250687182,130.61390614509583,0.5675640106201172,0.001953125,471.0,,707,1763260189.0828052,0.0033059800043702126,,-0.015781663358211517
0.004037757404148579,0.6277442574501038,50944,28.518741607666016,0.0002695084549486637,134.48662066459656,0.5336081981658936,0.0,471.0,,729,1763260192.9555197,0.0006276099011301994,,0.0027256421744823456
0.04376401752233505,0.3584401607513428,53248,4.390169143676758,0.00026812596479430795,139.44598388671875,0.5603183507919312,0.0546875,470.0,,757,1763260197.914883,0.015637442469596863,,-0.04983604699373245
0.0015102438628673553,0.8948565125465393,53632,33.315513610839844,0.000267895549768582,140.30338644981384,0.5827395915985107,0.0,470.0,,762,1763260198.7722855,0.00028936751186847687,,0.0027465112507343292
-0.0035229232162237167,0.9000754356384277,54016,18.239912033081055,0.000267665134742856,141.15320754051208,0.5192790031433105,0.0,470.0,,767,1763260199.6221066,0.000997813418507576,,0.019343040883541107
,,54541,,,142.35802817344666,,,,180.0,775,1763260200.8269272,,180.0,
0.0012663472443819046,0.9306710958480835,55680,46.88997268676758,0.00026666666963137686,144.80974316596985,0.5375016331672668,0.0,469.0,,788,1763260203.2786422,2.1243467926979065e-05,,-0.0015076715499162674
,,56318,,,146.05831837654114,,,,146.0,797,1763260204.5272174,,146.0,
-0.0014789178967475891,0.8909866213798523,57088,51.05433654785156,0.00026582181453704834,147.8139832019806,0.5693396925926208,0.0,469.0,,806,1763260206.2828822,0.00013629905879497528,,-0.0011285021901130676
0.0015568351373076439,0.9618868231773376,57984,2.3277244567871094,0.0002652841794770211,149.60156106948853,0.5599117875099182,0.0,470.0,,815,1763260208.07046,0.00022764969617128372,,0.001778721809387207
0.0009475192055106163,-0.6031752824783325,62336,0.7108837962150574,0.0002626728091854602,158.47937417030334,0.501225471496582,0.0,471.0,,863,1763260216.9482732,2.0028091967105865e-05,,-0.0010176599025726318
,,63182,,,160.04676151275635,,,,500.0,872,1763260218.5156605,,500.0,
-0.0031014783307909966,-3.1677446365356445,63616,1.4557294845581055,0.000261904759099707,160.9918088912964,0.5726976990699768,0.0,472.0,,876,1763260219.460708,0.0008008452132344246,,-0.004734054207801819
0.005125075578689575,-1.5964431762695312,68096,0.3520466089248657,0.0002592165837995708,169.9821116924286,0.5940545201301575,0.017578125,474.0,,922,1763260228.4510107,0.007337954826653004,,0.007843181490898132
-0.004173252731561661,0.22957098484039307,68864,0.04986679553985596,0.0002587557537481189,171.47979474067688,0.5926176905632019,0.0,474.0,,930,1763260229.9486938,8.96994024515152e-05,,-6.144121289253235e-05
0.035806164145469666,-0.5662065744400024,69632,0.037636131048202515,0.00025829492369666696,173.04543733596802,0.5319968461990356,0.0,474.0,,938,1763260231.5143363,0.007021171972155571,,-0.022540979087352753
0.002902096137404442,-1.3184716701507568,69888,0.055873334407806396,0.0002581413136795163,173.58400750160217,0.5165284276008606,0.001953125,474.0,,941,1763260232.0529065,0.003230968490242958,,0.0021191462874412537
0.020714277401566505,0.6415113806724548,70016,0.026750491932034492,0.000258064508670941,173.82181024551392,0.4938851296901703,0.12109375,474.0,,942,1763260232.2907093,0.030184468254446983,,0.025190934538841248
0.008417217992246151,0.20319890975952148,70656,0.008248571306467056,0.0002576804836280644,175.12601327896118,0.5896251201629639,0.0,474.0,,948,1763260233.5949123,0.00035234447568655014,,-0.0013580173254013062
0.00128181092441082,0.00041419267654418945,73216,333.4308776855469,0.000256144383456558,180.23772597312927,0.544457197189331,0.0,475.0,,974,1763260238.706625,4.840642213821411e-05,,-0.000190049409866333
-5.632638931274414e-06,-1.3106274604797363,73856,0.006942459847778082,0.0002557603584136814,181.48210167884827,0.5753159523010254,0.0,476.0,,980,1763260239.9510007,0.0011508837342262268,,0.006919041275978088
0.0025492962449789047,-0.1308366060256958,74368,0.004747216589748859,0.0002554531383793801,182.51831150054932,0.5713891386985779,0.0,476.0,,985,1763260240.9872105,0.0005392748862504959,,-0.0059584155678749084
0.0552118644118309,-0.19760477542877197,75392,0.004392316564917564,0.00025483869831077754,184.59769105911255,0.5246699452400208,0.0234375,476.0,,995,1763260243.06659,0.010878468863666058,,-0.047424934804439545
0.020778395235538483,-2.6126222610473633,75648,0.0005217361613176763,0.0002546850882936269,185.02240204811096,0.4963805079460144,0.021484375,476.0,,997,1763260243.491301,0.0025944868102669716,,-0.018330156803131104
0.050169482827186584,0.534896969795227,77440,0.0005593398818746209,0.0002536098181735724,188.58876776695251,0.5753149390220642,0.015625,477.0,,1015,1763260247.0576668,0.009517522528767586,,-0.029606498777866364
