losses/explained_variance,charts/episodic_return,_timestamp,losses/clipfrac,losses/value_loss,_step,losses/approx_kl,charts/learning_rate,losses/old_approx_kl,global_step,losses/policy_loss,charts/episodic_length,charts/SPS,losses/entropy,_runtime
,,1763260077.2377021,,,0,,,,0,,,,,24.69275212287903
,11.0,1763260078.565156,,,7,,,,123,,11.0,,,26.020205974578857
,57.0,1763260079.2560623,,,33,,,,789,,57.0,,,26.71111226081848
0.04206651449203491,,1763260079.5084167,0.0,49.21505355834961,41,0.0003554839640855789,0.00029946237918920815,-0.006050627678632736,1024,-0.004532337188720703,,1007.0,0.6760287284851074,26.96346664428711
0.018715739250183105,,1763260079.6399052,0.0,36.7567253112793,47,0.0014968952164053917,0.00029938557418063283,0.011425512842833996,1152,-0.02533430978655815,,1003.0,0.6654077768325806,27.09495520591736
,57.0,1763260080.1369243,,,64,,,,1729,,57.0,,,27.59197425842285
,46.0,1763260080.4884303,,,74,,,,2111,,46.0,,,27.943480253219604
,33.0,1763260080.6170845,,,77,,,,2202,,33.0,,,28.072134494781494
,92.0,1763260081.094898,,,88,,,,2781,,92.0,,,28.54994797706604
,33.0,1763260081.6989553,,,102,,,,3439,,33.0,,,29.15400528907776
,88.0,1763260081.7994704,,,104,,,,3527,,88.0,,,29.254520416259766
0.06240701675415039,,1763260083.182731,0.0,50.194252014160156,133,0.00017948169261217117,0.0002970814239233732,0.004625166766345501,4992,-0.0029327869415283203,,1064.0,0.5582758188247681,30.637780904769897
,45.0,1763260083.9005485,,,147,,,,5796,,45.0,,,31.35559844970703
0.01862621307373047,,1763260084.0014617,0.0,42.27633285522461,149,2.8949230909347534e-05,0.000296543788863346,-2.9437243938446045e-05,5888,-0.001216452568769455,,1068.0,0.5274456739425659,31.456511735916138
,61.0,1763260084.014979,,,150,,,,5919,,61.0,,,31.4700288772583
,146.0,1763260084.2479596,,,155,,,,6184,,146.0,,,31.703009605407715
0.09224259853363037,,1763260084.3475287,0.0,45.952392578125,157,0.0005033109337091446,0.00029631337383762,0.005067836493253708,6272,0.0020246878266334534,,1071.0,0.5423203110694885,31.802578687667847
0.18042802810668945,,1763260085.273809,0.0,49.03124237060547,172,7.128529250621796e-05,0.00029569893376901746,0.0008463673293590546,7296,0.0004876330494880676,,1075.0,0.5862030982971191,32.728858947753906
,44.0,1763260086.6602297,,,195,,,,8855,,44.0,,,34.11527967453003
,150.0,1763260087.224574,,,203,,,,9453,,150.0,,,34.67962408065796
-0.00984656810760498,,1763260088.2224956,0.0,39.32261657714844,213,1.8348917365074158e-05,0.0002940092235803604,-0.00011291913688182831,10112,-0.0019047297537326813,,1039.0,0.5405145883560181,35.67754554748535
0.17093443870544434,,1763260088.4660087,0.0,51.366424560546875,217,2.9248185455799103e-05,0.00029385561356320977,-0.0009821103885769844,10368,0.0019319243729114532,,1039.0,0.6061559319496155,35.921058654785156
,155.0,1763260089.3328807,,,228,,,,11032,,155.0,,,36.787930727005005
0.14872115850448608,,1763260089.914121,0.0,55.903541564941406,233,2.316012978553772e-05,0.0002932411734946072,0.0020610373467206955,11392,-0.004054993391036987,,997.0,0.5638343691825867,37.369170904159546
,120.0,1763260091.6106067,,,251,,,,12390,,120.0,,,39.065656661987305
,115.0,1763260092.474427,,,259,,,,12850,,115.0,,,39.92947697639465
,127.0,1763260093.1453462,,,265,,,,13232,,127.0,,,40.600396156311035
,96.0,1763260094.0119147,,,273,,,,13751,,96.0,,,41.46696472167969
0.0025156140327453613,,1763260094.1713052,0.0,37.00908279418945,274,3.5305507481098175e-05,0.0002917818783316761,0.0016137389466166496,13824,-0.0018450543284416199,,881.0,0.5698850750923157,41.62635517120361
,239.0,1763260095.6351757,,,292,,,,14881,,239.0,,,43.09022569656372
0.9108812212944031,,1763260097.9681096,0.0,19.06940460205078,321,0.00048115290701389313,0.00029001536313444376,-0.00324442982673645,16768,0.0012564510107040405,,860.0,0.4986341893672943,45.4231595993042
-0.005308389663696289,,1763260098.528034,0.0,24.15636444091797,327,5.9711746871471405e-05,0.0002897081431001425,0.0008249161764979362,17280,-0.0022943243384361267,,862.0,0.45998501777648926,45.983083963394165
,125.0,1763260098.7231278,,,330,,,,17448,,125.0,,,46.17817783355713
,118.0,1763260098.8697891,,,332,,,,17566,,118.0,,,46.32483911514282
0.37901246547698975,,1763260099.2930264,0.0,28.781944274902344,337,0.0011269422248005867,0.0002893241180572659,0.004151615314185619,17920,-0.01779748499393463,,861.0,0.5245048403739929,46.74807643890381
,132.0,1763260099.4698386,,,340,,,,18137,,132.0,,,46.924888610839844
,111.0,1763260101.8920858,,,370,,,,20264,,111.0,,,49.34713578224182
,78.0,1763260103.7337205,,,396,,,,21946,,78.0,,,51.18877053260803
,125.0,1763260105.7670696,,,425,,,,23783,,125.0,,,53.22211956977844
,62.0,1763260106.9062085,,,441,,,,24775,,62.0,,,54.3612585067749
,108.0,1763260107.510198,,,450,,,,25338,,108.0,,,54.965248107910156
,66.0,1763260108.704831,,,471,,,,26459,,66.0,,,56.15988087654114
,98.0,1763260109.3775332,,,481,,,,27177,,98.0,,,56.83258318901062
,165.0,1763260109.9946826,,,490,,,,27843,,165.0,,,57.449732542037964
0.9638327956199646,,1763260110.869189,0.0,9.147212028503418,504,0.00039272475987672806,0.000282872497336939,0.0006582895293831825,28672,0.0017160102725028992,,885.0,0.47284257411956787,58.324239015579224
0.9909406900405884,,1763260111.5804935,0.0,4.503330707550049,515,0.0011830981820821762,0.00028241166728548706,0.010648418217897415,29440,-0.005813535302877426,,889.0,0.530555784702301,59.03554344177246
0.993229866027832,,1763260112.5979404,0.0078125,1.2687629461288452,530,0.004245367832481861,0.0002817972272168845,0.012630530633032322,30464,-0.010004915297031403,,893.0,0.4838320016860962,60.052990436553955
0.9899203181266785,,1763260113.2670312,0.0,3.1841559410095215,539,0.000394611619412899,0.0002814132021740079,0.003239293582737446,31104,-0.006680719554424286,,894.0,0.5488400459289551,60.72208118438721
,120.0,1763260113.75527,,,547,,,,31622,,120.0,,,61.21031999588013
0.9635183215141296,,1763260114.3912768,0.0,9.05550479888916,555,9.39955934882164e-05,0.00028072195709683,0.000330423004925251,32256,0.0026285722851753235,,898.0,0.45778170228004456,61.84632682800293
0.713150143623352,,1763260114.7255986,0.0,11.495574951171875,559,0.00029129162430763245,0.00028049154207110405,0.002087850123643875,32640,-0.005060343071818352,,900.0,0.44820573925971985,62.18064856529236
0.9425324201583862,,1763260115.5476582,0.0,6.659447193145752,568,0.00017091166228055954,0.0002799539070110768,0.004865472204983234,33536,0.0005563385784626007,,905.0,0.4366072416305542,63.002708196640015
0.5904624462127686,,1763260117.861119,0.0234375,26.229413986206055,595,0.004403585568070412,0.0002784178068395704,0.02381139248609543,36096,-0.01351204514503479,,916.0,0.4643140137195587,65.3161690235138
0.14248836040496826,,1763260119.4692106,0.0,7.0581207275390625,612,0.0006647408008575439,0.0002773425367195159,0.003878241404891014,37888,-0.0015006475150585175,,924.0,0.4253493547439575,66.92426061630249
,500.0,1763260119.5908782,,,614,,,,38034,,500.0,,,67.04592823982239
0.7727702856063843,,1763260120.8476667,0.0,69.69055938720703,630,0.0007737250998616219,0.0002764208766166121,0.005072704516351223,39424,-0.005704514682292938,,930.0,0.44155484437942505,68.30271673202515
,197.0,1763260121.195091,,,636,,,,39831,,197.0,,,68.65014100074768
,140.0,1763260121.4518714,,,640,,,,40077,,140.0,,,68.90692138671875
,232.0,1763260122.129818,,,650,,,,40860,,232.0,,,69.58486795425415
,199.0,1763260123.0754805,,,664,,,,41936,,199.0,,,70.53053045272827
0.885272741317749,,1763260124.6756904,0.0,11.864380836486816,684,5.856901407241821e-05,0.00027388634043745697,0.0027286335825920105,43648,-0.0009597870521247387,,945.0,0.36514970660209656,72.13074040412903
0.9895833134651184,,1763260125.0112267,0.0,1.6107149124145508,689,0.000840798020362854,0.000273655925411731,-0.007861299440264702,44032,-0.0037537962198257446,,946.0,0.4162573218345642,72.4662766456604
0.9779044985771179,,1763260125.6619422,0.0078125,4.8274078369140625,698,0.0012779366225004196,0.0002732719003688544,0.012004658579826355,44672,0.00389084592461586,,947.0,0.4245845079421997,73.11699223518372
0.9782997965812683,,1763260125.887916,0.0234375,11.13632869720459,702,0.00450308620929718,0.00027311829035170376,0.017699478194117546,44928,-0.008754164911806583,,947.0,0.41826289892196655,73.34296607971191
0.9746997952461243,,1763260126.2235422,0.005859375,9.018208503723145,707,0.002752804197371006,0.0002728878753259778,0.00019848812371492386,45312,-0.01860439032316208,,949.0,0.47135111689567566,73.67859220504761
,110.0,1763260127.533711,,,729,,,,46816,,110.0,,,74.98876094818115
0.9926769137382507,,1763260129.6738586,0.0,0.45842763781547546,757,0.00020186230540275574,0.00027081414009444416,0.00525890477001667,48768,-0.004946179687976837,,952.0,0.41566166281700134,77.12890863418579
0.9571224451065063,,1763260130.2428584,0.0,1.5000367164611816,762,0.0002618608996272087,0.0002705837250687182,-0.0010075801983475685,49152,-0.0036780424416065216,,949.0,0.4194106459617615,77.69790840148926
0.9763623476028442,,1763260130.8218036,0.0,3.399710178375244,767,0.00021363794803619385,0.00027035331004299223,0.005774533376097679,49536,-0.005629085004329681,,946.0,0.4741705060005188,78.27685356140137
,321.0,1763260131.7515838,,,775,,,,50231,,321.0,,,79.20663380622864
,250.0,1763260133.1975348,,,788,,,,51368,,250.0,,,80.65258479118347
,500.0,1763260134.0856886,,,797,,,,52310,,500.0,,,81.54073858261108
0.2874867916107178,,1763260135.0622666,0.0,10.833182334899902,806,0.0009274864569306374,0.00026812596479430795,-0.008560373447835445,53248,-0.004911318421363831,,941.0,0.5358706712722778,82.51731657981873
-0.7201344966888428,,1763260135.9164302,0.0,2.329929828643799,815,0.0004936764016747475,0.0002675883297342807,-0.006224437616765499,54144,-0.0035792142152786255,,942.0,0.5361476540565491,83.37148022651672
-0.10195493698120117,,1763260140.196769,0.0,1.9485026597976685,863,0.0004751952365040779,0.00026474654441699386,-0.003525105305016041,58880,0.003598131239414215,,954.0,0.5195474624633789,87.6518189907074
,498.0,1763260140.9159973,,,872,,,,59674,,498.0,,,88.37104725837708
-0.3580271005630493,,1763260141.3521392,0.0,4.987400054931641,876,0.0018560737371444702,0.00026397849433124065,-0.0022840872406959534,60160,0.013502970337867737,,957.0,0.4779202342033386,88.80718922615051
-0.00022733211517333984,,1763260145.5046666,0.0,321.2228698730469,922,0.00019666645675897598,0.0002612135140225291,0.0027189338579773903,64768,0.005121931433677673,,966.0,0.5466253161430359,92.95971655845642
0.0016248822212219238,,1763260146.2105246,0.01171875,155.55567932128906,930,0.005114479921758175,0.0002607526839710772,-0.02839876525104046,65536,-0.0024448037147521973,,967.0,0.5938025712966919,93.66557455062866
,500.0,1763260146.8411903,,,938,,,,66296,,500.0,,,94.29624032974243
-0.3647346496582031,,1763260147.1407082,0.0,0.0010587056167423725,941,0.001791626214981079,0.00026013824390247464,-0.0032685641199350357,66560,-0.0048880260437726974,,969.0,0.5529831647872925,94.59575819969177
-0.05704391002655029,,1763260147.2531986,0.013671875,0.0005062258569523692,942,0.007853983901441097,0.0002600614388938993,0.012113022617995739,66688,-0.05412529408931732,,969.0,0.523903489112854,94.70824861526489
-0.08953452110290527,,1763260147.7016559,0.0,0.0025295731611549854,948,8.99340957403183e-05,0.00025975421885959804,0.0040190815925598145,67200,-0.001263218466192484,,970.0,0.4977564811706543,95.15670585632324
-1.473201036453247,,1763260150.1569836,0.041015625,0.0004645724256988615,974,0.011349672451615334,0.0002581413136795163,-0.03382401168346405,69888,-0.03857719153165817,,975.0,0.5186265110969543,97.61203360557556
,500.0,1763260150.6102996,,,980,,,,70420,,500.0,,,98.06534957885742
,500.0,1763260151.0823357,,,985,,,,70920,,500.0,,,98.53738570213318
-4.851818084716797e-05,,1763260151.9751706,0.0,176.20762634277344,995,0.001913360320031643,0.0002569124335423112,-0.007339571602642536,71936,0.0007482729852199554,,978.0,0.5405482053756714,99.43022060394287
-0.7056106328964233,,1763260152.2336237,0.0,0.000339657737640664,997,0.003918914124369621,0.00025675882352516055,-0.0170854814350605,72192,-0.03529396653175354,,978.0,0.5719816088676453,99.68867373466492
-0.0001735687255859375,,1763260153.8294356,0.0,209.48846435546875,1015,0.0002413121983408928,0.00025568355340510607,-0.003710092045366764,73984,0.006186552345752716,,982.0,0.5395668148994446,101.28448557853699
-0.0005997419357299805,,1763260154.3113136,0.0,203.99935913085938,1020,0.0016470374539494514,0.0002553763333708048,0.01768336445093155,74496,-0.013338711112737656,,982.0,0.5713850855827332,101.76636362075806
-1.1085336208343506,,1763260155.3722994,0.0078125,0.007833731360733509,1031,0.0036143073812127113,0.0002546850882936269,-0.0018537035211920738,75648,-0.020520392805337906,,983.0,0.5034934282302856,102.82734942436218
0.12567824125289917,,1763260157.0775366,0.0,0.007386548910290003,1050,0.0032553113996982574,0.0002535330131649971,0.012997443787753582,77568,-0.011412400752305984,,987.0,0.5111010074615479,104.53258657455444
,500.0,1763260157.3589115,,,1053,,,,77920,,500.0,,,104.81396150588989
,500.0,1763260157.8111157,,,1058,,,,78420,,500.0,,,105.2661657333374
,500.0,1763260160.1006083,,,1083,,,,80920,,500.0,,,107.5556583404541
-1.167102336883545,,1763260160.90985,0.0,0.0003630001447163522,1091,0.0005129463970661163,0.000250998476985842,0.005919471383094788,81792,0.004846508614718914,,992.0,0.4947715997695923,108.36489987373352
,500.0,1763260162.3189154,,,1106,,,,83420,,500.0,,,109.77396535873413
-0.004903674125671387,,1763260163.461676,0.0,0.008766721934080124,1118,0.0008067963644862175,0.00024930876679718494,0.012639441527426243,84608,-0.012849614024162292,,995.0,0.545602560043335,110.91672587394714
-0.1624746322631836,,1763260164.1686082,0.0,0.00038605238660238683,1125,0.003961336798965931,0.000248847936745733,0.030440310016274452,85376,-0.002352595329284668,,996.0,0.4795607626438141,111.62365818023682
-2.4888603687286377,,1763260164.8700507,0.01171875,0.01050858199596405,1133,0.010961966589093208,0.0002483871066942811,-0.003978900611400604,86144,-0.018090665340423584,,997.0,0.5729011297225952,112.3251006603241
,500.0,1763260166.0308127,,,1145,,,,87420,,500.0,,,113.4858627319336
0.3778480291366577,,1763260167.820788,0.00390625,0.00017588064656592906,1164,0.004002171568572521,0.0002464669814798981,0.01610567420721054,89344,-0.012514591217041016,,1000.0,0.4081571102142334,115.2758378982544
,500.0,1763260167.847724,,,1165,,,,89420,,500.0,,,115.30277395248413
0.11497992277145386,,1763260168.5280392,0.0,0.00562796276062727,1172,0.0006362004205584526,0.0002460061514284462,-0.0016778213903307915,90112,-0.0073462799191474915,,1000.0,0.3806150257587433,115.9830892086029
0.0002893209457397461,,1763260169.3461044,0.0,353.0489807128906,1181,0.0017278501763939857,0.00024546851636841893,0.014949865639209747,91008,-0.00683768093585968,,1001.0,0.4971005320549011,116.8011543750763
-6.151199340820312e-05,,1763260169.7913554,0.0,323.6832580566406,1186,0.0009160116314888,0.00024516129633411765,-0.013984784483909607,91520,-0.004666559398174286,,1002.0,0.43134045600891113,117.24640536308289
-0.4303467273712158,,1763260170.826719,0.0,0.002620023675262928,1197,0.00042730383574962616,0.00024447005125693977,0.0038590189069509506,92672,-0.003909921273589134,,1003.0,0.5670662522315979,118.2817690372467
-0.7087267637252808,,1763260172.3391201,0.015625,0.00021705952531192452,1213,0.008162632584571838,0.0002434715861454606,-0.0007620044052600861,94336,-0.015613775700330734,,1005.0,0.5038599967956543,119.79417014122009
0.00010943412780761719,,1763260172.46202,0.0,573.139404296875,1215,0.0027625495567917824,0.00024339478113688529,-0.02041976898908615,94464,0.024946460500359535,,1005.0,0.5196471810340881,119.91706991195679
-0.03612852096557617,,1763260173.5063357,0.0,0.0052406215108931065,1226,0.0009631337597966194,0.0002427035360597074,-0.002430618740618229,95616,-0.009330445900559425,,1006.0,0.5500603318214417,120.96138572692871
0.00013870000839233398,,1763260173.8420913,0.0,114.88875579833984,1230,0.0005218638107180595,0.00024247312103398144,-0.003448992036283016,96000,0.002873089164495468,,1006.0,0.5325575470924377,121.29714131355286
,500.0,1763260174.186652,,,1234,,,,96420,,500.0,,,121.6417019367218
