charts/learning_rate,global_step,_timestamp,losses/clipfrac,_step,losses/explained_variance,charts/episodic_length,charts/SPS,losses/policy_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_return,losses/value_loss,_runtime,losses/entropy
,0,1763260083.5797968,,0,,,,,,,,,25.14335584640503,
,174,1763260084.9958541,,7,,27.0,,,,,27.0,,26.559413194656372,
0.0002996159892063588,768,1763260085.5867412,0.0,33,-0.02652156352996826,,981.0,-0.02179645746946335,0.0013521285727620125,0.006132510490715504,,34.73095703125,27.15030026435852,0.6703649759292603
,920,1763260085.7218466,,41,,17.0,,,,,17.0,,27.28540563583374,
,1058,1763260085.8722055,,47,,28.0,,,,,28.0,,27.43576455116272,
,1628,1763260086.587369,,64,,16.0,,,,,16.0,,28.150928020477295,
0.0002988479391206056,2048,1763260087.407006,0.0,74,-0.0631556510925293,,786.0,-0.000328749418258667,4.4109299778938293e-05,-0.0020007528364658356,,79.07833862304688,28.9705650806427,0.6587727069854736
,2141,1763260087.510092,,77,,31.0,,,,,31.0,,29.07365107536316,
,2450,1763260088.2498996,,88,,90.0,,,,,90.0,,29.813458681106567,
,3166,1763260089.386019,,102,,87.0,,,,,87.0,,30.949578046798706,
,3310,1763260089.5849524,,104,,144.0,,,,,144.0,,31.14851140975952,
0.0002970814239233732,4992,1763260092.8849888,0.0,133,0.07602030038833618,,617.0,-0.000964432954788208,4.3773092329502106e-05,-9.806361049413681e-05,,72.7998046875,34.44854784011841,0.6234676837921143
0.000296543788863346,5888,1763260095.1408436,0.0,147,0.0735158920288086,,569.0,0.0010821297764778137,6.542820483446121e-05,-0.003077448345720768,,60.223976135253906,36.704402685165405,0.6141332387924194
0.00029646698385477066,6016,1763260095.5237603,0.0,149,0.3379884958267212,,561.0,-0.0018880032002925873,2.9494985938072205e-05,0.003178214654326439,,51.29685974121094,37.08731937408447,0.6282603144645691
,6119,1763260095.5953565,,150,,141.0,,,,,141.0,,37.158915519714355,
0.00029631337383762,6272,1763260096.494492,0.0,155,-0.005133986473083496,,536.0,-0.0014036018401384354,3.1157396733760834e-05,0.0024448400363326073,,35.995582580566406,38.058051109313965,0.5365937352180481
0.0002962365688290447,6400,1763260096.9221373,0.0,157,-0.006268024444580078,,528.0,0.00223362073302269,0.0003538290038704872,0.0013539129868149757,,57.70221710205078,38.48569631576538,0.5863959789276123
,7338,1763260099.8483543,,172,,174.0,,,,,174.0,,41.41191339492798,
,8814,1763260103.4580064,,195,,155.0,,,,,155.0,,45.021565437316895,
,9293,1763260104.702997,,203,,155.0,,,,,155.0,,46.26655602455139,
0.00029408602858893573,9984,1763260106.3983765,0.0,213,0.4895639419555664,,462.0,-0.009734051302075386,0.00025893840938806534,0.002650913782417774,,45.80818176269531,47.96193552017212,0.5893793702125549
0.0002939324185717851,10240,1763260107.0313387,0.0,217,0.5252459049224854,,460.0,0.0031535010784864426,4.880223423242569e-05,-0.002514786086976528,,34.40910339355469,48.594897747039795,0.5936267375946045
,10991,1763260108.6011944,,228,,116.0,,,,,116.0,,50.164753437042236,
,11298,1763260109.4547746,,233,,126.0,,,,,126.0,,51.01833367347717,
,12516,1763260112.2228682,,251,,43.0,,,,,43.0,,53.78642725944519,
,13022,1763260113.4830685,,259,,74.0,,,,,74.0,,55.04662752151489,
