global_step,losses/old_approx_kl,losses/value_loss,_step,_runtime,losses/policy_loss,charts/episodic_length,losses/clipfrac,losses/entropy,losses/approx_kl,charts/episodic_return,charts/SPS,losses/explained_variance,charts/learning_rate,_timestamp
0,,,0,25.89818239212036,,,,,,,,,,1763260084.3704054
152,,,7,26.84755277633667,,25.0,,,,25.0,,,,1763260085.3197758
699,,,33,27.364813327789307,,17.0,,,,17.0,,,,1763260085.8370364
896,-0.005627647042274475,47.12199783325195,41,27.582252740859985,-0.0045664310455322266,,0.0,0.688084602355957,0.0003771483898162842,,1029.0,-0.010941743850708008,0.00029953918419778347,1763260086.0544758
1037,,,47,27.737144708633423,,22.0,,,,22.0,,,,1763260086.2093678
1675,,,64,28.885034799575806,,45.0,,,,45.0,,,,1763260087.3572578
1976,,,74,29.43980622291565,,63.0,,,,63.0,,,,1763260087.9120293
2048,0.004296715371310711,46.5173454284668,77,29.626080989837646,-0.005173064768314362,,0.0,0.6356106400489807,0.0012367898598313332,,702.0,-0.06830930709838867,0.0002988479391206056,1763260088.098304
2521,,,88,30.38169550895691,,91.0,,,,91.0,,,,1763260088.8539186
3456,-0.007553515024483204,58.59748077392578,102,31.768160581588745,-0.0018170326948165894,,0.01171875,0.6269034743309021,0.0035852324217557907,,683.0,0.20773732662200928,0.00029800308402627707,1763260090.2403836
3584,0.0005621807649731636,71.98441314697266,104,31.956838369369507,-0.0007981210947036743,,0.0,0.5996561050415039,6.719399243593216e-05,,683.0,0.15041255950927734,0.00029792627901770175,1763260090.4290614
5602,,,133,35.87892937660217,,86.0,,,,86.0,,,,1763260094.3511524
6656,0.0009916340932250023,79.95401000976562,147,38.916799783706665,-0.0021043717861175537,,0.0,0.5621131658554077,8.346978574991226e-05,,545.0,0.40646451711654663,0.00029608295881189406,1763260097.3890228
6784,-0.0008253809064626694,64.24354553222656,149,39.369060039520264,-0.0006218701601028442,,0.0,0.5615308880805969,1.9486993551254272e-05,,535.0,0.17342126369476318,0.00029600615380331874,1763260097.841283
6835,,,150,39.445820331573486,,171.0,,,,171.0,,,,1763260097.9180434
7194,,,155,40.51620960235596,,232.0,,,,232.0,,,,1763260098.9884326
7305,,,157,40.89833950996399,,111.0,,,,111.0,,,,1763260099.3705626
8576,0.02322431653738022,59.420204162597656,172,43.84364914894104,-0.018548548221588135,,0.001953125,0.5885784029960632,0.0032944325357675552,,500.0,0.35304760932922363,0.00029493088368326426,1763260102.3158722
10112,-0.007396979257464409,38.052833557128906,195,47.39471936225891,0.006064265966415405,,0.0,0.5658144950866699,0.00048295222222805023,,488.0,0.6193872690200806,0.0002940092235803604,1763260105.8669424
10683,,,203,48.57004427909851,,133.0,,,,133.0,,,,1763260107.0422673
11264,0.0012247012928128242,62.78026580810547,213,50.06281590461731,-0.0052328091114759445,,0.0,0.5481367707252502,3.011617809534073e-05,,482.0,0.0452425479888916,0.00029331797850318253,1763260108.535039
11520,0.02548128180205822,37.060791015625,217,50.62978267669678,0.002686167135834694,,0.099609375,0.49929943680763245,0.011716147884726524,,481.0,0.607620358467102,0.0002931643684860319,1763260109.1020057
12032,0.00035395286977291107,54.10074234008789,228,52.04588508605957,0.0001317821443080902,,0.0,0.551803469657898,1.4193356037139893e-06,,474.0,0.014304637908935547,0.0002928571484517306,1763260110.5181081
12288,-0.0019188262522220612,50.65800857543945,233,52.6920862197876,-0.006401045247912407,,0.0,0.53191077709198,0.00014114566147327423,,472.0,0.10240304470062256,0.00029270353843457997,1763260111.1643093
13312,0.0011003101244568825,33.99287414550781,251,55.28155708312988,-0.0009733512997627258,,0.0,0.5800423622131348,9.996723383665085e-05,,465.0,0.542553722858429,0.0002920890983659774,1763260113.7537801
13952,0.0014411834999918938,26.33274269104004,259,56.61805868148804,0.0037429630756378174,,0.0,0.5822876691818237,0.00031354743987321854,,466.0,0.9632452726364136,0.0002917050733231008,1763260115.0902817
14464,0.0021992241963744164,24.84250259399414,265,57.67130970954895,-0.007285932078957558,,0.0,0.6012365818023682,0.0016903439536690712,,467.0,0.9594867825508118,0.0002913978532887995,1763260116.1435328
15104,-0.00012296903878450394,45.69493103027344,273,58.99316143989563,-0.00042932480573654175,,0.0,0.5871409177780151,1.3737007975578308e-06,,467.0,-0.17546868324279785,0.0002910138282459229,1763260117.4653845
15152,,,274,59.06111741065979,,188.0,,,,188.0,,,,1763260117.5333405
16512,-0.0012037483975291252,84.70697021484375,292,61.952840089797974,0.007506579160690308,,0.0,0.6129451394081116,0.00013477448374032974,,468.0,0.042746543884277344,0.0002901689731515944,1763260120.4250631
18688,0.015847783535718918,66.68653869628906,321,66.27232503890991,-0.028620943427085876,,0.0234375,0.5768382549285889,0.0065958453342318535,,472.0,0.2403496503829956,0.00028886328800581396,1763260124.744548
