charts/SPS,losses/clipfrac,charts/episodic_length,losses/approx_kl,_step,losses/value_loss,losses/entropy,charts/learning_rate,losses/old_approx_kl,_runtime,charts/episodic_return,global_step,losses/explained_variance,losses/policy_loss,_timestamp
,,,,0,,,,,25.79473853111267,,0,,,1763260084.2547705
,,21.0,,7,,,,,26.673846006393433,21.0,102,,,1763260085.133878
,,21.0,,33,,,,,27.177855968475342,21.0,584,,,1763260085.637888
,,35.0,,41,,,,,27.313435077667236,35.0,736,,,1763260085.773467
,,14.0,,47,,,,,27.434031009674072,14.0,857,,,1763260085.894063
,,19.0,,64,,,,,28.14177894592285,19.0,1368,,,1763260086.601811
765.0,0.0,,0.00030913762748241425,74,40.43367004394531,0.6472030282020569,0.00029907835414633155,0.0037385765463113785,28.799038410186768,,1664,-0.0229569673538208,-0.0016183815896511078,1763260087.2590704
,,67.0,,77,,,,,28.901569604873657,67.0,1782,,,1763260087.3616016
689.0,0.0,35.0,0.0003079799935221672,88,51.89859390258789,0.6644119024276733,0.0002988479391206056,-0.003407609649002552,29.595808267593384,35.0,2048,0.025200366973876953,0.0032897666096687317,1763260088.0558403
,,152.0,,102,,,,,30.551130533218384,152.0,2648,,,1763260089.0111625
,,63.0,,104,,,,,30.730132579803467,63.0,2711,,,1763260089.1901646
639.0,0.0,,0.00044072046875953674,133,89.9668197631836,0.6244784593582153,0.0002973886439576745,0.005509110167622566,33.62610650062561,,4480,-0.16991198062896729,-0.0031141117215156555,1763260092.0861385
,,143.0,,147,,,,,35.63088631629944,143.0,5385,,,1763260094.0909183
,,178.0,,149,,,,,35.965691566467285,178.0,5563,,,1763260094.4257236
589.0,0.0,,0.00029154587537050247,150,57.892086029052734,0.5797605514526367,0.0002966973988804966,-0.004598689265549183,36.182230949401855,,5632,0.13831549882888794,0.00209634006023407,1763260094.642263
,,131.0,,155,,,,,36.91532588005066,131.0,5892,,,1763260095.3753579
563.0,0.0,,0.00028200913220643997,157,84.64848327636719,0.6133948564529419,0.00029639017884619534,-0.0015062810853123665,37.53166341781616,,6144,-0.16505205631256104,0.0018587112426757812,1763260095.9916954
,,166.0,,172,,,,,40.45710110664368,166.0,7153,,,1763260098.917133
489.0,0.005859375,,0.0057809017598629,195,51.675262451171875,0.6072655916213989,0.00029485407867468894,0.011641137301921844,44.409785985946655,,8704,0.05133157968521118,0.01571006327867508,1763260102.869818
487.0,0.0,,0.0011132806539535522,203,45.100257873535156,0.6028757691383362,0.00029447005363181233,0.0049894750118255615,45.773969888687134,,9344,0.31128233671188354,-0.010117092169821262,1763260104.2340019
483.0,0.0,,8.834432810544968e-05,213,55.691402435302734,0.5832261443138123,0.00029408602858893573,0.003159857355058193,47.28501796722412,,9984,0.016887128353118896,-0.0026660747826099396,1763260105.74505
481.0,0.0,,1.828651875257492e-05,217,59.717620849609375,0.6189049482345581,0.0002939324185717851,0.0007416913285851479,47.882036447525024,,10240,0.002881467342376709,-0.003976456820964813,1763260106.3420684
,,32.0,,228,,,,,49.39982533454895,32.0,10980,,,1763260107.8598573
477.0,0.0,,6.286613643169403e-05,233,44.87582015991211,0.622669517993927,0.00029331797850318253,0.0013881511986255646,50.22055912017822,,11264,0.42822176218032837,-0.0023976415395736694,1763260108.680591
,,142.0,,251,,,,,52.9289813041687,142.0,12511,,,1763260111.3890133
,,171.0,,259,,,,,54.08968448638916,171.0,13010,,,1763260112.5497165
,,133.0,,265,,,,,55.02505922317505,133.0,13327,,,1763260113.4850912
,,212.0,,273,,,,,56.395455837249756,212.0,13997,,,1763260114.8554878
469.0,0.0,,3.5446137189865112e-06,274,71.02284240722656,0.568333625793457,0.0002916282683145255,0.00019760429859161377,56.63731288909912,,14080,0.0681273341178894,0.0006193257868289948,1763260115.0973449
469.0,0.0,,0.0014561852440238,292,50.716007232666016,0.6408288478851318,0.00029078341322019696,0.017356667667627335,59.62559652328491,,15488,0.3039773106575012,-0.04303918778896332,1763260118.0856285
473.0,0.0,,0.0001295851543545723,321,38.053890228271484,0.6145390272140503,0.0002894777280744165,-0.0021345047280192375,63.937965393066406,,17664,-0.08668100833892822,0.0029175132513046265,1763260122.3979974
473.0,0.0,,6.210990250110626e-06,327,78.348876953125,0.6038624048233032,0.00028924731304869056,-0.00024650897830724716,64.75627708435059,,18048,0.024527311325073242,0.0003028521314263344,1763260123.216309
