losses/entropy,losses/value_loss,charts/episodic_length,_runtime,losses/approx_kl,charts/learning_rate,losses/explained_variance,charts/SPS,losses/clipfrac,_step,losses/policy_loss,charts/episodic_return,global_step,_timestamp,losses/old_approx_kl
,,,24.86764621734619,,,,,,0,,,0,1763260083.2034953,
,,37.0,26.654669046401978,,,,,,7,,37.0,165,1763260084.990518,
,,17.0,27.185245275497437,,,,,,33,,17.0,724,1763260085.5210943,
,,52.0,27.407055377960205,,,,,,41,,52.0,926,1763260085.7429044,
,,48.0,27.557392358779907,,,,,,47,,48.0,1140,1763260085.8932414,
,,35.0,28.209272861480713,,,,,,64,,35.0,1635,1763260086.545122,
,,81.0,28.832271337509155,,,,,,74,,81.0,1965,1763260087.1681204,
,,64.0,29.014453649520874,,,,,,77,,64.0,2095,1763260087.3503027,
0.5852648019790649,88.1641616821289,,29.721797943115234,0.0005866754800081253,0.0002985407190863043,0.013514816761016846,786.0,0.0,88,0.004738178104162216,,2560,1763260088.057647,0.0036425255239009857
,,113.0,30.793434381484985,,,,,,102,,113.0,3381,1763260089.1292834,
0.6228047013282776,94.73638916015625,,31.046385049819946,0.0008339462801814079,0.00029792627901770175,-0.01603853702545166,782.0,0.0,104,-0.0038347113877534866,,3584,1763260089.382234,-0.0007046414539217949
,,171.0,34.08499765396118,,,,,,133,,171.0,5704,1763260092.4208467,
0.5816024541854858,48.066436767578125,,36.41867971420288,9.190291166305542e-06,0.00029600615380331874,0.09906351566314697,681.0,0.0,147,0.0015016496181488037,,6784,1763260094.7545288,-0.0005437750369310379
0.6173068284988403,55.600059509277344,,36.720086336135864,4.0990300476551056e-05,0.0002959293487947434,0.09441202878952026,674.0,0.0,149,0.0015446767210960388,,6912,1763260095.0559354,9.429920464754105e-05
0.6088992953300476,64.42216491699219,215.0,37.05282926559448,0.0008299471810460091,0.0002958525437861681,0.20766419172286987,665.0,0.0,150,-0.017398536205291748,215.0,7040,1763260095.3886783,0.014147925190627575
0.600357174873352,73.38518524169922,,38.341384172439575,0.0010284380987286568,0.0002955453237518668,0.23185712099075317,636.0,0.0,155,-0.003973126411437988,,7552,1763260096.6772332,-0.0008059041574597359
0.6240397691726685,62.1733512878418,,38.72576117515564,0.0004065912216901779,0.0002954685187432915,0.17032891511917114,626.0,0.0,157,-0.007318519055843353,,7680,1763260097.0616102,-0.0010802708566188812
0.6142374873161316,49.403663635253906,,41.433114767074585,0.0003981664776802063,0.00029493088368326426,0.13153743743896484,573.0,0.0,172,-0.018126005306839943,,8576,1763260099.7689638,0.001064494252204895
,,178.0,45.0368070602417,,,,,,195,,178.0,10306,1763260103.372656,
0.5732690691947937,47.31740188598633,,46.327712535858154,0.0014265673235058784,0.0002935483935289085,0.4489750266075134,547.0,0.0,203,0.01395672932267189,,10880,1763260104.6635616,-0.00555174145847559
0.5635900497436523,34.352909088134766,,47.725799322128296,3.0321069061756134e-05,0.0002931643684860319,0.5003132820129395,541.0,0.0,213,-0.00090775266289711,,11520,1763260106.0616484,-0.0009758947417140007
0.5365280508995056,38.9210090637207,,48.28129243850708,0.0007389001548290253,0.00029301075846888125,0.010771214962005615,539.0,0.0,217,-0.000555812381207943,,11776,1763260106.6171415,-0.0035958364605903625
0.5325960516929626,52.480098724365234,,50.05225324630737,0.00011805165559053421,0.000292473123408854,0.5323401689529419,537.0,0.0,228,0.0008996948599815369,,12672,1763260108.3881023,-0.0018295245245099068
0.6064574718475342,49.36655807495117,,50.808483600616455,0.00016493722796440125,0.00029224270838312805,0.12237590551376343,536.0,0.0,233,-0.00014150887727737427,,13056,1763260109.1443326,-0.0006005316972732544
,,227.0,53.54113221168518,,,,,,251,,227.0,14453,1763260111.8769813,
,,255.0,54.80312991142273,,,,,,259,,255.0,15094,1763260113.138979,
,,123.0,55.8472158908844,,,,,,265,,123.0,15512,1763260114.183065,
,,164.0,56.97382307052612,,,,,,273,,164.0,16104,1763260115.309672,
0.5172702074050903,37.6287841796875,,57.19130253791809,1.724623143672943e-05,0.00029039938817732036,0.4504864811897278,524.0,0.0,274,0.00014574266970157623,,16128,1763260115.5271516,-0.0008380524814128876
,,258.0,59.87763261795044,,,,,,292,,258.0,17493,1763260118.2134817,
,,160.0,63.83184814453125,,,,,,321,,160.0,19463,1763260122.1676972,
0.5232434868812561,31.071542739868164,,64.77479434013367,3.259815275669098e-05,0.00028809523792006075,0.21598219871520996,521.0,0.0,327,-0.003511834889650345,,19968,1763260123.1106434,0.0020943693816661835
,,74.0,65.08883023262024,,,,,,330,,74.0,20102,1763260123.4246793,
,,198.0,65.35989785194397,,,,,,332,,198.0,20300,1763260123.695747,
0.5312007069587708,11.398305892944336,,66.21253895759583,5.6249089539051056e-05,0.00028763440786860883,0.9347254633903503,521.0,0.0,337,-0.0020587965846061707,,20736,1763260124.548388,0.0023688143119215965
0.533866822719574,10.769380569458008,,66.49222731590271,0.0014643538743257523,0.0002875576028600335,0.9555447101593018,521.0,0.0,340,-0.009569987654685974,,20864,1763260124.8280764,0.014041949063539505
,,161.0,70.61160111427307,,,,,,370,,161.0,23361,1763260128.9474502,
0.5449942946434021,108.57869720458984,,71.23053336143494,7.928349077701569e-06,0.00028586789267137647,0.5518028736114502,529.0,0.0,375,0.0008225850760936737,,23680,1763260129.5663824,-0.0011868597939610481
0.6079500317573547,49.93663787841797,,74.63753890991211,8.879788219928741e-05,0.00028471581754274666,0.5972933769226074,531.0,0.0,396,-0.010541770607233047,,25600,1763260132.973388,0.004740878939628601
0.6075178384780884,18.2797794342041,,80.28618502616882,3.432855010032654e-05,0.00028317971737124026,0.07969474792480469,523.0,0.0,425,-0.0003476738929748535,,28160,1763260138.622034,0.00029417872428894043
,,124.0,83.00667428970337,,,,,,441,,124.0,29593,1763260141.3425233,
0.5536462664604187,66.71024322509766,,84.40953326225281,0.0009444328024983406,0.0002818740322254598,-0.0012286901473999023,523.0,0.0,450,-0.02270038053393364,,30336,1763260142.7453823,0.009982415474951267
0.5918135046958923,88.17888641357422,,88.04703426361084,0.0011720117181539536,0.0002806451520882547,0.09771919250488281,525.0,0.0,471,-0.005857761949300766,,32384,1763260146.3828833,-0.0005715582519769669
0.6070835590362549,14.96522331237793,,89.54224967956543,3.0664727091789246e-05,0.00028018432203680277,0.010462701320648193,525.0,0.0,481,-0.001075446605682373,,33152,1763260147.8780987,-0.0008468087762594223
0.5250080823898315,129.86181640625,,90.96835923194885,2.7953647077083588e-05,0.00027972349198535085,-0.0009101629257202148,525.0,0.0,490,-0.0021794401109218597,,33920,1763260149.3042083,0.0013847323134541512
0.5502302646636963,8.484275817871094,,93.52969598770142,0.001203903928399086,0.0002788786368910223,0.6577146053314209,526.0,0.0,504,-0.0025726594030857086,,35328,1763260151.865545,0.0034172851592302322
0.5414097309112549,155.45516967773438,,95.42841839790344,0.00017753522843122482,0.00027826419682241976,-0.44941866397857666,527.0,0.0,515,-0.008335603401064873,,36352,1763260153.7642674,-0.00012258905917406082
